Laser Delay [ns];TA [mOD]
-400;0.052302
-390;-0.014205
-380;-0.150422
-370;-0.057209
-360;0.084229
-350;-0.278635
-340;0.089738
-330;-0.230253
-320;0.038445
-310;-0.058565
-300;-0.030950
-290;-0.134097
-280;-0.037795
-270;0.082847
-260;-0.341899
-250;-0.105718
-240;0.129600
-230;-0.169929
-220;0.043087
-210;0.099708
-200;0.170221
-190;0.065167
-180;0.096807
-170;0.368021
-160;0.111740
-150;0.150021
-140;-0.361278
-130;-0.178287
-120;0.216604
-110;-0.091183
-100;0.103065
-90;-0.148584
-80;0.025420
-70;0.163879
-60;0.069648
-50;0.214861
-40;-0.000152
-30;-0.031421
-20;0.879277
-10;1.947037
0;4.860163
10;6.975020
20;9.337138
30;11.644757
40;13.954954
50;15.708747
60;18.212486
70;20.509243
80;22.271064
90;24.427670
100;26.102271
110;26.618395
120;25.977612
130;26.043602
140;25.924374
150;25.466338
160;24.920397
170;24.696532
180;24.597615
190;24.391758
200;24.159440
210;24.068546
220;23.454596
230;23.161158
240;23.440700
250;23.031045
260;22.606404
270;22.167786
280;22.360822
290;22.033519
300;21.723640
310;21.316981
320;21.478316
330;20.816082
340;20.582836
350;20.453124
360;20.298493
370;20.152997
380;19.767545
390;19.622368
400;19.574904
410;19.250670
420;18.986422
430;18.704481
440;18.746244
450;18.400682
460;18.281544
470;18.213412
480;17.797513
490;17.620984
500;17.365846
510;17.086722
520;17.164880
530;16.957895
540;16.788116
550;16.900888
560;16.407524
570;16.565982
580;16.315413
590;16.034880
600;15.686759
610;15.562507
620;15.337303
630;15.233479
640;14.968766
650;14.796152
660;14.767919
670;14.503735
680;14.418631
690;14.432315
700;13.868686
710;13.943798
720;13.728596
730;13.712153
740;13.404255
750;13.514000
760;13.311308
770;12.932637
780;12.716431
790;12.799606
800;12.466729
810;12.356041
820;12.460926
830;12.482750
840;12.090528
850;12.075217
860;12.020606
870;11.756745
880;11.636810
890;11.532170
900;11.379935
910;11.142474
920;11.091589
930;11.011568
940;10.845626
950;10.813434
960;10.767538
970;10.503508
980;10.520999
990;10.135285
1000;10.028354
1010;9.984881
1020;10.319043
1030;9.824546
1040;9.692331
1050;9.969496
1060;9.884402
1070;9.520502
1080;9.365296
1090;9.337342
1100;8.911984
1110;9.138285
1120;8.994548
1130;8.957189
1140;8.749708
1150;8.672420
1160;8.971020
1170;8.490016
1180;8.518782
1190;8.395262
1200;8.699552
1210;8.395518
1220;8.127362
1230;7.851995
1240;7.848615
1250;8.030289
1260;7.896411
1270;7.593390
1280;7.864604
1290;7.182416
1300;7.553127
1310;7.301271
1320;7.204568
1330;7.049114
1340;7.333393
1350;7.072140
1360;7.033503
1370;6.686069
1380;6.949264
1390;6.916040
1400;6.740048
1410;6.327221
1420;6.771582
1430;6.405420
1440;6.467015
1450;6.523974
1460;6.140161
1470;6.124582
1480;6.041226
1490;5.987347
1500;5.702144
1510;5.964863
1520;6.078921
1530;6.331934
1540;5.921132
1550;5.585828
1560;5.893960
1570;5.547809
1580;5.733026
1590;5.199165
1600;5.464442
1610;5.515636
1620;5.077057
1630;5.171302
1640;5.180832
1650;5.038346
1660;5.385465
1670;5.222926
1680;5.050916
1690;4.932144
1700;4.967140
1710;4.906027
1720;4.679127
1730;4.511310
1740;4.266231
1750;4.677656
1760;4.565671
1770;4.516358
1780;4.417524
1790;4.776681
1800;4.253060
1810;4.494610
1820;4.457617
1830;4.476280
1840;4.169642
1850;4.054306
1860;4.070020
1870;3.988888
1880;3.835749
1890;4.020127
1900;4.036306
1910;3.981665
1920;3.946635
1930;3.821508
1940;3.910315
1950;3.505061
1960;3.451160
1970;3.765082
1980;3.845263
1990;3.359692
2000;3.168135
2010;3.215042
2020;3.152353
2030;3.560098
2040;3.340769
2050;3.188760
2060;3.328626
2070;3.159826
2080;3.457374
2090;3.274583
2100;3.248276
2110;3.317539
2120;3.012737
2130;2.812245
2140;3.022518
2150;3.091688
2160;2.892773
2170;2.768852
2180;2.906819
2190;2.800314
2200;2.810358
2210;2.925837
2220;2.863335
2230;2.442126
2240;2.523074
2250;2.515815
2260;2.690649
2270;2.768347
2280;2.333018
2290;2.511682
2300;2.848539
2310;2.429176
2320;2.621967
2330;2.635021
2340;2.912381
2350;2.480346
2360;2.311480
2370;2.127783
2380;2.528492
2390;2.158431
2400;2.059150
2410;2.611257
2420;2.267689
2430;2.198469
2440;2.201840
2450;2.187453
2460;2.446614
2470;1.962520
2480;1.670750
2490;1.954901
2500;1.947457
2510;2.090599
2520;1.937987
2530;2.191572
2540;2.087182
2550;2.076446
2560;1.634342
2570;1.889708
2580;2.115258
2590;1.967814
2600;1.863274
2610;1.724766
2620;1.905584
2630;1.714108
2640;1.778562
2650;1.889378
2660;1.452591
2670;1.573452
2680;1.612394
2690;1.757508
2700;1.713961
2710;1.775840
2720;1.931044
2730;1.837774
2740;1.918336
2750;1.675257
2760;1.614200
2770;1.501375
2780;1.193752
2790;1.508065
2800;1.590118
2810;1.515871
2820;1.397944
2830;1.218416
2840;1.229745
2850;1.331978
2860;1.543757
2870;1.761073
2880;1.632621
2890;1.592143
2900;1.185791
2910;1.346938
2920;1.276678
2930;1.224477
2940;1.340106
2950;1.244000
2960;1.324919
2970;1.411158
2980;1.012258
2990;1.408670
3000;1.175476
3010;1.346434
3020;1.105182
3030;1.336629
3040;1.186406
3050;1.277410
3060;1.228498
3070;1.231006
3080;1.354570
3090;1.180292
3100;1.006661
3110;1.105651
3120;0.834168
3130;1.271857
3140;1.039854
3150;0.816816
3160;1.064694
3170;1.082476
3180;0.899673
3190;1.220570
3200;1.037174
3210;1.229800
3220;1.036429
3230;0.667017
3240;1.047392
3250;1.048462
3260;0.867532
3270;0.662839
3280;0.577275
3290;0.675497
3300;0.977490
3310;0.732220
3320;0.958469
3330;0.760353
3340;0.970733
3350;0.783443
3360;0.785141
3370;0.838479
3380;0.384782
3390;0.564204
3400;0.601420
3410;0.799392
3420;0.941452
3430;0.731574
3440;0.832849
3450;0.748774
3460;0.650221
3470;0.650231
3480;0.707308
3490;0.837801
3500;0.665230
3510;0.683756
3520;0.449898
3530;0.965555
3540;0.728813
3550;0.748419
3560;0.939442
3570;0.758301
3580;0.580273
3590;0.562140
3600;0.316158
3610;0.838765
3620;0.774691
3630;0.615890
3640;0.480329
3650;0.734022
3660;0.436040
3670;0.474658
3680;0.625623
3690;0.595110
3700;0.724933
3710;0.580428
3720;0.671797
3730;0.920076
3740;0.496307
3750;0.630048
3760;0.517430
3770;0.861981
3780;1.046099
3790;0.884019
3800;0.771941
3810;0.455342
3820;0.289694
3830;0.504964
3840;0.717987
3850;0.780379
3860;0.527919
3870;0.537059
3880;0.374925
3890;0.355173
3900;0.824502
3910;0.532141
3920;0.530919
3930;0.601966
3940;0.303517
3950;0.396858
3960;0.638529
3970;0.698742
3980;0.823904
3990;0.484046
4000;0.446567
4010;0.321294
4020;0.542802
4030;0.719200
4040;0.487718
4050;0.206716
4060;0.216015
4070;0.647139
4080;0.377953
4090;0.423160
4100;0.029684
4110;0.045409
4120;0.510316
4130;0.602470
4140;0.274291
4150;0.336833
4160;0.270827
4170;0.361240
4180;0.544618
4190;0.224182
4200;0.155855
4210;0.176994
4220;0.132670
4230;0.326026
4240;0.524794
4250;0.463403
4260;0.638148
4270;0.201197
4280;0.290226
4290;0.234577
4300;0.086430
4310;0.248515
4320;0.190426
4330;0.361137
4340;-0.040184
4350;0.401664
4360;0.507292
4370;0.069329
4380;0.019918
4390;0.170114
