Laser Delay [ns];TA [mOD]
-400;-0.397143
-390;-0.255410
-380;-0.540932
-370;0.442988
-360;-0.046379
-350;-0.190306
-340;0.055323
-330;-0.241581
-320;-0.296990
-310;-0.248027
-300;-0.163551
-290;-0.333343
-280;-0.209261
-270;-0.405367
-260;-0.368985
-250;-0.186578
-240;-0.238663
-230;-0.070018
-220;-0.372231
-210;-0.377481
-200;-0.052146
-190;-0.247232
-180;-0.399430
-170;-0.228991
-160;-0.144231
-150;-0.199175
-140;-0.097772
-130;-0.334692
-120;-0.199595
-110;-0.178940
-100;0.080979
-90;-0.203201
-80;-0.338565
-70;-0.005337
-60;-0.295300
-50;-0.373054
-40;0.213719
-30;1.742112
-20;4.444232
-10;8.131230
0;12.098768
10;16.724548
20;21.104436
30;25.029488
40;29.430493
50;33.194517
60;37.350886
70;41.604342
80;45.583246
90;47.931914
100;48.832107
110;49.954291
120;49.165980
130;48.179102
140;47.725807
150;47.095162
160;46.593172
170;46.054322
180;45.313637
190;45.549074
200;44.969266
210;43.805510
220;43.898346
230;43.386368
240;42.663572
250;42.401484
260;41.766137
270;41.442829
280;41.177609
290;40.305054
300;40.020173
310;39.621893
320;39.323617
330;38.630938
340;37.838919
350;37.566773
360;37.406686
370;37.218385
380;36.544510
390;36.248211
400;35.943720
410;35.165829
420;34.653317
430;34.550807
440;34.033670
450;34.002889
460;33.075062
470;33.332685
480;32.598444
490;32.530902
500;31.686919
510;31.659683
520;30.968707
530;30.797416
540;30.370314
550;30.403294
560;29.716715
570;29.716229
580;29.127851
590;29.136595
600;28.670975
610;28.460034
620;28.183507
630;27.766371
640;27.333544
650;27.170777
660;26.878290
670;26.432783
680;26.284184
690;25.972535
700;26.009826
710;25.672669
720;24.900463
730;25.080611
740;24.759179
750;24.324137
760;23.968429
770;23.664294
780;23.445320
790;23.655877
800;22.753510
810;22.648563
820;21.971960
830;22.086541
840;21.761305
850;21.786617
860;21.666174
870;21.285504
880;20.971639
890;20.525289
900;20.478997
910;20.283429
920;19.878840
930;19.872694
940;19.347508
950;19.559496
960;19.634009
970;19.275105
980;18.616969
990;18.639729
1000;18.437857
1010;18.424353
1020;17.810036
1030;18.088860
1040;17.541799
1050;17.328540
1060;17.261293
1070;16.661370
1080;17.088049
1090;16.460472
1100;16.664180
1110;16.497094
1120;16.030092
1130;16.036896
1140;15.954178
1150;15.564187
1160;15.585814
1170;14.818588
1180;15.170224
1190;15.051194
1200;14.710241
1210;14.945131
1220;14.207167
1230;14.146102
1240;14.317566
1250;13.844950
1260;13.715260
1270;13.945108
1280;13.673915
1290;13.630995
1300;13.051657
1310;13.347617
1320;13.013265
1330;12.763772
1340;12.535071
1350;12.438609
1360;12.488625
1370;12.342788
1380;11.800589
1390;11.988112
1400;11.646444
1410;11.822207
1420;11.714787
1430;11.354040
1440;11.185069
1450;11.131745
1460;10.803975
1470;11.208574
1480;10.346610
1490;10.475646
1500;10.829930
1510;10.819450
1520;10.314679
1530;10.025001
1540;9.694396
1550;9.963324
1560;9.608004
1570;9.925427
1580;9.910127
1590;9.546377
1600;9.519509
1610;9.612652
1620;9.119516
1630;9.291728
1640;8.929205
1650;8.812091
1660;9.026813
1670;8.659622
1680;8.489450
1690;8.705914
1700;8.333328
1710;8.046203
1720;8.322312
1730;8.460938
1740;8.043659
1750;7.870193
1760;7.920124
1770;7.874406
1780;7.698437
1790;7.640102
1800;7.350790
1810;7.712366
1820;7.206697
1830;7.827502
1840;7.430816
1850;7.153846
1860;7.330909
1870;7.086409
1880;6.754715
1890;7.479743
1900;7.031969
1910;6.360455
1920;6.508772
1930;6.592678
1940;6.323082
1950;6.494762
1960;6.172371
1970;6.507984
1980;6.169052
1990;6.065142
2000;6.130768
2010;6.224824
2020;6.221616
2030;5.793963
2040;5.704019
2050;5.773831
2060;5.716738
2070;5.471970
2080;5.700204
2090;5.267459
2100;5.645651
2110;5.093300
2120;5.552819
2130;5.298994
2140;5.161919
2150;5.478542
2160;5.222807
2170;5.015797
2180;4.818855
2190;4.845870
2200;4.768875
2210;4.946273
2220;4.602577
2230;4.776326
2240;4.301820
2250;4.858154
2260;4.788814
2270;4.337653
2280;4.682281
2290;4.247756
2300;4.272705
2310;4.249053
2320;4.152984
2330;4.311042
2340;3.969380
2350;4.116681
2360;3.888395
2370;4.023409
2380;4.540618
2390;4.104191
2400;3.893746
2410;4.059485
2420;3.735014
2430;3.755496
2440;3.946837
2450;3.682543
2460;3.898075
2470;3.386807
2480;3.834713
2490;3.761966
2500;3.538709
2510;3.583312
2520;3.162371
2530;3.377548
2540;2.896237
2550;3.730380
2560;3.073431
2570;3.270470
2580;3.427958
2590;3.276832
2600;2.810009
2610;3.334365
2620;3.176910
2630;3.126962
2640;3.039051
2650;3.071302
2660;2.830494
2670;2.824190
2680;2.975413
2690;2.934197
2700;2.767976
2710;3.163064
2720;2.560362
2730;2.897460
2740;2.834698
2750;3.001140
2760;2.855428
2770;2.497091
2780;2.815383
2790;2.690987
2800;2.494678
2810;2.531882
2820;2.169146
2830;2.270605
2840;2.575323
2850;2.550913
2860;2.339121
2870;1.925905
2880;2.297635
2890;2.117144
2900;2.243183
2910;2.210606
2920;2.467367
2930;2.172079
2940;2.204312
2950;1.950784
2960;2.176468
2970;2.095211
2980;2.247914
2990;2.520640
3000;1.840859
3010;2.298910
3020;2.181541
3030;2.091435
3040;2.038361
3050;1.803590
3060;2.225427
3070;1.801509
3080;1.701570
3090;1.794907
3100;1.768997
3110;1.985963
3120;1.855804
3130;1.740180
3140;1.379193
3150;1.251544
3160;2.082184
3170;1.602529
3180;1.611492
3190;1.746750
3200;1.325618
3210;1.459015
3220;2.029541
3230;1.983974
3240;1.063936
3250;1.499623
3260;1.631625
3270;1.452236
3280;1.723247
3290;1.231848
3300;1.507859
3310;1.103531
3320;1.057134
3330;1.441275
3340;1.470271
3350;1.320974
3360;1.217666
3370;1.571996
3380;1.236576
3390;1.462944
3400;1.676308
3410;1.351688
3420;1.387416
3430;1.449825
3440;1.309266
3450;1.386063
3460;1.584647
3470;0.917575
3480;0.943745
3490;1.220998
3500;1.319051
3510;0.839003
3520;1.311101
3530;1.453913
3540;1.476598
3550;1.127771
3560;1.189012
3570;1.131194
3580;1.193637
3590;1.439659
3600;1.037050
3610;0.862198
3620;1.202426
3630;1.003238
3640;0.841866
3650;1.106010
3660;1.006803
3670;1.057404
3680;1.160014
3690;1.154468
3700;1.251137
3710;1.218791
3720;0.969439
3730;0.894010
3740;1.199734
3750;0.527375
3760;0.586437
3770;0.876301
3780;1.016356
3790;0.945987
3800;1.056531
3810;1.215615
3820;0.805556
3830;0.626351
3840;0.894989
3850;1.157333
3860;1.012320
3870;0.908464
3880;1.236486
3890;0.799037
3900;0.632769
3910;0.577604
3920;0.938306
3930;0.629606
3940;0.880125
3950;0.848098
3960;0.736759
3970;0.897728
3980;0.800340
3990;0.799404
4000;0.873080
4010;0.802729
4020;0.810027
4030;0.899247
4040;0.733067
4050;0.558587
4060;0.556294
4070;0.721022
4080;0.736763
4090;0.857695
4100;0.715424
4110;0.577153
4120;0.771008
4130;0.665897
4140;0.738628
4150;0.535992
4160;0.816941
4170;0.561716
4180;0.566089
4190;0.601874
4200;0.884068
4210;0.224625
4220;0.809252
4230;0.584273
4240;0.627589
4250;0.810006
4260;0.032984
4270;0.942467
4280;0.304936
4290;0.419284
4300;0.578556
4310;0.960203
4320;0.249922
4330;0.659473
4340;0.604231
4350;0.512293
4360;0.370706
4370;0.584597
4380;0.681223
4390;0.598355
4400;0.672040
4410;0.617072
4420;0.229201
4430;0.164832
4440;0.270700
4450;0.000417
4460;0.524377
4470;0.544393
4480;0.430838
4490;0.558934
4500;0.570978
4510;0.385711
4520;0.634881
4530;0.639548
4540;0.265142
4550;0.736511
4560;0.226978
4570;1.001895
4580;0.322060
4590;0.528630
4600;0.620828
4610;0.311357
4620;0.197111
4630;0.515739
4640;0.713499
4650;0.336544
4660;0.898219
4670;0.463308
4680;0.571633
4690;0.245849
4700;0.636862
4710;0.514475
4720;0.162444
4730;0.562354
4740;0.513358
4750;0.411979
4760;0.058512
4770;0.419377
4780;0.137668
4790;0.327937
4800;0.150520
4810;0.391117
4820;0.565259
4830;0.458924
4840;0.390364
4850;0.469422
4860;0.738168
4870;0.020140
4880;0.324014
4890;-0.238240
4900;0.116801
4910;0.075421
4920;0.003627
4930;0.645713
4940;0.452987
4950;0.072668
4960;-0.223033
4970;0.125580
4980;0.415497
4990;0.224677
5000;0.373625
