Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.431725;-0.419231;-0.818930;-0.530432;0.214602
-390;0.285322;-0.745353;-0.143575;-0.301727;-0.371720
-380;-1.060596;-0.483887;-0.444684;-1.037394;0.321899
-370;0.578813;0.422288;0.248219;-0.359475;1.325096
-360;-0.534228;-0.383358;0.103877;-0.075687;0.657503
-350;-0.528904;-0.608256;-0.098036;0.423255;-0.139587
-340;0.477289;0.151191;0.162660;-0.287609;-0.226917
-330;-1.083578;0.881514;0.646828;-0.169781;-1.482889
-320;-0.366477;-0.326520;0.071405;-0.656261;-0.207094
-310;-0.147888;-0.842914;-0.344177;-0.151161;0.246007
-300;-0.160857;0.638336;-0.039092;-0.937645;-0.318496
-290;0.612359;-0.377130;-0.256752;-1.302486;-0.342706
-280;-0.298905;-0.225279;-0.665925;-0.496693;0.640499
-270;-1.205183;-0.247978;-0.257016;-0.361818;0.045158
-260;-0.045493;-0.937464;-0.672383;-0.243507;0.053922
-250;-0.446016;-0.299874;-0.105760;-0.201901;0.120659
-240;-0.101848;-0.172995;0.003549;-0.206758;-0.715262
-230;-0.042295;-0.549103;0.055512;0.203883;-0.018086
-220;-1.677765;-1.077898;-0.042134;0.950003;-0.013360
-210;-0.473676;-0.296067;-0.740516;-0.250468;-0.126678
-200;-0.089307;0.161955;-0.384889;-0.127021;0.178530
-190;0.150680;-1.254440;-0.180537;0.337026;-0.288889
-180;-1.132378;-0.194802;-0.138529;-0.003039;-0.528400
-170;-0.005325;-0.174978;-0.657285;0.190985;-0.498352
-160;0.341218;0.048782;-0.369020;-0.701204;-0.040928
-150;-0.333540;-0.520308;-0.409036;0.000434;0.266575
-140;-0.265718;-0.232425;-0.374713;0.393031;-0.009035
-130;-0.540947;-0.094504;-0.765252;-0.608838;0.336083
-120;-0.074215;-0.354506;-0.736253;-0.528603;0.695602
-110;0.313298;-0.381173;-0.008430;-0.717027;-0.101368
-100;0.106379;-0.256796;0.319593;0.645424;-0.409703
-90;0.128883;-0.244208;0.306734;-1.103977;-0.103436
-80;-0.476698;-0.428899;-0.235532;-0.333300;-0.218394
-70;-0.595971;-0.071440;0.416273;0.200761;0.023692
-60;-0.499723;-0.750987;0.173622;-0.194452;-0.204960
-50;0.277067;-0.831073;-0.627050;-0.396200;-0.288016
-40;0.163520;-0.709071;0.772266;0.756338;0.085542
-30;1.919621;2.159791;1.314651;1.301909;2.014589
-20;4.891605;3.380347;4.577700;4.317721;5.053787
-10;8.375067;8.822905;7.536285;8.125438;7.796456
0;11.658438;12.472320;12.101272;12.265413;11.996396
10;16.180916;16.936647;16.799258;16.670107;17.035813
20;19.916021;21.144956;21.328296;21.425281;21.707625
30;24.502907;25.082101;24.925177;25.376016;25.261239
40;28.378056;28.881138;29.703660;30.462807;29.726805
50;31.706780;34.063532;33.078488;33.536201;33.587586
60;36.174193;37.520467;37.057450;37.596584;38.405738
70;39.701714;41.442762;41.383698;42.827148;42.666391
80;44.554361;44.534342;45.698374;46.436821;46.692330
90;46.813079;48.072246;47.390049;48.273689;49.110508
100;47.329364;48.758496;48.412152;50.175806;49.484720
110;47.891990;50.103369;49.718161;50.185568;51.872367
120;47.696115;49.932490;49.482808;49.301048;49.417441
130;46.229848;47.546870;48.051805;49.201542;49.865445
