Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.918677;-0.187768;0.764773;-0.645890;-0.743353
-390;0.349148;-0.282144;-0.555279;0.295781;1.124551
-380;1.463302;0.197920;0.732368;-0.686410;0.240127
-370;-0.314844;-1.200603;-0.556039;0.213722;0.375175
-360;-0.209611;0.266842;-0.791317;0.074984;0.318500
-350;-0.610643;-0.201636;0.189477;-0.631603;0.592608
-340;1.446424;-0.782923;1.029203;-0.562282;0.711416
-330;-0.289862;0.255161;-0.223658;0.359251;0.366430
-320;-0.065795;-0.192310;1.036376;-0.103643;-0.297610
-310;-0.193606;-0.187662;0.196409;0.605335;-0.285920
-300;-0.188556;0.272383;0.495406;0.744253;-1.379630
-290;-0.799464;-0.858061;1.021263;-0.239197;0.189593
-280;0.382369;0.350565;-0.915901;-1.028765;-0.010280
-270;-0.268293;0.006129;0.182336;0.168376;-0.210326
-260;-0.038101;0.362488;-0.229020;0.330386;-0.101977
-250;-0.810712;0.719993;0.582679;0.455842;-0.251836
-240;-0.116223;0.722227;-0.502626;-0.030948;0.770197
-230;-0.072543;0.510867;-1.031756;-0.224588;-1.020492
-220;-0.155915;-0.036586;-1.576532;-1.449244;1.023150
-210;-0.782976;0.278410;0.418721;0.151259;-0.884871
-200;-0.274799;-0.259264;0.337821;-0.576980;-0.784748
-190;0.410674;-0.350204;-0.764499;0.013198;0.002467
-180;-0.436604;0.855647;-0.838930;-0.424683;0.034538
-170;-0.812628;-0.882719;-0.024225;-0.592329;-0.263962
-160;-0.267369;0.363942;0.958520;0.654297;-0.378687
-150;0.189657;-0.248589;0.487046;-0.265241;1.087250
-140;-1.039704;-0.045515;-0.279129;0.416037;0.392514
-130;0.104432;-0.225781;-0.170564;-0.723146;-0.946397
-120;-0.310431;0.414570;0.516417;-0.180283;1.265912
-110;-0.251848;-0.084136;-1.073847;-0.152750;0.124380
-100;0.287566;-0.253699;-0.379581;1.076186;-1.222390
-90;-0.193148;1.392262;0.696521;0.048642;-0.033709
-80;0.011052;-1.265142;0.122119;0.784277;-0.248220
-70;0.429572;0.857601;0.521701;-0.459720;0.511801
-60;-1.007117;0.213396;0.176851;-0.257513;0.753365
-50;0.300056;-0.642287;-0.061661;0.709485;0.269818
-40;0.395014;-0.375956;-0.110518;0.450587;-0.036652
-30;1.235280;-0.373364;0.449855;1.028698;-1.170548
-20;1.206656;1.256811;1.657357;1.900044;0.857547
-10;4.360513;2.535797;3.943669;4.120907;3.926720
0;7.213581;6.547484;7.958477;7.895748;7.546049
10;10.199061;10.254019;11.418501;10.285329;10.554648
20;15.071298;14.049990;14.919489;13.208710;14.256073
30;16.840836;18.903094;17.510079;18.771625;17.710198
40;22.193285;21.666505;21.073849;22.357642;20.848115
50;23.976875;24.813913;24.858032;24.885926;24.589784
60;26.977572;29.027275;28.459108;27.428535;27.469371
70;31.033415;31.611003;30.140371;30.215545;32.159489
80;33.804339;35.039325;35.072405;33.746563;33.816026
90;36.493728;36.479903;38.168289;37.402002;37.598021
100;39.631679;39.967305;38.939381;38.490163;39.622995
110;40.690264;39.692520;39.242080;40.610345;40.180081
120;39.875260;39.326327;40.076571;39.567503;38.452997
130;39.657872;40.138358;39.137900;38.814392;38.471212
140;38.037254;38.393256;38.373991;38.140248;38.966529
150;37.649559;39.225846;37.722494;38.117530;37.692066
160;37.578475;37.052025;36.546814;37.095108;37.844066
170;37.927739;37.734761;37.410543;38.190811;37.084415
180;37.811353;37.599444;36.979891;37.326728;37.154698
190;37.203619;36.357762;35.678800;36.767595;36.200549
200;35.600494;36.314332;36.042522;37.193225;34.540179
210;36.739775;36.309040;35.585046;36.065844;36.555154
220;35.274004;36.879773;35.813032;35.123113;35.243187
230;35.107849;35.525572;35.704580;35.209437;35.247977
240;35.305538;34.367892;34.080324;33.429189;34.359125
250;33.830086;35.177751;33.391447;35.180507;33.981902
260;33.535979;34.360792;33.527662;34.784520;33.781750
270;34.152893;34.331443;33.389593;33.717892;33.841614
280;32.737329;33.500920;33.830309;32.602893;32.468197
290;33.766091;32.949359;32.821952;33.827714;33.729286
300;32.365347;32.657627;32.468018;33.667331;31.964137
310;30.922945;33.306623;33.039931;32.093357;31.496888
320;32.477557;33.282734;31.271556;32.088238;31.721446
330;32.076872;31.199228;31.580416;31.105101;31.356593
340;31.558774;31.112463;30.995552;30.918786;31.688915
350;30.965931;30.026703;30.370526;31.272391;30.342508
360;30.763036;30.503667;30.508463;31.121908;30.898115
370;30.157975;29.748798;29.167729;29.096103;30.353987
380;29.567203;29.524522;30.093691;30.604701;30.285278
390;29.665495;29.525951;29.906685;29.973637;28.847879
400;29.384449;29.225759;29.258641;29.183031;29.030203
410;29.310353;28.952706;28.288970;29.451141;28.858682
420;28.223291;28.160767;28.447166;28.089148;28.797957
430;27.281563;29.051936;28.007614;28.563346;28.447790
440;28.355792;27.634426;28.591277;28.983820;27.977553
450;26.501114;27.722398;28.603245;27.770485;27.658079
460;27.562350;27.209438;28.386951;27.427444;27.115965
470;27.211646;27.296882;26.969330;26.077445;27.898523
480;26.958842;27.092595;26.479003;26.967112;26.380501
490;26.702649;27.493980;26.446068;27.595413;27.603482
500;25.643035;25.534639;27.368469;25.021286;26.954566
510;25.943751;25.632273;27.268226;26.036508;24.538280
520;25.618708;25.925360;25.756887;26.053129;26.283987
530;25.197416;26.018057;26.139711;26.165412;25.041839
540;23.925153;24.834610;25.707361;24.694753;25.260881
550;23.821069;24.218749;25.647745;25.697175;23.957074
560;25.259864;25.148212;25.740628;24.710332;24.531653
570;24.440366;24.983313;25.753945;24.265181;23.906596
580;23.551408;24.508638;24.471713;22.242024;24.022565
590;23.245353;23.552650;23.076145;24.515870;23.618350
600;25.278597;22.936832;24.001916;22.494813;23.458277
610;23.587346;23.503582;23.945587;23.057097;22.254302
620;23.643823;23.744730;23.252584;23.597142;23.039371
630;22.557425;23.333467;22.113000;23.057684;23.071520
640;22.030876;22.075282;23.302542;22.323282;22.503020
650;22.077710;22.474224;22.389248;21.881320;22.663304
660;22.428195;21.678707;22.285435;21.610580;22.508595
670;21.662219;21.518040;21.664473;22.548192;21.428879
680;20.760034;22.535627;21.451993;22.490092;21.605264
690;21.290631;21.549343;21.619745;20.942476;21.241710
700;21.303052;20.783714;21.188009;20.712497;20.160965
710;19.528524;20.740344;19.971239;21.092696;20.780788
720;20.358278;20.838097;20.369220;21.723229;20.315896
730;19.327159;19.746712;20.117485;21.517464;21.905838
740;20.653556;20.241061;20.631133;20.236296;20.515708
750;18.716774;19.622112;19.658847;21.208944;20.926227
760;19.677382;18.559744;20.143571;19.771835;19.432118
770;19.013176;19.324328;19.245629;18.916001;19.110860
780;19.158373;19.629609;20.181283;19.428599;18.437230
790;18.947658;18.636574;18.566069;19.114304;18.843838
800;18.558698;19.016551;19.770646;19.584402;19.013429
810;18.496749;18.950965;18.046478;18.598487;19.329374
820;19.519924;18.448216;19.724823;18.761710;17.623805
830;18.338786;18.175892;18.361702;18.179636;17.733929
840;17.998468;18.675232;17.996621;18.143697;17.611425
850;18.124933;18.460774;18.648872;17.783852;19.057055
860;16.665959;18.241113;17.728793;18.382737;18.482990
870;17.280033;17.143348;19.021790;17.426990;17.128115
880;17.461500;18.332894;16.418166;16.647927;17.845453
890;16.961572;16.185332;16.494351;17.381147;17.076618
900;16.627749;17.578429;17.031739;17.355273;17.242500
910;16.878049;17.890017;17.067735;17.279043;16.965018
920;17.118062;16.517133;16.630084;16.539560;16.621802
930;16.390711;18.033476;16.547703;15.602180;17.489024
940;17.564215;16.936726;16.436859;16.002644;16.824230
950;16.418509;16.800948;15.592392;15.675915;16.551737
960;16.491887;16.349053;16.549480;16.210142;15.629306
970;16.487523;15.326709;15.967479;15.955562;16.400329
980;15.588799;14.827528;15.953059;15.855938;15.689953
990;14.947496;15.369340;15.357833;16.233939;16.577477
1000;16.174253;14.550585;15.718313;14.247006;13.868272
1010;14.097138;14.560859;13.954510;15.221357;15.427025
1020;15.666074;14.873061;14.930325;14.736751;14.749038
1030;14.879096;14.788230;14.986660;14.079005;14.563516
1040;15.107327;13.911683;14.345576;14.412708;14.363343
1050;14.545816;14.524359;15.195953;14.876688;15.382643
1060;15.420876;14.348128;14.406995;14.563029;13.656848
1070;13.440031;14.401629;15.239230;13.641313;14.527728
1080;13.271850;12.642777;13.059162;13.002508;13.624040
1090;13.713461;14.007288;13.446267;14.447222;14.331629
1100;14.013930;14.013197;14.306476;13.299728;13.771226
1110;11.985805;12.830228;14.698304;12.786827;14.291964
1120;13.367541;13.797809;11.751678;13.260258;12.436151
1130;13.229056;13.169090;12.606585;14.510022;13.586550
1140;13.597819;12.762653;13.621926;13.130960;12.937457
