Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.015058;0.943799;-0.610280;-0.736346;0.438170
-390;-0.369488;-0.074321;-0.434574;0.157099;0.270101
-380;0.312096;0.285476;0.407161;-1.036620;-0.212101
-370;-0.411463;-0.268901;-0.021525;-0.194283;-0.631763
-360;-0.111184;0.028300;0.503577;-0.405806;-0.634243
-350;0.739604;-0.199878;0.564549;-0.438285;0.041511
-340;-0.581699;0.122297;-0.518688;0.471754;-0.137563
-330;-0.730794;0.481588;-0.581229;0.475757;-0.208894
-320;0.256132;-1.484743;-1.168679;-0.721328;0.041896
-310;-0.164422;0.179654;-1.002633;1.180670;1.044953
-300;0.267964;1.627757;-0.482411;0.358568;0.407472
-290;-0.124925;-0.250145;0.004532;0.865448;-0.057021
-280;0.266224;-0.568390;1.158785;-0.996700;-1.617886
-270;0.058119;-0.971590;-0.511905;-0.736243;0.259885
-260;-0.619888;0.030591;0.355399;0.245975;1.032069
-250;0.261485;-0.139402;0.118612;-0.102523;-0.443354
-240;0.621207;0.052074;0.213126;0.221497;-0.091870
-230;0.299266;-0.364009;-0.244416;1.521234;0.426140
-220;0.594835;0.976141;-0.163295;0.328818;-0.690168
-210;-0.026228;0.662007;0.166722;-0.678247;0.166687
-200;0.267930;-0.238008;0.744654;-0.383739;0.562715
-190;0.708222;0.730029;-0.796232;0.054229;-0.284952
-180;0.116717;0.496983;-0.265639;-0.756088;0.741230
-170;-0.239544;0.085395;0.300694;0.255832;-0.871062
-160;1.388167;-0.171384;-0.656654;0.371460;0.837721
-150;0.693430;0.186408;0.338519;-0.753788;0.041934
-140;0.486669;-0.225869;-0.016604;-0.103202;-1.125356
-130;0.742904;0.546701;0.573679;-0.368796;0.346937
-120;-0.137870;0.277325;-1.513570;-0.395598;0.109556
-110;-0.050182;-0.079239;-0.001131;0.748722;-0.893941
-100;1.586977;-1.358668;0.133158;0.185467;0.444791
-90;0.100584;-0.290722;0.012080;0.173612;-1.016730
-80;-1.099946;0.138858;-0.417721;-0.178056;0.100095
-70;0.091882;-0.654062;-0.277860;0.024856;-0.718356
-60;0.439745;-0.011328;0.549074;0.223884;-0.342095
-50;-0.482114;0.130217;0.620589;0.388465;-0.707294
-40;0.626360;-0.344442;-0.109489;0.071122;-0.052534
-30;-0.253398;-0.295251;-0.040763;-0.575098;-1.445403
-20;0.760252;0.218047;0.974781;-0.622951;1.016161
-10;0.453392;0.462867;1.187047;0.664565;2.212335
0;2.038932;2.895277;3.468143;3.400226;3.758590
10;4.501243;5.118998;4.263305;3.738975;4.650812
20;7.040029;7.704248;6.494740;8.588269;6.470783
30;8.861632;8.562050;9.317396;8.607345;9.893641
40;10.750204;11.439853;11.074435;10.018965;10.285158
50;12.774842;13.669347;13.602292;13.135264;11.978205
60;14.218413;13.537624;15.085473;14.789526;14.207093
70;15.995084;15.563186;16.262075;15.872925;15.429564
80;18.333612;18.417050;17.994694;17.661419;17.682076
90;18.500497;19.418003;18.199546;20.257220;19.635978
100;20.706036;21.638497;20.529703;20.701164;21.171166
110;21.998790;23.148875;22.391631;22.480083;23.139821
120;22.237138;22.840131;23.379752;22.111610;22.883144
130;21.401691;21.127793;20.784185;21.844314;22.573512
140;21.961892;21.942176;21.987955;21.405160;22.225655
150;21.913993;21.934308;21.633782;21.688968;22.326588
160;21.429092;22.396756;21.324857;22.513458;21.364879
170;22.165904;21.066009;21.334087;21.299004;21.359743
180;20.338765;21.524607;21.505836;22.243709;20.088186
190;20.460537;21.996561;21.382604;21.064252;20.582342
200;20.348888;20.669318;21.215123;20.576917;19.986393
