Laser Delay [ns];TA [mOD]
-400;0.268895
-390;0.059772
-380;0.001968
-370;-0.148888
-360;-0.145941
-350;-0.285300
-340;0.381366
-330;-0.206308
-320;-0.231227
-310;-0.006852
-300;0.019156
-290;-0.047449
-280;-0.247655
-270;0.051542
-260;-0.058886
-250;-0.309454
-240;-0.156215
-230;-0.312341
-220;0.382879
-210;-0.203404
-200;-0.127453
-190;0.077273
-180;0.073427
-170;0.332446
-160;0.097046
-150;0.127459
-140;-0.265335
-130;-0.382826
-120;-0.157058
-110;0.102151
-100;-0.082690
-90;-0.003015
-80;-0.198327
-70;-0.289093
-60;0.416177
-50;-0.567900
-40;0.224378
-30;0.218823
-20;0.067973
-10;0.234008
0;1.115887
10;2.220372
20;3.621292
30;4.134152
40;5.630387
50;6.143954
60;7.601078
70;8.453873
80;9.043555
90;10.302173
100;11.220634
110;11.392248
120;11.552065
130;11.148166
140;11.014780
150;10.828105
160;11.049181
170;11.139277
180;11.065136
190;10.552392
200;10.730227
210;10.710600
220;10.365920
230;10.003678
240;10.152786
250;10.140851
260;10.393909
270;9.467053
280;9.065261
290;9.912151
300;9.950792
310;9.619044
320;9.476031
330;8.991654
340;8.965598
350;8.773563
360;8.931619
370;8.741297
380;8.520378
390;8.642406
400;8.767999
410;8.181666
420;7.906056
430;8.292185
440;8.665911
450;7.684110
460;7.811589
470;8.129272
480;8.014211
490;7.512778
500;7.752686
510;7.535399
520;7.401056
530;6.808639
540;7.221317
550;7.265715
560;7.566633
570;7.284525
580;7.107858
590;7.092558
600;6.857706
610;6.478799
620;7.046454
630;6.837536
640;6.495052
650;6.440636
660;6.314586
670;6.534773
680;6.464252
690;6.251427
700;6.113052
710;5.645510
720;6.247910
730;5.950275
740;6.398256
750;5.921376
760;5.689020
770;5.632638
780;5.267132
790;5.823977
800;5.417670
810;5.354745
820;5.309936
830;5.642998
840;5.092515
850;5.039817
860;5.087531
870;5.047998
880;5.265383
890;4.872531
900;5.199784
910;4.938922
920;5.020416
930;4.975217
940;4.487840
950;4.876046
960;4.635586
970;4.483001
980;4.708022
990;4.761068
1000;4.357606
1010;4.403748
1020;4.400395
1030;4.253129
1040;4.278998
1050;4.319611
1060;4.255735
1070;3.954615
1080;4.211116
1090;4.165122
1100;4.035395
1110;4.153117
1120;3.900801
1130;3.780292
1140;4.259543
1150;4.329711
1160;3.797181
1170;3.580339
1180;3.788066
1190;3.656891
1200;3.610895
1210;3.323342
1220;3.551020
1230;3.494192
1240;3.233084
1250;3.905174
1260;3.331266
1270;3.192196
1280;3.252498
1290;3.144416
1300;3.011591
1310;3.364007
1320;3.475772
1330;3.082266
1340;2.928326
1350;3.264114
1360;2.510318
1370;3.063938
1380;2.916413
1390;2.678074
1400;2.924537
1410;2.638184
1420;3.273428
1430;2.902237
1440;2.833407
1450;2.917466
1460;2.713240
1470;2.535523
1480;2.936478
1490;3.017859
1500;2.562523
1510;3.011383
1520;2.262807
1530;2.093690
1540;2.162624
1550;2.521045
1560;2.454074
1570;2.658602
1580;2.519081
1590;2.302619
1600;1.944961
1610;2.017925
1620;2.492300
1630;2.399521
1640;2.044018
1650;2.295991
1660;2.246558
1670;2.247040
1680;1.929714
1690;2.320762
1700;2.342219
1710;2.103215
1720;2.391415
1730;1.831340
1740;2.167781
1750;2.279647
1760;2.191673
1770;2.302435
1780;1.847933
1790;2.161292
1800;2.148107
1810;1.517867
1820;1.864754
1830;1.546919
1840;1.839093
1850;2.142415
1860;1.783471
1870;1.708927
1880;1.797596
1890;1.880934
1900;1.747405
1910;1.678823
1920;2.323454
1930;1.762015
1940;1.354137
1950;1.494991
1960;1.627157
1970;1.887923
1980;1.707107
1990;1.552760
2000;1.411895
2010;1.896586
2020;1.527945
2030;1.902434
2040;1.615972
2050;1.377592
2060;1.415032
2070;1.562058
2080;1.828206
2090;1.365415
2100;1.096391
2110;1.070773
2120;1.142614
2130;1.139265
2140;1.296422
2150;0.960984
2160;0.497569
2170;1.351404
2180;1.473627
2190;1.205390
2200;1.021651
2210;1.366957
2220;1.427139
2230;0.993700
2240;1.412914
2250;1.608442
2260;0.931655
2270;1.036578
2280;0.810812
2290;0.699803
2300;1.000803
2310;1.211332
2320;0.975576
2330;0.989436
