Laser Delay [ns];TA [mOD]
-400;-0.090043
-390;-0.237999
-380;-0.017863
-370;-0.275728
-360;-0.147717
-350;0.186576
-340;0.315161
-330;-0.177948
-320;-0.750985
-310;-0.173651
-300;-0.183033
-290;-0.003033
-280;-0.268067
-270;-0.146552
-260;0.290433
-250;0.057757
-240;-0.599646
-230;-0.231757
-220;0.143286
-210;0.108850
-200;0.216536
-190;-0.662658
-180;0.140739
-170;0.043099
-160;-0.382913
-150;0.133817
-140;-0.172684
-130;0.103614
-120;-0.136267
-110;-0.035857
-100;-0.152464
-90;0.587379
-80;0.284973
-70;-0.563603
-60;-0.619885
-50;-0.399787
-40;-0.233881
-30;-0.457070
-20;0.404350
-10;1.721131
0;3.322994
10;4.838286
20;6.133769
30;8.114677
40;9.490641
50;11.529903
60;12.943692
70;14.455410
80;15.820982
90;17.522894
100;17.578780
110;18.635335
120;18.740407
130;18.175669
140;17.285378
150;18.273094
160;17.382582
170;17.193943
180;17.028111
190;16.841037
200;16.962544
210;16.241471
220;16.506298
230;15.996262
240;15.963056
250;15.667012
260;15.680211
270;15.592199
280;15.471578
290;15.294239
300;14.865838
310;15.085415
320;14.475417
330;14.440442
340;15.069494
350;14.165005
360;13.945507
370;14.019804
380;13.651004
390;13.471683
400;13.175431
410;13.193007
420;12.807728
430;12.941894
440;12.663911
450;12.497760
460;12.710270
470;12.617311
480;12.267158
490;11.545446
500;11.697392
510;12.105365
520;11.737723
530;11.652325
540;11.387870
550;11.268141
560;10.990823
570;10.658972
580;11.146513
590;10.803814
600;10.729073
610;10.477243
620;10.123122
630;10.158924
640;10.417210
650;10.131622
660;10.103129
670;9.733311
680;9.627097
690;9.548512
700;9.282173
710;9.686737
720;8.752823
730;9.461567
740;9.591107
750;8.675864
760;8.794270
770;8.972607
780;8.996821
790;8.240610
800;8.105118
810;8.551816
820;8.526216
830;8.120340
840;7.717612
850;7.907023
860;7.944351
870;8.009001
880;7.432815
890;7.777775
900;7.613047
910;7.890336
920;7.331551
930;7.188678
940;7.222787
950;7.252226
960;7.062944
970;6.918136
980;6.399676
990;6.439289
1000;6.859666
1010;6.578919
1020;6.931329
1030;6.492645
1040;6.973685
1050;6.012427
1060;6.068898
1070;6.714983
1080;6.260151
1090;6.531862
1100;6.116437
1110;6.322486
1120;5.799063
1130;5.613960
1140;6.093017
1150;6.354423
1160;5.429221
1170;5.429935
1180;5.719675
1190;5.673636
1200;5.786283
1210;4.991583
1220;5.332335
1230;4.763207
1240;4.647634
1250;5.229485
1260;5.339897
1270;4.834791
1280;4.957699
1290;4.638083
1300;4.794010
1310;4.782783
1320;5.127999
1330;4.477304
1340;4.535446
1350;4.859475
1360;4.196996
1370;4.657343
1380;3.973269
1390;3.982217
1400;4.394155
1410;4.049239
1420;3.863643
1430;4.308046
1440;4.407609
1450;3.961276
1460;3.929399
1470;3.725078
1480;4.122332
1490;4.113904
1500;4.644103
1510;3.872161
1520;3.887307
1530;4.061802
1540;4.155224
1550;3.782557
1560;3.804876
1570;3.830619
1580;3.942712
1590;3.908714
1600;3.711646
1610;3.394742
1620;3.749012
