Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;1.062379;-0.565507;-0.316429;-0.261319;-0.369338
-390;-1.104555;-0.637821;0.173686;0.176626;0.202071
-380;-1.249204;0.522728;0.238017;0.343718;0.055428
-370;-0.236662;-0.221045;-0.339303;-0.206990;-0.374641
-360;-0.442307;-0.222328;-0.985690;0.780540;0.131202
-350;0.855553;-0.450521;0.049782;-0.409925;0.887990
-340;0.748970;0.895082;-0.246511;0.267549;-0.089282
-330;-0.054291;-0.652239;-0.216647;-0.051270;0.084706
-320;-1.518501;-0.835975;-0.722770;-0.258869;-0.418810
-310;-0.010862;-0.031742;-1.098880;0.196251;0.076976
-300;-0.609495;-0.546936;-0.231516;1.026771;-0.553991
-290;0.222735;-0.282899;-0.019298;-0.106714;0.171009
-280;-0.366599;-0.337804;0.256449;-0.731501;-0.160879
-270;-0.408163;0.309013;-0.069802;-0.455651;-0.108157
-260;-0.067206;0.482636;0.139291;0.437668;0.459775
-250;-0.869553;0.659155;-0.461081;0.158795;0.801469
-240;0.142749;-1.158216;-0.474263;-1.334574;-0.173924
-230;-1.671874;-0.524086;-0.539837;0.949413;0.627597
-220;-0.421310;-0.099425;0.729722;-0.046628;0.554073
-210;0.050746;-0.417537;-0.263348;0.930621;0.243766
-200;0.111589;0.142705;0.502276;0.053150;0.272961
-190;-0.448829;-0.574588;-0.957664;-1.137413;-0.194797
-180;0.846905;-0.257586;0.230076;0.231120;-0.346819
-170;0.486033;-0.998378;0.354930;-0.322807;0.695719
-160;-0.282372;-0.544019;-0.653787;-0.311238;-0.123149
-150;-0.420265;1.305404;0.268497;-0.761165;0.276614
-140;-0.474264;-0.090741;-0.664582;-0.101714;0.467883
-130;-0.414965;-0.330810;0.787490;0.882654;-0.406301
-120;-0.582095;-0.072753;0.413253;0.162926;-0.602668
-110;-0.124878;-1.133352;1.458000;-0.492220;0.113166
-100;0.112806;-0.357229;-0.031249;-0.228064;-0.258587
-90;0.287458;0.022589;1.215304;0.411896;0.999646
-80;-0.170059;0.447490;0.053550;0.699616;0.394268
-70;-0.198671;-0.804491;-0.834352;-0.294637;-0.685863
-60;-0.932198;-0.986752;-0.237741;0.031977;-0.974712
-50;0.196577;-1.316457;0.427817;-0.695492;-0.611381
-40;-0.259919;0.565252;-0.314662;-0.741974;-0.418099
-30;-0.376384;0.029878;-0.608645;-0.223913;-1.106288
-20;0.625784;0.080438;0.003472;0.978748;0.333307
-10;1.998257;2.306102;2.028288;1.097000;1.176006
0;2.925704;4.746317;2.722069;2.888376;3.332505
10;4.584894;5.177002;4.641736;4.970152;4.817647
20;5.681841;7.727457;5.559397;5.803386;5.896767
30;7.850612;8.059271;8.286832;8.712557;7.664114
40;9.018055;9.843025;9.494590;9.712774;9.384763
50;13.286119;11.418770;10.571870;10.598855;11.773903
60;13.713428;12.720841;12.552091;13.545685;12.186416
70;14.829539;14.770811;14.934530;13.129255;14.612918
80;16.879670;16.162300;15.887725;15.575736;14.599478
90;17.633102;18.265132;17.121153;16.934730;17.660352
100;17.575072;18.342573;18.422671;16.953140;16.600442
110;19.620793;18.989294;18.094526;18.988896;17.483164
120;20.100464;18.059265;17.909924;19.396212;18.236172
130;19.107725;17.767531;17.937038;18.252588;17.813463
140;18.918139;16.875726;17.458525;16.375849;16.798653
150;18.761755;18.185257;18.036569;18.151810;18.230078
160;17.856521;17.419326;17.119157;17.958371;16.559535
170;17.560647;17.085884;17.093909;17.491886;16.737391
180;18.032671;17.016581;16.821493;17.032466;16.237342
190;17.303127;17.310991;15.726580;16.980082;16.884407
200;17.053285;15.915262;17.103334;17.470979;17.269857
210;16.459555;16.589673;16.724100;15.826991;15.607035
220;16.223594;17.617393;16.455079;16.642672;15.592754
230;16.130859;15.815473;15.651665;16.499248;15.884064
240;16.965329;16.158119;15.483388;16.002891;15.205554
250;17.292535;14.483682;16.203005;14.883963;15.471875
260;16.015448;16.006327;15.792663;15.194177;15.392438
270;16.061044;15.394407;15.618684;14.107283;16.779576
280;15.483975;15.780142;14.912901;15.510731;15.670140
290;16.965866;14.625521;15.472132;14.610967;14.796707
300;15.334142;14.598157;14.768725;14.534045;15.094122
310;15.478041;15.133892;15.030263;15.177141;14.607737
320;15.477089;14.735554;13.355772;14.569460;14.239210
330;14.616512;14.490355;14.621557;14.122118;14.351671
340;15.329997;15.429881;15.337868;14.135762;15.113963
350;13.726313;14.886233;14.253477;14.786811;13.172190
360;13.945363;14.125085;14.214439;14.503307;12.939342
370;13.877463;12.993094;14.363631;14.208951;14.655882
380;13.766700;13.869770;13.270157;13.493164;13.855226
390;13.972277;13.668647;12.492468;14.083810;13.141215
400;13.254538;14.247225;12.887418;13.096669;12.391307
410;13.280828;13.366093;12.809434;14.024287;12.484395
420;13.092104;12.838095;13.839634;11.437593;12.831213
430;13.564251;13.200022;13.215532;11.734156;12.995511
440;12.542418;13.092741;12.753874;12.555816;12.374704
450;12.321651;13.264834;12.825525;11.934168;12.142620
460;12.743823;12.649381;11.777290;13.389137;12.991721
470;13.453324;11.900503;12.649947;12.180168;12.902616
480;13.439701;11.949845;11.963709;11.852381;12.130153
490;11.568901;10.686979;12.662812;11.590356;11.218180
500;11.846494;11.766289;10.865880;12.266762;11.741535
510;12.188704;12.253850;11.908484;12.382612;11.793174
520;12.371402;10.545726;11.670879;12.173560;11.927047
530;12.574975;11.357735;11.092207;11.704661;11.532046
540;12.236573;12.401630;9.482677;11.745405;11.073064
550;11.612694;11.450650;10.814673;11.617557;10.845130
560;10.913490;10.778459;12.381087;10.475312;10.405767
570;11.383573;10.206296;11.586723;10.704436;9.413833
580;11.402692;11.542049;10.088168;12.087912;10.611744
590;11.651692;10.881725;9.421743;11.187496;10.876415
600;11.448415;11.300889;9.778761;11.160054;9.957247
610;11.075219;10.515356;10.536057;9.518799;10.740786
620;10.208494;10.428956;9.980454;10.187863;9.809844
630;10.586887;9.532593;10.410697;10.175888;10.088553
640;11.405836;9.510561;10.332382;10.088832;10.748442
650;10.472548;9.470825;10.395304;10.344988;9.974447
660;10.520870;10.386001;10.486297;9.741547;9.380928
670;9.845343;11.066975;9.201626;9.299329;9.253279
680;9.006448;9.731687;10.030495;9.839880;9.526978
690;9.974090;10.289198;9.111639;9.548372;8.819262
700;9.703118;9.049754;8.505074;9.816427;9.336492
710;10.218936;9.309960;9.136190;9.686060;10.082538
720;9.502632;7.954965;8.892621;8.222703;9.191194
730;9.555287;10.276578;8.912043;9.149477;9.414447
740;10.060602;9.686715;9.468046;10.014158;8.726016
750;8.159263;9.282270;9.412597;8.082982;8.442206
760;9.090690;8.493465;9.383717;8.042310;8.961170
770;9.886412;8.722835;8.986475;8.136174;9.131140
780;8.316649;9.169909;9.800358;8.724177;8.973015
790;9.169171;8.627101;7.568582;7.917073;7.921125
800;8.178320;7.733216;7.580278;8.750718;8.283059
810;9.819368;8.929280;7.872057;7.733978;8.404396
820;8.643593;8.142017;7.658055;8.374755;9.812661
830;7.483091;8.413194;8.357112;7.725457;8.622845
840;8.516159;8.596036;7.802919;6.479069;7.193876
850;8.360758;8.070616;7.773283;8.014518;7.315939
860;8.274617;7.789426;7.936175;6.988965;8.732575
870;8.156964;8.252277;8.304177;7.318932;8.012654
880;8.445153;7.031504;6.672100;7.285329;7.729987
890;8.429273;8.267892;6.889355;8.063563;7.238792
900;7.189342;6.951009;8.761655;7.462214;7.701016
910;8.352986;7.915998;8.724887;6.944824;7.512985
920;7.114349;7.800484;7.292873;7.839801;6.610248
930;7.207800;7.665788;7.337663;6.894212;6.837929
940;7.507019;7.846418;6.505019;7.509878;6.745602
950;7.021643;8.085236;7.064765;6.646401;7.443084
960;7.019612;7.628764;7.438449;6.948154;6.279739
970;7.611598;7.245576;8.058734;6.000328;5.674446
980;6.871256;6.557914;5.173035;6.585486;6.810691
990;6.900585;6.562389;6.667198;6.471242;5.595034
1000;7.299435;7.025692;7.374167;6.342705;6.256330
1010;7.246786;6.788888;6.360284;6.124634;6.374003
1020;6.564625;6.246666;6.244720;8.100264;7.500369
1030;7.262321;6.712846;6.204060;5.859443;6.424557
1040;7.188082;6.670320;6.353421;7.218412;7.438188
1050;5.901313;6.224456;5.496978;6.461814;5.977577
1060;6.635024;5.929898;4.829631;6.182441;6.767497
1070;6.766239;6.543463;7.503390;6.471431;6.290389
1080;6.719860;6.226244;5.978119;6.070970;6.305559
1090;6.553908;6.748991;6.926937;6.646511;5.782961
1100;6.124196;6.388061;5.870956;6.421817;5.777157
1110;7.509130;5.308818;7.115947;6.687744;4.990794
1120;5.633864;5.342802;6.554486;5.675543;5.788618
1130;6.264971;5.890195;5.250622;5.069606;5.594405
1140;5.181877;5.678171;7.015726;7.161243;5.428067
1150;6.539940;6.349226;6.009872;6.328328;6.544749
1160;5.539720;6.078994;4.383390;5.154347;5.989657
1170;5.434304;4.554984;5.993685;4.774121;6.392579
1180;5.396896;6.477298;5.742287;5.723548;5.258347
1190;6.697977;5.413119;5.774670;4.940007;5.542407
1200;5.196872;6.506832;6.099469;5.790965;5.337276
1210;6.010131;4.584692;4.611915;4.994626;4.756552
1220;5.313302;5.751581;6.021158;4.816817;4.758815
1230;4.365739;5.136819;5.023183;4.443736;4.846558
1240;5.498168;4.345522;4.603381;4.352934;4.438166
1250;5.261366;6.135283;4.889864;4.242395;5.618518
1260;4.950101;5.333049;5.429102;5.073668;5.913562
1270;5.433972;4.296747;4.106235;6.111004;4.225996
1280;5.155344;4.798575;4.713342;4.947355;5.173881
1290;4.778552;4.937190;4.831441;3.554176;5.089054
1300;5.436462;4.923718;3.685298;4.181530;5.743043
1310;4.898859;5.732461;4.169210;4.809775;4.303611
1320;4.754012;4.883296;5.681546;5.223708;5.097432
1330;4.986061;4.617319;3.839201;3.625271;5.318667
1340;4.421875;4.854851;4.078270;3.772757;5.549476
1350;5.154339;5.318550;4.551680;4.407641;4.865165
1360;4.093996;3.927015;4.656014;3.900137;4.407816
1370;5.438819;4.013790;4.857083;3.798031;5.178991
1380;4.358974;3.579385;4.325949;4.786455;2.815583
1390;4.951838;3.859937;3.103432;3.525701;4.470176
1400;4.026697;4.135210;4.404273;5.062008;4.342587
1410;4.074769;3.584020;4.875698;4.179333;3.532378
1420;4.268381;3.690686;4.386275;3.748478;3.224394
1430;4.207847;4.099828;4.676006;3.617576;4.938973
1440;3.978263;4.285972;4.678435;5.293368;3.802007
1450;3.703862;4.191302;4.505609;3.531421;3.874184
1460;3.761263;4.597840;3.899484;4.146742;3.241668
1470;3.954261;3.687627;3.565858;4.414352;3.003294
1480;4.682309;4.138783;4.736023;3.667324;3.387221
