Laser Delay [ns];TA [mOD]
-400;-0.330326
-390;-0.116824
-380;-0.522771
-370;-0.008773
-360;0.356272
-350;-0.221882
-340;0.105557
-330;-0.013300
-320;-0.167890
-310;-0.618594
-300;-0.243172
-290;0.207147
-280;-0.090366
-270;0.091696
-260;0.084970
-250;-0.034717
-240;-0.160121
-230;-0.022791
-220;-0.661517
-210;-0.394775
-200;-0.332703
-190;0.061484
-180;-0.749434
-170;0.109754
-160;-0.080921
-150;-0.438300
-140;-0.285814
-130;0.013046
-120;-0.088535
-110;-0.229462
-100;0.133530
-90;-0.314769
-80;0.158094
-70;0.082877
-60;-0.281379
-50;-0.356531
-40;-0.384629
-30;0.025200
-20;1.006265
-10;2.404257
0;3.624630
10;4.948677
20;6.811064
30;8.559121
40;9.405962
50;11.220848
60;12.601016
70;14.611870
80;15.798612
90;16.722779
100;17.232384
110;17.211848
120;17.560323
130;16.835006
140;17.137670
150;15.950222
160;16.205281
170;15.577457
180;16.476936
190;15.700898
200;15.408304
210;15.468368
220;15.128838
230;14.483273
240;14.404425
250;14.353417
260;14.249416
270;14.048809
280;14.156903
290;13.803425
300;14.110124
310;13.703459
320;13.245229
330;13.528218
340;13.217809
350;12.703330
360;12.729890
370;12.909645
380;12.962543
390;12.000445
400;12.128287
410;11.945407
420;12.047568
430;11.650225
440;11.320446
450;11.476607
460;11.035342
470;11.258594
480;11.265038
490;10.904413
500;10.351776
510;10.179541
520;11.039123
530;10.496115
540;10.593568
550;10.261817
560;9.574513
570;10.031792
580;10.269786
590;9.755415
600;9.126225
610;9.528733
620;9.412099
630;9.127552
640;9.405013
650;8.612414
660;8.788370
670;8.889679
680;8.984563
690;8.847252
700;8.400582
710;8.419756
720;8.222827
730;8.052174
740;8.054737
750;8.050226
760;8.078159
770;7.620505
780;7.663604
790;8.115979
800;7.522292
810;7.682538
820;7.544952
830;7.700733
840;7.390718
850;7.369611
860;6.926495
870;7.121701
880;7.186549
890;6.741758
900;6.910920
910;6.309948
920;6.974435
930;6.912909
940;6.496977
950;6.715265
960;6.657601
970;6.346400
980;5.822025
990;5.986589
1000;6.033509
1010;6.384012
1020;6.220362
1030;5.140614
1040;6.160855
1050;5.961425
1060;5.899063
1070;5.749948
1080;5.732298
1090;5.190238
1100;5.315856
1110;5.519996
1120;4.928776
1130;4.824476
1140;5.517204
1150;4.580809
1160;4.987027
1170;4.795040
1180;5.344268
1190;5.256265
1200;4.786334
1210;4.757914
1220;4.888451
1230;5.024489
1240;4.972471
1250;4.594439
1260;3.848312
1270;4.747852
1280;4.643091
1290;4.450736
1300;4.776685
1310;4.057303
1320;4.430585
1330;4.530064
1340;4.247813
1350;3.701046
1360;3.865851
1370;4.326583
1380;3.601790
1390;3.771866
1400;3.954383
1410;3.625722
1420;3.641976
1430;4.378637
1440;3.910000
1450;4.041023
1460;3.664844
1470;4.101968
1480;3.327354
1490;3.410410
1500;3.551105
1510;3.591501
1520;3.752281
1530;3.586595
1540;3.783980
1550;3.843960
1560;3.281335
1570;3.865871
1580;3.120754
1590;3.168110
1600;3.173047
1610;3.776030
1620;3.863146
1630;3.511524
1640;3.286969
1650;3.211151
1660;2.967935
1670;3.445496
1680;3.028912
1690;2.884006
1700;2.951579
1710;3.102927
1720;3.205527
1730;3.080031
1740;2.923753
1750;2.948668
1760;3.119133
1770;3.199522
1780;2.299722
1790;3.079493
1800;2.255896
1810;2.979339
1820;2.653794
1830;2.700230
1840;2.494033
1850;3.117763
1860;2.515751
1870;3.044293
1880;2.353677
1890;2.715449
1900;2.597201
1910;2.376705
1920;2.233503
1930;2.745990
1940;2.466713
1950;2.199523
1960;2.366488
1970;2.108403
1980;2.545527
1990;2.626149
2000;2.467942
2010;2.113347
2020;2.409080
2030;2.136906
2040;2.123877
2050;2.192658
2060;2.334384
2070;2.388557
2080;2.388843
2090;2.165704
2100;2.073668
2110;2.262066
2120;2.047397
2130;2.480436
2140;2.293455
2150;2.497890
2160;2.429211
2170;2.567803
2180;2.014598
2190;2.353411
2200;2.196157
2210;2.195651
2220;2.269577
2230;1.711424
2240;1.848955
2250;2.014890
2260;2.122371
2270;2.091880
2280;1.313136
2290;2.459226
2300;2.159809
2310;1.892525
2320;2.069117
2330;2.158003
2340;2.385771
2350;1.252119
2360;2.255331
2370;1.678402
2380;1.846795
2390;1.608500
2400;2.510675
2410;1.570037
2420;2.030295
2430;1.726404
2440;1.886272
2450;1.748803
2460;1.624987
2470;1.727712
2480;1.807856
2490;2.144492
2500;2.001374
2510;1.825972
2520;1.554751
2530;1.959825
2540;1.944357
2550;1.599646
2560;2.078907
2570;1.299950
2580;1.727237
2590;1.925464
2600;1.907855
2610;1.765547
2620;1.942436
2630;1.343105
2640;1.353725
2650;1.800133
2660;1.817303
2670;1.329504
2680;1.614301
2690;1.506988
2700;1.359522
2710;1.696470
2720;1.189233
2730;1.581237
2740;1.448823
2750;1.410549
2760;0.940337
2770;1.669016
2780;1.688816
2790;1.565716
2800;1.412213
2810;1.432228
2820;1.734826
2830;1.613768
2840;1.686107
2850;1.520409
2860;1.545591
2870;1.204741
2880;1.788750
2890;1.156811
2900;1.713476
2910;1.605318
2920;1.469577
2930;1.201141
2940;1.386450
2950;1.281640
2960;1.518910
2970;1.508064
2980;1.445347
2990;1.313257
3000;1.136595
3010;1.369774
3020;1.565087
3030;1.321733
3040;1.184448
3050;1.313786
3060;1.370410
3070;1.015212
3080;1.310038
3090;1.196637
3100;1.270109
3110;1.192858
3120;1.244708
3130;1.264682
3140;1.122615
3150;1.769581
3160;1.425213
3170;1.242920
3180;1.324448
3190;1.096157
3200;0.847892
3210;1.516996
3220;1.376680
3230;1.190481
3240;1.260749
3250;1.201056
3260;1.774603
3270;1.109571
3280;1.161953
3290;1.398583
3300;1.106889
3310;1.367142
3320;1.411310
3330;1.300012
3340;1.129295
3350;1.494897
3360;1.447012
3370;1.250631
3380;1.119620
3390;1.380537
3400;1.648022
3410;1.396236
3420;0.908106
3430;1.095864
3440;1.265938
3450;0.807943
3460;0.972671
3470;1.164081
3480;1.086055
3490;1.054790
3500;1.513105
3510;1.446964
3520;1.237945
3530;0.895309
3540;1.095198
3550;1.660403
3560;0.586937
3570;1.206844
3580;1.134416
3590;0.733707
3600;1.229502
3610;1.478988
3620;1.264623
3630;1.384030
3640;1.601825
3650;1.127952
3660;1.476361
3670;1.449560
3680;0.906376
3690;1.320203
3700;0.999924
3710;1.570506
3720;0.951025
3730;1.530243
3740;1.008154
3750;1.035450
3760;1.067357
3770;1.290522
3780;1.435156
3790;1.076446
3800;0.980137
3810;1.067108
3820;0.742600
3830;0.909364
3840;1.405735
3850;1.109625
3860;0.576884
3870;1.493549
3880;0.743418
3890;1.559095
3900;1.250511
3910;1.355624
3920;1.209149
3930;1.238129
3940;1.025821
3950;1.364332
3960;1.246638
3970;1.137526
3980;1.475002
3990;1.181694
4000;1.309791
4010;1.105111
4020;1.069941
4030;1.093400
4040;1.150311
4050;1.164383
4060;1.393650
4070;1.010517
4080;0.721974
4090;1.085522
4100;1.099074
4110;1.021337
4120;1.150095
4130;1.272720
4140;1.286084
4150;1.073990
4160;1.203105
4170;1.690836
4180;0.926511
4190;1.151845
4200;1.196099
4210;1.280570
4220;0.829524
4230;1.193075
4240;1.039931
4250;1.157993
4260;1.250752
4270;0.752186
4280;1.105533
4290;0.893408
4300;1.078673
4310;0.764296
4320;1.114186
4330;0.939292
4340;0.507292
4350;1.053472
4360;1.037879
4370;0.542581
4380;0.818217
4390;0.580607
4400;1.827107
4410;1.335615
4420;0.843149
4430;0.499694
4440;0.943391
4450;0.700835
4460;1.216432
4470;0.669028
4480;1.191215
4490;0.961192
4500;1.337687
4510;1.228292
4520;1.534415
4530;1.337814
4540;1.171180
4550;1.251872
4560;0.993145
4570;1.160583
4580;0.976071
4590;1.379054
4600;1.132607
4610;0.962261
4620;1.066180
4630;1.134596
4640;0.923680
4650;1.094359
4660;0.855291
4670;0.786511
4680;1.565116
4690;0.914137
4700;1.013597
4710;1.227444
4720;1.303434
4730;1.460158
4740;1.359667
4750;0.806660
4760;1.304278
4770;1.018136
4780;1.266481
4790;1.167882
4800;1.214051
4810;1.369681
4820;1.257618
4830;0.887377
4840;1.325326
4850;0.531258
4860;1.466439
4870;0.925814
4880;0.652121
4890;1.062118
4900;1.546121
4910;1.042426
4920;0.991709
4930;1.115173
4940;1.199433
4950;0.883075
4960;1.182252
4970;0.591583
4980;0.661549
4990;1.453599
5000;0.585931
