Laser Delay [ns];TA [mOD]
-400;0.298705
-390;-0.476136
-380;-0.068525
-370;-0.087919
-360;0.080919
-350;0.001532
-340;-0.630403
-330;-0.074189
-320;-0.146344
-310;-0.550578
-300;0.372466
-290;-0.116232
-280;0.309515
-270;0.249530
-260;-0.305777
-250;0.009119
-240;0.037936
-230;0.192166
-220;0.462683
-210;-0.330330
-200;0.263762
-190;-0.224485
-180;-0.016646
-170;0.112261
-160;-0.160404
-150;-0.029057
-140;0.253886
-130;0.203466
-120;-0.001463
-110;0.484915
-100;0.110575
-90;0.394587
-80;0.283563
-70;0.363338
-60;0.120138
-50;0.307242
-40;-0.456936
-30;-0.400434
-20;-0.026218
-10;1.608079
0;4.651104
10;7.303520
20;10.646088
30;13.651024
40;15.950106
50;18.575578
60;21.454867
70;24.443111
80;26.671918
90;29.512235
100;31.951975
110;33.129700
120;31.586966
130;31.852337
140;30.961477
150;30.745522
160;29.662227
170;29.087369
180;28.644616
190;28.310669
200;27.721667
210;27.398846
220;26.723861
230;26.123254
240;25.758363
250;25.235258
260;24.503944
270;24.828619
280;24.432747
290;23.387991
300;23.320865
310;22.910184
320;21.810107
330;21.442322
340;21.022917
350;21.452116
360;20.698174
370;20.215888
380;19.007036
390;19.725508
400;19.124835
410;19.028265
420;19.002436
430;18.043993
440;18.034427
450;17.788235
460;17.098026
470;16.733184
480;16.595101
490;16.122103
500;15.988511
510;16.023192
520;15.421389
530;15.413542
540;14.993177
550;14.392943
560;14.485763
570;13.857007
580;13.671369
590;13.680404
600;13.208816
610;12.739785
620;12.590812
630;12.714799
640;12.255190
650;12.263850
660;11.639519
670;11.967747
680;11.349112
690;11.002474
700;11.289093
710;10.737707
720;10.495583
730;9.949036
740;9.894707
750;10.468344
760;9.673680
770;9.273705
780;9.368291
790;9.222432
800;8.926183
810;8.894453
820;8.805497
830;8.649256
840;8.206673
850;8.028756
860;8.395530
870;8.137986
880;7.801245
890;7.557933
900;7.550020
910;7.633751
920;7.306295
930;6.850063
940;7.074180
950;7.103918
960;6.745960
970;6.776719
980;6.317136
990;6.817815
1000;6.099380
1010;6.045132
1020;6.189560
1030;5.872657
1040;5.465741
1050;5.214459
1060;5.586884
1070;5.260879
1080;5.243362
1090;5.139880
1100;4.917955
1110;5.177740
1120;5.139530
1130;4.993741
1140;4.463857
1150;4.351821
1160;4.176137
1170;4.562901
1180;4.693092
1190;4.160290
1200;4.601872
1210;4.361523
1220;4.111202
1230;4.191165
1240;3.908558
1250;3.827272
1260;3.411771
1270;3.556940
1280;3.498706
1290;3.280118
1300;3.744890
1310;3.914484
1320;3.079008
1330;3.806129
1340;2.880962
1350;3.314027
1360;3.307292
1370;3.434919
1380;3.274420
1390;3.250601
1400;2.933094
1410;2.414817
1420;2.650672
1430;2.786670
1440;2.929205
1450;2.917665
1460;2.506559
1470;2.601006
1480;2.209527
1490;2.377944
1500;2.659637
1510;1.841582
1520;1.762777
1530;2.558761
1540;2.620740
1550;2.428387
1560;1.998709
1570;2.182393
1580;1.937059
1590;2.167802
1600;1.841901
1610;1.562254
1620;2.279405
1630;1.666813
1640;1.619439
1650;1.756115
1660;1.380065
1670;1.626854
1680;1.383258
1690;1.625959
1700;1.234966
1710;1.712655
1720;1.416183
1730;1.417084
1740;1.515709
1750;1.502019
1760;1.533327
1770;1.543625
1780;1.792392
