Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.403608;0.494384;-0.022313;0.711227;0.713835
-390;-0.751065;-0.181956;-0.174740;-0.277957;-0.994963
-380;-0.530874;0.304943;0.834055;-0.199494;-0.751257
-370;-0.345835;0.236890;-1.056768;0.223585;0.502530
-360;-1.010950;0.388210;0.137984;0.645932;0.243420
-350;0.420251;0.024406;0.250791;-0.537792;-0.149998
-340;-0.407263;-1.114783;-0.411471;-0.571120;-0.647380
-330;-0.661888;-0.338014;-0.355000;0.853946;0.130012
-320;0.952373;0.307692;-1.279631;-1.465186;0.753033
-310;-0.838432;-0.023570;-0.166059;-0.417708;-1.307122
-300;0.376039;0.892124;-0.619440;0.198454;1.015152
-290;-0.217614;0.754232;-0.470018;-0.165558;-0.482200
-280;0.449387;-0.240081;1.279991;-0.593460;0.651737
-270;-0.023807;-0.973857;1.112893;-0.130484;1.262906
-260;-0.836281;-0.306778;0.061143;-0.792530;0.345559
-250;0.080579;-0.394458;0.740736;0.101993;-0.483258
-240;0.145558;-0.710424;0.431336;-0.170433;0.493641
-230;0.819150;0.485063;0.037203;-0.390967;0.010382
-220;1.013060;0.157062;-0.234714;1.180782;0.197224
-210;-0.698254;0.205129;-0.582727;-1.044659;0.468859
-200;0.528157;0.156252;0.042129;0.668630;-0.076360
-190;0.666464;-0.436687;-0.505137;0.208552;-1.055614
-180;0.015402;-0.464580;0.491448;0.178841;-0.304339
-170;-0.263475;0.753694;0.201658;-0.409894;0.279323
-160;-0.361603;-0.815179;-0.046657;0.540939;-0.119520
-150;0.087434;0.019021;-0.283289;-0.669733;0.701280
-140;0.372211;0.126093;-0.148684;0.713257;0.206552
-130;-0.079066;0.580292;-0.304942;-0.079288;0.900333
-120;0.093583;1.020999;-0.747596;-0.663467;0.289166
-110;-0.331499;0.770038;0.416625;0.825361;0.744050
-100;0.206612;0.226141;0.189187;0.255243;-0.324309
-90;0.509438;0.289993;-0.429059;0.727575;0.874990
-80;0.537385;0.916723;-0.173862;-0.063178;0.200746
-70;0.229445;0.015300;0.880380;0.107309;0.584254
-60;0.402394;-0.030190;0.195848;-0.865681;0.898317
-50;0.455203;-0.126127;0.132634;0.111481;0.963017
-40;-0.503770;-0.884707;-0.529298;-0.568834;0.201931
-30;-0.541582;0.130239;-0.023950;-0.939829;-0.627048
-20;0.601210;0.548101;-1.189276;0.058609;-0.149734
-10;1.957780;2.339979;1.346874;1.286581;1.109180
0;5.227130;4.552275;3.439493;5.280647;4.755978
10;7.535670;7.383534;7.091546;7.008096;7.498752
20;10.814722;10.723263;9.279124;11.320451;11.092881
30;14.528524;13.164887;13.289526;13.395142;13.877039
40;16.147116;16.113989;15.535430;16.470618;15.483377
50;19.103186;18.418084;18.601936;18.810945;17.943739
60;21.777951;21.035691;21.599771;21.561013;21.299908
70;24.356623;24.214802;24.636538;25.334040;23.673553
80;27.310177;25.731606;26.371435;27.393862;26.552510
90;30.657245;27.920392;29.372585;30.356438;29.254513
100;32.685856;30.763341;32.142267;32.497491;31.670919
110;33.381284;33.845034;32.675329;33.082675;32.664181
120;31.567680;31.384682;31.060632;31.500345;32.421490
130;31.834851;31.676831;31.625276;32.308233;31.816496
140;30.550254;30.497587;31.460679;31.205692;31.093175
150;31.165498;31.472725;31.274338;30.545123;29.269925
160;28.967018;30.154471;29.644882;29.461015;30.083749
170;29.941718;28.892168;29.925859;27.636055;29.041044
180;27.956801;29.484291;28.152588;28.638207;28.991193
190;28.643297;27.796527;27.446661;28.162303;29.504560
200;28.334165;27.286381;27.880610;27.838724;27.268455
210;27.149344;27.692113;28.149562;27.396434;26.606777
220;26.509576;26.775204;26.987351;26.906065;26.441107
230;24.651519;26.994052;25.544899;26.614634;26.811166
240;25.454153;26.231625;25.436081;25.811684;25.858273
250;24.668539;25.354589;25.233389;25.339636;25.580139
260;24.437890;24.954985;25.291984;23.532577;24.302284
270;24.943579;24.533045;26.080699;24.021886;24.563884
280;25.360402;23.631324;24.371210;24.075780;24.725019
290;23.632523;23.620286;22.938140;23.253906;23.495097
300;23.715903;22.918992;24.325316;23.019168;22.624946
310;22.867066;22.941585;22.102657;23.418165;23.221448
320;22.350035;21.668149;22.816335;21.295296;20.920721
330;22.153510;21.158041;20.884259;20.967980;22.047819
340;21.210308;20.673684;20.889567;21.152456;21.188568
350;21.123810;21.538597;20.551376;22.130677;21.916121
360;19.113849;21.271798;21.400357;20.835153;20.869714
370;19.697449;20.765979;19.526416;20.743500;20.346094
380;19.369903;19.454422;18.839195;18.674729;18.696929
390;19.985986;18.856587;19.924016;19.545428;20.315525
400;18.552545;19.371893;18.230630;19.767443;19.701664
410;18.953287;18.256536;18.614407;19.310955;20.006142
420;19.205311;18.858268;19.407037;18.575435;18.966129
430;18.103665;18.240485;18.015724;18.568991;17.291100
440;17.703647;18.678889;17.606817;18.136451;18.046333
450;16.562506;17.688905;18.127401;17.628931;18.933429
460;17.020327;16.791307;17.364056;16.913164;17.401276
470;15.813479;17.428355;17.476199;16.998502;15.949387
480;15.998064;16.302232;17.278906;17.183620;16.212683
490;17.407531;15.248649;15.806073;16.073546;16.074713
500;15.309720;16.242465;16.664510;15.891877;15.833982
510;16.442598;15.336761;15.785138;16.089706;16.461757
520;15.339225;15.973219;14.918862;15.167798;15.707842
530;14.638796;15.413100;15.855842;15.564187;15.595788
540;15.992632;15.508740;14.772094;13.621177;15.071240
550;14.128951;14.046627;14.239728;14.610157;14.939249
560;13.468662;15.039189;14.746973;14.396515;14.777474
570;13.340103;13.775355;13.704139;13.431724;15.033715
580;13.193136;13.498155;13.655110;13.647943;14.362503
590;13.929059;13.638738;13.756255;13.022044;14.055926
600;13.366556;12.559866;13.168481;13.469217;13.479961
610;13.557932;11.823042;13.275256;13.116619;11.926076
620;12.196779;12.375280;12.727984;12.004132;13.649885
630;12.849285;11.924983;13.120591;12.994360;12.684775
640;12.896244;12.195304;11.584024;12.682259;11.918120
650;11.616760;11.965974;12.622629;12.121777;12.992109
660;11.949862;11.394169;11.929164;11.820332;11.104069
670;11.547430;12.216070;11.086699;11.811111;13.177424
680;11.506878;11.259622;11.131202;11.325245;11.522611
690;10.817413;10.772067;10.911860;11.609295;10.901734
700;11.100222;10.841095;11.605882;11.341873;11.556393
710;10.388253;10.923403;10.870824;10.985210;10.520844
720;10.753042;9.748295;10.287769;10.810596;10.878214
730;9.934170;10.267088;9.848524;9.384574;10.310824
740;9.200925;9.962837;10.415000;10.514442;9.380330
750;10.172841;10.349261;10.726761;10.500405;10.592452
760;9.461655;9.141318;9.741239;10.099888;9.924301
770;8.806392;9.945300;9.677084;9.190420;8.749331
780;9.479097;9.030965;9.061938;9.929784;9.339673
790;9.652880;8.783827;8.788949;10.258696;8.627808
800;8.390147;8.328679;9.134082;9.531983;9.246026
810;9.127636;8.950059;10.091523;8.087569;8.215477
820;8.674990;8.229387;9.547168;8.283530;9.292411
830;8.980974;8.449331;9.256377;8.322006;8.237595
840;8.327689;7.318955;8.409581;9.186438;7.790700
850;7.479563;8.525084;7.551036;7.538542;9.049554
860;8.098587;7.783840;9.404959;8.626639;8.063626
870;8.282646;7.714927;7.876733;8.299082;8.516541
880;7.233787;8.313332;7.242665;8.413068;7.803375
890;7.743565;7.427373;8.022124;6.449105;8.147498
900;6.829313;7.982346;6.928861;7.575484;8.434098
910;7.366015;7.853403;8.196144;7.536976;7.216218
920;7.071416;6.537451;7.695863;7.814541;7.412205
930;7.613115;7.287408;6.464363;6.412785;6.472645
940;8.157341;6.095550;7.712436;6.860096;6.545478
950;6.645357;7.305115;8.033202;6.733086;6.802831
960;7.345567;6.562127;5.966705;7.065375;6.790027
970;6.625802;7.255985;7.367787;6.365674;6.268347
980;6.783816;6.603939;6.533095;6.022401;5.642431
990;7.210055;6.756061;6.348946;6.623339;7.150674
1000;6.006949;5.713817;7.013040;6.100802;5.662292
1010;5.823491;6.271203;5.540977;6.306617;6.283373
1020;6.691547;6.848187;5.832579;6.172283;5.403202
1030;5.995417;6.376304;5.559636;5.296145;6.135782
1040;6.270331;5.348354;4.793303;5.311380;5.605338
1050;4.874355;4.807449;5.695674;4.865881;5.828935
1060;6.009665;4.969302;5.583325;5.860795;5.511333
1070;4.285701;4.741259;6.151830;5.954237;5.171368
1080;5.514002;5.440318;5.135404;5.347317;4.779767
1090;4.680702;4.374954;6.082738;5.615676;4.945330
1100;4.339967;5.726347;4.603585;5.005397;4.914481
1110;5.208453;5.120942;5.066690;5.182834;5.309782
1120;5.041364;4.588600;4.960322;5.290952;5.816412
1130;5.350416;5.563773;4.604852;4.129673;5.319990
1140;4.131546;4.204214;4.823580;4.582306;4.577637
1150;4.131850;4.282341;4.155349;4.359870;4.829693
1160;4.109608;3.588648;5.256581;4.163042;3.762805
1170;4.309370;4.883262;4.238649;4.499461;4.883763
1180;4.375106;3.885432;5.948865;5.336945;3.919113
1190;3.889182;4.206757;4.156929;4.246122;4.302461
1200;4.325776;4.362401;4.622614;4.986263;4.712307
1210;3.908160;4.741561;5.061326;4.921559;3.175012
1220;3.921255;3.803553;4.256322;4.458483;4.116397
1230;3.771624;3.808743;4.918231;4.115709;4.341516
1240;3.427380;4.789481;3.964716;3.623225;3.737988
1250;2.927194;3.486030;3.511058;4.972715;4.239363
1260;3.348863;3.908912;3.605253;3.061079;3.134746
1270;3.896782;2.899796;4.171534;3.708201;3.108385
1280;3.362880;2.395022;4.101334;4.102756;3.531539
1290;2.612918;3.101240;3.930580;2.906584;3.849271
1300;3.949541;3.274402;3.955963;4.063173;3.481369
1310;3.516564;4.331875;3.659756;3.875561;4.188664
1320;2.518811;2.422917;3.766644;3.355167;3.331498
1330;3.696924;4.415213;4.177039;3.848761;2.892710
1340;3.291656;2.117462;3.233279;2.937119;2.825295
1350;3.704209;3.168518;3.146235;2.185585;4.365586
1360;3.456905;3.444249;3.253581;2.470215;3.911509
1370;3.214076;3.470720;3.276049;3.344097;3.869655
1380;3.360797;2.830766;4.152428;2.922425;3.105686
1390;3.294349;3.663606;2.293683;3.371544;3.629823
1400;2.849263;2.712785;3.317173;2.746583;3.039666
1410;2.556435;1.809000;3.318110;2.033109;2.357433
1420;2.306153;2.151970;2.479597;2.525346;3.790296
1430;3.557382;2.676109;3.138198;2.111006;2.450656
1440;2.897302;2.064349;2.955069;4.107178;2.622125
1450;3.356942;3.166297;2.797043;2.583593;2.684448
1460;2.541452;2.459225;2.974459;1.925632;2.632026
1470;3.104768;2.867279;2.626019;2.789679;1.617284
1480;2.462633;1.545367;2.067115;2.515105;2.457417
1490;2.547090;1.941701;2.889495;2.671936;1.839501
1500;2.356102;2.974791;2.760378;2.969796;2.237120
1510;2.159416;1.323722;1.593724;2.360077;1.770973
1520;1.533555;1.486288;1.303316;1.849979;2.640750
1530;3.236569;3.698107;2.176874;2.088905;1.593348
1540;2.294855;3.329630;2.601658;3.165295;1.712260
1550;2.752333;2.721606;2.641651;2.930800;1.095543
1560;1.507639;2.028322;0.880516;3.120989;2.456077
1570;3.565994;2.150874;1.826801;1.653920;1.714375
1580;2.393648;3.026762;2.132897;1.467802;0.664187
1590;2.453016;2.161086;2.456842;1.877005;1.891061
1600;1.856580;1.000233;2.500655;2.319131;1.532907
1610;0.968284;0.990466;2.683507;2.046551;1.122463
1620;2.617261;2.059330;2.295556;1.683544;2.741332
1630;2.038541;1.886776;1.353061;1.727568;1.328121
1640;1.916114;1.367007;1.810669;1.808981;1.194424
1650;0.764398;1.643526;2.504167;2.013612;1.854870
1660;0.972795;1.740377;1.370549;1.130947;1.685659
1670;1.743509;1.200374;1.758067;1.927962;1.504359
1680;1.727828;0.721715;1.152475;1.886528;1.427742
1690;2.081177;1.192707;1.200582;2.027511;1.627820
1700;1.078772;0.914371;1.029653;1.850455;1.301578
1710;1.602396;0.992692;2.040507;1.487578;2.440105
1720;1.234118;0.614303;1.628648;1.927149;1.676695
1730;1.485256;1.154638;1.298617;2.064545;1.082366
1740;1.078132;0.906942;2.306357;1.816755;1.470360
1750;1.130998;1.665966;1.090384;2.104006;1.518739
1760;1.454469;1.676482;1.470135;0.480029;2.585517
1770;2.177791;1.680828;1.017570;1.494473;1.347463
1780;1.613591;1.768441;1.814022;1.911602;1.854306
1790;1.030139;0.779034;1.171449;0.733414;1.542346
1800;0.980300;0.575726;1.819921;1.951388;1.568277
1810;1.385639;0.342177;1.583386;1.499122;1.225229
1820;0.692287;1.496351;1.874944;1.068782;0.243489
1830;0.528354;2.264388;0.358306;1.260911;2.325813
1840;1.453924;1.662130;0.432413;1.099606;1.003261
1850;1.091960;1.807020;1.416369;1.430877;1.567727
1860;0.642503;0.547266;1.417947;1.660457;1.638941
1870;0.496977;0.045091;1.599719;0.639692;1.166952
1880;0.665959;1.322830;0.437625;-0.235289;1.382340
1890;1.593714;0.513413;0.288345;0.204308;0.944483
1900;1.805679;1.835692;1.384401;1.563243;0.356146
1910;0.906911;0.852196;1.001287;0.598480;-0.338398
1920;0.842872;0.551275;1.273532;0.711459;1.253103
1930;1.607055;1.259217;1.074176;-0.042597;-0.200170
1940;0.921370;-0.028528;0.491558;1.836933;1.142003
1950;1.589152;0.161798;0.163068;1.145728;0.925272
1960;1.093599;1.367310;0.567097;1.255670;2.216660
1970;0.630171;1.789292;1.175474;0.969107;1.599903
1980;0.553336;0.734802;-0.110424;0.828956;1.626210
1990;-0.177766;1.340176;0.848837;1.011239;2.017296
2000;1.001556;1.603529;0.668982;0.558352;0.599917
2010;-0.368572;1.089914;1.490888;1.339193;1.097733
2020;1.179060;1.523710;0.337092;0.838521;0.752547
2030;0.079955;1.411014;0.895347;1.048003;0.634072
2040;1.136432;-0.855318;0.593541;-0.495896;-0.074062
2050;1.044801;1.305389;0.606384;0.016137;1.741674
2060;0.821516;1.043623;0.577447;0.386777;0.460191
2070;0.280136;1.886114;0.331519;0.093872;-0.512739
2080;1.164838;1.341829;1.226848;0.498134;0.667544
2090;0.383267;0.293543;1.117685;0.484427;0.483777
2100;-0.087428;0.116985;1.110148;0.639961;0.295964
2110;1.306406;0.787149;0.212107;0.207126;0.584772
2120;-0.288656;1.504026;-0.339563;1.119531;0.556524
2130;0.369224;1.577704;0.511586;0.847818;0.828793
2140;-0.202503;1.205877;-0.315507;0.104977;0.722348
2150;0.605846;0.256236;0.102585;0.413888;0.678685
2160;0.567857;0.344189;0.915878;0.696201;-0.487020
2170;1.233161;0.074831;0.911377;0.304529;1.687188
2180;-0.614929;-0.191925;0.235236;0.269498;0.232138
2190;0.984240;1.495295;0.917498;0.707036;0.828418
2200;1.023280;1.225152;0.811838;0.845605;1.032703
2210;0.887065;0.265748;-0.100930;1.104928;-0.255364
2220;0.519623;0.076873;0.954045;1.316529;0.936164
2230;0.615865;0.663431;0.876314;0.756240;-0.184679
2240;0.686541;0.808987;1.115346;0.700059;0.716550
2250;0.662394;-0.164551;0.923401;1.527022;0.311938
2260;0.185527;0.237724;-0.070682;-0.029761;0.635804
2270;1.710369;0.735223;0.547420;0.245864;0.675882
2280;1.595364;0.124423;0.106298;0.777645;1.036099
2290;0.634049;-0.504052;0.682535;0.663907;1.015645
