Laser Delay [ns];TA [mOD]
-400;-0.302011
-390;-0.212441
-380;0.467402
-370;-0.028233
-360;0.339783
-350;-0.721002
-340;-0.891078
-330;0.130501
-320;-0.078985
-310;0.301422
-300;-0.105148
-290;-0.297106
-280;0.282878
-270;-0.136185
-260;-0.183999
-250;-0.623198
-240;0.176191
-230;-0.138633
-220;-0.048008
-210;0.293084
-200;-0.074568
-190;-0.050991
-180;-0.238186
-170;-0.190099
-160;0.296058
-150;-0.365329
-140;-0.150998
-130;-0.414744
-120;0.077112
-110;0.034666
-100;-0.004653
-90;-0.316590
-80;-0.612973
-70;0.331132
-60;-0.145691
-50;-0.178389
-40;-0.152715
-30;0.106272
-20;1.551467
-10;3.518642
0;6.092590
10;9.327794
20;13.273165
30;16.216909
40;19.061021
50;22.099268
60;24.685003
70;26.912659
80;29.474932
90;29.930337
100;30.440383
110;30.299265
120;29.725566
130;29.488481
140;28.739833
150;28.736224
160;28.232867
170;27.690198
180;27.794299
190;27.636016
200;27.042500
210;26.849412
220;26.548157
230;26.069855
240;26.042829
250;25.873633
260;25.346526
270;24.710589
280;24.957623
290;24.419923
300;24.130736
310;24.369750
320;23.391915
330;23.698980
340;23.756014
350;22.718640
360;23.550540
370;22.511683
380;22.098380
390;21.953593
400;22.067600
410;21.871083
420;21.294277
430;21.370767
440;20.984402
450;21.184627
460;20.660577
470;20.789472
480;20.299866
490;19.585826
500;19.509197
510;19.841037
520;19.603011
530;18.714640
540;18.896853
550;19.126188
560;18.443452
570;18.678260
580;17.901992
590;17.701638
600;17.659539
610;17.552067
620;17.478937
630;17.654333
640;16.600705
650;17.061971
660;16.897808
670;16.682251
680;16.112755
690;16.249689
700;15.631470
710;15.387935
720;15.941230
730;15.310430
740;15.001564
750;15.198567
760;15.818181
770;14.921276
780;14.752495
790;14.263465
800;14.222883
810;13.781239
820;14.080788
830;14.048168
840;13.779344
850;12.905561
860;13.449521
870;13.320224
880;13.366211
890;13.134467
900;12.912854
910;13.214342
920;12.594664
930;12.407853
940;12.638432
950;12.640164
960;12.506369
970;11.590407
980;12.189455
990;11.495391
1000;11.997636
