Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.547175;-0.458442;-0.670782;-0.850663;-0.077345
-390;-1.147878;-0.059446;0.787472;-0.740396;0.098043
-380;-0.559839;0.319802;0.735892;0.381391;1.459764
-370;1.057668;0.235923;-0.023517;-1.482566;0.071327
-360;0.594517;1.030029;0.450977;-0.107038;-0.269572
-350;-1.785314;-1.579532;-0.006369;0.862656;-1.096448
-340;-0.630554;-1.284064;0.084411;-1.936905;-0.688277
-330;0.558704;1.020405;0.839976;-1.298195;-0.468382
-320;-1.131831;-1.349702;1.102896;0.272523;0.711188
-310;0.417905;-0.819553;1.053469;0.501598;0.353693
-300;0.252246;-0.724287;-0.037064;0.817158;-0.833790
-290;0.044267;-0.445175;0.180056;-0.427713;-0.836967
-280;-0.272057;0.012767;0.568146;0.846737;0.258798
-270;0.383302;0.650714;-1.136166;-0.553633;-0.025140
-260;-0.420799;-0.705953;-0.174711;0.514472;-0.133006
-250;-1.043545;0.354162;-0.481867;-0.714960;-1.229782
-240;0.455019;0.173520;0.078383;-0.118777;0.292811
-230;-0.093436;-0.697172;1.187786;-0.735010;-0.355335
-220;1.412486;-0.312061;-1.492814;0.033070;0.119279
-210;-0.065055;0.902213;0.076465;0.412379;0.139418
-200;-0.842488;0.439175;-0.434055;0.793029;-0.328500
-190;-0.260278;0.751984;-0.824211;0.163766;-0.086216
-180;-0.771354;0.427922;0.790518;-0.994008;-0.644009
-170;-1.100537;-0.396972;-0.544369;0.455673;0.635708
-160;0.778374;0.703874;-0.944502;1.125450;-0.182907
-150;-0.658696;-0.209028;-0.169790;0.004781;-0.793911
-140;-0.376563;-0.833550;-0.055023;1.108981;-0.598835
-130;-0.051401;-0.715822;-0.356199;-0.623123;-0.327176
-120;-0.482795;-0.018746;0.194390;-0.754373;1.447087
-110;0.253152;-0.060193;-0.990417;-0.073329;1.044120
-100;1.342292;-1.014284;-0.659749;0.560624;-0.252149
-90;-0.478050;-0.062190;0.043044;-0.846899;-0.238854
-80;-0.554285;-1.078609;-1.100372;0.120281;-0.451880
-70;0.360944;-0.130357;1.229378;0.551821;-0.356125
-60;-0.272545;-0.957062;-0.404027;1.205289;-0.300108
-50;-0.035107;0.009953;-0.629286;-0.561938;0.324435
-40;-0.351002;-1.260223;-0.453583;0.492861;0.808372
-30;0.082438;0.802732;-0.367852;0.623756;-0.609713
-20;1.887615;1.498991;1.869359;1.227541;1.273830
-10;2.476329;3.086255;3.708643;4.560139;3.761843
0;5.558824;5.333104;6.423342;6.398481;6.749199
10;9.486354;9.419705;9.630004;8.106061;9.996846
20;12.191139;12.981206;14.544183;13.099769;13.549529
30;15.537542;16.352044;15.527521;17.109378;16.558061
40;18.627912;20.289119;17.893916;18.888702;19.605455
50;22.017708;21.972322;22.299190;22.984155;21.222966
60;24.185041;25.169248;24.661512;24.754625;24.654587
70;26.308968;27.099715;26.839093;26.489938;27.825583
80;30.413706;29.109916;29.177136;29.360528;29.313376
90;29.044582;30.748396;30.341649;30.390380;29.126676
100;30.976332;30.946212;30.664281;29.998703;29.616386
110;30.106700;30.620509;30.844117;30.960050;28.964951
120;29.080889;30.257062;30.528044;28.355945;30.405889
130;28.908850;29.293410;29.417569;30.171456;29.651120
140;28.963646;28.327470;29.059887;29.927407;27.420755
150;28.632579;28.123961;29.125492;28.701515;29.097571
160;28.059161;28.757038;28.159889;27.813015;28.375234
170;27.055601;27.096295;28.148417;27.636982;28.513697
180;26.818211;28.789443;28.482234;28.495524;26.386082
190;26.774175;26.890233;27.657131;28.590344;28.268198
200;27.483440;27.000460;26.983221;26.762331;26.983050
210;28.476520;26.516753;27.466161;26.101475;25.686150
