Laser Delay [ns];TA [mOD]
-400;0.489317
-390;-0.269914
-380;0.332412
-370;-0.121132
-360;0.009839
-350;0.176960
-340;-0.292142
-330;-0.710787
-320;0.208259
-310;0.184129
-300;0.298691
-290;-0.362484
-280;0.023426
-270;0.111107
-260;-0.828447
-250;-0.316712
-240;-0.862432
-230;-0.234415
-220;-0.134130
-210;-0.113818
-200;0.078334
-190;-0.061395
-180;0.955546
-170;-0.100180
-160;0.009888
-150;-0.383611
-140;-0.770314
-130;-0.088321
-120;-0.755648
-110;-0.343763
-100;-0.067422
-90;0.165358
-80;-0.541311
-70;0.272238
-60;-0.271240
-50;0.225238
-40;-0.293453
-30;0.111760
-20;1.078410
-10;3.093892
0;6.707217
10;9.781634
20;13.216372
30;16.122752
40;19.233639
50;22.125640
60;24.842359
70;27.409377
80;29.839611
90;32.530516
100;34.675623
110;36.055835
120;36.674304
130;36.616111
140;35.580795
150;35.202030
160;34.880180
170;34.789825
180;34.544576
190;34.162871
200;33.348658
210;33.232522
220;32.972975
230;33.027492
240;32.536210
250;31.969916
260;31.545595
270;30.817784
280;30.676977
290;30.687920
300;30.003745
310;30.007278
320;29.286033
330;29.269707
340;29.285230
350;28.358110
360;28.582386
370;27.746753
380;27.516303
390;27.534938
400;27.148952
410;26.589473
420;26.720117
430;25.896802
440;25.652397
450;25.365648
460;25.970404
470;25.507405
480;24.708646
490;24.791454
500;24.109380
510;24.252575
520;23.842284
530;23.698136
540;23.290330
550;23.250830
560;23.157144
570;22.665272
580;22.160822
590;21.751150
600;22.211330
610;22.012865
620;21.967028
630;20.558467
640;21.519703
650;20.991064
660;21.295194
670;20.736138
680;20.036953
690;20.012465
700;20.090422
710;19.213758
720;18.973360
730;19.711342
740;18.760713
750;18.662123
760;18.127006
770;18.373211
780;17.821302
790;18.136843
800;17.505767
810;16.989238
820;17.617695
830;16.567981
840;17.289387
850;16.864645
860;16.708256
870;16.273821
880;16.341211
890;16.033992
900;16.144693
910;15.429714
920;15.355102
930;15.110203
940;15.762103
950;14.736691
960;14.836195
970;15.108226
980;14.836187
990;14.496354
1000;14.304037
