Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.539508;1.351605;1.410981;0.807848;-0.584339
-390;0.349880;-0.204028;-0.776457;-0.525751;-0.193212
-380;-0.235996;0.554477;0.037700;0.645890;0.659987
-370;0.129996;-0.796897;-0.163707;-0.061528;0.286475
-360;-0.128251;-0.090304;-0.335472;0.443328;0.159896
-350;-0.464642;0.462692;0.163513;0.334506;0.388729
-340;-1.489490;-0.432299;1.131584;0.067464;-0.737970
-330;-0.755639;-1.363075;-0.405564;-0.424202;-0.605456
-320;-0.250572;0.080753;-0.546947;0.479432;1.278627
-310;0.084473;0.480365;-0.130921;-0.967263;1.453991
-300;0.305832;0.973700;-0.071765;0.529322;-0.243636
-290;-0.442793;-1.601985;1.134253;-0.032981;-0.868917
-280;0.012260;0.468139;-0.332484;0.193083;-0.223867
-270;-0.013438;0.555199;0.452387;-0.606009;0.167398
-260;-0.483694;-1.199223;-0.910955;-0.703818;-0.844545
-250;0.071142;-0.184064;-0.591921;-0.251696;-0.627019
-240;-1.724769;0.304120;-0.722815;-1.172933;-0.995763
-230;-0.094479;0.263304;-0.706433;-0.460932;-0.173537
-220;0.244628;0.574435;-0.679541;-0.507740;-0.302430
-210;-0.148054;-0.669200;-0.685536;-0.128696;1.062397
-200;-0.422048;-0.149396;0.221968;0.211514;0.529629
-190;0.515079;-0.156355;-0.479938;-0.272941;0.087178
-180;1.272517;0.180831;1.646077;0.410005;1.268302
-170;0.927212;-0.731317;-0.206493;-0.376016;-0.114288
-160;0.202051;0.609922;0.328970;-0.751444;-0.340058
-150;-0.341216;-0.192912;-0.571049;0.036881;-0.849761
-140;-0.652951;-0.651993;-0.999864;0.189550;-1.736312
-130;-0.959692;0.607741;1.193009;-0.813277;-0.469385
-120;-1.104348;-0.810007;-0.909454;-0.988661;0.034230
-110;1.337398;-0.515084;-0.478187;-0.832089;-1.230854
-100;-0.921278;0.131084;0.202580;0.347654;-0.097152
-90;0.157869;0.051094;-0.296287;0.723510;0.190607
-80;-0.840925;-0.307413;-0.609972;0.192904;-1.141148
-70;-0.484791;0.174297;0.136422;1.161429;0.373835
-60;-0.588334;-0.632579;0.509364;-0.680105;0.035456
-50;0.509789;-0.513460;0.879824;0.548608;-0.298570
-40;-0.318358;-1.034836;0.109058;-0.211585;-0.011546
-30;-0.276064;0.155985;-0.018663;0.520533;0.177007
-20;0.854683;1.480232;1.069377;0.174562;1.813198
-10;3.092955;3.189356;3.711008;2.816010;2.660131
0;7.260878;7.244268;6.121673;6.696467;6.212799
10;10.454565;10.009668;9.709280;9.416904;9.317754
20;12.694475;14.123045;14.201114;12.084236;12.978990
30;16.824015;15.612809;15.840111;15.515596;16.821229
40;18.398608;18.702688;19.734097;20.094856;19.237946
50;22.289136;21.888010;22.393652;21.735496;22.321906
60;24.351986;24.488393;24.792698;25.887429;24.691290
70;27.377757;27.525119;28.107918;26.665412;27.370677
80;31.297737;29.630330;28.733994;29.748242;29.787751
90;32.482579;32.613053;32.973578;32.516360;32.067012
100;34.711653;35.169981;33.564445;35.042191;34.889843
110;36.157613;35.642250;36.909836;36.294337;35.275139
120;36.998061;36.079236;35.951222;37.144492;37.198509
130;35.723699;37.444008;36.881165;36.313593;36.718090
140;35.989783;35.783289;36.084047;35.260166;34.786688
150;35.306013;35.529417;34.732007;35.021231;35.421480
160;35.226127;35.959511;34.176019;34.405380;34.633861
170;34.948683;34.011780;35.531165;34.772124;34.685372
180;35.685885;34.254908;34.365189;33.696194;34.720704
190;34.127318;34.514840;34.281487;34.244617;33.646092
200;33.357639;33.413041;33.266140;32.662184;34.044287
210;32.396199;33.539192;33.583389;33.592180;33.051650
220;33.072362;33.390159;32.526493;32.980108;32.895753
230;33.882696;33.108648;32.582199;33.127214;32.436703
240;33.621664;32.453299;31.674879;32.119994;32.811213
250;31.678671;32.236516;32.201197;32.306494;31.426705
260;31.999594;31.461272;31.780288;32.128337;30.358482
270;30.490901;31.428351;30.300597;31.437396;30.431676
280;30.782762;31.209041;30.471447;30.437251;30.484385
290;32.109547;30.246277;30.370600;29.724807;30.988370
