Laser Delay [ns];TA [mOD]
-400;0.168001
-390;-0.385373
-380;-0.068321
-370;0.115128
-360;-0.116565
-350;-0.173704
-340;0.169038
-330;-0.355192
-320;-0.021204
-310;-0.057727
-300;-0.389034
-290;0.527800
-280;-0.276696
-270;0.173624
-260;0.205055
-250;-0.499677
-240;-0.222936
-230;0.225200
-220;0.002930
-210;0.223946
-200;-0.006878
-190;-0.386189
-180;-0.520031
-170;-0.064340
-160;0.148554
-150;-0.285228
-140;0.197110
-130;-0.226130
-120;0.421559
-110;0.507392
-100;0.352347
-90;-0.061934
-80;0.130527
-70;0.328128
-60;0.061992
-50;0.466418
-40;0.238347
-30;-0.164844
-20;-0.101014
-10;0.049485
0;-0.698087
10;0.311984
20;-0.454594
30;-0.075544
40;-0.032356
50;0.552531
60;-0.003531
70;0.009587
80;0.003303
90;0.438994
100;0.030971
110;0.340181
120;0.444557
130;0.479492
140;0.214560
150;0.154402
160;0.751732
170;0.443773
180;0.395724
190;0.521030
200;0.423615
210;0.481779
220;0.179646
230;0.062294
240;0.358637
250;0.187798
260;0.080873
270;-0.124872
280;0.120204
290;0.576874
300;0.321187
310;-0.319135
320;0.628931
330;0.141825
340;0.549052
350;-0.088770
360;0.378083
370;0.176655
380;0.364553
390;-0.129372
400;0.219250
410;0.167824
420;0.444325
430;0.446528
440;0.225301
450;0.270621
460;0.069458
470;0.701286
480;0.205904
490;0.551174
500;0.235800
510;0.298221
520;0.009314
530;0.030462
540;0.265427
550;0.436490
560;0.200508
570;0.215040
580;0.325886
590;0.214355
600;0.591040
610;0.207289
620;0.084054
630;0.270950
640;0.451512
650;0.229361
660;0.301738
670;-0.427961
680;0.383898
690;0.556649
700;0.004654
710;0.379575
720;0.800378
730;0.366738
740;-0.121615
750;0.012499
760;0.626430
770;0.186377
780;-0.117570
790;0.350053
800;-0.181037
810;0.072109
820;0.426380
830;0.409366
840;0.214356
850;0.154855
860;-0.128364
870;-0.099933
880;0.469407
890;0.645088
900;0.391356
910;-0.008041
920;0.189175
930;0.061087
940;0.096227
950;-0.137682
960;-0.077077
970;-0.057480
980;0.058627
990;-0.001622
1000;-0.015163
1010;0.019720
1020;0.060820
1030;0.376426
1040;-0.062689
1050;-0.011675
1060;0.007848
1070;0.169943
1080;0.276126
1090;0.069988
1100;0.287525
1110;0.381365
1120;-0.112623
1130;-0.367239
1140;-0.071572
1150;-0.220804
1160;0.143622
1170;-0.119547
1180;0.429680
1190;0.309610
1200;0.266199
1210;0.359478
1220;0.135907
1230;0.445166
1240;0.476224
1250;-0.015940
1260;0.092949
1270;-0.092467
1280;-0.073921
1290;-0.237952
1300;-0.110321
1310;0.231343
1320;0.073044
1330;0.306876
1340;0.397577
1350;0.551076
1360;0.183471
1370;-0.190676
1380;0.219214
1390;0.069004
1400;0.430153
1410;0.043131
1420;0.577741
1430;0.053876
1440;0.342934
1450;-0.559544
1460;0.174039
1470;0.296285
1480;0.173742
1490;0.120134
1500;-0.129386
1510;-0.478876
1520;0.063353
1530;0.225944
1540;-0.076632
1550;0.690848
1560;-0.082038
1570;0.264049
1580;0.297887
1590;0.280320
1600;0.090958
1610;-0.014952
1620;-0.178975
1630;0.125102
1640;0.133851
1650;0.131734
1660;0.203095
1670;0.166482
1680;0.062079
1690;-0.224463
1700;0.328540
1710;0.104931
1720;-0.469760
1730;0.091297
1740;-0.441049
1750;0.278543
1760;-0.010290
1770;-0.371267
1780;-0.116235
1790;-0.022716
1800;-0.194126
1810;-0.166948
1820;-0.132064
1830;-0.068958
1840;-0.504982
1850;-0.104442
1860;0.023034
1870;-0.114422
1880;-0.179047
1890;-0.119310
1900;0.143516
1910;0.226646
1920;-0.127238
1930;0.249842
1940;0.317452
1950;0.216699
1960;-0.462471
1970;0.308362
1980;0.287985
1990;0.144880
2000;-0.082889
2010;0.013782
2020;0.112279
2030;0.501255
2040;0.053549
2050;0.508896
2060;0.303799
2070;0.103947
2080;0.346140
2090;0.170007
2100;0.143641
2110;-0.060940
2120;0.404688
2130;-0.327900
2140;-0.090921
2150;0.296647
2160;0.072331
2170;-0.379703
2180;0.710063
2190;-0.355558
2200;0.427499
2210;0.060271
2220;-0.228335
2230;0.426569
2240;0.368217
2250;0.336258
2260;-0.100276
2270;-0.104965
2280;-0.366814
2290;0.136785
2300;-0.291814
2310;0.311484
2320;-0.137648
2330;0.238213
2340;0.444877
2350;-0.202896
2360;0.007267
2370;-0.300574
2380;0.011944
2390;0.488500
2400;0.304351
2410;-0.121616
2420;-0.137210
2430;0.408626
2440;0.344694
2450;0.131634
2460;0.311166
2470;0.167834
2480;-0.352909
2490;-0.239049
2500;0.141556
2510;-0.115046
2520;0.051183
2530;0.116834
2540;-0.188139
2550;0.379629
2560;-0.024312
2570;-0.427273
2580;0.037365
2590;0.164681
2600;0.015065
2610;0.147704
2620;-0.404961
