Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.264206;0.752754;0.015723;-0.154294;-0.038384
-390;-0.286727;0.327339;-0.628744;-0.499578;-0.839155
-380;0.407767;-0.850569;0.233072;0.299665;-0.431538
-370;-0.087565;-0.261205;0.218627;0.634320;0.071463
-360;-0.323052;0.634507;-0.215752;0.116773;-0.795304
-350;0.198575;-0.792610;-0.862749;0.886260;-0.297994
-340;0.276575;-0.238275;0.254301;0.092464;0.460125
-330;-0.132028;-0.316452;0.406774;-1.265268;-0.468986
-320;-0.491089;0.197717;-0.028548;-0.179903;0.395802
-310;-0.071229;-0.141810;0.154132;0.007792;-0.237518
-300;-0.435467;-0.616596;-0.309525;-0.380910;-0.202670
-290;0.158759;0.983185;0.300038;0.454130;0.742889
-280;-0.000492;-0.864698;-0.988945;0.770251;-0.299595
-270;0.005864;0.629367;0.839538;-0.558106;-0.048542
-260;-0.248966;0.779429;-0.500511;-0.462579;1.457901
-250;-0.454944;-1.180493;0.857438;-1.486777;-0.233606
-240;0.367436;0.265239;-1.335976;-0.282950;-0.128428
-230;0.059765;0.104618;0.365606;-0.204359;0.800368
-220;-0.525301;0.397148;-0.605121;1.219840;-0.471916
-210;0.172217;0.666129;-0.197168;0.851582;-0.373032
-200;-0.127370;-0.798095;1.466964;-0.505549;-0.070339
-190;-0.275049;-0.531256;0.058216;-1.301919;0.119065
-180;-0.952704;-1.179440;-0.241995;-1.242284;1.016268
-170;-0.089934;0.131956;0.041302;-1.178736;0.773712
-160;-0.457984;0.728612;-0.150498;-0.200360;0.823000
-150;-0.802562;-0.012316;-0.495484;-0.016490;-0.099286
-140;0.993758;0.190607;-0.331380;-0.340657;0.473224
-130;0.763902;-0.880109;0.014686;0.143618;-1.172746
-120;0.840359;-0.040686;0.983031;0.185533;0.139556
-110;1.131823;0.811120;0.874007;0.452863;-0.732853
-100;0.693726;0.331157;0.707691;-0.784048;0.813207
-90;-0.113147;0.156234;-0.489821;0.259354;-0.122290
-80;0.004198;-0.175062;-0.283474;0.713846;0.393129
-70;0.681198;0.617699;0.218001;0.074239;0.049502
-60;0.571756;-0.903560;0.312147;-0.162828;0.492447
-50;0.789575;0.295597;0.487077;0.173253;0.586590
-40;-0.591534;-0.284319;-0.169028;1.284511;0.952103
-30;-0.417582;0.312598;-1.251128;0.303385;0.228508
-20;-0.415822;0.508497;-0.012217;-0.527436;-0.058091
-10;-0.611062;0.378429;0.268374;0.024200;0.187484
0;-0.168337;-0.552055;-1.001001;-0.612460;-1.156583
10;0.122242;0.528607;0.850164;-0.205313;0.264220
20;-0.573730;-0.967761;-0.712035;-0.152220;0.132777
30;0.392554;0.067193;-0.053293;-0.341581;-0.442595
40;0.199520;0.087868;-0.345799;0.367586;-0.470956
50;0.662137;0.244441;1.051164;0.076681;0.728235
60;-0.219681;0.370496;0.196641;0.267437;-0.632546
70;0.497816;0.481969;-0.715995;-0.489849;0.273992
80;-0.578659;0.006595;0.484484;0.822746;-0.718650
90;-0.028948;1.622153;0.112511;0.544982;-0.055726
100;-0.025849;0.478351;0.025170;-0.358562;0.035746
110;-0.286533;0.931005;0.403971;0.209236;0.443227
120;0.721964;-0.214011;0.435395;1.154847;0.124591
130;0.614773;-0.107596;0.292623;0.925740;0.671921
140;1.042461;0.571069;-0.459642;0.194953;-0.276041
150;-0.031677;-0.293495;0.541924;0.348827;0.206430
160;1.232721;1.659981;-0.514189;0.187486;1.192662
170;-0.331779;0.872509;0.826278;0.868686;-0.016828
180;-0.037952;0.623156;-0.054930;1.438311;0.010033
190;0.948039;-0.372510;0.537836;0.557832;0.933955
200;0.095643;0.624774;0.250812;0.590307;0.556542
210;0.996244;0.150640;0.125238;0.862950;0.273823
220;0.810573;0.262144;-0.255300;0.361553;-0.280740
230;0.046243;-0.208372;-0.270265;0.727960;0.015904
240;0.510054;-0.597799;1.302559;0.306600;0.271771
250;0.264599;0.411127;0.322079;0.299874;-0.358687
260;0.083708;0.717401;0.365781;-0.975927;0.213399
270;-0.263282;-1.208702;0.503230;-0.008529;0.352924
280;0.373941;-0.400576;1.004951;-0.425776;0.048478
290;-0.319204;1.338990;0.314338;0.865382;0.684862
300;-0.938531;-0.088184;1.716140;0.809516;0.106993
310;-0.276563;-0.860563;-0.300789;-0.450889;0.293130
320;-0.126137;0.140025;1.246497;1.451411;0.432858
330;0.488841;-0.542339;0.514054;-0.173410;0.421979
340;0.633434;-0.025128;0.553508;0.699422;0.884026
350;-1.399865;0.667517;-0.548796;0.389478;0.447817
360;1.165093;0.057711;0.623381;0.255404;-0.211176
370;0.296823;-0.205841;0.398427;0.303859;0.090008
380;-0.276062;0.859861;0.613543;-0.346755;0.972178
390;-0.118994;0.565422;0.076072;-0.373757;-0.795603
400;0.141098;1.634925;-0.871058;-0.301109;0.492396
410;0.908138;0.173096;0.343698;-0.715684;0.129873
420;-0.256350;0.668803;1.150549;-0.119713;0.778334
430;0.653961;1.073869;0.213368;0.135497;0.155947
440;0.835153;0.269917;0.107277;-0.529477;0.443637
450;-0.542078;1.293299;0.034371;-0.072434;0.639945
460;-0.087242;0.242546;0.815825;0.268934;-0.892770
470;1.383095;0.849927;0.336556;0.735954;0.200897
480;0.338707;-0.070349;0.778144;-0.201149;0.184165
490;-0.358793;0.041278;1.444761;0.536006;1.092618
500;0.420649;0.297660;0.484516;-0.601882;0.578059
510;1.005271;-0.287225;0.163031;0.612868;-0.002838
520;0.712936;-0.000400;-0.114130;-0.445114;-0.106723
530;-0.442808;1.001345;0.282160;-0.622656;-0.065733
540;0.373544;0.368378;0.373428;0.621276;-0.409493
550;0.786421;0.306852;0.202930;0.407545;0.478700
560;0.185100;1.244192;-0.161628;-0.431596;0.166472
570;-0.305239;-0.523667;1.723689;0.222329;-0.041914
580;-0.266431;1.181671;-0.254744;0.305831;0.663103
590;-0.277308;-0.027251;-0.149863;0.635265;0.890935
600;2.007274;-0.034612;0.174022;-0.174397;0.982914
610;-0.408462;0.634311;1.542806;-0.748652;0.016442
620;0.406657;0.366592;-0.347168;0.315023;-0.320835
630;-1.074513;1.130961;1.426784;-0.175756;0.047274
640;0.029251;0.003236;0.962924;0.377357;0.884795
650;0.579186;-0.162326;-0.013244;0.262539;0.480649
660;-0.770015;0.624708;0.552799;0.230855;0.870341
670;-0.746235;-0.723765;-0.208084;-0.149340;-0.312380
680;1.035380;0.398915;-0.084899;0.854938;-0.284846
690;0.079610;0.928822;-0.149652;0.946306;0.978161
700;-0.233800;0.017737;0.234282;0.273769;-0.268718
710;0.260630;-0.331558;0.810120;0.662674;0.496011
720;1.152341;0.566111;0.862414;0.605165;0.815861
730;-0.208090;0.972331;1.074249;0.096971;-0.101771
740;-0.096600;-1.024065;-0.061565;0.469419;0.104736
750;-1.012008;-0.334695;0.158858;0.915001;0.335339
760;0.191186;0.027760;1.059948;1.158176;0.695078
770;0.764864;0.463831;-0.354015;0.404868;-0.347663
780;0.064663;0.355931;0.147584;-0.333615;-0.822411
790;0.218226;0.124074;0.364297;0.200793;0.842878
800;-0.155176;0.013539;0.312956;-0.274695;-0.801810
810;-0.640792;0.230147;-0.001650;0.286949;0.485892
820;0.537582;0.501566;0.200234;0.432063;0.460453
830;1.013885;0.525005;0.723737;-0.453367;0.237568
840;0.786653;0.628349;1.207509;-0.319833;-1.230897
850;-0.699081;0.023559;0.465540;0.140292;0.843966
860;-0.583594;0.192430;0.483833;-0.218258;-0.516233
870;-0.859004;-0.690893;0.291365;0.300016;0.458849
880;0.708118;0.420875;0.626573;-0.040891;0.632362
890;0.502483;1.406712;-0.144865;0.616332;0.844779
900;0.168376;-0.098010;0.821427;0.123595;0.941393
910;-0.633684;-0.330151;0.094975;0.910275;-0.081618
920;-0.549937;-0.060657;0.918402;0.157154;0.480910
930;-0.326603;0.028862;-0.085741;0.874159;-0.185240
940;1.071247;-0.299168;-0.180405;-0.188897;0.078359
950;-0.603958;-0.936604;0.516135;0.027110;0.308905
960;0.695571;-0.011612;-0.630878;-0.310262;-0.128203
970;0.068650;0.613749;0.195440;-0.657478;-0.507761
980;-0.078859;1.141151;-0.003706;-0.481990;-0.283464
990;-0.635926;0.342804;0.828320;-0.478973;-0.064336
1000;-0.688730;0.148197;0.476194;0.230839;-0.242316
1010;0.229227;0.170164;-0.056912;-0.599533;0.355653
1020;-0.277897;0.133013;-0.133784;0.132924;0.449845
1030;-0.479940;0.416806;0.934391;0.588244;0.422628
1040;-0.335227;-1.158611;-0.441094;0.813999;0.807488
1050;-0.729357;0.279927;0.518583;-0.185658;0.058129
1060;0.545499;-0.427918;0.238932;-0.176055;-0.141220
1070;0.967314;0.190375;-0.692750;0.055771;0.329004
1080;-0.398057;0.124029;1.477775;-0.626916;0.803797
1090;-1.094020;-0.120245;-0.739763;1.073637;1.230333
1100;-0.438020;0.895749;0.217336;0.405289;0.357272
1110;-0.075767;-0.410094;0.934492;0.983229;0.474967
1120;-0.460913;-0.005046;-0.448625;0.296166;0.055303
1130;-0.829779;0.283034;-0.054964;0.253121;-1.487607
1140;-0.407132;0.754822;-0.589432;0.260626;-0.376744
1150;-0.539465;-0.419186;-1.306870;0.235408;0.926093
1160;0.503471;-0.073984;0.049277;-0.142991;0.382334
1170;-0.089766;-0.548740;-1.117559;0.791639;0.366690
1180;0.630033;0.095859;0.612864;-0.508363;1.318006
1190;1.165925;0.443814;-0.499591;-0.146971;0.584873
1200;-0.364351;0.452384;0.576504;-0.198923;0.865382
1210;0.225578;0.980275;-0.012077;0.656836;-0.053223
1220;0.755818;-1.026461;0.952563;-0.276235;0.273850
1230;0.175719;-0.175105;1.154025;1.527642;-0.456452
1240;-0.057450;1.505394;0.055036;0.136309;0.741833
1250;-0.248752;-0.062750;0.115397;-0.505931;0.622333
1260;-0.315964;-0.517776;0.622096;-0.626343;1.302730
1270;-0.854615;0.519727;-0.011301;1.039288;-1.155435
1280;-0.308008;0.083822;0.300425;0.005754;-0.451598
1290;-1.625818;-0.188819;0.819181;0.458031;-0.652337
1300;1.079923;-0.135847;-0.457912;0.111999;-1.149770
1310;0.306909;0.653582;0.167168;-0.677976;0.707033
1320;0.126082;-0.473679;0.252594;-0.106952;0.567175
1330;-0.145227;0.567959;0.082316;0.217946;0.811384
1340;0.779820;0.623724;0.396285;0.298934;-0.110881
