Laser Delay [ns];TA [mOD]
-400;0.165562
-390;0.354902
-380;-0.124336
-370;-0.082977
-360;0.211143
-350;-0.000650
-340;0.131951
-330;-0.232397
-320;-0.644607
-310;-0.170039
-300;0.133519
-290;-0.719855
-280;0.062056
-270;0.671420
-260;0.282644
-250;-0.309697
-240;-0.284789
-230;-0.617689
-220;-0.077888
-210;-0.315539
-200;0.294454
-190;0.600884
-180;0.062814
-170;-0.066718
-160;-0.196037
-150;-0.182466
-140;-0.293479
-130;0.177724
-120;0.259708
-110;0.010351
-100;-0.119912
-90;0.085071
-80;0.044706
-70;-0.000368
-60;0.378223
-50;-0.254133
-40;0.181887
-30;-0.266925
-20;0.195916
-10;0.579285
0;3.442685
10;6.098014
20;8.266542
30;10.454062
40;13.445206
50;15.230036
60;17.198506
70;20.136012
80;21.685541
90;24.066559
100;25.580858
110;26.079716
120;25.937412
130;25.286282
140;25.412332
150;24.430043
160;23.666126
170;22.746090
180;22.679955
190;21.811369
200;22.502014
210;21.400344
220;20.980704
230;20.046124
240;19.855929
250;19.095076
260;18.951741
270;18.618156
280;18.123544
290;17.278584
300;17.408050
310;16.696112
320;16.688619
330;16.653847
340;15.508071
350;15.277927
360;14.380895
370;14.416611
380;14.111737
390;13.728315
400;13.844055
410;13.108728
420;13.265396
430;12.933305
440;12.136009
450;11.985846
460;11.861935
470;11.513551
480;11.493141
490;10.994163
500;11.061980
510;10.239003
520;10.316751
530;9.640298
540;9.954089
550;10.251916
560;9.597040
570;8.873785
580;8.550782
590;8.712367
600;8.516997
610;8.404449
620;7.619444
630;7.793484
640;7.552149
650;7.857874
660;7.051336
670;7.467357
680;7.238726
690;6.549781
700;6.540106
710;6.326873
720;6.442732
730;6.659318
740;6.484913
750;5.890212
760;5.913855
770;5.626307
780;5.290085
790;5.350396
800;5.218436
810;4.577322
820;4.572095
830;4.781069
840;4.805289
850;4.443821
860;4.488230
870;4.289393
880;3.829544
890;4.268310
900;4.474203
910;4.194858
920;3.990427
930;3.454797
940;3.466441
950;3.598327
960;4.200173
970;3.218851
980;3.401103
990;3.247332
1000;3.270248
1010;3.221820
1020;2.850086
1030;3.573159
1040;3.148121
1050;2.975255
1060;2.524520
1070;2.257547
1080;2.412601
1090;2.587611
1100;2.703137
1110;2.441353
1120;2.693562
1130;2.624383
1140;2.707789
1150;2.534566
1160;2.497086
1170;2.037536
1180;2.143839
1190;2.261342
1200;2.271433
1210;2.034999
1220;2.030217
1230;1.795153
1240;2.044248
1250;1.745445
1260;1.855645
1270;1.986383
1280;1.785838
1290;1.399474
1300;1.563599
1310;1.661251
1320;1.801850
1330;1.493055
1340;1.979455
1350;1.697875
1360;1.738579
1370;1.673424
1380;1.457118
1390;1.561201
1400;1.417531
1410;1.950535
1420;1.265052
1430;1.318912
1440;1.193468
1450;1.549849
1460;1.111571
1470;1.441170
1480;1.381538
1490;1.374017
1500;1.435467
1510;1.495300
1520;1.118032
1530;1.142463
1540;1.379987
1550;1.007246
1560;0.536145
1570;0.890738
1580;0.745034
1590;0.974735
1600;1.103554
1610;0.499736
1620;0.695429
1630;1.239638
1640;0.396471
1650;0.516226
1660;0.877101
1670;0.822254
1680;0.842250
1690;1.018156
1700;0.465926
1710;1.150348
1720;1.471967
1730;0.783331
1740;1.157167
1750;0.347245
1760;0.800569
1770;0.822951
1780;0.512598
1790;0.890410
1800;1.324536
1810;0.600005
1820;0.795255
1830;0.840434
1840;1.442852
1850;0.948176
1860;0.396213
1870;0.138608
1880;0.407205
1890;0.590125
1900;0.767780
1910;0.423469
1920;0.268253
1930;0.875118
1940;0.726926
1950;0.534472
1960;0.913949
1970;0.186462
1980;0.512706
1990;0.591885
2000;0.301734
2010;0.536570
2020;0.667853
2030;0.301712
2040;0.567104
2050;0.736751
2060;0.266326
2070;1.218176
2080;0.779900
2090;0.269270
2100;0.527498
2110;0.692314
2120;0.237561
2130;-0.098799
2140;0.788870
2150;0.590735
2160;0.224427
2170;-0.069545
2180;1.051305
2190;0.350207
2200;0.692517
2210;0.879811
2220;0.788918
2230;0.293755
2240;0.040984
2250;0.271628
2260;0.184769
2270;0.612642
2280;0.543409
2290;-0.310761
2300;0.447698
2310;0.708904
2320;0.259290
2330;0.131557
2340;0.246327
2350;0.387682
2360;0.716334
2370;0.160323
2380;-0.020412
2390;0.395271
2400;0.264414
2410;-0.009064
2420;0.136999
2430;-0.031262
2440;0.167646
2450;0.173366
2460;0.191864
2470;0.022885
2480;0.344859
2490;0.032424
2500;0.272736
2510;0.709924
2520;0.638728
2530;0.374207
2540;0.467054
2550;0.183335
2560;0.976493
2570;0.198147
2580;0.156715
2590;-0.075732
2600;0.005264
2610;0.131770
2620;-0.088160
2630;0.288125
2640;-0.119090
2650;0.471414
2660;-0.272693
2670;0.131988
2680;0.320752
2690;0.687936
2700;0.162433
2710;0.540557
2720;0.172759
2730;0.194609
2740;0.490237
2750;0.332127
2760;0.012596
2770;0.502812
2780;0.525299
2790;0.185461
2800;0.192778
2810;0.007205
2820;0.167293
2830;0.250301
2840;0.425415
2850;0.136823
2860;0.919848
2870;0.660604
2880;0.269555
2890;0.095225
2900;0.129863
2910;0.443280
2920;-0.049390
2930;0.661838
2940;-0.118769
2950;0.304830
2960;0.612416
2970;0.249160
2980;0.627178
2990;0.070290
3000;0.336920
3010;0.409508
3020;0.268882
3030;-0.179035
3040;0.514183
3050;0.542868
3060;0.165792
3070;0.308770
3080;0.183779
3090;0.582228
3100;0.440230
3110;0.452511
3120;-0.060723
3130;0.142889
3140;0.366729
3150;0.483360
3160;-0.069058
3170;0.829752
3180;0.829314
3190;0.461776
3200;-0.045559
3210;0.236221
3220;0.280673
3230;-0.324072
