Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.604537;0.283368;0.007557;0.415306;-0.482957
-390;0.769630;-0.223529;0.435510;0.473921;0.318975
-380;0.057597;0.112476;-0.389497;-0.170221;-0.232034
-370;0.127231;-0.511222;0.125790;-0.761872;0.605191
-360;0.766876;-0.151309;0.008036;0.387824;0.044287
-350;-0.576058;-0.239235;0.336662;0.951833;-0.476451
-340;-0.820354;0.306057;0.153722;1.018885;0.001444
-330;-0.379902;-0.541584;0.231395;-0.892793;0.420901
-320;-0.549431;-0.257224;-0.682271;-0.237051;-1.497058
-310;-0.992669;-0.060678;-0.672438;0.069802;0.805785
-300;0.839698;-0.276898;0.707954;0.070725;-0.673884
-290;-0.946528;-1.367955;-0.754597;-0.761515;0.231319
-280;0.935376;0.232964;-0.465373;0.421290;-0.813976
-270;0.698683;-0.258426;1.114918;1.495985;0.305938
-260;0.975405;0.659953;0.588953;-0.229463;-0.581629
-250;-0.221922;-0.088476;-0.064877;-1.365407;0.192199
-240;0.128818;-0.559632;-0.067709;-0.553490;-0.371934
-230;-0.660298;-0.618600;-1.592696;0.521958;-0.738811
-220;-0.771668;0.755181;-0.260462;0.953688;-1.066177
-210;-0.349393;-0.287255;-0.157272;-0.818963;0.035188
-200;-0.864640;0.488423;1.218595;0.036804;0.593089
-190;0.359970;0.492043;0.587247;0.590517;0.974644
-180;0.830638;0.656673;-0.646737;-0.110871;-0.415634
-170;-0.368977;-0.037549;-0.511400;0.366982;0.217355
-160;-0.324924;0.691873;-1.565030;-0.322497;0.540391
-150;-0.273920;-0.171013;0.353944;-0.523497;-0.297846
-140;-0.139558;-0.907463;0.257707;0.459379;-1.137460
-130;-0.053257;0.307903;0.073906;0.626111;-0.066043
-120;0.370913;-0.409770;-0.582679;0.433140;1.486935
-110;0.119397;0.333307;-0.389020;-0.871351;0.859423
-100;-1.738061;0.937829;0.568331;0.148660;-0.516321
-90;1.283585;0.609770;0.745828;-0.771716;-1.442114
-80;0.800714;0.579084;-0.561007;-0.650231;0.054972
-70;-0.797698;0.085790;0.232146;-0.024381;0.502304
-60;0.661613;-0.569479;0.278125;-0.254749;1.775603
-50;-0.292822;-0.701420;0.080088;0.034448;-0.390958
-40;-1.309643;1.531709;-0.969214;0.591750;1.064830
-30;0.485631;-0.212452;-0.350273;-0.785046;-0.472484
-20;0.244651;-0.465821;-0.011379;1.166323;0.045807
-10;1.352753;0.656370;0.849599;-0.221932;0.259634
0;3.935912;3.251516;2.735320;4.266359;3.024319
10;6.250186;6.325798;6.074890;6.258866;5.580329
20;9.748769;9.024755;7.820914;6.818023;7.920247
30;11.162953;10.252846;10.553630;10.327749;9.973130
40;14.527477;13.647177;12.485553;13.308324;13.257497
50;16.547843;14.991515;14.873427;14.394353;15.343041
60;18.403661;16.590461;16.825000;17.683942;16.489468
70;21.260070;19.944479;19.654967;20.016024;19.804521
80;23.480958;22.251760;21.538594;20.521322;20.635071
90;26.362939;24.492252;23.403554;23.147860;22.926191
100;27.751174;25.974955;25.481126;24.626544;24.070490
110;27.711329;27.445698;25.574820;25.977970;23.688763
120;28.247661;25.476383;25.317100;26.054763;24.591155
130;27.122032;25.134419;25.143424;25.599463;23.432073
140;27.217108;25.963149;24.933093;24.935957;24.012351
150;25.291668;23.516945;25.487310;24.006710;23.847584
160;25.248094;23.522389;23.492808;24.186111;21.881229
170;24.666314;23.179205;21.575654;21.718832;22.590444
180;23.791408;22.511317;22.246681;22.446639;22.403732
190;23.053030;22.444533;20.867311;21.433200;21.258771
200;24.175810;22.720146;21.751679;22.069283;21.793152
210;22.505154;21.102374;21.128129;20.616784;21.649279
220;22.295960;21.073037;20.339140;20.228121;20.967263
230;21.371092;20.134017;19.219551;20.037452;19.468510
240;20.793918;19.681988;20.362021;19.480307;18.961412
250;19.504573;19.466355;18.229503;18.994641;19.280309
260;20.904522;18.440347;18.040388;18.966791;18.406658
270;19.623018;18.509315;19.068683;17.445996;18.443767
280;19.394473;17.655228;17.567133;17.639318;18.361570
290;17.674578;16.840900;18.096637;17.162042;16.618761
300;17.730702;17.402794;17.084122;17.380878;17.441757
310;17.410404;17.626766;16.048601;17.207627;15.187161
320;17.573323;16.385955;16.439256;16.063346;16.981215
330;16.926796;17.348722;15.912111;16.271246;16.810356
340;16.491541;15.781006;14.954374;14.955626;15.357808
350;15.673907;15.854414;14.295442;15.435855;15.130016
360;15.677141;14.556413;14.327369;13.729819;13.613734
370;15.241659;15.181027;12.821071;14.258901;14.580399
380;14.650717;14.392008;14.155139;13.243765;14.117057
390;14.363475;13.415788;13.763146;13.804644;13.294520
400;14.444677;14.282579;14.043644;13.457765;12.991610
410;13.689978;12.931463;13.221969;12.448785;13.251445
420;14.214339;13.367511;12.275544;13.069270;13.400318
430;12.739891;13.320642;13.202438;12.361342;13.042214
440;12.258508;12.267045;12.502289;11.771387;11.880816
450;13.204443;12.011762;11.938008;11.532786;11.242231
460;13.191589;11.906010;11.005435;11.296461;11.910179
470;10.668841;11.543192;11.704437;10.690236;12.961047
480;11.803780;12.043020;11.527266;10.985118;11.106519
490;10.586854;11.870506;10.223991;11.168709;11.120755
500;11.412880;12.339261;10.699690;10.809466;10.048604
510;10.180066;10.984001;10.301043;9.852434;9.877470
520;9.683870;11.030450;10.126024;9.965531;10.777878
530;9.471441;9.891072;9.372692;10.113555;9.352729
540;10.296279;9.617831;9.682221;10.329906;9.844209
550;11.602862;10.025360;9.648553;10.231393;9.751412
560;9.738331;9.624268;9.806204;9.760496;9.055901
570;8.965237;9.335500;9.354465;8.044714;8.669009
580;9.004114;7.996299;8.369078;8.735880;8.648536
590;9.857287;8.463888;7.449177;9.307112;8.484371
600;8.487211;8.041454;7.510539;9.049026;9.496756
610;7.443301;9.119988;8.750769;8.345889;8.362299
620;8.670154;7.774597;7.263421;6.973976;7.415071
