Laser Delay [ns];TA [mOD]
-400;0.097664
-390;-0.037395
-380;-0.177064
-370;-0.533661
-360;-0.342409
-350;-0.097445
-340;-0.648765
-330;-0.095485
-320;0.206422
-310;-0.373262
-300;-0.286920
-290;0.099303
-280;-0.212334
-270;-0.296551
-260;-0.332302
-250;0.293345
-240;-0.244548
-230;0.030320
-220;-0.170211
-210;-0.028055
-200;0.268345
-190;-0.389939
-180;-0.172820
-170;-0.209093
-160;-0.428087
-150;-0.308734
-140;-0.161515
-130;-0.055086
-120;0.070029
-110;0.026618
-100;0.178008
-90;0.182398
-80;-0.173981
-70;-0.133822
-60;-0.149165
-50;-0.202247
-40;0.319749
-30;1.500679
-20;3.898254
-10;7.352183
0;11.283130
10;15.570298
20;19.507065
30;23.054247
40;26.923743
50;30.583938
60;34.361682
70;37.690695
80;41.185504
90;43.536122
100;44.747496
110;45.120872
120;44.607116
130;44.086877
140;43.281645
150;42.977527
160;42.546784
170;41.746769
180;41.440468
190;41.182985
200;40.464188
210;39.735946
220;39.576258
230;39.401785
240;38.499031
250;38.186387
260;38.122782
270;37.344926
280;36.916139
290;36.455713
300;35.893873
310;35.792735
320;35.487252
330;34.834913
340;34.374205
350;34.102741
360;33.329347
370;33.578027
380;33.265990
390;32.482945
400;32.406073
410;32.275554
420;31.664973
430;31.449875
440;30.884292
450;30.849738
460;30.011801
470;30.243850
480;29.941571
490;29.333261
500;28.814989
510;28.451144
520;28.210325
530;28.311673
540;27.763384
550;27.235421
560;26.986597
570;26.884650
580;26.193428
590;26.139027
600;25.986049
610;25.779956
620;25.389748
630;24.804931
640;24.564194
650;24.177677
660;24.238463
670;23.702523
680;23.505289
690;23.666888
700;22.981766
710;23.309393
720;22.595001
730;21.980582
740;22.232354
750;22.049058
760;21.827166
770;21.567654
780;20.953423
790;20.728591
800;20.578108
810;20.317934
820;20.748815
830;20.310951
840;19.763408
850;18.986507
860;19.079615
870;18.987667
880;18.381408
890;18.873762
900;18.326770
910;17.986567
920;17.976442
930;17.886882
940;17.699310
950;17.262863
960;16.918295
970;17.063845
980;16.906292
990;16.751041
1000;16.539289
1010;15.846555
1020;15.998637
1030;15.907478
1040;15.576538
1050;15.476467
1060;15.250916
1070;15.130753
1080;15.043013
1090;15.103276
1100;14.357087
1110;14.466655
1120;13.914457
1130;14.373175
1140;14.233745
1150;13.436667
1160;13.991488
1170;14.010952
1180;13.295205
1190;13.960763
1200;13.370113
1210;13.291166
1220;12.630014
1230;12.519400
1240;12.445972
1250;12.082876
1260;12.367465
1270;12.206978
1280;11.757703
1290;11.533625
1300;11.787582
1310;11.349981
1320;11.403688
1330;11.315839
1340;10.883786
1350;11.171911
1360;10.946974
1370;10.923617
1380;10.459051
1390;10.584966
1400;10.122749
1410;10.394246
1420;10.252863
1430;10.126403
1440;10.031663
1450;9.787405
1460;9.433216
1470;9.305302
1480;9.464061
1490;9.948917
1500;9.159372
1510;9.069251
1520;8.879800
1530;8.887252
1540;8.654406
1550;8.941011
1560;8.760992
1570;8.611896
1580;8.674860
1590;8.534285
1600;8.382137
1610;8.068877
1620;7.900458
1630;7.769447
1640;7.976424
1650;7.943984
1660;7.338801
1670;7.756535
1680;7.307014
1690;7.286669
1700;7.494042
1710;7.422840
1720;7.087947
1730;7.526195
1740;7.254941
1750;7.164805
1760;7.055341
1770;6.918744
1780;6.555317
1790;6.757840
1800;7.036016
1810;6.463473
1820;6.404497
1830;6.278288
1840;6.453664
1850;5.793637
1860;6.264341
1870;5.976215
1880;5.526736
1890;5.726045
1900;6.185026
1910;6.026675
1920;5.672951
1930;5.756707
1940;5.285889
1950;5.898599
1960;5.393667
1970;5.074316
1980;5.931167
1990;5.415520
2000;5.242797
2010;5.119981
2020;5.276921
2030;4.960229
2040;5.378076
2050;5.012785
2060;4.909259
2070;4.812553
2080;4.666829
2090;4.694681
2100;4.353976
2110;4.631850
2120;4.348364
2130;4.573858
2140;4.577862
2150;4.685573
2160;4.361114
2170;4.381271
2180;4.800902
2190;3.908028
2200;4.179306
2210;4.006452
2220;3.883582
2230;3.955665
2240;3.592696
2250;3.927335
2260;3.900334
2270;3.841694
2280;3.876171
2290;3.811169
2300;3.778017
2310;4.207038
2320;3.678712
2330;3.575621
2340;3.631404
2350;3.594010
2360;3.608295
2370;3.143503
2380;3.667185
2390;3.351212
2400;3.437146
2410;3.569852
2420;3.032022
2430;2.897868
2440;3.226093
2450;3.274317
2460;2.862009
2470;3.517657
2480;3.091547
2490;3.153512
2500;2.984234
2510;3.073022
2520;3.347055
2530;3.034737
2540;2.959141
2550;2.985483
2560;2.885629
2570;2.607950
2580;2.799884
2590;2.387291
2600;2.928290
2610;2.677320
2620;2.695643
2630;2.677558
2640;3.031636
2650;2.580964
2660;2.570578
2670;2.380089
2680;2.521464
2690;2.563335
2700;2.073122
2710;2.405206
2720;2.688204
2730;2.339912
2740;2.552279
2750;2.008271
2760;2.006330
2770;2.341987
2780;2.418018
2790;2.245990
2800;2.065914
2810;2.246352
2820;2.073871
2830;2.498774
2840;2.427242
2850;1.732123
2860;1.803301
2870;2.406596
2880;1.915267
2890;1.889122
2900;2.047182
2910;2.305121
2920;2.154323
2930;2.132597
2940;1.807493
2950;2.265211
2960;1.702512
2970;1.932350
2980;1.656045
2990;1.811694
3000;1.683497
3010;1.835747
3020;1.759395
3030;1.544139
3040;1.766608
3050;1.469860
3060;1.966010
3070;1.818883
3080;1.843864
3090;1.577642
3100;1.695950
3110;1.876376
3120;1.667196
3130;1.211606
3140;1.411363
3150;1.792034
3160;1.392728
3170;1.234559
3180;1.681594
3190;1.740688
3200;1.571839
3210;1.507369
3220;1.667775
3230;1.125098
3240;1.393701
3250;1.491261
3260;1.551638
3270;1.052671
