Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.100437;-0.116318;0.262760;-0.227329;0.669645
-390;-0.254320;0.158877;-0.310270;-0.386961;0.605699
-380;0.093878;-0.105291;-0.278256;0.154423;-0.750074
-370;-0.350424;-0.178941;-0.604980;-1.254288;-0.279674
-360;0.083107;-0.317110;0.105649;-0.768781;-0.814908
-350;0.149626;0.506056;0.310752;-0.314599;-1.139057
-340;-0.306651;-0.856096;-0.853378;-0.351561;-0.876141
-330;-0.456252;0.082333;0.042765;0.645460;-0.791734
-320;0.419883;-0.011815;-0.370002;0.495522;0.498522
-310;-0.612828;0.749509;0.033742;-0.975937;-1.060798
-300;0.552636;-0.277905;-0.789890;-0.358194;-0.561247
-290;0.361313;0.400611;-0.800530;0.428975;0.106147
-280;-0.245947;-0.883085;0.002875;0.353800;-0.289312
-270;-0.369917;0.247803;-0.313793;-0.153212;-0.893636
-260;0.140355;-0.831595;-0.345411;-0.465428;-0.159432
-250;0.874541;0.468478;0.495311;-0.414698;0.043091
-240;0.428581;-0.080919;-1.286562;-0.028097;-0.255747
-230;-0.323389;0.380877;-0.354616;0.311427;0.137300
-220;0.127713;-0.114701;0.196051;-0.767288;-0.292828
-210;-0.800530;0.149885;0.306771;0.238740;-0.035140
-200;0.420650;0.698427;0.404289;-0.154065;-0.027577
-190;-0.434317;-0.926390;0.644570;-1.050972;-0.182587
-180;-0.199245;-0.294948;0.476784;-0.418367;-0.428325
-170;-0.662034;0.602476;-0.657519;-0.465006;0.136619
-160;-1.657347;-0.411991;0.002052;0.872144;-0.945294
-150;0.170333;-0.607626;-0.338493;0.038018;-0.805900
-140;0.251891;-1.031513;-0.197582;-0.158572;0.328199
-130;0.297319;-0.680507;-0.038583;0.191494;-0.045152
-120;-0.181449;0.519232;0.849258;-0.570067;-0.266830
-110;0.397267;-0.671778;0.757496;-0.159597;-0.190297
-100;-0.082107;0.749196;-0.020151;0.559136;-0.316033
-90;0.038103;-0.410830;0.429979;0.547981;0.306759
-80;0.177701;-1.149442;0.405161;0.443271;-0.746596
-70;-0.688167;0.295374;0.451089;-0.024330;-0.703077
-60;0.386859;0.409809;-0.313595;-0.299733;-0.929165
-50;0.153903;-0.252088;-0.326019;-0.342050;-0.244981
-40;-0.308226;0.598055;0.554324;0.212640;0.541951
-30;2.239576;1.221806;1.326462;1.013138;1.702416
-20;3.955151;3.946641;3.967790;4.403148;3.218542
-10;8.218548;6.817740;7.093653;7.338197;7.292779
0;11.312417;11.481297;11.027765;10.611552;11.982622
10;15.777830;14.581814;15.799898;15.891032;15.800915
20;19.853969;19.887327;19.437453;19.927219;18.429355
30;24.113292;22.779967;22.490161;23.140274;22.747542
40;28.194758;26.456636;26.788525;26.816258;26.362539
50;31.215093;29.979430;31.307348;30.942506;29.475312
60;35.166359;34.622767;34.127039;34.484335;33.407913
70;38.508343;38.204193;37.736799;36.868125;37.136017
80;41.992026;41.221068;40.917969;40.997261;40.799198
90;44.756997;43.392765;43.348387;43.272401;42.910059
100;44.822847;45.804906;45.370024;44.291072;43.448630
110;46.132539;45.516988;44.898542;44.641493;44.414799
120;44.505657;44.513796;44.687173;45.198384;44.130570
130;44.820286;44.169430;44.796294;43.431336;43.217036
140;44.301487;43.650720;43.284484;42.760172;42.411362
150;42.999627;43.507132;42.884456;43.077419;42.419002
160;42.588465;43.249448;41.958757;43.079594;41.857654
170;42.825800;41.319650;42.239703;41.372131;40.976562
180;41.598724;41.677445;41.763633;41.188613;40.973921
190;41.884469;41.421841;41.376868;41.458932;39.772813
200;41.240208;41.314217;40.405493;40.193355;39.167665
210;40.738840;39.524958;39.501614;39.724581;39.189736
220;39.264212;40.047463;40.398769;38.893330;39.277518
230;39.914070;40.023699;39.208586;38.613485;39.249085
240;39.191839;39.072845;38.334369;38.764559;37.131545
