Laser Delay [ns];TA [mOD]
-400;-0.375838
-390;-0.174400
-380;-0.207956
-370;-0.195635
-360;-0.506208
-350;0.069639
-340;-0.846772
-330;-0.250089
-320;-0.148449
-310;-0.224084
-300;0.192178
-290;-0.653400
-280;0.068343
-270;-0.178316
-260;0.155396
-250;-0.085870
-240;-0.364309
-230;0.019909
-220;-0.080240
-210;0.064473
-200;-0.201929
-190;-0.366890
-180;-0.064440
-170;-0.372779
-160;-0.622172
-150;-0.093248
-140;0.047597
-130;-0.516290
-120;0.121544
-110;-0.061035
-100;-0.428902
-90;-0.488265
-80;0.024465
-70;-0.490748
-60;-0.317114
-50;0.154001
-40;0.090620
-30;1.623229
-20;3.317495
-10;6.789495
0;10.331349
10;14.090418
20;17.828702
30;21.217221
40;24.731706
50;28.449625
60;31.903138
70;34.684192
80;37.693666
90;40.518827
100;40.800943
110;41.045566
120;41.153182
130;40.102469
140;39.607669
150;39.130265
160;38.886810
170;37.775150
180;38.077226
190;37.567350
200;36.397354
210;36.285669
220;36.260629
230;35.593305
240;35.019634
250;34.691208
260;34.198867
270;33.796988
280;33.259124
290;32.565718
300;33.182815
310;32.514895
320;31.467517
330;31.542311
340;31.066956
350;31.065508
360;30.078562
370;29.847604
380;29.627506
390;28.779013
400;28.686900
410;28.369390
420;27.830284
430;27.903211
440;27.022439
450;27.284969
460;26.619307
470;26.220393
480;26.215296
490;25.857811
500;25.505863
510;25.764449
520;24.648583
530;24.520928
540;24.251286
550;23.819184
560;23.730476
570;23.117854
580;22.507034
590;22.760908
600;22.582349
610;22.281418
620;21.491569
630;21.605231
640;21.043382
650;20.916882
660;20.827283
670;20.747824
680;19.979040
690;20.359756
700;20.513102
710;19.712073
720;19.875638
730;18.729011
740;18.590726
750;18.706035
760;17.900224
770;18.399899
780;18.004178
790;17.714382
800;18.072831
810;17.530695
820;16.723328
830;16.918572
840;16.186098
850;16.449745
860;15.625108
870;16.058136
880;15.758969
890;15.934873
900;15.074275
910;14.873628
920;15.034140
930;15.353173
940;14.527121
950;14.885518
960;14.423719
970;14.587328
980;13.594598
990;13.895769
1000;13.529175
1010;13.578612
1020;13.481291
1030;13.065845
1040;12.858082
1050;12.987364
1060;12.752549
1070;12.753637
1080;12.208721
1090;12.388789
1100;12.253504
1110;11.633753
1120;11.496107
1130;11.652516
1140;11.230127
1150;11.632215
1160;11.197249
1170;11.223597
1180;11.052071
1190;11.017409
1200;10.437310
1210;10.235346
1220;10.712477
1230;10.590699
1240;10.237589
1250;10.531870
1260;10.131144
1270;9.689889
1280;9.457379
1290;9.753394
1300;9.883534
1310;9.822990
1320;9.175661
1330;9.229628
1340;9.193769
1350;8.655118
1360;8.718541
1370;8.749845
1380;8.070774
1390;8.542013
1400;8.495487
1410;8.464332
1420;8.247297
1430;8.502096
1440;8.344619
1450;8.245465
1460;7.639965
1470;7.676290
1480;7.868080
1490;7.360104
1500;7.562364
1510;7.313011
1520;7.153472
1530;7.527300
1540;7.300280
1550;6.607043
1560;7.072614
1570;6.975593
1580;7.771240
1590;6.696108
1600;6.670589
1610;6.543553
1620;6.540451
1630;6.838198
1640;6.529213
1650;6.210823
1660;5.772148
1670;5.934748
1680;6.033170
1690;6.227503
1700;5.810892
1710;5.529645
1720;5.314741
1730;5.776760
1740;5.178059
1750;5.467163
1760;5.833644
1770;5.348009
1780;5.085307
1790;5.052483
1800;4.725440
1810;4.954406
1820;5.626444
1830;4.714245
1840;4.905396
1850;4.783999
1860;4.838393
1870;4.492940
1880;4.399174
1890;4.642177
1900;4.756507
1910;4.799606
1920;4.250977
1930;4.803448
1940;4.139807
1950;4.479317
1960;4.366214
1970;4.002007
1980;4.400039
1990;4.052784
2000;3.987499
2010;4.060863
2020;3.551774
2030;3.534582
2040;3.948048
2050;3.155506
2060;3.922794
2070;3.561925
2080;3.656166
2090;3.631874
2100;3.325047
2110;3.724912
2120;3.677588
2130;3.820802
2140;4.031488
2150;3.054835
2160;3.372420
2170;3.078083
2180;3.439599
2190;3.413258
2200;2.736235
2210;3.024156
2220;3.292145
2230;3.182408
2240;2.753287
2250;2.614297
2260;2.896869
2270;2.886750
2280;2.637082
2290;2.773988
2300;3.074860
2310;3.253471
2320;2.425265
2330;3.019677
2340;2.631194
2350;2.665821
2360;2.449352
2370;2.169258
2380;2.880809
2390;2.551595
2400;2.738698
2410;2.989637
2420;2.615866
2430;2.579164
2440;2.289411
2450;2.240134
2460;2.704417
2470;1.897599
2480;2.489656
2490;2.373811
2500;2.805017
2510;2.676426
2520;1.916792
2530;2.445358
2540;1.733782
2550;2.154701
2560;2.366450
2570;2.109561
2580;1.852099
2590;1.922014
2600;2.203282
2610;1.288571
2620;2.204952
2630;1.714807
2640;2.023461
2650;1.764424
2660;1.666152
2670;1.903833
2680;1.595679
2690;1.760960
2700;1.696820
2710;2.237961
2720;2.213541
2730;1.299292
2740;1.886241
2750;1.761120
2760;1.627490
2770;1.671004
2780;1.717124
2790;1.513744
2800;1.671725
2810;1.140245
2820;1.213978
2830;1.497557
2840;1.707814
2850;1.284254
2860;1.277869
2870;0.975151
2880;1.719014
2890;1.587839
2900;1.229621
2910;1.829196
2920;1.551218
2930;1.350645
2940;1.186345
2950;1.304888
2960;0.876292
2970;1.462460
2980;1.387922
2990;1.181170
3000;1.238804
3010;1.515289
3020;1.398295
3030;1.108056
3040;1.596746
3050;1.211735
3060;0.981967
3070;1.041878
3080;1.048797
3090;0.891454
3100;0.654390
3110;1.047012
3120;0.792536
3130;0.734427
3140;0.933653
3150;0.650558
3160;1.114572
3170;1.415144
3180;1.306178
3190;0.939894
3200;1.284965
3210;1.153882
3220;0.683028
3230;0.655281
3240;1.200319
3250;0.701751
3260;0.672033
3270;1.465587
3280;0.393370
3290;0.265240
3300;0.932498
3310;0.930477
3320;0.995415
3330;1.078480
3340;0.759034
3350;0.307313
3360;0.464327
3370;0.949291
3380;1.174625
3390;1.248961
3400;0.594330
3410;0.745414
3420;0.737539
3430;0.075714
3440;0.466997
3450;0.967061
3460;0.345908
3470;0.654159
3480;0.206125
3490;0.892930
3500;1.092541
3510;0.772726
3520;1.062408
3530;0.981995
3540;0.700169
3550;0.443593
3560;0.908085
3570;0.538425
3580;0.369046
3590;0.803925
3600;0.607475
3610;0.598519
3620;-0.300424
3630;0.776704
3640;0.125999
3650;1.218400
3660;0.716610
3670;0.451765
3680;0.476683
3690;0.079565
