Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.193250;-0.750736;0.254590;-0.745038;-0.831256
-390;-0.745460;0.329508;-0.547210;-0.484700;0.575864
-380;-0.067537;-1.945883;0.710536;-0.436245;0.699351
-370;0.200416;-0.841385;-0.544264;0.981390;-0.774333
-360;-0.696209;-0.410936;-0.252734;-1.539914;0.368754
-350;0.745702;-0.101426;-0.441907;0.357653;-0.211828
-340;-0.869699;-1.055736;-0.978614;-0.771409;-0.558404
-330;0.336984;-0.025847;-0.125776;-2.097242;0.661436
-320;-0.963662;-0.789786;0.652585;0.270872;0.087745
-310;0.852548;0.659261;-0.442133;-0.768597;-1.421501
-300;0.676141;-0.273739;0.803954;0.550805;-0.796271
-290;-0.254131;-0.582638;-0.192309;-0.446840;-1.791082
-280;-0.030017;0.044586;-0.169544;0.047489;0.449201
-270;-0.156934;0.006376;-0.654618;-0.187053;0.100649
-260;0.313885;0.101582;0.549661;-0.003865;-0.184283
-250;-0.655661;0.283372;0.875803;-0.811268;-0.121596
-240;-1.418732;-0.420726;-0.318992;0.845104;-0.508201
-230;-0.460642;0.864743;-1.004311;-0.272658;0.972414
-220;-0.065720;-0.167754;0.360370;-0.001159;-0.526939
-210;0.817891;0.114971;1.112962;-1.117272;-0.606188
-200;-0.334300;-0.132537;0.223933;-1.265194;0.498455
-190;-0.008290;-1.199533;-0.240144;-0.434610;0.048126
-180;-0.420173;-0.689200;-0.545557;0.729060;0.603668
-170;0.211628;-0.258468;-1.535778;0.230233;-0.511513
-160;-0.514626;-1.718086;-0.720133;-0.172780;0.014766
-150;-1.039797;0.806693;0.281264;0.895502;-1.409903
-140;-0.333085;0.805594;0.111791;-0.717216;0.370900
-130;-0.156714;-0.837485;-0.447759;-1.212919;0.073428
-120;-0.443513;0.244795;0.618940;0.356441;-0.168946
-110;-0.826970;0.104346;0.163617;0.118261;0.135572
-100;-0.125499;0.239117;-1.069958;-0.733859;-0.454309
-90;-0.913073;0.184847;-1.146017;0.151439;-0.718521
-80;-0.399638;-0.227914;1.351661;-0.128413;-0.473373
