Laser Delay [ns];TA [mOD]
-400;-0.304436
-390;-0.193170
-380;-0.214190
-370;-0.011793
-360;-0.049703
-350;-0.360398
-340;0.009169
-330;0.138592
-320;-0.039524
-310;-0.272380
-300;-0.151933
-290;0.324581
-280;-0.094053
-270;-0.118536
-260;-0.046025
-250;0.127311
-240;0.191066
-230;-0.110278
-220;0.059349
-210;-0.285546
-200;0.169174
-190;-0.291084
-180;-0.109985
-170;0.306847
-160;-0.131453
-150;0.093048
-140;-0.221121
-130;-0.605344
-120;-0.306597
-110;-0.147908
-100;-0.343594
-90;-0.183172
-80;-0.502874
-70;-0.102491
-60;-0.423210
-50;-0.237695
-40;0.588772
-30;1.989846
-20;3.561262
-10;7.115513
0;10.753177
10;15.040460
20;18.312001
30;21.988931
40;25.627986
50;29.456383
60;32.691314
70;36.017922
80;39.239725
90;41.064831
100;42.892077
110;42.823882
120;42.193890
130;41.913678
140;41.340092
150;40.727489
160;40.606838
170;40.093071
180;39.178419
190;38.733183
200;38.505684
210;38.015180
220;37.477771
230;36.840965
240;36.519556
250;36.218370
260;35.392418
270;35.127883
280;34.520317
290;34.932819
300;33.307376
310;32.902167
320;33.234810
330;32.552322
340;32.387440
350;31.581987
360;31.327907
370;30.913527
380;30.162613
390;30.408695
400;30.360431
410;30.074345
420;29.300193
430;29.109516
440;28.130036
450;27.950960
460;28.021597
470;27.333487
480;26.869797
490;26.921587
500;26.666009
510;26.002899
520;25.880868
530;25.475164
540;25.058846
550;25.215583
560;24.672993
570;24.120834
580;24.162089
590;23.354102
600;23.436553
610;22.931762
620;22.713685
630;22.252392
640;22.273594
650;22.599682
660;21.493007
670;21.542406
680;21.072260
690;20.971467
700;20.520024
710;20.925656
720;20.469422
730;19.783772
740;19.741605
750;19.846836
760;19.216457
770;18.979222
780;18.911848
790;18.716046
800;17.940839
810;18.048423
820;17.653854
830;17.842233
840;17.560932
850;17.143013
860;16.916751
870;16.688336
880;16.295580
890;16.709734
900;16.331011
910;15.908176
920;16.190007
930;15.585832
940;15.111957
950;15.560674
960;15.134077
970;14.900430
980;14.941408
990;14.637525
1000;14.165030
1010;13.986340
1020;13.972544
1030;13.835415
1040;13.622078
1050;13.496000
1060;13.204986
1070;13.452912
1080;12.996747
1090;12.602454
1100;12.332862
1110;12.455833
1120;12.271363
1130;12.159036
1140;12.258778
1150;12.040072
1160;11.644696
1170;11.756663
1180;11.480969
1190;11.419728
1200;11.468508
1210;11.615408
1220;10.855596
1230;10.883696
1240;10.875750
1250;10.520549
1260;10.284869
1270;10.104767
1280;10.240016
1290;10.153401
1300;10.299704
1310;9.816489
1320;9.279621
1330;9.596048
1340;9.419621
1350;9.245746
1360;9.199313
1370;8.850427
1380;8.829469
1390;8.784156
1400;8.985107
1410;8.656304
1420;8.794382
1430;8.361386
1440;8.423973
1450;8.255169
1460;7.867554
1470;7.938538
1480;7.997424
1490;7.803829
1500;7.453450
1510;7.767091
1520;7.844262
1530;7.383897
1540;7.492311
1550;7.585987
1560;7.442239
1570;6.999196
1580;7.338079
1590;7.325446
1600;7.074256
1610;6.598705
1620;6.568758
1630;7.009974
1640;6.543992
1650;6.250608
1660;6.300797
1670;6.543141
1680;6.248702
1690;5.779120
1700;6.197906
1710;6.005614
1720;6.145959
1730;5.699527
1740;6.030793
1750;5.782606
1760;5.566974
1770;5.900369
1780;5.273478
1790;5.511705
1800;5.395697
1810;5.172908
1820;5.177024
1830;5.277161
1840;5.503450
1850;4.927910
1860;5.086355
1870;5.363301
1880;5.012871
1890;4.658635
1900;4.603569
1910;4.732377
1920;4.579047
1930;4.878009
1940;4.294859
1950;4.743619
1960;4.831317
1970;4.201048
1980;4.316297
1990;4.357315
2000;4.440360
2010;4.059472
2020;3.761809
2030;4.062390
2040;3.899249
2050;3.820704
2060;3.961055
2070;3.533928
2080;4.094596
2090;3.915437
2100;3.892796
2110;3.647521
2120;3.487342
2130;3.742780
2140;3.474431
2150;3.165925
2160;3.844189
2170;3.316135
2180;3.225226
2190;3.434864
2200;3.182022
2210;3.224210
2220;3.129351
2230;3.042581
2240;2.777434
2250;2.730800
2260;3.259108
2270;3.471747
2280;2.966760
2290;3.150931
2300;3.148924
2310;3.059124
2320;3.069397
2330;3.202899
2340;3.035096
2350;2.524333
2360;2.291033
2370;2.668446
2380;2.654478
2390;2.589521
2400;2.786020
2410;2.190658
2420;2.529921
2430;2.736300
2440;2.434030
2450;3.063656
2460;2.664283
2470;2.026021
2480;2.691029
2490;2.040717
2500;2.480535
2510;2.254417
2520;2.563690
2530;2.237201
2540;2.288298
2550;2.401316
2560;2.264956
2570;2.096952
2580;1.999069
2590;1.909804
2600;2.060443
2610;1.919356
2620;1.968404
2630;1.931415
2640;1.849731
2650;2.378051
2660;1.871354
2670;1.874086
2680;2.137469
2690;1.999264
2700;2.165625
2710;1.814712
2720;2.114570
2730;1.773859
2740;1.941929
2750;2.176688
2760;1.601636
2770;1.813072
2780;1.515718
2790;1.817340
2800;1.652286
2810;1.802335
2820;1.664494
2830;1.552249
2840;1.482403
2850;1.445660
2860;1.606324
2870;1.395099
2880;1.671177
2890;1.978018
2900;1.346045
2910;1.590361
2920;1.399693
2930;1.400004
2940;1.373613
2950;1.249102
2960;1.445203
2970;1.169718
2980;1.251171
2990;1.425800
3000;1.332280
3010;1.453067
3020;1.159283
3030;1.419339
3040;1.088787
3050;1.088072
3060;1.196001
3070;1.191784
3080;1.045576
3090;0.865137
3100;1.298060
3110;0.954543
3120;1.083016
3130;1.170652
3140;1.350091
3150;1.121967
3160;0.948851
3170;1.445201
3180;0.917292
3190;0.822097
3200;1.011719
3210;0.779066
3220;1.102555
3230;0.989920
3240;0.840361
3250;0.494866
3260;1.246141
3270;1.096044
3280;1.290233
3290;1.732531
3300;0.644136
3310;0.850915
3320;0.834820
3330;0.748480
3340;0.798398
3350;0.861153
3360;0.954950
3370;1.069713
3380;0.965664
3390;0.771430
3400;1.121141
3410;1.022017
3420;0.783137
3430;0.730390
3440;1.028845
3450;0.879201
3460;0.497166
3470;1.211686
3480;0.304026
3490;0.937167
3500;0.883507
3510;1.197553
3520;0.813635
3530;0.881973
3540;0.583370
3550;0.764754
3560;0.982183
3570;0.558848
3580;0.812289
3590;0.510716
3600;0.544392
3610;0.473177
3620;0.638908
3630;0.674238
3640;0.876121
3650;0.799047
3660;0.382735
3670;0.640419
3680;0.629798
3690;0.434039
3700;0.346503
3710;0.653785
3720;0.708751
3730;0.887262
3740;0.973856
3750;0.119773
3760;1.020670
3770;0.666305
3780;0.331613
3790;0.338812
3800;0.910324
3810;0.497462
3820;0.963820
3830;1.296401
3840;0.431250
3850;0.382042
3860;0.336579
3870;0.364537
3880;0.556282
3890;0.411075
3900;0.357806
3910;0.479928
3920;0.140056
3930;0.489401
3940;0.664134
3950;0.426551
3960;0.647529
3970;0.750122
3980;0.539101
3990;0.168417
4000;0.729837
4010;0.280762
4020;0.600939
4030;0.421009
4040;0.216063
4050;0.410691
4060;0.433493
4070;0.185985
4080;0.455922
4090;0.697188
4100;0.637183
4110;0.391850
4120;0.273114
4130;0.404195
4140;0.112325
4150;0.238346
4160;0.266743
4170;0.539577
4180;0.590508
4190;0.414414
4200;0.805182
4210;0.738509
4220;0.130611
4230;0.169479
4240;0.118943
4250;0.218772
4260;0.223930
4270;0.546816
4280;0.199934
4290;0.522940
4300;0.495195
4310;0.383165
4320;0.550764
4330;0.170679
4340;0.339992
4350;0.630649
4360;0.060074
4370;0.672516
4380;0.341178
4390;0.472957
4400;0.228410
4410;0.504350
4420;0.441105
4430;0.353217
4440;0.021140
4450;0.560353
4460;0.258495
4470;0.347205
4480;0.288164
4490;0.406174
4500;0.237912
4510;0.343156
4520;-0.117298
4530;0.173150
4540;0.192675
4550;0.128991
4560;0.349847
4570;0.214680
4580;0.707282
4590;0.244196
4600;0.300088
4610;0.265795
4620;0.282087
4630;0.230354
4640;0.573915
4650;0.154606
4660;-0.001477
4670;0.152027
4680;0.461427
4690;0.348681
4700;0.186951
