Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.157524;-0.055687;-0.918330;-0.079600;-0.311041
-390;0.614371;-0.024119;-0.087555;-0.609730;-0.858814
-380;0.555063;-0.838553;0.422374;-0.679959;-0.529875
-370;0.223935;-0.603316;0.488949;-0.067090;-0.101444
-360;0.111921;-0.192674;0.064704;-0.090377;-0.142087
-350;0.233143;0.101193;-1.181492;-0.060060;-0.894773
-340;-1.005285;0.270521;-0.428201;0.729740;0.479069
-330;-0.498394;0.551838;-0.480027;0.976620;0.142922
-320;0.188178;-0.074831;0.010115;-0.283790;-0.037293
-310;-0.395556;-0.088340;-0.253732;-0.614219;-0.010057
-300;-0.454258;-0.214543;0.080454;-0.168810;-0.002510
-290;0.927985;0.062896;0.866977;0.467673;-0.702625
-280;0.365637;-0.105629;-0.322853;0.007870;-0.415290
-270;-0.046950;0.157176;0.050497;-0.839364;0.085963
-260;0.031700;-0.328672;0.042006;-0.158334;0.183175
-250;0.191740;0.393938;-0.321493;0.495880;-0.123509
-240;-0.118331;0.674927;-0.202535;0.469536;0.131732
-230;0.232774;-0.474339;0.322712;-0.141368;-0.491167
-220;-0.889103;0.312110;0.242522;0.466842;0.164373
-210;-0.778325;-0.434331;-0.811534;0.421682;0.174779
-200;-0.031249;-0.106286;0.310777;0.465522;0.207106
-190;-0.552657;-0.648354;0.346518;-0.544323;-0.056604
-180;-0.469794;0.312101;-0.493142;0.414796;-0.313888
-170;-0.209936;0.750301;0.268938;0.090165;0.634768
-160;-0.559768;0.080086;0.025057;-0.603768;0.401127
-150;0.214658;-0.139927;0.212691;0.401457;-0.223637
-140;-0.163177;-0.528180;0.137934;-0.425893;-0.126286
-130;0.060837;-1.395956;-0.768906;-0.813183;-0.109513
-120;-0.347392;-0.053675;-0.199217;-0.702572;-0.230131
-110;-0.560755;-0.070806;-0.565024;0.041199;0.415846
-100;0.775990;-0.465975;-0.426539;-0.292946;-1.308501
-90;0.170600;-0.415487;0.458017;-0.715843;-0.413147
-80;-0.021442;-0.523734;-0.538857;-0.896091;-0.534245
-70;0.317266;-0.277719;-0.338792;-0.408959;0.195747
-60;-0.725806;0.505225;-0.841271;-0.453965;-0.600234
-50;0.026780;0.407586;-0.382891;-0.606781;-0.633167
-40;1.091575;0.250197;0.608786;0.893766;0.099536
-30;1.675613;1.923715;2.377414;1.694139;2.278350
-20;3.849290;3.210153;4.179620;3.231958;3.335289
-10;7.394184;7.376307;6.460908;6.731713;7.614451
0;11.476328;10.924066;10.610305;10.270705;10.484482
10;15.258302;14.804376;15.411963;15.640170;14.087490
20;19.885422;18.613626;17.798841;17.590257;17.671859
30;22.909174;22.420363;21.921242;21.807463;20.886416
40;27.643157;26.158071;26.293640;24.366843;23.678219
50;30.522226;30.333308;29.841852;28.520607;28.063920
60;34.001019;33.127770;33.316117;31.180535;31.831130
70;37.776971;36.693538;36.349128;34.853008;34.416966
80;40.674836;40.303711;39.926880;37.895188;37.398011
90;43.513161;42.146014;40.202190;40.133104;39.329685
100;44.829220;44.355419;42.118689;42.132949;41.024110
110;44.590070;44.942245;43.106343;40.874376;40.606377
120;43.645327;43.807842;41.790570;41.051622;40.674090
130;43.891568;42.782353;41.672745;40.480686;40.741041
140;43.173353;42.470154;42.287119;40.310169;38.459668
150;42.403060;41.223544;40.314357;39.825582;39.870900
160;41.956050;41.070788;41.397652;39.265715;39.343986
170;41.793820;41.779692;40.196978;38.727337;37.967530
180;40.275065;40.189852;39.297133;38.252584;37.877462
190;40.067174;39.454853;38.768577;38.217870;37.157439
200;40.028724;39.572366;38.431947;37.287609;37.207775
210;39.591368;38.806480;38.277250;36.060780;37.340020
220;38.909600;37.647002;38.355742;36.589641;35.886867
230;38.534663;37.312835;37.927643;35.407505;35.022180
240;38.148702;37.525775;36.629236;35.713650;34.580419
250;38.888890;37.164361;35.501576;35.242460;34.294562
260;36.353433;36.346875;35.712572;34.280197;34.269012
270;36.844042;35.399607;34.658801;34.289227;34.447735
280;37.275313;34.102853;35.230350;33.277366;32.715700
290;36.480329;35.679135;34.998495;33.968661;33.537474
300;34.895346;34.239623;33.712284;31.785569;31.904055
310;33.833600;33.639433;32.898568;32.211824;31.927410
320;34.621766;34.660045;33.202535;32.538837;31.150868
330;34.706047;32.334031;32.380350;31.163651;32.177533
340;33.746751;33.201796;32.748757;31.128437;31.111457
350;33.233018;32.510975;30.751290;31.006802;30.407853
360;32.693812;31.855225;31.313730;30.857674;29.919093
370;32.561550;31.228372;30.760233;30.275751;29.741729
380;31.872090;30.799211;29.626187;29.596242;28.919334
390;31.307775;31.059392;30.894297;29.727480;29.054529
400;32.205335;31.136575;30.562763;29.533133;28.364352
410;30.620202;30.235948;30.500741;29.763671;29.251164
420;30.556826;28.770453;29.193285;29.043668;28.936733
430;29.910044;29.724228;29.643157;28.881399;27.388752
440;29.623169;28.503776;28.761532;27.028646;26.733056
450;28.804679;28.207769;27.716540;27.535951;27.489862
460;29.886647;29.029068;27.329500;26.710678;27.152094
470;28.954965;27.946730;27.259788;26.111242;26.394709
480;27.808082;26.521336;27.954008;26.394284;25.671275
490;29.039466;27.200878;26.680717;26.034160;25.652716
500;28.070027;26.834234;26.892459;25.538195;25.995128
510;27.384908;26.848140;26.294427;24.455763;25.031260
520;27.052771;26.161419;26.681676;25.082984;24.425488
530;26.711382;26.396860;25.501612;24.255238;24.510727
540;26.198028;25.425962;24.945778;24.520827;24.203638
550;26.229737;25.451680;25.281667;24.700783;24.414047
560;26.578297;25.207305;24.283207;23.501489;23.794667
570;24.930668;24.737696;24.222604;23.198763;23.514438
580;25.655974;23.591622;23.843432;23.694767;24.024651
590;23.851021;23.847986;23.552042;23.432400;22.087062
600;24.633873;24.275871;24.178860;22.630682;21.463478
610;23.832341;23.901018;22.764611;22.329942;21.830900
620;23.878904;23.162664;22.839830;22.887394;20.799632
630;23.482822;22.408459;22.519504;21.114854;21.736320
640;23.140350;22.309992;22.474170;22.019825;21.423631
650;24.354896;22.541860;23.125845;21.688334;21.287474
660;22.087236;22.971197;20.764543;21.148201;20.493859
670;22.333958;22.180350;21.826277;20.717302;20.654142
680;22.468664;21.046831;20.555024;21.278654;20.012129
690;21.837070;21.646636;19.956335;20.889032;20.528264
700;21.714981;20.612867;20.735564;19.651507;19.885200
710;22.983563;21.000015;20.912145;20.163321;19.569239
720;20.804667;21.368591;21.167148;19.280975;19.725731
730;20.669689;20.605878;20.420874;19.350062;17.872358
740;19.934740;20.747579;19.578567;19.186348;19.260793
750;21.024083;20.296156;20.093635;18.328633;19.491671
760;19.699758;19.751049;19.215072;18.514011;18.902396
770;19.395751;19.648541;19.094377;18.153444;18.603996
780;19.679279;19.283311;18.682289;19.085327;17.829033
790;19.608520;18.997137;19.177446;18.452402;17.344725
800;18.869551;17.713867;18.312525;17.934335;16.873918
810;19.003795;17.696527;18.801642;18.131601;16.608548
820;18.776528;18.630069;17.185566;16.730094;16.947015
830;18.507203;18.211979;18.379992;16.858542;17.253447
840;18.917119;17.539449;17.649604;16.979800;16.718690
850;18.487450;18.349898;16.473854;16.180036;16.223825
860;18.050639;18.262169;16.707077;15.498164;16.065707
870;17.223723;17.188638;16.595532;16.549307;15.884477
880;17.154626;16.631662;17.050989;15.859407;14.781214
890;17.533594;17.241000;16.588115;16.614589;15.571374
900;17.006732;16.575030;15.811931;15.833535;16.427826
910;16.874555;16.429962;16.336499;15.459952;14.439909
920;17.035206;16.793885;16.452897;15.210952;15.457092
930;16.199431;15.470788;15.224850;15.545132;15.488958
940;15.249175;15.678136;15.172689;14.524420;14.935363
950;16.566648;15.791692;15.771856;14.557013;15.116158
960;15.856636;15.878542;14.733992;14.137699;15.063514
970;15.590130;15.492622;14.436866;15.031234;13.951297
980;15.135163;15.641225;15.388991;14.858973;13.682689
990;15.288501;15.223323;14.880296;13.713591;14.081914
1000;14.727974;14.587700;13.982075;13.370993;14.156409
1010;15.031285;13.925533;13.670174;14.453626;12.851081
1020;14.133512;14.783740;14.212242;13.505493;13.227733
1030;14.471937;14.367153;14.261108;13.186442;12.890434
1040;14.909455;12.990568;14.612420;13.064217;12.533732
1050;13.817302;14.862691;13.330726;13.179018;12.290264
1060;14.169388;13.578715;13.539559;12.265238;12.472029
1070;14.541888;14.389543;12.870664;12.346905;13.115563
1080;13.867819;13.405591;12.592987;13.032200;12.085136
1090;13.094135;12.825427;12.190177;11.966591;12.935939
1100;12.997051;11.865839;12.787351;12.675517;11.338553
1110;12.756311;13.020765;12.648114;11.701883;12.152094
1120;13.404125;11.592271;11.659036;13.167517;11.533868
1130;12.544416;12.350835;12.534143;11.432108;11.933677
1140;13.052244;12.194013;11.620794;12.542708;11.884132
1150;12.264559;12.998068;11.412127;11.531686;11.993919
1160;13.234317;11.743273;11.396148;11.091937;10.757807
1170;12.278501;11.735410;11.639420;11.716298;11.413686
1180;11.325354;12.411912;11.285203;11.742805;10.639569
1190;12.254101;11.812968;11.075697;10.809471;11.146402
1200;12.001179;11.835429;11.679464;10.725466;11.101005
1210;12.000519;11.860958;12.096965;11.371836;10.746763
1220;11.552991;11.558794;10.626316;10.458079;10.081800
1230;11.862850;11.620222;10.746723;10.068947;10.119741
1240;10.050664;11.178002;11.464731;11.212850;10.472504
1250;10.818586;11.002113;11.110115;10.573749;9.098184
1260;10.693343;10.017899;10.483600;10.657741;9.571761
1270;10.966968;10.122474;9.799490;9.856874;9.778032
1280;10.946379;10.632650;9.771419;10.146454;9.703179
1290;10.476462;10.315780;10.328324;9.744056;9.902386
1300;10.844308;11.175798;9.603629;9.870360;10.004427
1310;10.067638;9.481273;10.222398;9.397177;9.913958
1320;9.471537;9.579995;9.133839;8.682385;9.530349
1330;9.803364;9.715228;9.726835;9.845970;8.888844
1340;9.236197;9.582269;9.888926;9.260455;9.130256
1350;9.984382;8.920117;9.046902;9.073462;9.203867
1360;9.488696;9.526590;9.209425;9.104212;8.667642
1370;9.145746;8.593699;9.406643;8.073740;9.032309
1380;9.310813;8.204208;8.697591;8.841320;9.093414
1390;9.457661;9.043072;8.810235;7.981616;8.628194
1400;9.353974;9.154043;9.305325;8.674630;8.437562
1410;9.295998;8.479565;8.152577;9.071407;8.281974
1420;8.887436;8.982114;8.716416;8.814243;8.571700
1430;9.344911;8.542829;8.468039;7.585950;7.865201
1440;8.999351;9.391001;8.698868;7.535337;7.495309
1450;9.447859;8.177256;8.115546;7.730429;7.804752
1460;8.423956;7.858405;8.686175;7.141131;7.228104
1470;8.245183;8.638542;7.515479;7.850988;7.442499
