Laser Delay [ns];TA [mOD]
-400;-0.481634
-390;0.137303
-380;-0.269827
-370;0.449149
-360;0.501232
-350;0.315849
-340;-0.215381
-330;0.217382
-320;-0.397729
-310;-0.524136
-300;-0.083087
-290;0.350149
-280;-0.318134
-270;0.148791
-260;-0.012601
-250;-0.263226
-240;0.373244
-230;0.261779
-220;0.262100
-210;-0.145734
-200;-0.124599
-190;-0.594929
-180;-0.263438
-170;-0.083550
-160;-0.123431
-150;-0.573396
-140;-0.500470
-130;-0.134901
-120;0.021679
-110;0.205755
-100;-0.476558
-90;-0.044919
-80;-0.097599
-70;-0.100635
-60;-0.450550
-50;-0.290202
-40;0.213087
-30;1.373641
-20;4.266717
-10;7.983650
0;11.222944
10;15.674126
20;19.103891
30;23.875467
40;27.511475
50;30.909992
60;34.889472
70;39.021170
80;41.753390
90;44.632625
100;46.383315
110;45.712950
120;45.737331
130;44.971800
140;44.539086
150;44.522777
160;43.524119
170;43.247821
180;42.651524
190;42.109900
200;41.717680
210;41.691514
220;40.739221
230;40.592507
240;40.200597
250;39.117873
260;39.663036
270;38.877096
280;38.169445
290;38.181844
300;37.709510
310;36.971190
320;37.198517
330;36.316197
340;35.848515
350;35.644666
360;35.370443
370;34.901476
380;34.743006
390;33.807447
400;33.840597
410;33.427231
420;33.228805
430;33.107676
440;32.484208
450;32.135731
460;31.538042
470;31.397049
480;31.198118
490;30.999614
500;30.358598
510;30.251781
520;30.085249
530;29.822080
540;29.335668
550;28.521292
560;28.901307
570;28.300001
580;28.148201
590;28.018247
600;27.023530
610;27.054126
620;26.555999
630;27.052184
640;26.928719
650;26.004156
660;25.823776
670;25.530922
680;25.722347
690;25.033965
700;24.953377
710;24.445732
720;23.715283
730;23.855897
740;24.096455
750;23.239324
760;23.633486
770;22.512370
780;22.776342
790;22.622061
800;21.939583
810;22.399835
820;21.842726
830;21.237441
840;21.475457
850;21.021544
860;20.980838
870;20.935343
880;20.583598
890;20.242405
900;20.176038
910;19.287766
920;18.978401
930;19.508936
940;18.867280
950;18.900257
960;18.685686
970;18.612366
980;18.331172
990;17.962231
1000;17.882373
1010;17.871038
1020;17.559768
1030;17.562233
1040;17.432830
1050;16.461197
