Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.469203;-0.448849;-0.967120;0.848315;-1.371313
-390;1.275228;0.154867;0.175912;-0.459583;-0.459911
-380;0.073160;-0.214465;-0.010974;-0.516705;-0.680153
-370;0.600120;0.526137;0.527671;0.657293;-0.065474
-360;-0.770121;0.623987;1.393411;1.192140;0.066742
-350;0.572879;0.045664;0.982988;-0.400708;0.378423
-340;-0.567111;-0.233681;-0.251750;0.478538;-0.502900
-330;0.075632;-0.462744;0.751453;1.079990;-0.357421
-320;-0.538373;-0.942860;0.690037;-0.490070;-0.707380
-310;-0.063169;-2.148583;-0.654876;0.088498;0.157452
-300;-1.002671;0.823737;-0.645388;0.315508;0.093377
-290;0.989494;-0.347574;-0.380331;1.178692;0.310463
-280;0.341622;-0.943074;-0.528589;-0.418717;-0.041915
-270;0.017058;-0.840501;0.206022;0.544702;0.816676
-260;0.368540;0.600907;-0.337493;0.221993;-0.916953
-250;0.234254;-0.159758;-0.535972;-0.497842;-0.356810
-240;0.471532;-0.577263;0.508655;0.495016;0.968281
-230;-0.460439;1.031467;-0.069694;0.160161;0.647401
-220;0.478734;0.824910;0.240124;-0.184891;-0.048379
-210;0.508756;-0.372421;-0.695483;-0.311231;0.141707
-200;-0.673340;0.412165;-1.022416;-0.710572;1.371170
-190;-0.151817;-2.491079;-0.086605;-0.386447;0.141302
-180;0.344151;-0.936698;0.651244;-0.510117;-0.865767
-170;-1.189250;0.592762;0.421030;0.365748;-0.608040
-160;-0.674520;-1.344272;0.593508;0.339455;0.468675
-150;-1.457371;-0.098459;1.043559;-0.480563;-1.874145
-140;-0.299951;-0.026771;-0.550759;-1.590274;-0.034596
-130;0.191487;-0.570095;-0.095486;-0.747216;0.546805
-120;-0.271727;-0.016188;0.042318;-0.249894;0.603886
-110;-0.158446;0.993592;-0.634738;0.508955;0.319410
-100;-0.567137;-0.347052;-0.984548;0.046183;-0.530237
-90;-0.183167;0.299181;-0.348230;-0.386312;0.393931
-80;-0.571987;-0.954729;1.224209;0.166306;-0.351794
-70;1.476511;-0.407309;-0.874262;-0.562832;-0.135282
-60;-0.914363;-1.420512;-0.172717;-0.372757;0.627597
-50;-0.002592;-0.106221;-0.837619;0.011406;-0.515984
-40;-0.013876;0.509307;0.180531;0.233333;0.156142
-30;1.533074;1.708296;0.204548;2.376888;1.045398
-20;4.623032;5.226258;4.737569;3.940969;2.805755
-10;7.668342;7.821654;7.987181;8.678071;7.763003
0;9.915946;12.241102;12.205912;11.021129;10.730632
10;15.310853;15.238724;16.359611;15.610790;15.850651
20;18.134316;19.006287;19.561569;18.934791;19.882495
30;23.703161;24.500801;23.932177;24.175767;23.065425
40;26.555255;28.223627;27.390969;28.840991;26.546532
50;30.367465;30.635915;31.690888;30.581458;31.274235
60;33.459123;34.381250;35.656057;35.692986;35.257944
70;38.005872;39.002059;39.788477;39.138352;39.171091
80;41.115879;42.130180;42.543299;42.771554;40.206039
90;43.415444;45.434799;44.357592;45.208612;44.746676
100;45.304023;46.078094;47.177031;46.712712;46.644714
110;44.746722;45.114201;46.781963;46.701337;45.220528
120;44.637664;45.773883;46.298397;46.739754;45.236956
130;44.553336;44.318092;45.598923;45.016622;45.372028
140;43.367370;44.198313;45.025708;45.402226;44.701812
150;43.340357;44.952472;44.883907;44.929527;44.507623
160;43.490988;43.949337;43.597511;43.794986;42.787772
170;42.711571;43.640241;42.995721;44.228532;42.663040
180;41.141375;42.890651;43.484928;42.566013;43.174655
190;41.117395;41.557471;42.937593;43.495110;41.441929
200;40.866929;41.895185;42.344030;42.409328;41.072929
210;40.810236;42.546997;41.121873;41.833066;42.145398
220;39.865561;40.581128;41.739469;41.307886;40.202061
230;39.476447;40.371118;41.324057;42.039446;39.751467
240;38.881993;40.497953;40.554625;41.511284;39.557130
250;38.262897;38.289081;39.207842;40.055676;39.773868
260;39.325318;38.530905;40.284007;39.847591;40.327357
270;38.031970;38.994043;38.869805;39.342310;39.147354
280;38.423525;38.431211;38.217783;38.561660;37.213046
290;37.031773;39.340799;37.925214;37.895980;38.715455
300;36.412401;38.070773;38.088847;37.675059;38.300467
310;34.281837;37.296955;38.381391;37.939100;36.956668
320;35.454205;37.128377;37.831398;38.409541;37.169065
330;35.056150;35.964832;38.121091;36.819503;35.619409
340;34.872282;36.238514;36.209389;36.174576;35.747813
350;34.370767;35.866887;35.763500;36.295091;35.927084
360;33.801087;35.484750;35.273004;36.197531;36.095843
370;33.184917;35.109215;35.908656;35.721655;34.582935
380;33.796284;34.975042;35.640708;35.404002;33.898994
390;32.943230;33.192422;34.567481;33.853901;34.480202
400;31.958764;34.710149;34.330457;34.671270;33.532345
410;32.911570;33.323020;34.093838;32.802185;34.005542
420;32.165872;33.357900;32.920229;34.666488;33.033536
430;31.792039;34.032289;33.624778;33.017795;33.071477
440;30.794519;32.850475;33.549739;32.754538;32.471770
450;31.357616;32.082567;33.089224;32.657744;31.491507
460;30.800278;31.596237;31.349064;32.562665;31.381964
470;30.596117;30.623324;32.065276;31.679269;32.021259
480;29.656826;32.296841;31.315651;31.820172;30.901102
490;30.836393;30.687366;30.627914;31.952982;30.893417
500;29.421160;30.482944;30.772683;31.525986;29.590218
510;28.566190;30.191248;30.839603;31.241795;30.420067
520;30.056512;29.360319;30.192551;30.147353;30.669508
530;29.750506;29.111436;30.124358;30.401748;29.722352
540;27.957223;29.498809;29.250451;30.372325;29.599530
550;27.960379;28.383148;28.797279;28.968482;28.497170
560;28.760792;28.764430;29.013249;29.555005;28.413057
570;27.256579;28.115471;27.683748;29.769687;28.674518
580;27.929843;27.984490;27.270313;29.299713;28.256647
590;27.478057;27.408316;27.708963;28.531032;28.964866
600;26.193250;27.387154;27.335392;27.924679;26.277177
610;27.215034;26.663697;27.769357;27.930363;25.692179
620;25.843945;26.492469;27.558911;26.721007;26.163661
630;25.892099;27.053584;28.485569;27.669765;26.159901
640;26.104921;27.731592;27.174721;27.056998;26.575361
650;25.972250;25.814016;26.276452;26.480513;25.477548
660;25.318700;25.453769;26.527812;26.443771;25.374827
670;24.199775;26.128571;26.138068;25.495038;25.693160
680;25.231526;25.920383;26.306664;25.461394;25.691767
690;24.741747;24.456289;25.581663;24.615867;25.774257
700;23.713213;25.111875;25.280949;25.313628;25.347221
710;23.337463;24.732967;24.470185;25.125444;24.562603
720;23.140094;23.448657;23.801927;23.960103;24.225633
730;22.880799;24.060051;24.603692;24.063483;23.671460
740;23.270730;23.560630;24.802565;24.495121;24.353228
750;21.893275;23.943258;23.674544;23.710189;22.975353
760;23.202309;23.711937;24.407157;22.829620;24.016408
770;20.989811;21.828941;23.342628;23.419172;22.981298
780;22.710252;22.371415;21.717938;23.228346;23.853758
790;21.814070;23.076931;22.224895;22.996466;22.997945
800;20.715147;22.499263;22.391102;22.198045;21.894358
810;21.846606;21.135590;23.556569;22.637519;22.822891
820;21.775037;21.054703;22.542251;21.648662;22.192975
830;20.158392;21.659705;20.724045;22.563121;21.081943
840;20.236597;22.269862;22.583219;21.206167;21.081442
850;20.406406;20.499965;21.344237;21.227063;21.630048
860;20.150118;21.682325;20.849368;20.745636;21.476742
870;20.126922;20.930742;21.469322;21.251333;20.898398
880;20.384105;21.386226;21.306838;19.921752;19.919067
890;20.082163;19.198442;20.321009;19.964263;21.646146
900;19.033939;20.431794;20.543167;20.717980;20.153309
910;17.919467;18.870441;19.749828;20.327636;19.571457
920;16.881879;20.142230;17.879804;20.051021;19.937071
930;18.286999;19.906197;19.908547;19.388432;20.054507
940;17.532044;18.961493;19.483263;19.084823;19.274778
950;18.450791;19.368055;18.411697;18.883013;19.387728
960;18.261930;18.585327;19.809974;18.461470;18.309731
970;17.427991;18.373403;19.774456;18.083330;19.402651
980;17.638555;18.944757;18.576775;17.911421;18.584354
990;17.361237;17.961873;18.572447;18.177461;17.738135
1000;18.085342;18.498639;17.540330;17.581024;17.706530
1010;16.598440;17.878500;17.755942;18.971765;18.150543
1020;16.434909;17.257404;17.764513;18.776209;17.565806
1030;16.345580;17.061650;18.476222;17.625967;18.301745
1040;16.291823;17.854279;19.107355;16.774136;17.136559
1050;15.743028;16.104227;17.505221;16.541350;16.412161
1060;17.138660;17.950714;18.176742;18.703175;17.742155
1070;15.914618;17.695396;17.213463;17.030158;16.862846
1080;17.044838;16.053387;17.302709;16.980745;16.264239
1090;15.531411;16.915640;15.859189;17.316225;16.664654
1100;15.872083;16.518729;15.373593;16.631294;15.994637
1110;15.584507;16.644150;16.601000;17.285273;15.945262
1120;16.223389;15.769572;16.878503;16.380603;15.977641
1130;15.852241;15.485990;15.671018;15.957640;16.410409
1140;15.177679;15.494944;16.469738;15.056778;16.789475
1150;15.629481;15.863356;15.661651;15.924048;15.794745
1160;15.166580;15.131754;15.558627;15.577392;14.684425
1170;14.815025;14.696006;15.839030;15.938442;15.706937
1180;14.413392;16.874582;15.168057;15.378686;15.003383
1190;14.409303;14.557041;14.266440;15.141154;15.027051
1200;13.469364;15.346222;14.998968;15.021763;14.730377
1210;13.394843;12.818608;13.943715;13.899987;15.351141
1220;13.694639;14.446589;15.053622;13.964229;13.989383
1230;13.400395;15.399270;14.631154;14.111917;14.683942
1240;13.049871;14.905918;14.163717;13.222803;14.538440
1250;13.562911;13.966656;13.543470;12.722798;13.526337
1260;12.447296;14.190685;13.025072;14.061420;14.035383
1270;12.066966;13.175261;13.484915;13.068505;13.743553
1280;13.044793;13.245586;12.885755;13.739613;13.782194
1290;13.018979;13.032057;14.805665;14.382303;13.488075
1300;12.116607;13.756161;13.315309;12.717431;12.392566
1310;13.042885;13.509181;13.216554;13.718649;12.347128
1320;11.574342;13.824645;13.008245;12.834682;13.293158
1330;12.026526;12.271491;12.822141;12.758233;12.211955
1340;12.950832;12.567387;12.121455;12.512949;13.180682
1350;13.264181;12.046471;12.712466;11.757043;12.266457
1360;12.087175;12.122692;12.688913;12.494194;12.441537
1370;12.359808;11.914881;12.003438;10.506748;11.750839
1380;11.956213;12.000878;12.778769;11.717193;12.094439
1390;11.176875;11.996157;11.360746;12.458811;12.454691
1400;11.179253;12.377884;13.379601;13.132418;12.716678
1410;12.136470;12.569799;11.867655;11.713975;12.182386
1420;10.179299;11.779538;11.722241;12.832496;10.288893
1430;11.191269;10.921919;10.459893;12.545978;11.785537
1440;11.973007;10.600235;12.509298;11.647056;10.424237
1450;10.877843;10.849801;11.254905;12.038749;11.516462
1460;9.871208;11.485859;11.217926;10.241525;11.641678
1470;10.561736;11.619583;11.458214;11.854504;11.107104
1480;11.084746;11.458353;9.647878;10.199990;10.868536
1490;10.326442;10.602952;11.854796;11.079789;11.483472
1500;10.478455;10.648071;11.247404;11.255693;10.416974
1510;9.968978;9.977936;11.776088;9.739233;10.719979
1520;10.077856;11.235711;10.531910;10.829285;12.192022
1530;9.920654;9.673477;10.421509;10.599155;10.608720
1540;8.680881;10.494614;10.534320;11.026096;10.193429
1550;10.094045;9.563860;10.229074;10.007583;9.871295
1560;9.030907;9.608914;9.432536;10.480691;9.757075
1570;9.129668;10.466395;9.664017;8.793582;10.411574
1580;10.433071;9.389827;10.487390;10.643398;10.574042
1590;9.498784;10.109826;9.930824;9.432227;9.299875
1600;9.239867;8.689522;10.037690;10.509068;9.569118
1610;8.729437;9.155375;9.244776;10.365422;8.496891
1620;9.015505;8.586429;9.683959;8.948122;9.234865
1630;8.931046;9.005891;8.652450;8.419210;8.961365
1640;8.006595;9.628563;10.190646;8.700875;7.813626
1650;9.056021;8.943518;9.150915;8.837996;7.808653
1660;7.828951;8.081414;9.447261;9.373070;9.818351
1670;8.081240;9.440242;10.253066;9.640120;9.385429
1680;8.928368;8.112551;8.981694;8.859483;9.636759
1690;8.281264;7.825995;8.799318;9.505610;8.769034
1700;9.186443;8.922111;8.354895;8.782122;7.943390
1710;9.374764;8.379934;10.535146;7.860759;8.440250
1720;9.154766;7.620662;8.073949;7.858242;8.689765
1730;9.078678;7.630513;8.100298;8.103247;8.550871
1740;7.934736;9.401706;7.613718;8.516965;8.749701
1750;9.471763;8.490163;7.882095;7.487177;8.500089
1760;8.204001;8.095170;8.850812;7.756288;8.111108
1770;7.886148;6.931577;8.805359;8.244457;8.649043
1780;6.578641;8.878472;8.541139;6.221416;8.172426
1790;7.950347;7.977605;8.103664;8.034186;8.120706
1800;7.347689;8.187293;7.132124;8.150792;7.014361
1810;6.677674;8.019524;7.156750;8.344088;7.080088
1820;6.358436;8.722573;7.456328;8.358255;8.164477
1830;7.621174;8.117487;7.179887;7.885168;7.499592
1840;7.703351;8.129068;7.251880;6.954018;7.007295
1850;6.689510;7.363388;7.704864;7.688698;8.513782
1860;6.936584;7.369308;7.022455;7.758272;6.779667
1870;7.478256;6.784645;6.988969;6.714374;7.223626
1880;7.890298;7.730629;7.478793;6.678930;6.103684
1890;7.085158;7.292369;7.268869;7.651623;6.634488
1900;5.549266;7.274169;6.787133;7.064984;7.179245
1910;6.910902;5.930097;6.833739;6.948957;7.162657
1920;6.170389;6.651815;6.230869;7.402333;6.957945
1930;5.400285;7.155976;5.486635;6.867234;6.430540
1940;7.734801;6.997142;7.363948;5.877742;8.287167
1950;6.023881;5.978452;6.150307;5.670077;6.709346
1960;6.200972;7.317972;6.053604;5.876497;6.846217
1970;6.498903;5.584366;6.777840;6.874134;7.074348
1980;6.539171;6.656636;5.436086;5.812974;7.347973
1990;5.601263;6.976226;6.382760;7.179408;6.233893
2000;5.870827;6.938502;5.523741;6.084219;6.456586
2010;6.682229;6.631988;6.926796;5.489386;5.134270
2020;5.063455;4.980530;6.009990;6.344415;5.682729
2030;6.198089;6.636014;6.332945;6.045281;5.731910
2040;6.136054;6.013006;6.317432;6.674926;6.550864
2050;5.984726;7.244178;5.561227;5.591611;6.048892
2060;6.254964;5.704399;7.250773;6.358958;5.613215
2070;4.953626;5.773305;5.994242;6.395949;6.260710
2080;5.038072;4.802205;6.332558;6.435541;6.014323
2090;5.712318;5.147023;5.411310;4.886059;5.012009
2100;5.286907;4.869136;5.404187;6.137382;5.453762
2110;4.988944;6.363854;5.064454;5.152297;5.478585
2120;4.859904;5.414803;5.867142;5.375519;4.915879
2130;4.897130;4.832043;6.230014;5.840700;5.245870
2140;6.603203;6.332471;6.476916;5.714321;5.627975
2150;4.182001;4.836736;5.843646;5.655927;5.323241
2160;5.435427;4.837772;4.649763;4.140140;5.018581
2170;4.375737;4.459796;4.589573;6.426208;4.707293
2180;6.034680;5.856778;5.646968;4.840695;5.958314
2190;6.193965;5.364022;5.101476;6.412846;5.126658
2200;4.842518;4.984672;4.414741;5.082303;4.699745
2210;5.152110;4.806106;5.340972;5.114183;5.908114
2220;4.944677;4.734249;4.789497;5.407883;5.506878
2230;5.733402;5.074816;5.421038;5.764195;4.829829
2240;6.017521;4.849739;4.017732;5.840217;6.033948
2250;5.459553;4.966172;5.295365;5.089743;5.226286
2260;4.473909;5.529889;5.072085;3.323389;3.999254
2270;4.909339;4.603327;4.632436;4.499389;4.697108
2280;3.906738;4.763164;5.845861;4.865302;5.721476
2290;4.315907;6.005955;5.766878;4.496919;4.517118
2300;4.658783;3.378158;4.346233;5.269379;5.258304
2310;5.181194;5.504438;4.815937;4.929856;5.059434
2320;3.091908;4.208066;4.386838;4.692924;5.209710
2330;4.781972;4.362264;5.209519;3.140961;4.661485
2340;3.845766;4.437670;4.765566;5.246558;4.464199
2350;4.720434;4.993720;3.315713;4.638004;4.146643
2360;3.013284;4.017924;4.361027;4.267874;4.507744
2370;4.284274;4.853161;5.725177;4.947237;3.182089
2380;3.934194;4.836850;2.865243;4.424861;4.479200
2390;2.764229;3.624469;5.883923;3.863597;4.363802
2400;4.038259;4.564348;4.397470;4.028364;4.855919
2410;2.717381;3.829994;3.898591;4.143979;5.001427
2420;3.995391;3.456213;4.735689;4.725597;4.608400
2430;3.853135;4.645677;3.939362;4.212760;3.876585
2440;3.212615;3.883369;3.242146;3.262970;4.593659
