Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.460396;-0.511817;0.349102;0.330908;-0.316809
-390;-0.231014;-0.401347;-0.536481;-0.167786;0.606918
-380;0.064361;-0.362843;-0.338022;-0.326077;-0.261831
-370;-0.051548;-0.461107;0.239750;0.070828;-0.077973
-360;-0.157384;-0.108935;-0.401590;0.263838;0.169262
-350;0.605629;0.142234;-0.716664;-0.094527;0.866281
-340;0.145692;-0.284246;-0.478846;-0.091239;0.261258
-330;-0.143175;0.314848;-0.638680;0.716980;-0.227692
-320;-0.290737;-0.413888;-0.025545;-0.630747;0.238349
-310;0.340590;-1.182012;-0.103167;0.115556;-0.501850
-300;-0.898258;-0.573302;-0.555457;-0.360906;-0.373506
-290;-0.390793;-0.190744;-0.220670;0.270303;-0.493144
-280;0.195078;-0.392742;0.582508;-0.468355;0.323117
-270;-1.044657;-0.136920;0.737802;-0.283649;-1.060524
-260;0.050891;-0.279128;-0.063497;-0.531424;-0.312346
-250;0.644827;-0.329268;0.063501;-0.054359;0.317627
-240;-0.668257;-0.045410;-0.618771;-1.121200;-0.449751
-230;0.044979;-0.416270;-0.229376;-0.651267;-0.345805
-220;-0.031098;0.564441;-0.092383;-1.065923;-0.132191
-210;-0.192051;0.460562;-0.130042;0.324717;0.315799
-200;-0.256188;-0.634730;0.050091;-0.138205;-0.140011
-190;-0.399467;-0.188441;-0.352946;0.280497;0.079233
-180;-0.471172;-0.195641;-0.594236;-0.344722;-0.636621
-170;-0.724063;-0.153705;0.032183;0.022482;0.096288
-160;-0.289569;0.042376;-0.502472;-0.370641;-0.052731
-150;-0.050626;-0.323425;-0.285629;-0.229684;-0.244642
-140;-0.182945;-0.420009;-0.456364;0.390454;-0.121134
-130;-0.220266;-0.560258;-0.190417;-0.060414;0.065211
-120;-0.266859;-0.525298;0.123520;-0.138454;-0.260496
-110;-0.676154;0.290126;-0.376825;-0.096087;-0.141049
-100;-0.186848;-0.285639;-0.374446;-0.622071;-0.146648
-90;0.236361;-0.671843;0.073560;0.162201;-0.602267
-80;-0.798777;-0.503326;-0.145230;-0.103607;-0.332850
-70;0.521241;-0.182004;-0.457534;0.339501;-0.358929
-60;0.307398;-0.566714;-0.582646;0.075307;-0.444892
-50;-0.423512;0.387042;-0.999228;-0.394313;-0.833616
-40;-0.259915;-0.451652;-0.034986;-0.338630;-0.147693
-30;1.065376;0.387584;0.787371;0.331190;0.505865
-20;2.366733;2.032975;1.743153;2.107063;2.045159
-10;3.289950;3.854492;3.791413;3.419869;3.986392
0;6.506448;5.233520;5.482195;5.835643;6.336789
10;8.230411;7.470070;7.910907;7.796055;7.568823
20;9.665362;9.565176;10.232265;9.600979;10.280534
30;11.962464;11.963341;11.612450;12.152352;12.163905
40;13.569406;13.402094;14.180704;14.126171;14.020536
