Laser Delay [ns];TA [mOD]
-400;0.139709
-390;-0.526333
-380;-0.217592
-370;-0.097990
-360;-0.439795
-350;-0.467569
-340;-0.243145
-330;-0.428381
-320;-0.005143
-310;-0.077381
-300;0.007978
-290;0.128300
-280;-0.239710
-270;-0.284500
-260;-0.435332
-250;-0.273141
-240;-0.294969
-230;-0.316889
-220;-0.273794
-210;-0.125977
-200;-0.290891
-190;-0.120538
-180;-0.414103
-170;-0.285735
-160;-0.310636
-150;-0.367889
-140;-0.325225
-130;-0.359383
-120;-0.319196
-110;-0.398713
-100;-0.077958
-90;-0.603323
-80;-0.300342
-70;-0.257661
-60;-0.219946
-50;-0.281794
-40;0.143024
-30;0.796430
-20;1.630471
-10;3.242977
0;4.986542
10;6.987266
20;9.070529
30;10.850617
40;12.946454
50;14.295574
60;15.858155
70;17.651855
80;19.679663
90;20.288015
100;20.774529
110;20.967690
120;20.758361
130;20.875852
140;20.396152
150;20.218652
160;20.012099
170;19.551089
180;19.532325
190;19.175171
200;19.250195
210;18.730944
220;18.716392
230;18.418665
240;18.134292
250;18.141794
260;17.609344
270;17.596029
280;17.463032
290;16.935104
300;17.110264
310;16.717465
320;16.382625
330;16.262545
340;16.299190
350;15.979186
360;15.642624
370;15.347967
380;15.323597
390;15.125017
400;14.834731
410;14.682604
420;14.711424
430;14.621499
440;14.266122
450;14.160334
460;13.829802
470;13.867048
480;13.798913
490;13.432228
500;13.325004
510;13.086474
520;12.898466
530;12.939179
540;12.669574
550;12.700783
560;12.574270
570;12.215447
580;12.238870
590;11.798248
600;11.863504
610;11.924177
620;11.712334
630;11.679072
640;11.320979
650;10.842568
660;10.925857
670;10.612459
680;10.782725
690;10.796616
700;10.613639
710;10.600365
720;10.362071
730;10.415133
740;10.206957
750;10.050993
760;10.110263
770;9.655247
780;9.486222
790;9.821944
800;9.359974
810;9.422559
820;9.392948
830;8.862606
840;9.391942
850;8.958725
860;8.793564
870;8.687756
880;8.840763
890;8.451677
900;8.472084
910;8.414608
920;8.317372
930;8.050178
940;7.957062
950;7.932108
960;7.993594
970;7.598396
980;7.848561
990;7.675618
1000;7.698396
1010;7.570736
1020;7.171505
1030;7.494901
1040;7.210504
1050;7.257053
1060;7.032420
1070;6.987285
1080;6.697229
1090;6.886479
1100;6.830248
1110;6.845005
1120;6.415168
1130;6.433631
1140;6.463708
1150;6.177925
1160;6.201133
1170;6.402540
1180;6.192424
1190;6.368562
1200;6.021604
1210;5.573485
1220;6.195419
1230;5.885306
1240;5.880977
1250;5.903604
1260;5.739348
1270;5.517406
1280;5.633859
1290;5.586855
1300;5.428788
1310;5.330250
1320;5.443059
1330;5.511267
1340;5.021656
1350;5.236801
1360;5.187084
1370;4.905733
1380;4.959809
1390;4.965454
1400;5.135113
1410;4.683287
1420;5.087221
1430;4.784735
1440;4.733456
1450;4.383359
1460;4.806154
1470;4.754697
1480;4.962223
1490;4.666858
1500;4.663843
1510;4.533899
1520;4.666939
1530;4.177915
1540;4.455212
1550;4.411168
