Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.193023;0.273127;-0.213301;0.368577;0.077117
-390;-0.447668;-0.654047;-0.528837;-1.157135;0.156021
-380;0.039018;-0.349289;-0.377553;0.155886;-0.556024
-370;0.302189;-0.561255;0.205239;-0.223586;-0.212536
-360;-0.140398;-0.680090;-0.216312;-1.023458;-0.138717
-350;-0.050456;-0.970342;-0.030815;-0.748583;-0.537647
-340;-0.380391;-0.358248;0.217666;-0.085707;-0.609043
-330;-0.354478;-0.087678;-1.118396;-0.757654;0.176302
-320;0.470626;-0.008496;-0.109855;0.003600;-0.381588
-310;-0.105196;-0.479727;-0.550911;0.459912;0.289019
-300;-0.067823;-0.272805;0.198997;0.220569;-0.039045
-290;0.183230;0.055912;-0.210366;0.369084;0.243639
-280;0.095281;-0.377851;-0.115037;-0.808905;0.007965
-270;-0.224112;-0.161635;-0.025930;-0.129146;-0.881677
-260;-0.935134;-0.459877;-0.076133;-0.688179;-0.017337
-250;-0.145963;-1.017006;0.022222;-0.178743;-0.046216
-240;-0.370811;-0.513156;0.367284;-0.284782;-0.673381
-230;0.184700;-0.439824;-0.284461;-0.475671;-0.569187
-220;-0.213186;-0.268402;-0.040154;-0.211161;-0.636067
-210;0.157549;-0.301522;-0.280572;-0.045962;-0.159376
-200;-0.499450;0.153634;-0.614161;-0.179820;-0.314655
-190;0.088414;-0.356708;-0.511597;0.185858;-0.008658
-180;-0.845322;-0.484306;-0.488037;-0.323463;0.070612
-170;-0.740474;0.087614;-0.668049;-0.145177;0.037410
-160;0.070745;-0.707805;-0.281786;-0.434712;-0.199621
-150;0.116422;0.415698;-0.494867;-1.045597;-0.831098
-140;0.117957;-0.253529;0.132364;-0.718458;-0.904458
-130;-0.555651;-0.496261;-0.104851;-0.273607;-0.366543
-120;-0.549295;-0.438867;0.329156;-0.933373;-0.003602
-110;-0.998598;-0.033935;-0.868496;-0.109787;0.017248
-100;-0.009807;-0.086296;-0.250152;-0.196678;0.153142
-90;-0.261662;-1.015441;-0.680929;-0.436628;-0.621953
-80;-0.644767;-0.046014;-0.218520;-0.489121;-0.103286
-70;-0.355454;0.313242;-0.468855;-0.340583;-0.436653
-60;-0.083005;-0.109852;0.138016;-0.366305;-0.678585
-50;0.007725;0.047537;-0.638855;-0.156185;-0.669193
-40;0.190607;0.187827;0.200518;0.098097;0.038071
-30;0.532798;0.773491;0.657863;0.840236;1.177763
-20;1.411467;1.630908;1.427097;1.761462;1.921423
