Laser Delay [ns];TA [mOD]
-400;-0.126850
-390;-0.278059
-380;-0.233459
-370;-0.134635
-360;-0.104861
-350;-0.435262
-340;-0.481213
-330;-0.204120
-320;-0.203706
-310;-0.329599
-300;-0.062646
-290;-0.242776
-280;-0.154466
-270;-0.379437
-260;-0.197644
-250;-0.256840
-240;-0.582311
-230;-0.316008
-220;-0.077074
-210;-0.161106
-200;-0.367951
-190;-0.171270
-180;-0.272466
-170;-0.365009
-160;-0.232679
-150;-0.455058
-140;-0.228082
-130;0.002508
-120;-0.250595
-110;-0.350841
-100;-0.238176
-90;-0.204030
-80;-0.221113
-70;-0.051808
-60;-0.128692
-50;-0.288720
-40;-0.314914
-30;0.417720
-20;1.589345
-10;3.218184
0;5.097990
10;6.899901
20;8.761118
30;10.878777
40;12.427885
50;14.294063
60;16.034212
70;17.718772
80;19.159900
90;20.417179
100;21.043798
110;21.155806
120;21.032058
130;20.395812
140;20.197871
150;19.987036
160;19.679387
170;19.540776
180;19.312768
190;18.876664
200;18.739282
210;18.326469
220;18.249382
230;17.880204
240;17.901791
250;17.741456
260;17.225344
270;16.975453
280;16.661727
290;16.445243
300;16.487419
310;15.994425
320;16.132726
330;15.460919
340;15.727395
350;15.356549
360;15.302128
370;14.953800
380;14.865282
390;14.608996
400;14.439070
410;14.362275
420;14.113334
430;13.958543
440;13.963892
450;13.672297
460;13.400228
470;13.266049
480;12.914423
490;12.943249
500;12.798922
510;12.599974
520;12.751986
530;12.248433
540;12.101382
550;12.052893
560;11.878830
570;11.628311
580;11.497969
590;11.131026
600;11.322969
610;11.257484
620;11.226072
630;10.725952
640;10.737714
650;10.836808
660;10.474609
670;10.498161
680;10.311604
690;10.159909
700;9.909869
710;9.789656
720;9.799415
730;9.529782
740;9.534051
750;9.340041
760;9.226389
770;9.530426
780;9.063040
790;8.802943
800;8.657911
810;8.733979
820;8.648819
830;8.370515
840;8.321053
850;8.471125
860;8.246048
870;8.177873
880;8.181695
890;8.112184
900;7.915211
910;7.697754
920;8.047009
930;7.535085
940;7.412256
950;7.426175
960;7.225322
970;7.241028
980;7.223089
990;7.142697
1000;7.096739
1010;6.908575
1020;6.615303
1030;6.785083
1040;6.863956
1050;6.694549
1060;6.524394
1070;6.414104
1080;6.182877
1090;6.502282
1100;6.197667
1110;6.239682
1120;6.110158
1130;6.086258
1140;6.101587
1150;5.966677
1160;5.768977
1170;5.945632
1180;5.661306
1190;5.642763
1200;5.539481
1210;5.580670
1220;5.606571
1230;5.595843
1240;5.578303
1250;5.484024
1260;5.550258
1270;5.156699
1280;5.169946
1290;5.163551
1300;4.988052
1310;4.954968
1320;4.970181
1330;5.092025
1340;5.074337
1350;4.819095
1360;5.090002
1370;4.909825
1380;4.829603
1390;4.757918
1400;4.774931
1410;4.324393
1420;4.511114
1430;4.282993
1440;4.633876
1450;4.128512
1460;4.420557
1470;4.271207
1480;4.357448
1490;4.219405
1500;4.346291
1510;4.144603
1520;4.036241
1530;4.112610
1540;4.126867
1550;4.036681
1560;4.041441
1570;4.085160
1580;3.981935
1590;4.106740
1600;3.998274
1610;4.038406
1620;3.764188
1630;3.773831
1640;3.625936
1650;3.841780
1660;3.404605
1670;3.373802
1680;3.818789
1690;3.544302
1700;3.607370
1710;3.703680
1720;3.574867
1730;3.592018
1740;3.799032
1750;3.596537
1760;3.498868
1770;3.557584
1780;3.500771
1790;3.398817
1800;3.522958
1810;3.225808
1820;3.207496
1830;3.353409
1840;3.497631
1850;3.101505
1860;3.213209
1870;3.356733
1880;3.003271
1890;3.200106
1900;3.231289
1910;3.072136
1920;3.005283
1930;3.056220
1940;2.901090
1950;3.119850
1960;3.184979
1970;2.488728
1980;2.867543
1990;3.066724
2000;2.990073
2010;2.815652
2020;2.817909
2030;2.975374
2040;2.887079
2050;2.593379
2060;2.858668
2070;2.987213
2080;3.202123
2090;3.131455
2100;2.857421
2110;2.673074
2120;2.771519
2130;2.875285
2140;2.926827
2150;2.554961
2160;2.484023
2170;2.550640
2180;2.725940
2190;2.790173
2200;2.550679
2210;2.657621
2220;2.886550
2230;2.186029
2240;2.491624
2250;2.387695
2260;2.188707
2270;2.580187
2280;2.530612
2290;2.280220
2300;2.567083
2310;2.511255
2320;2.313802
2330;2.337003
2340;2.470256
2350;2.418831
2360;2.355408
2370;2.092537
2380;2.485395
2390;2.357983
2400;2.619539
2410;2.442795
2420;2.270349
2430;2.255347
2440;2.237232
2450;2.239277
2460;2.440141
2470;2.127100
2480;2.281525
2490;2.080025
2500;2.407520
2510;2.260602
2520;2.002312
2530;2.186111
2540;2.294525
2550;2.139403
2560;2.219832
2570;2.351785
2580;2.420894
2590;2.216595
2600;2.265538
2610;2.169482
2620;2.385772
2630;2.022919
2640;1.992025
2650;2.176929
2660;2.372541
2670;2.238820
2680;2.188218
2690;2.135024
2700;2.026483
2710;1.883798
2720;2.285161
2730;1.986345
2740;1.887372
2750;2.266740
2760;1.835398
2770;1.889935
2780;2.190670
2790;2.123917
2800;1.838603
2810;2.111457
2820;2.186929
2830;2.093687
2840;2.258290
2850;1.976061
2860;1.891013
2870;2.159284
2880;2.209113
2890;2.172989
2900;2.033020
2910;1.922135
2920;1.891974
2930;1.928576
2940;2.075964
2950;2.144185
2960;2.078250
2970;2.155695
2980;1.853822
2990;2.278320
3000;1.578255
3010;2.105631
3020;1.942346
3030;1.855883
3040;1.977377
3050;1.838915
3060;2.007873
3070;2.037954
3080;1.964575
3090;1.997115
3100;1.717684
3110;1.780759
3120;1.769411
3130;1.878532
3140;1.827762
3150;1.916360
3160;1.961261
3170;2.135931
3180;1.972383
3190;1.940484
3200;1.825462
3210;2.025527
3220;2.017313
3230;1.992854
3240;1.597706
3250;1.832749
3260;1.769594
3270;1.791881
3280;1.776890
3290;1.956817
3300;1.948573
3310;2.052283
3320;1.828181
3330;1.846355
3340;1.550158
3350;1.967109
3360;2.198220
3370;1.721538
3380;1.716926
3390;1.813885
3400;1.938440
3410;1.854431
3420;1.620806
3430;1.985996
3440;1.828263
