Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.431723;-0.307894;-0.132043;-0.428054;-0.197982
-390;-0.360762;-0.292334;0.067300;0.140398;-0.944896
-380;-0.052982;0.183722;-0.899725;-0.096711;-0.301597
-370;-0.085050;-0.105967;-0.613056;0.254310;-0.123413
-360;0.065341;-0.050951;-0.118486;0.154305;-0.574514
-350;-0.440940;-0.624246;-0.463779;-0.382673;-0.264670
-340;-0.240563;-0.828265;-0.680318;-0.463870;-0.193050
-330;-0.180440;0.038498;-0.732300;0.241430;-0.387790
-320;0.296029;-0.345046;-0.459799;-0.438560;-0.071155
-310;-0.918918;-0.824926;0.126633;-0.128612;0.097830
-300;0.006615;-0.513863;0.140987;0.179393;-0.126363
-290;-0.813549;0.146852;-0.265146;0.155137;-0.437174
-280;-0.303890;0.078666;-0.207951;-0.332445;-0.006711
-270;-0.206684;-0.189225;-0.791034;-0.059624;-0.650617
-260;-0.158942;-0.447352;-0.393019;0.319640;-0.308545
-250;-0.336105;-0.497323;-0.004108;-0.626419;0.179754
-240;-0.272509;-0.334389;-1.026359;-0.724017;-0.554280
-230;-0.399569;0.161702;-0.285627;-0.236323;-0.820222
-220;0.294151;-0.410250;0.150207;-0.468048;0.048569
-210;0.201187;-0.596336;-0.395309;-0.176788;0.161714
-200;-0.174971;-0.896483;-0.461859;-0.232845;-0.073596
-190;0.363591;-0.144627;-0.206448;-0.324338;-0.544528
-180;-0.767206;0.310492;-0.181724;-0.297999;-0.425893
-170;0.152169;-0.327575;-0.296557;-0.305858;-1.047222
-160;-0.484913;-0.404695;0.285814;-0.003299;-0.556304
-150;-0.982634;-0.249300;-0.207823;-0.485167;-0.350367
-140;-0.561340;-0.311713;-0.296478;0.282954;-0.253830
-130;0.365645;-0.258981;-0.521756;-0.246456;0.674090
-120;-0.918832;0.244985;-0.245629;-0.197416;-0.136086
-110;0.294945;-0.482384;-0.646318;-0.218070;-0.702377
-100;-0.208121;-0.368246;-0.131480;-0.063490;-0.419544
-90;-0.545840;-0.657581;0.044396;0.302175;-0.163297
-80;0.057630;-0.105167;-0.373769;-0.333465;-0.350794
-70;0.122062;-0.495815;-0.343989;0.149263;0.309438
-60;-0.151840;-0.000834;-0.302648;0.158460;-0.346597
-50;-0.470380;0.065715;-0.448447;-0.259525;-0.330965
-40;0.513286;-0.586937;-0.444682;-0.754984;-0.301253
-30;0.396962;0.265429;0.796483;0.723595;-0.093868
-20;2.045951;1.457780;1.649498;1.382960;1.410535
-10;3.422845;3.203810;3.366865;2.724419;3.372982
0;5.959938;4.470655;4.636219;5.339785;5.083354
10;7.206152;6.635670;7.244745;6.902810;6.510128
20;8.756356;9.067126;8.778811;8.566584;8.636713
30;10.820588;10.484799;10.891959;10.588133;11.608408
40;12.030386;12.371318;12.886092;12.166251;12.685381
50;14.197706;14.451514;14.034754;14.575930;14.210410
60;16.325589;16.099504;15.491080;15.923418;16.331469
70;17.513948;17.635645;17.982839;17.974629;17.486797
80;19.911956;19.281136;18.552422;18.874596;19.179391
90;20.404283;20.369154;20.420225;20.724553;20.167679
100;21.153277;20.566761;21.726446;20.489059;21.283449
110;21.521431;20.941753;20.636029;21.692573;20.987244
120;20.993419;21.095085;21.521307;21.039833;20.510645
130;20.500212;20.739606;20.364356;20.435267;19.939617
140;19.999903;20.038364;20.844856;20.052415;20.053817
150;20.466445;19.667718;20.112321;20.343130;19.345567
160;20.025774;19.325616;19.789494;19.754475;19.501576
170;19.411153;19.982577;19.699107;19.545642;19.065399
180;18.972022;18.983599;19.307639;19.481067;19.819513
190;18.823022;18.767985;19.299207;18.717495;18.775612
200;19.193660;18.528171;18.397038;18.936000;18.641542
210;17.783806;18.436812;18.348263;19.169341;17.894123
220;18.295300;17.905880;18.606546;18.253929;18.185257
230;17.569362;17.663000;18.194720;18.107443;17.866492
240;18.347041;17.814116;17.628200;18.134706;17.584891
250;18.016354;17.891729;17.528354;17.754260;17.516585
260;17.106211;17.192511;17.441468;17.286377;17.100154
270;16.778248;16.926096;16.334406;17.417163;17.421350
280;16.297590;16.843661;16.663812;16.609702;16.893871
290;16.440886;15.919569;16.876841;16.464256;16.524663
300;16.417080;17.011077;16.103161;16.407082;16.498697
310;16.449336;15.974072;15.686721;15.887946;15.974051
320;16.397622;16.365733;15.858977;16.277462;15.763837
330;14.803902;15.748157;15.972052;15.730476;15.050008
340;16.206996;15.606694;15.720004;15.400511;15.702770
350;15.386007;15.551734;15.386025;15.078780;15.380198
360;15.703143;15.126693;14.951707;15.071814;15.657281
370;15.586465;14.892192;15.287332;14.318935;14.684074
380;15.462592;14.281842;14.845387;14.889792;14.846795
390;14.399312;14.733898;14.839842;14.809245;14.262683
400;14.848292;14.152348;13.970049;14.367548;14.857114
410;13.905593;14.467528;14.285483;14.389817;14.762952
420;13.584114;14.320210;13.947853;14.191416;14.523075
430;13.956570;13.989778;13.427637;14.115128;14.303599
440;14.162517;14.234437;14.234936;13.812074;13.375498
450;13.320117;14.324677;13.492819;13.423697;13.800173
460;13.318372;13.107258;13.535055;13.037658;14.002798
470;13.903962;13.033956;13.205983;12.808367;13.377975
480;12.580845;12.567243;13.421462;13.329554;12.673010
490;12.996196;12.584976;12.802437;12.870209;13.462429
500;12.763940;12.844223;13.084637;12.434502;12.867308
510;12.707318;12.820409;12.464230;12.627673;12.380243
520;12.943184;12.561140;12.669614;13.525544;12.060447
530;12.334262;11.590235;12.475820;12.455707;12.386140
540;12.090595;12.194645;11.784751;12.488107;11.948813
550;11.604785;12.841761;11.994511;11.445475;12.377931
560;11.489314;11.760546;11.688882;11.954008;12.501399
570;11.701971;11.348288;11.749653;11.629495;11.712146
580;11.458780;11.227887;11.601014;11.766778;11.435384
590;10.797797;11.601767;10.998148;11.122813;11.134607
600;10.800642;11.000456;11.553682;11.444008;11.816059
610;10.697386;11.380825;11.197478;11.297536;11.714197
620;11.322675;11.116066;10.976701;11.072675;11.642242
630;10.859916;10.877360;10.647044;10.710378;10.535064
640;10.228847;10.713084;10.834693;11.223217;10.688731
650;10.800297;10.723937;10.523977;11.020011;11.115817
660;10.409053;10.592193;10.641885;10.260483;10.469432
670;9.931488;10.676314;11.048173;10.190189;10.644638
680;10.045300;10.228993;10.411822;10.621649;10.250258
690;9.975235;9.974827;10.191986;10.202663;10.454833
700;10.206018;9.679647;9.914948;9.526331;10.222400
710;10.488456;9.393302;9.540727;9.445221;10.080575
720;9.566226;9.126199;9.943325;10.529328;9.831999
730;9.696064;9.759488;9.236874;9.417618;9.538866
740;9.324821;9.275253;9.505796;10.006602;9.557783
750;9.162675;8.993958;9.696479;9.198861;9.648231
760;9.004962;8.648310;9.571910;9.645336;9.261427
770;8.645413;9.931073;10.279308;9.393402;9.402936
780;8.779841;8.900455;9.177547;9.400033;9.057322
790;9.128037;8.731230;8.749298;8.340815;9.065332
800;8.754902;8.262524;8.962994;8.521716;8.787418
810;9.333752;8.037987;8.582061;8.703019;9.013077
820;8.533277;8.753869;8.927189;8.669273;8.360488
830;8.378554;7.982688;8.581571;8.163002;8.746761
840;8.522428;8.153695;7.788018;8.565218;8.575906
850;8.629732;8.055290;8.636500;8.258888;8.775215
860;8.109210;8.589717;8.248352;8.481178;7.801782
870;8.002852;8.510765;8.028748;8.385438;7.961565
880;7.651427;8.633676;8.014908;8.452940;8.155523
890;8.144893;8.285658;8.034117;7.906872;8.189380
900;7.947510;8.014986;8.472775;7.695254;7.445531
910;7.929841;7.873346;7.853111;7.807443;7.025028
920;8.385167;7.576002;7.983189;7.932379;8.358308
930;7.181304;7.718590;7.631818;7.665795;7.477921
940;7.142444;6.870701;6.967051;8.436176;7.644910
950;7.749863;8.273453;7.247904;7.063352;6.796305
960;7.657948;7.086132;7.004047;7.252036;7.126448
970;7.056479;7.525114;7.692607;6.792367;7.138574
980;7.259481;7.566411;6.736357;7.392438;7.160761
990;6.933006;6.914009;6.659230;7.311726;7.895513
1000;6.789287;7.151060;7.488237;7.377940;6.677169
1010;6.661961;7.013805;7.342796;6.893016;6.631296
1020;6.554099;6.371734;6.966386;6.586504;6.597792
1030;6.506251;6.946514;6.333672;7.130599;7.008380
1040;6.644330;6.969360;7.155034;6.717312;6.833743
1050;6.572568;6.635385;6.738520;6.710744;6.815529
1060;6.480330;6.106718;6.226299;7.349884;6.458741
1070;6.249669;6.723577;6.433808;6.336543;6.326924
1080;6.400663;6.271272;5.852882;5.913895;6.475675
1090;6.163167;6.824258;6.720390;6.863991;5.939605
1100;5.914096;6.104036;6.170970;6.508542;6.290694
1110;6.347085;6.192232;5.982480;6.025463;6.651150
1120;5.874878;5.989176;6.186302;6.433158;6.067273
1130;5.919176;5.895412;5.974290;6.301374;6.341039
1140;5.960296;6.352722;6.275360;5.437723;6.481832
1150;6.228533;5.448434;5.906998;6.421554;5.827868
1160;5.690066;5.436965;5.665736;6.059839;5.992280
1170;5.957482;6.548916;6.085747;5.370451;5.765561
1180;5.539653;5.482459;5.589065;5.789795;5.905560
1190;5.317398;5.414142;5.527739;6.333272;5.621263
1200;5.674139;5.243319;5.500109;6.150051;5.129788
1210;5.773478;5.442510;5.704391;5.412892;5.570080
1220;5.829936;5.597077;5.361044;5.691545;5.553251
1230;5.462497;5.554343;5.342929;5.786363;5.833084
1240;5.707298;5.628084;5.958307;5.306193;5.291634
1250;5.441818;5.796131;5.288628;5.576207;5.317339
1260;5.267920;5.738256;5.768740;5.665992;5.310382
1270;5.597041;4.971315;4.651116;5.609576;4.954446
1280;5.649857;4.191464;5.163260;5.624390;5.220761
1290;5.015462;5.165249;5.609308;4.976702;5.051036
