Laser Delay [ns];TA [mOD]
-400;-0.008241
-390;-0.017437
-380;-0.020784
-370;-0.090860
-360;0.053958
-350;0.049022
-340;0.043507
-330;-0.071092
-320;0.092335
-310;-0.024515
-300;-0.085339
-290;0.100330
-280;-0.013622
-270;-0.065403
-260;0.012196
-250;0.008660
-240;0.111016
-230;-0.059348
-220;0.054985
-210;0.036343
-200;0.014267
-190;0.042511
-180;0.021600
-170;0.012480
-160;0.007417
-150;-0.089625
-140;0.132880
-130;0.029624
-120;0.016811
-110;0.095938
-100;0.033264
-90;0.020537
-80;0.042431
-70;-0.044044
-60;0.028534
-50;0.031265
-40;-0.017185
-30;0.003294
-20;0.763132
-10;3.558620
0;7.586894
10;11.348513
20;15.227452
30;18.808446
40;22.514462
50;26.093661
60;29.501828
70;32.894138
80;36.112142
90;39.322148
100;41.770714
110;42.224398
120;41.570964
130;40.646850
140;40.035044
150;39.181442
160;38.549948
170;37.825868
180;37.111911
190;36.408895
200;35.844498
210;34.927767
220;34.349643
230;33.785345
240;33.095263
250;32.492299
260;31.854090
270;31.293775
280;30.622842
290;29.980091
300;29.641449
310;28.900405
320;28.459212
330;27.942645
340;27.284916
350;26.950190
360;26.346956
370;25.752428
380;25.321914
390;24.852580
400;24.470528
410;23.855996
420;23.663297
430;22.934988
440;22.563510
450;22.212280
460;21.792985
470;21.261897
480;20.991574
490;20.611681
500;20.139742
510;19.840786
520;19.432717
530;18.979731
540;18.605217
550;18.325917
560;17.899633
570;17.696435
580;17.390683
590;16.920076
600;16.779221
610;16.452629
620;15.981255
630;15.844902
640;15.579439
650;15.093783
660;14.766842
670;14.535180
680;14.324054
690;14.084662
700;13.746597
710;13.592088
720;13.258493
730;12.987595
740;12.757848
750;12.466245
760;12.200224
770;12.084021
780;11.839069
790;11.643543
800;11.433593
810;11.188089
820;10.863812
830;10.718323
840;10.426403
850;10.304408
860;10.107642
870;10.021193
880;9.735649
890;9.523759
900;9.447659
910;9.275552
920;9.074803
930;8.917225
940;8.769177
950;8.565311
960;8.475824
970;8.260143
980;8.067470
990;7.946896
1000;7.668712
1010;7.598866
1020;7.471547
1030;7.247377
1040;7.188425
1050;7.067067
1060;7.020241
1070;6.810002
1080;6.653967
1090;6.461088
1100;6.301318
1110;6.175791
1120;6.070717
1130;5.952298
1140;5.832516
1150;5.724769
1160;5.616931
1170;5.499201
1180;5.473778
1190;5.277538
1200;5.315131
1210;5.179927
1220;5.032563
1230;4.910354
1240;4.849576
1250;4.815022
1260;4.701079
1270;4.484781
1280;4.449952
1290;4.375133
1300;4.258484
1310;4.214578
1320;4.081004
1330;4.093554
1340;3.973204
1350;3.950683
1360;3.858548
1370;3.700521
1380;3.602937
1390;3.569036
1400;3.565947
1410;3.464629
1420;3.392586
1430;3.339829
1440;3.175151
1450;3.213570
1460;3.106328
1470;2.997282
1480;3.131018
1490;2.948630
1500;2.779917
1510;2.857578
1520;2.781952
1530;2.663964
1540;2.646854
1550;2.593632
1560;2.474091
1570;2.562676
1580;2.480471
1590;2.413174
1600;2.247310
1610;2.368315
1620;2.266124
1630;2.236556
1640;2.060624
1650;2.211584
1660;2.071864
1670;1.926791
1680;1.916413
1690;1.990386
1700;1.879851
1710;1.869432
1720;1.827170
1730;1.735047
1740;1.778119
1750;1.669611
1760;1.714379
1770;1.553153
1780;1.608774
1790;1.515229
1800;1.434865
1810;1.551142
1820;1.422014
1830;1.328232
1840;1.356781
1850;1.431288
1860;1.342356
1870;1.277819
1880;1.363005
1890;1.206996
1900;1.297651
1910;1.116766
1920;1.310431
1930;1.238210
1940;1.059040
1950;0.954693
1960;1.022544
1970;1.032871
1980;1.100309
1990;0.996605
2000;0.981441
2010;0.937359
2020;0.965730
2030;0.735807
2040;0.804045
2050;0.766791
2060;0.879484
2070;0.759352
2080;0.817263
2090;0.739848
2100;0.729514
2110;0.780841
2120;0.714480
2130;0.777663
2140;0.649382
2150;0.789596
2160;0.574471
2170;0.678775
2180;0.672357
2190;0.531225
2200;0.570097
2210;0.545163
2220;0.555309
2230;0.501434
2240;0.542510
2250;0.480554
2260;0.448959
2270;0.507707
2280;0.544041
2290;0.537524
2300;0.518546
2310;0.490232
2320;0.353615
2330;0.465555
2340;0.302195
2350;0.392382
2360;0.309462
2370;0.475961
2380;0.337741
2390;0.359973
2400;0.279597
2410;0.267507
2420;0.340179
2430;0.285779
2440;0.252097
2450;0.289346
2460;0.319003
2470;0.210331
2480;0.273780
2490;0.396663
2500;0.331638
2510;0.222035
2520;0.326726
2530;0.243517
2540;0.258363
2550;0.218602
2560;0.128793
2570;0.258765
2580;0.149106
2590;0.318077
2600;0.153433
2610;0.236668
2620;0.166422
2630;0.151163
2640;0.221240
2650;0.191466
2660;0.055125
2670;0.149073
2680;0.114419
2690;0.107216
2700;0.127884
2710;0.046850
2720;0.003620
2730;0.195589
2740;0.073878
2750;0.211771
2760;0.061560
2770;0.096814
2780;0.002166
2790;0.155761
2800;0.051046
2810;-0.073726
2820;0.257922
2830;0.160368
2840;0.009735
2850;0.015487
2860;0.197245
2870;0.169714
2880;0.025607
2890;0.044961
2900;-0.089293
2910;-0.035426
2920;-0.039685
2930;0.049200
2940;0.118865
2950;-0.003107
2960;-0.009333
2970;-0.080573
2980;-0.111802
2990;0.025031
3000;0.044856
3010;0.003433
3020;0.038130
3030;-0.098202
3040;0.009367
3050;-0.056375
3060;-0.104197
3070;-0.084271
3080;-0.051611
3090;0.006593
3100;-0.123751
3110;0.040533
3120;0.001028
3130;0.029139
3140;-0.062640
3150;0.012786
3160;-0.000589
3170;-0.067558
3180;-0.111602
3190;-0.154377
3200;0.019586
3210;-0.055251
3220;-0.186641
3230;-0.031158
3240;-0.096130
3250;-0.062329
3260;-0.130466
3270;-0.016857
3280;-0.083365
3290;-0.081994
3300;-0.205998
3310;-0.122980
3320;-0.146788
3330;-0.192849
3340;-0.131285
3350;-0.065948
3360;-0.066905
3370;-0.064297
3380;-0.021145
3390;-0.013276
3400;-0.111655
3410;-0.080224
3420;-0.144889
3430;-0.121851
3440;-0.063005
3450;-0.193904
3460;-0.133859
3470;-0.119681
3480;-0.123365
3490;-0.150569
3500;-0.139439
3510;-0.117868
3520;-0.045059
3530;-0.188881
3540;-0.162193
3550;-0.109890
3560;-0.201689
3570;-0.246915
3580;-0.120383
3590;-0.210044
3600;-0.161217
3610;-0.276065
3620;-0.077804
3630;-0.173765
3640;-0.082895
3650;-0.227083
3660;-0.168546
3670;-0.084191
3680;-0.237631
3690;-0.060782
3700;-0.066550
3710;-0.215898
3720;-0.160258
3730;-0.207855
3740;-0.121010
3750;-0.102684
3760;-0.081381
3770;-0.146606
3780;-0.156031
3790;-0.165564
3800;-0.107268
3810;-0.109909
3820;-0.241485
3830;-0.162449
3840;-0.056164
3850;-0.217377
3860;-0.095540
3870;-0.186643
3880;-0.148745
3890;-0.128886
3900;-0.140489
3910;-0.105517
3920;-0.100420
3930;-0.144109
3940;-0.222383
3950;-0.010611
3960;-0.214348
3970;-0.146710
3980;-0.084417
3990;-0.212344
4000;-0.120125
4010;-0.128495
4020;-0.131779
4030;-0.098306
4040;-0.109745
4050;-0.055066
4060;-0.092871
4070;-0.168512
4080;-0.111258
4090;-0.070534
4100;-0.108578
4110;-0.229893
4120;-0.146437
4130;-0.240239
4140;-0.209209
4150;-0.172504
4160;-0.177327
4170;-0.163384
4180;-0.142505
4190;-0.192357
4200;-0.129447
4210;-0.118505
4220;-0.101895
4230;-0.174281
4240;-0.086440
4250;-0.206654
4260;-0.095442
4270;-0.233369
4280;-0.093215
4290;-0.054338
4300;-0.142735
4310;-0.128053
4320;-0.181056
4330;-0.217702
4340;-0.180685
4350;-0.249081
4360;-0.082504
4370;-0.173520
4380;-0.274391
4390;-0.181903
4400;-0.002921
4410;-0.150382
4420;-0.175432
4430;-0.204208
4440;-0.172423
4450;-0.038814
4460;-0.124641
4470;-0.103717
4480;-0.237074
4490;-0.137305
4500;-0.155068
4510;-0.198287
4520;-0.121303
4530;-0.257185
4540;-0.205719
4550;-0.165639
4560;-0.200115
4570;-0.184126
4580;-0.029204
4590;-0.188770
4600;-0.148831
4610;-0.143040
4620;-0.115517
4630;-0.124011
4640;-0.023823
4650;-0.157208
4660;-0.237638
4670;-0.179052
4680;-0.270056
4690;-0.149753
4700;-0.136559
4710;-0.095583
4720;-0.216137
4730;-0.300210
4740;-0.046278
4750;-0.129134
4760;-0.167459
4770;-0.197558
4780;-0.164137
4790;-0.170350
4800;-0.179218
4810;-0.325917
4820;-0.274214
4830;-0.169663
4840;-0.202591
4850;-0.117791
4860;-0.178328
4870;-0.110778
4880;-0.080009
4890;-0.239229
4900;-0.072798
4910;-0.098683
4920;-0.198953
4930;-0.204888
4940;-0.110338
4950;-0.200626
4960;-0.219390
4970;-0.108973
4980;-0.106598
4990;-0.197007
5000;-0.097970
