Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.029944;-0.077421;0.021080;-0.223888;0.209081
-390;0.029086;-0.010222;-0.198221;-0.049909;0.142082
-380;0.005488;0.089259;-0.038476;-0.022162;-0.138030
-370;0.107068;-0.382863;0.017457;-0.062442;-0.133520
-360;-0.007493;-0.121950;0.237222;0.142438;0.019571
-350;-0.140368;0.235162;0.264807;0.024756;-0.139246
-340;-0.034853;-0.126753;0.151871;0.149403;0.077868
-330;-0.089979;-0.097927;-0.134984;-0.139464;0.106895
-320;0.357901;-0.085749;0.029169;0.149844;0.010508
-310;0.143257;-0.235647;-0.053098;-0.086785;0.109698
-300;0.028993;-0.244800;-0.064774;-0.093158;-0.052958
-290;-0.025594;0.056672;0.241200;-0.051850;0.281221
-280;0.015652;-0.126696;-0.174326;0.206728;0.010531
-270;-0.175574;0.058589;0.000404;-0.172065;-0.038369
-260;-0.049035;-0.029103;-0.010541;0.140278;0.009381
-250;0.029508;0.112207;-0.048993;0.113593;-0.163015
-240;0.067418;0.141479;0.132439;0.101037;0.112708
-230;-0.217710;0.082920;0.115030;-0.162809;-0.114170
-220;0.223300;-0.132093;0.042918;-0.111143;0.251944
-210;-0.144920;0.349396;-0.054579;0.141983;-0.110165
-200;-0.017258;0.238038;-0.055926;-0.163023;0.069506
-190;-0.111933;-0.101906;0.334199;-0.032253;0.124448
-180;0.115507;0.060145;-0.057945;-0.024724;0.015017
-170;0.135935;0.065797;-0.123308;-0.034021;0.017996
-160;-0.036495;0.048048;-0.023489;0.035512;0.013509
-150;0.061427;-0.095181;-0.343590;0.026151;-0.096932
-140;0.291347;0.092739;0.186208;0.104236;-0.010129
-130;-0.029975;0.114375;0.213592;-0.227667;0.077794
-120;-0.045658;-0.005118;0.168101;0.084246;-0.117518
-110;0.023848;0.203726;-0.027976;0.168963;0.111129
-100;-0.033084;-0.332083;0.169817;0.203687;0.157985
-90;0.130080;0.064208;-0.099849;0.001865;0.006382
-80;0.220312;0.072957;0.090466;-0.135996;-0.035584
-70;-0.186171;0.057138;-0.045784;-0.121505;0.076105
-60;0.193919;0.005930;0.122883;-0.180809;0.000748
-50;0.264991;0.072261;-0.292293;0.074975;0.036391
-40;-0.065828;-0.063978;-0.104925;-0.006334;0.155142
-30;0.068486;-0.058532;0.115416;-0.264181;0.155279
-20;0.742820;0.836998;0.882514;0.634683;0.718645
-10;3.601219;3.477737;3.575497;3.351082;3.787565
0;7.583558;7.616926;7.372676;7.571028;7.790282
10;11.440199;11.244962;11.135757;11.515190;11.406456
20;15.213242;14.951849;15.230741;15.429468;15.311957
30;18.857193;18.881141;18.237527;19.042666;19.023704
40;22.516755;22.168577;22.164987;22.755752;22.966238
50;26.342907;25.629224;25.905953;26.306127;26.284092
60;29.522499;29.054435;29.293217;29.678462;29.960527
70;33.149337;32.662832;32.128755;33.137932;33.391833
80;36.091216;35.755470;35.695993;36.344324;36.673706
90;39.557353;39.136690;38.580505;39.223525;40.112665
100;41.872914;41.778516;41.313291;41.904207;41.984645
110;42.560235;41.641590;41.609775;42.329907;42.980480
120;41.509143;41.095792;40.994108;42.013024;42.242754
130;40.831254;40.750303;39.780723;40.614056;41.257916
140;40.127893;40.045346;39.554021;40.188083;40.259879
150;39.157445;38.903347;38.510338;39.730605;39.605476
160;38.647002;38.440511;37.911063;38.601864;39.149297
170;37.799594;37.710764;37.348197;38.287371;37.983412
180;37.302967;37.096430;36.478121;37.367533;37.314502
190;36.638400;36.108822;35.936834;36.495907;36.864512
200;35.690391;35.769516;35.219302;36.163841;36.379441
210;35.414566;34.723400;34.471401;34.635380;35.394087
220;34.573491;33.962450;33.832856;34.700505;34.678913
230;33.876798;33.520688;33.215701;34.068777;34.244761
240;32.808052;32.548481;33.014284;33.514134;33.591364
250;32.494347;32.269277;32.054312;32.761400;32.882162
260;31.867373;31.877160;31.431372;31.933649;32.160899
270;31.290408;31.180069;30.998879;31.148454;31.851063
280;30.927690;30.441692;30.145239;30.725027;30.874560
290;30.170341;29.857880;29.504998;30.110950;30.256284
300;29.773505;29.337990;29.482596;29.669687;29.943468
310;29.208481;28.940314;28.328937;28.827166;29.197127
320;28.397931;28.357526;28.088440;28.802372;28.649789
330;27.895365;28.014166;27.411339;28.112265;28.280093
340;27.234627;26.866719;27.298946;27.248117;27.776170
350;27.049345;26.760601;26.692283;27.131996;27.116727
360;26.313174;26.296551;25.838753;26.708071;26.578233
370;25.780138;25.642907;25.092375;26.115130;26.131592
380;25.333701;25.284179;25.076885;25.629173;25.285630
390;24.988182;24.759342;24.327190;25.093778;25.094406
400;24.626751;24.181233;24.137355;24.734578;24.672724
410;23.667024;23.863820;23.490230;24.036516;24.222389
420;23.727485;23.662111;23.276453;24.043888;23.606549
430;22.747426;22.621289;22.641345;23.394356;23.270527
440;22.721677;22.247944;22.273506;22.875843;22.698579
450;22.052552;22.153035;21.944718;22.342117;22.568976
460;21.579909;21.479841;21.564790;22.319070;22.021317
470;21.189538;21.207841;21.141500;21.378822;21.391786
480;21.102977;20.945973;20.841924;21.037960;21.029036
490;20.683387;20.451922;20.311017;20.756703;20.855374
500;20.379609;20.194034;19.846133;20.172651;20.106283
510;20.183101;19.697655;19.306726;19.842785;20.173664
520;19.389161;19.200384;19.033427;19.722719;19.817896
530;19.058237;18.860183;18.888309;19.269055;18.822869
540;18.499435;18.825194;18.211076;18.663963;18.826418
550;18.374860;18.296064;17.997986;18.454733;18.505941
560;17.953935;17.830126;17.496105;18.194648;18.023352
570;17.602804;17.529754;17.217926;17.924523;18.207169
580;17.235988;17.120468;17.010876;17.882270;17.703814
590;16.993875;16.714979;16.783292;17.159900;16.948333
600;16.941725;16.676708;16.424016;16.949738;16.903916
610;16.646034;16.271448;16.175263;16.643637;16.526763
620;15.927126;15.749718;16.237109;16.163502;15.828822
630;16.002334;15.744368;15.432481;16.202042;15.843286
640;15.764871;15.303195;15.274964;15.899642;15.654521
650;15.411104;15.068152;14.735362;15.250534;15.003761
660;14.575879;14.716121;14.440235;15.073057;15.028917
670;14.771786;14.256506;14.274940;14.817194;14.555474
680;14.040253;14.255953;14.150438;14.581889;14.591735
690;14.006991;14.019364;13.676054;14.268052;14.452847
700;13.853679;13.554025;13.516661;13.833875;13.974747
710;13.716476;13.590911;13.282607;13.721921;13.648525
720;13.151896;13.058623;13.125149;13.537659;13.419139
730;13.317189;12.772713;12.630365;13.219186;12.998525
740;12.910992;12.630093;12.558525;12.803310;12.886319
750;12.412558;12.538408;12.177479;12.620854;12.581926
760;12.109506;12.005549;11.904759;12.524283;12.457024
770;11.799107;12.168260;12.090035;12.223135;12.139567
780;11.956702;11.783107;11.643363;12.018698;11.793471
790;11.656617;11.461949;11.555516;11.799746;11.743889
800;11.301989;11.478978;11.137588;11.565158;11.684252
810;11.284043;11.245445;10.807526;11.466388;11.137044
820;10.777548;10.628487;10.728979;11.087448;11.096597
830;10.626059;10.837333;10.455704;10.732557;10.939963
840;10.382169;10.235032;10.293184;10.641377;10.580252
850;10.412293;10.115091;9.890883;10.559326;10.544449
860;10.127924;9.988937;9.937591;10.324517;10.159242
870;9.979353;10.092304;9.666513;10.136604;10.231193
880;9.689611;9.690412;9.620461;9.855590;9.822171
890;9.605315;9.253823;9.474371;9.640717;9.644569
900;9.499234;9.507993;9.208561;9.565755;9.456750
910;9.270649;9.334455;8.872639;9.460867;9.439150
920;9.174895;9.087927;8.826019;8.982219;9.302953
930;9.076869;8.876264;8.538790;8.940260;9.153940
940;8.781959;8.709595;8.411586;8.795634;9.147114
950;8.544124;8.728312;8.410726;8.523588;8.619807
960;8.595012;8.394473;8.367057;8.433693;8.588884
970;8.336536;8.099586;8.027062;8.428363;8.409168
980;8.196707;8.100059;8.218015;7.815626;8.006941
990;7.933601;7.788050;7.942200;8.097327;7.973300
1000;7.774799;7.392005;7.496262;7.846180;7.834312
1010;7.540784;7.640837;7.401009;7.684391;7.727309
1020;7.444137;7.426574;7.541703;7.569615;7.375703
1030;7.339946;7.318818;7.248710;7.018268;7.311140
1040;7.162863;7.103442;7.045379;7.320888;7.309554
1050;6.992424;7.152673;6.867516;7.076500;7.246221
1060;6.976876;6.899496;6.922498;7.136719;7.165617
1070;6.804968;6.702334;6.408283;7.134697;6.999727
1080;6.736046;6.522543;6.544369;6.748692;6.718186
1090;6.423404;6.356567;6.320694;6.528271;6.676506
1100;6.221555;6.241100;6.252035;6.420339;6.371559
1110;6.238372;6.255296;6.035603;6.255915;6.093769
1120;5.973509;5.957012;6.283488;6.094088;6.045487
