Laser Delay [ns];TA [mOD]
-400;-0.180075
-390;-0.191939
-380;-0.227750
-370;0.016621
-360;0.373678
-350;-0.035328
-340;-0.658039
-330;-0.095306
-320;-0.272895
-310;0.222301
-300;-0.098823
-290;-0.128316
-280;-0.607076
-270;-0.566218
-260;-0.109319
-250;0.033666
-240;-0.171411
-230;0.029380
-220;-0.235436
-210;-0.013488
-200;0.134380
-190;-0.032330
-180;-0.413472
-170;0.363320
-160;-0.173990
-150;-0.140712
-140;-0.523995
-130;-0.449899
-120;-0.300553
-110;0.428446
-100;-0.040377
-90;-0.476393
-80;-0.242261
-70;-0.391205
-60;-0.003234
-50;-0.285078
-40;-0.197274
-30;0.760270
-20;2.262025
-10;4.389261
0;7.779610
10;11.273662
20;14.119022
30;17.394487
40;20.577610
50;24.221346
60;26.925379
70;29.634491
80;33.016394
90;36.015757
100;37.450355
110;37.563109
120;36.916777
130;37.236529
140;36.170898
150;35.878382
160;35.651722
170;35.138837
180;34.144842
190;34.157856
200;33.758057
210;33.055403
220;32.906974
230;32.645348
240;32.436445
250;32.022815
260;31.726090
270;30.934989
280;30.986027
290;30.436293
300;30.588618
310;30.154972
320;29.353324
330;29.315500
340;28.483276
350;28.294100
360;28.306018
370;27.648408
380;27.627101
390;27.125687
400;27.065978
410;26.885424
420;26.820842
430;26.725439
440;26.053253
450;25.555281
460;25.562525
470;25.103026
480;24.293173
490;24.540130
500;24.372866
510;24.289341
520;23.794826
530;23.203697
540;23.514586
550;22.758827
560;22.473194
570;21.889258
580;21.833455
590;21.717504
600;22.018229
610;21.677402
620;21.332045
630;21.408647
640;20.365325
650;20.443297
660;19.504620
670;20.041704
680;19.743781
690;19.342060
700;19.785700
710;19.051662
720;18.228252
730;18.555120
740;18.420932
750;18.591810
760;18.050869
770;17.786264
780;17.633285
790;18.028389
800;17.076506
810;16.140342
820;16.759040
830;16.387383
840;16.723614
850;16.506778
860;16.200098
870;16.154444
880;15.210815
890;15.340844
900;15.163808
910;15.149392
920;14.849664
930;15.002924
940;14.731446
950;14.499617
960;14.131060
970;14.079556
980;14.336266
990;13.728175
1000;13.765505
1010;13.267692
1020;13.553585
1030;13.135311
1040;13.387240
1050;12.875463
1060;13.151787
1070;12.761907
1080;12.437547
1090;12.051081
1100;11.909375
1110;12.122268
1120;11.910756
1130;11.154126
1140;11.858777
1150;12.396966
1160;11.585753
1170;11.403610
1180;10.982837
1190;11.070991
1200;11.050985
1210;10.673752
1220;10.447530
1230;10.494682
1240;10.168006
1250;10.367388
1260;10.817346
1270;10.961835
1280;10.022766
1290;9.692466
1300;9.736088
1310;9.216322
1320;9.395429
1330;9.674926
1340;9.398141
1350;9.491633
1360;9.020694
1370;9.443165
1380;8.726355
1390;8.976766
1400;8.387790
1410;8.313995
1420;8.731449
1430;8.341717
1440;8.094138
1450;8.282631
1460;7.938838
1470;8.247994
1480;7.741074
1490;7.538950
1500;7.536312
1510;7.588472
1520;7.645619
1530;7.310445
1540;7.619668
1550;7.214353
1560;7.474269
1570;7.249566
1580;7.253426
1590;7.092817
1600;6.875701
1610;7.040711
1620;6.834237
1630;6.638632
1640;6.306263
1650;6.914185
1660;6.554009
1670;6.014202
1680;6.203754
1690;6.540833
1700;6.019532
1710;6.157400
1720;6.277856
1730;6.331024
1740;6.123805
1750;5.770860
1760;5.858476
1770;5.712320
1780;5.474627
1790;5.637686
1800;5.828460
1810;6.003489
1820;5.311600
1830;5.751372
1840;4.981294
1850;5.593265
1860;5.173757
1870;5.280115
1880;5.339869
1890;5.073532
1900;4.995063
1910;5.329458
1920;4.824144
1930;4.394901
1940;4.536199
1950;4.767108
1960;4.735510
1970;4.344361
1980;4.501837
1990;4.113480
2000;4.070688
2010;4.577437
2020;3.601466
2030;3.985031
2040;4.048755
2050;4.050566
2060;3.689911
2070;3.959645
2080;4.247392
2090;4.191000
2100;4.056813
2110;4.065244
2120;3.900860
2130;3.856298
2140;4.085362
2150;4.076517
2160;3.840755
2170;3.608533
2180;3.783347
2190;3.364965
2200;3.414627
2210;3.810273
2220;3.809793
2230;3.377233
2240;3.312530
2250;4.062199
2260;3.465672
2270;2.960866
2280;3.200142
2290;3.779026
2300;2.961446
2310;3.289600
2320;3.044293
2330;2.793926
2340;3.264274
2350;2.974961
2360;2.686162
2370;3.246743
2380;2.807316
2390;2.302474
2400;2.852781
2410;2.880736
2420;3.099062
2430;3.074748
2440;2.503621
2450;2.843924
2460;3.237884
2470;2.478620
2480;2.453726
2490;3.124049
2500;2.563031
2510;2.120919
2520;2.492512
2530;2.612487
2540;2.132170
2550;2.880822
2560;2.500130
2570;2.285068
2580;2.506171
2590;2.540372
2600;2.382575
2610;2.546780
2620;2.314098
2630;2.224091
