Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.729812;-0.487479;-0.394933;0.421460;0.290389
-390;-0.500201;0.407271;0.042437;-0.309353;-0.599849
-380;0.749645;-0.645595;0.264615;-0.900464;-0.606950
-370;-0.159213;0.317602;-0.088229;0.424070;-0.411126
-360;0.673995;1.025602;-0.081472;-0.555627;0.805891
-350;-0.332466;0.588541;0.187374;-0.685376;0.065285
-340;-0.982982;-0.533123;-1.010305;-0.456637;-0.307148
-330;-0.446334;-0.141901;-0.716485;0.109794;0.718397
-320;0.430418;-1.196138;0.027676;-0.279590;-0.346843
-310;0.126489;0.796682;0.018824;0.173443;-0.003933
-300;0.158963;-0.555904;0.403322;0.146660;-0.647158
-290;-0.116861;-0.086490;0.477960;-0.458708;-0.457479
-280;-1.075341;-0.901890;-0.334832;0.231140;-0.954459
-270;-1.123645;-0.346962;-0.636416;-0.992772;0.268706
-260;-0.483141;0.097379;0.395041;0.255683;-0.811556
-250;0.235489;0.761003;0.318299;-0.972004;-0.174455
-240;-0.877587;-0.348511;-0.154043;0.534938;-0.011850
-230;-0.347137;-0.478597;0.464766;0.452932;0.054937
-220;-0.531107;0.700766;-0.420372;0.219244;-1.145709
-210;0.174072;-0.098744;-0.119549;-0.122273;0.099052
-200;0.186691;0.329644;-0.579008;-0.117845;0.852419
-190;0.326927;-0.980037;-0.363013;-0.058746;0.913218
-180;-0.543426;-0.124128;-1.705876;0.230102;0.075969
-170;0.110100;-0.581070;0.268721;0.277232;1.741618
-160;0.399899;-1.606691;0.229008;0.407277;-0.299445
-150;0.471325;-0.264203;0.232402;-1.056116;-0.086971
-140;-1.034043;-0.699130;-0.784003;-0.291732;0.188932
-130;0.265369;0.194891;-0.326756;-1.437800;-0.945199
-120;-0.247356;-0.316609;0.155307;-0.800374;-0.293732
-110;0.193242;1.247607;0.574282;0.253793;-0.126694
-100;0.145907;0.136442;0.207371;-0.438450;-0.253153
-90;-0.593612;0.266040;-0.653500;-0.561063;-0.839832
-80;-0.033570;-0.380202;-0.823197;-0.088812;0.114474
-70;-0.323959;-0.368644;-1.467706;-0.231482;0.435764
-60;0.198673;-0.895888;0.624433;0.146040;-0.089430
-50;-0.171174;-0.615528;-0.840609;-0.971383;1.173304
-40;-0.245874;0.111947;-0.062772;-1.051232;0.261560
-30;0.526893;1.473684;0.485878;1.049276;0.265619
-20;2.317161;2.265970;1.987577;2.066925;2.672490
-10;3.594307;4.446990;4.584531;4.291905;5.028572
0;8.262345;7.291176;7.381804;8.290979;7.671748
10;11.064027;9.647188;11.312724;11.981349;12.363021
20;14.954333;13.496054;13.751298;15.133456;13.259970
30;17.692617;16.760301;17.174377;17.336167;18.008974
40;20.087799;19.421268;20.590567;21.449091;21.339326
50;23.943200;22.850210;25.058939;24.031560;25.222822
60;27.562090;25.551607;26.351913;27.475959;27.685327
70;30.393266;27.734374;29.485275;29.539621;31.019918
80;32.997631;32.001278;33.881808;32.674535;33.526718
90;35.641711;34.905339;36.436775;36.127747;36.967216
100;37.042729;36.312646;37.691213;38.063513;38.141675
110;37.456709;36.523206;37.182546;37.929122;38.723963
120;36.995004;35.670203;36.644742;37.857716;37.416218
130;36.498757;36.202117;38.343139;37.030218;38.108413
140;36.409313;34.204429;36.384337;36.099321;37.757089
150;35.733085;35.173465;36.041056;36.283380;36.160924
160;35.753905;33.149771;36.703669;35.844981;36.806286
170;35.367102;33.261373;35.228809;35.721044;36.115857
180;33.870514;32.693234;34.517069;34.188800;35.454596
190;34.605311;32.043181;33.600657;35.158315;35.381814
200;33.728705;31.276237;34.866930;33.861120;35.057295
210;32.319522;31.270877;33.338109;33.790809;34.557700
220;33.284584;30.785136;33.609335;32.813159;34.042656
230;31.937021;29.720454;34.030871;33.915236;33.623158
240;33.125083;30.722546;32.356420;32.491839;33.486338
250;31.689556;30.282981;31.971974;32.654278;33.515285
260;31.566779;30.455024;31.667539;32.523409;32.417699
270;30.967019;29.899621;31.060555;31.464887;31.282862
