Laser Delay [ns];TA [mOD]
-400;0.098271
-390;0.311591
-380;-0.100450
-370;0.016560
-360;0.424487
-350;0.211027
-340;0.315765
-330;-0.324606
-320;-0.388573
-310;-0.455355
-300;-0.201445
-290;-0.485428
-280;-0.269588
-270;0.202876
-260;0.179936
-250;-0.088613
-240;0.190630
-230;0.077552
-220;-0.120596
-210;0.012182
-200;-0.054135
-190;-0.162545
-180;-0.052915
-170;-0.283278
-160;0.112474
-150;0.322325
-140;0.122150
-130;-0.191104
-120;-0.219291
-110;-0.009102
-100;-0.370383
-90;-0.216375
-80;-0.670307
-70;-0.118939
-60;-0.069800
-50;-0.325471
-40;0.159211
-30;0.689399
-20;2.091911
-10;4.856550
0;8.446002
10;11.666262
20;15.188707
30;18.369529
40;22.357318
50;24.851736
60;28.410519
70;31.875301
80;35.142892
90;37.602016
100;39.772686
110;39.578329
120;39.626763
130;39.236993
140;38.549913
150;37.684110
160;37.459135
170;37.001997
180;36.727698
190;36.620661
200;36.233823
210;35.442531
220;34.925198
230;34.470037
240;34.587739
250;34.085195
260;33.672475
270;33.074091
280;33.205613
290;32.654942
300;31.951846
310;31.612288
320;31.410321
330;31.158874
340;30.572552
350;30.617824
360;29.335295
370;30.068018
380;30.114073
390;28.843841
400;28.346059
410;28.949571
420;27.703626
430;27.718432
440;27.887297
450;27.025999
460;26.868351
470;26.475982
480;26.066221
490;25.981515
500;25.911740
510;25.056376
520;25.423660
530;24.945882
540;25.006310
550;24.606146
560;24.601097
570;23.599888
580;23.444317
590;23.198130
600;22.749924
610;22.618635
620;23.214988
630;21.679376
640;22.003278
650;21.840468
660;21.613360
670;21.153564
680;20.620942
690;20.503912
700;20.956400
710;20.299064
720;20.375087
730;19.585123
740;19.694175
750;19.390979
760;19.046279
770;18.832301
780;18.856437
790;18.388512
800;18.143413
810;18.480030
820;17.843931
830;18.434884
840;17.499235
850;17.292781
860;17.063858
870;17.041204
880;16.794510
890;16.566495
900;16.601716
910;16.171427
920;15.995281
930;16.205221
940;15.920423
950;15.370993
960;15.151090
970;15.036616
980;15.099498
990;14.945096
1000;14.372118
1010;15.038314
1020;14.533756
1030;14.088901
1040;13.500681
1050;13.989130
1060;13.339269
1070;14.048727
1080;13.241123
1090;13.144009
1100;13.052878
1110;12.924330
1120;12.655979
1130;13.364630
1140;12.533754
1150;12.467250
1160;12.112183
1170;12.334396
1180;12.378271
1190;11.553996
1200;11.379445
1210;11.591099
1220;11.752640
1230;11.214520
1240;11.117820
1250;10.991632
1260;10.642233
1270;10.283247
