Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.391596;0.202863;-0.018482;0.085995;-0.170616
-390;0.451377;0.255320;-0.648714;0.619817;0.880156
-380;0.009116;0.264659;-0.258599;-1.076361;0.558935
-370;-0.699081;0.812540;-0.740402;0.560529;0.149214
-360;0.902702;-0.429645;-0.700794;0.652725;1.697445
-350;-0.257763;0.615147;0.466589;0.394268;-0.163104
-340;-0.598838;0.502508;0.989282;0.327615;0.358258
-330;-0.216129;-1.177400;0.504761;-0.341071;-0.393193
-320;0.190066;-1.551310;-0.291479;0.179291;-0.469431
-310;-0.108891;-0.591923;-1.032845;-0.664836;0.121717
-300;0.547313;0.329788;-0.448112;0.013083;-1.449298
-290;-0.203236;-0.194136;-0.561434;-0.640862;-0.827474
-280;-0.469641;-0.159483;-1.234179;0.269454;0.245908
-270;-0.690575;0.955091;0.097676;-0.140213;0.792399
-260;0.612511;0.100376;-0.117751;-0.468320;0.772861
-250;-1.008932;-0.214299;-0.151015;0.244870;0.686310
-240;0.203254;-0.250748;-0.664552;0.765093;0.900102
-230;0.696659;0.903993;0.118192;-0.349580;-0.981506
-220;0.714387;-0.169667;-0.112757;-0.795504;-0.239437
-210;-0.206179;0.453404;-0.202931;-0.043064;0.059679
-200;-0.832273;1.101174;-0.224666;-0.000385;-0.314524
-190;-0.451503;-0.501671;-0.253439;0.231176;0.162713
-180;0.311181;-0.427338;1.249422;-0.473901;-0.923942
-170;-0.295943;-1.231603;0.394569;-1.143598;0.860184
-160;-0.262675;0.218326;0.762953;-0.102084;-0.054150
-150;0.096151;1.214759;-0.235430;0.721315;-0.185172
-140;0.042133;-0.801442;0.029612;1.450043;-0.109597
-130;-1.185411;-0.075238;0.098260;-0.126623;0.333493
-120;-0.468739;0.585071;0.013845;-1.287680;0.061045
-110;0.207467;0.106239;-0.494938;0.364153;-0.228430
-100;-0.434391;-0.565116;-0.441641;-1.543201;1.132435
-90;-0.301611;-0.276971;-0.786675;0.208591;0.074792
-80;-1.103510;0.218874;-1.168812;-0.068613;-1.229472
-70;-1.238471;-0.127528;0.430417;0.396490;-0.055605
-60;-0.370031;0.060175;0.266452;-0.825125;0.519529
-50;-0.600873;-0.738385;0.338778;0.280276;-0.907149
-40;0.588891;0.866397;-0.049720;-0.428300;-0.181214
-30;1.259705;1.803309;-0.264659;0.153820;0.494818
-20;2.155618;2.713425;1.873196;1.044646;2.672672
-10;4.900064;5.251928;4.815300;4.724950;4.590509
0;9.524919;8.664027;7.267459;8.297066;8.476536
10;11.872881;12.293274;11.586560;10.750099;11.828497
20;15.032126;14.815989;15.917573;15.377309;14.800541
30;18.693234;18.393710;18.830318;18.043248;17.887137
40;21.813161;22.762063;22.893801;22.717234;21.600330
50;24.599652;24.560360;24.641528;25.350548;25.106593
60;28.815797;28.362831;28.249545;28.056068;28.568354
70;32.102134;32.387129;31.713992;31.331170;31.842079
80;35.490547;34.805119;35.062252;35.410421;34.946122
90;38.155874;37.426484;37.280098;37.931713;37.215912
100;40.556239;40.244862;39.491912;39.536500;39.033918
110;39.521468;40.373857;39.059287;39.608631;39.328403
120;40.169346;39.228833;40.265648;38.814379;39.655607
130;39.988398;39.185105;39.263057;38.839791;38.908616
140;39.908950;38.200479;37.293218;38.821728;38.525190
150;37.433702;38.160582;37.857115;37.526325;37.442825
160;36.838663;36.686667;37.284898;38.504860;37.980586
170;37.267260;37.076747;36.463518;37.163888;37.038571
180;36.210685;36.804611;36.400986;36.507402;37.714806
190;36.681210;35.937738;36.411034;36.863829;37.209493
200;36.775081;36.375976;35.765916;36.206772;36.045370
210;35.416824;34.557596;34.843579;36.411563;35.983091
220;35.075380;34.853058;34.430127;34.864316;35.403110
230;33.875256;34.426228;34.008109;35.017596;35.022997
240;34.188136;34.498123;34.782621;35.794506;33.675308
250;34.188993;34.477185;33.773028;34.434544;33.552226
260;33.269442;33.596742;34.390897;34.441506;32.663787
270;32.917800;33.796268;32.749391;31.771482;34.135516
280;32.495011;32.275538;33.831409;33.538234;33.887873
290;32.632164;31.944425;32.292160;34.110992;32.294970
300;31.679115;31.952365;31.855393;32.046154;32.226204
310;31.483782;30.999034;32.945240;30.932904;31.700479
320;30.944643;31.795695;31.171147;31.538157;31.601963
330;30.592480;31.614578;30.991115;31.619599;30.976597
340;30.373432;30.091353;30.237010;31.801772;30.359189
350;31.894632;30.534001;30.462184;29.930250;30.268051
360;29.252963;29.236507;29.136446;29.518649;29.531910
370;30.597843;29.991752;30.226509;29.746813;29.777174
380;29.635300;29.685515;30.359299;30.680861;30.209389
390;28.466536;28.394827;29.366585;29.056947;28.934308
400;28.580253;27.953628;28.237470;29.148559;27.810386
410;29.574830;27.920070;29.774805;28.814220;28.663928
420;28.463522;27.901634;27.173096;26.900476;28.079400
430;27.610849;27.432373;27.080203;28.485447;27.983289
440;26.654111;27.561691;28.199901;27.916847;29.103932
450;27.262548;26.534946;26.590226;28.175021;26.567253
460;26.604186;28.057348;26.820049;25.985836;26.874336
470;26.100820;27.526267;26.333520;26.146947;26.272354
480;25.997269;26.429338;25.325485;25.151397;27.427614
490;25.051487;26.118199;26.570794;26.011761;26.155332
500;25.861914;25.588556;26.472668;25.710698;25.924865
510;25.156990;25.135381;24.935412;25.360856;24.693242
520;25.016552;24.831252;24.611245;26.152390;26.506864
530;24.501361;25.220237;24.722086;24.979810;25.305918
540;25.881125;25.210422;24.496269;25.814296;23.629441
550;24.453072;24.191888;25.454177;25.052842;23.878752
560;23.919340;24.411531;24.528247;25.414833;24.731536
570;22.856738;25.361079;23.783341;23.756322;22.241961
580;24.254982;23.326956;23.090208;23.210408;23.339030
590;22.602660;24.333148;22.659924;23.175824;23.219095
600;22.236115;23.173855;22.650598;22.722431;22.966622
610;21.854290;22.010401;22.917565;23.546248;22.764669
620;22.207651;24.402555;23.164597;24.200800;22.099336
630;21.181219;20.902130;21.721765;22.608898;21.982868
640;21.990535;21.923640;22.846072;22.104010;21.152133
650;21.614692;22.143816;22.585516;21.419577;21.438739
660;22.030885;20.908784;21.315932;22.200969;21.610233
670;21.509395;20.949504;21.614737;21.832694;19.861492
680;20.395726;21.135819;20.806538;20.108283;20.658342
690;20.611036;20.589842;19.563534;20.658991;21.096158
700;21.063663;19.472602;22.901565;20.783793;20.560375
710;20.621297;21.100887;19.610819;20.613954;19.548365
720;20.427711;22.181308;19.476788;19.901073;19.888553
730;19.864686;19.846767;19.552253;19.446535;19.215376
740;18.718022;19.687819;19.810166;19.767043;20.487826
750;18.488525;19.860220;19.020514;20.066704;19.518933
760;19.313731;18.116240;19.197056;19.615509;18.988857
770;19.375534;19.355064;18.974526;18.729000;17.727379
780;18.705025;19.195727;18.908601;19.444838;18.027994
790;18.443732;18.196336;17.875608;19.745224;17.681658
800;19.437014;17.820604;17.524414;17.929685;18.005349
810;18.806700;18.442012;18.319338;18.220556;18.611544
820;17.672863;18.185662;17.781605;17.189792;18.389733
830;17.123380;18.474375;17.908151;18.571964;20.096548
840;16.791592;17.364286;18.873772;17.920497;16.546026
850;17.606187;16.636625;16.475672;17.827212;17.918210
860;15.922585;18.555716;16.666921;16.627462;17.546606
870;16.726632;17.412844;16.653006;17.777665;16.635872
880;17.180615;16.305995;17.696041;16.849923;15.939976
890;16.769832;16.277840;16.835575;16.367955;16.581270
900;17.030751;16.863107;16.964698;16.537222;15.612804
910;15.399615;16.947146;16.314052;16.433316;15.763006
920;15.461123;16.247365;16.312506;16.392240;15.563171
930;16.287214;16.131042;15.180720;17.561729;15.865401
940;14.615507;16.886940;15.991585;15.972817;16.135265
950;15.393964;14.885017;15.430696;16.047333;15.097956
960;15.855019;16.074466;14.994448;14.364986;14.466529
970;15.510765;15.173048;14.581714;14.671443;15.246113
980;14.103135;15.162127;14.015383;17.088639;15.128206
990;14.947971;14.180742;14.909362;15.154081;15.533323
1000;14.903551;14.742170;14.513269;14.298719;13.402880
1010;13.367650;15.484589;16.466682;14.759075;15.113575
1020;14.426052;14.844410;14.926249;13.976467;14.495599
1030;13.533742;15.167519;13.454184;14.522846;13.766215
1040;13.997958;11.907509;13.953463;13.676427;13.968051
1050;13.834457;13.582796;13.440908;14.967832;14.119658
1060;13.812856;13.910619;13.891904;12.690536;12.390429
1070;13.539070;14.396832;13.759624;14.026831;14.521279
1080;13.965646;13.220090;13.538515;12.192527;13.288838
1090;13.625273;12.456638;13.523862;13.076828;13.037442
1100;12.662965;13.016068;13.007998;13.455851;13.121507
1110;13.884318;13.473610;11.291806;12.508011;13.463907
1120;12.600173;12.897541;11.967147;13.376901;12.438134
1130;14.198553;13.040409;12.999657;14.143912;12.440620
