Laser Delay [ns];TA [mOD]
-400;-0.061046
-390;0.086415
-380;-0.368504
-370;-0.090336
-360;-0.342922
-350;-0.123281
-340;0.090598
-330;-0.688307
-320;-0.183082
-310;-0.190879
-300;-0.265856
-290;0.121149
-280;0.115143
-270;-0.155745
-260;-0.736228
-250;0.437202
-240;-0.186149
-230;-0.109238
-220;0.282585
-210;0.117697
-200;-0.322961
-190;-0.018472
-180;-0.358602
-170;-0.086231
-160;0.455113
-150;-0.046536
-140;-0.316918
-130;0.235832
-120;0.118069
-110;0.228158
-100;0.223723
-90;-0.766290
-80;0.584020
-70;-0.142053
-60;0.028944
-50;0.175473
-40;-0.236686
-30;0.444358
-20;1.680273
-10;4.883372
0;8.146988
10;11.553864
20;15.567901
30;18.541843
40;22.122281
50;25.131201
60;28.764969
70;31.407901
80;34.928234
90;37.632870
100;39.593182
110;38.970128
120;39.346136
130;38.687974
140;38.772794
150;38.143983
160;37.696649
170;37.263481
180;36.703911
190;35.670641
200;35.789342
210;35.584426
220;35.017009
230;35.163739
240;33.785866
250;33.986218
260;33.527544
270;32.768995
280;32.882687
290;32.544344
300;31.740144
310;31.375622
320;31.995745
330;31.027863
340;31.086294
350;30.411172
360;29.715526
370;29.631527
380;29.501550
390;29.258915
400;28.598339
410;28.255203
420;28.020339
430;27.523518
440;27.691138
450;27.113628
460;25.895767
470;26.466404
480;26.263522
490;26.015602
500;25.545799
510;25.249847
520;24.997479
530;24.648219
540;24.750250
550;23.973750
560;24.108649
570;23.113901
580;23.134525
590;23.293996
600;22.493102
610;22.354017
620;22.841454
630;21.975953
640;22.061496
650;21.899814
660;21.288992
670;21.228739
680;21.197680
690;20.273340
700;20.301685
710;20.089715
720;19.932120
730;19.600965
740;19.411744
750;19.180501
760;19.667446
770;18.818421
780;18.430759
790;18.762830
800;17.501428
810;18.192216
820;17.870737
830;18.331420
840;17.496420
850;17.753441
860;17.163374
870;16.940218
880;16.858933
890;17.131062
900;16.098335
910;16.264550
920;16.101934
930;15.765877
940;15.564490
950;15.662076
960;15.530937
970;15.314524
980;14.559696
990;14.792833
1000;14.775013
1010;14.211189
1020;14.115508
1030;14.327089
1040;13.919430
1050;13.851827
1060;12.966548
1070;13.227926
1080;13.322850
1090;12.902815
1100;13.000361
1110;12.468758
1120;13.272397
1130;12.758579
1140;12.365695
1150;12.438969
1160;11.931649
1170;12.535664
1180;12.120587
1190;11.556887
1200;12.091268
1210;11.287606
1220;11.194182
1230;11.323900
1240;10.965799
1250;11.065240
1260;11.286702
1270;10.718126
1280;10.553583
1290;10.446425
1300;10.393677
1310;10.187290
1320;10.212775
1330;10.362468
1340;9.759849
1350;10.085235
1360;9.461048
1370;9.611576
1380;9.498948
1390;9.593757
1400;8.844855
1410;9.362786
1420;9.283884
1430;9.198108
1440;8.680739
1450;8.945916
1460;8.971970
1470;8.364357
1480;8.626454
1490;8.141944
1500;9.014683
1510;7.595496
1520;8.273526
1530;8.682481
1540;7.940096
1550;8.053087
1560;7.565865
1570;7.890903
1580;7.984221
1590;7.070694
1600;7.720105
1610;7.489473
1620;7.554129
1630;7.385898
1640;7.040448
1650;7.171805
1660;7.098990
1670;6.965548
1680;6.494031
1690;7.002332
1700;6.376316
1710;6.708424
1720;6.334331
1730;6.775598
1740;6.747606
1750;6.644277
1760;5.795346
1770;6.669338
1780;6.630177
1790;6.026936
1800;5.565496
1810;5.480588
1820;6.077190
1830;5.398869
1840;5.519393
1850;5.907252
1860;5.526663
1870;5.345873
1880;5.062715
1890;5.550825
1900;5.487969
1910;5.313098
1920;5.283445
1930;4.402920
1940;5.007623
1950;4.767033
1960;4.891541
1970;4.584809
1980;4.667037
1990;4.507947
2000;4.738016
2010;4.477878
2020;4.411657
2030;4.555681
2040;5.007003
2050;4.701413
2060;3.759489
2070;3.871303
2080;4.661965
2090;3.923411
2100;4.532025
2110;4.073241
2120;3.996050
2130;4.313790
2140;3.853500
2150;4.078366
2160;3.409817
2170;3.684628
2180;4.132890
2190;3.985923
2200;3.510673
2210;3.637604
2220;3.545367
2230;3.956586
2240;3.397433
2250;3.626791
2260;3.504922
2270;3.855629
2280;3.573399
2290;3.368767
2300;3.409992
2310;2.813685
2320;3.311097
2330;3.561237
2340;3.535035
2350;3.122126
2360;3.234328
2370;2.893842
2380;3.231560
2390;2.456769
2400;3.152253
2410;3.302925
2420;3.069289
