Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.307940;0.352953;-0.258715;-0.512948;-0.194462
-390;-0.443252;-0.176363;1.104095;0.404109;-0.456514
-380;-0.906168;0.194549;0.279366;-0.509964;-0.900302
-370;0.182174;0.562866;0.697779;-0.658862;-1.235640
-360;-0.212584;-0.107017;-0.367716;-0.411376;-0.615916
-350;-0.486878;0.589620;-0.263202;-0.317223;-0.138724
-340;0.162912;-0.540321;1.471147;-0.659685;0.018934
-330;-0.563396;-0.764010;0.014692;-1.772519;-0.356305
-320;-0.294264;-0.649956;-0.254375;0.539990;-0.256803
-310;-0.409123;-0.652608;-0.304642;0.187808;0.224168
-300;0.848992;-0.154904;-1.102709;-0.199456;-0.721205
-290;-0.570313;-0.642372;0.163867;1.095043;0.559519
-280;0.621312;-0.246528;0.354760;-0.613406;0.459577
-270;0.316484;-0.435580;-0.326097;-0.640650;0.307119
-260;-0.859139;-0.623005;-1.277136;-0.338879;-0.582981
-250;0.577260;0.922396;-0.576822;1.366461;-0.103286
-240;-0.565416;-0.149524;-0.410500;0.039586;0.155108
-230;0.164497;-0.774323;-0.328347;0.052227;0.339755
-220;0.706882;-0.283517;0.673813;1.282963;-0.967215
-210;-0.281241;0.767189;-0.428162;0.241356;0.289344
-200;-1.151405;0.103357;0.135670;-0.011138;-0.691290
-190;0.428257;-0.098618;-0.154792;0.398293;-0.665500
-180;0.706089;0.419442;-0.539501;-1.642303;-0.736737
-170;1.280053;-0.912732;-0.532538;0.231438;-0.497376
-160;1.171528;0.569413;-0.215282;0.722797;0.027110
-150;-0.458728;-0.779873;0.171186;0.452788;0.381947
-140;0.452751;-0.529515;-0.313661;-0.314524;-0.879639
-130;0.398785;1.118489;0.417431;-1.000567;0.245021
-120;0.523498;-1.128024;-0.019695;0.680578;0.533986
-110;0.189021;0.877989;-0.015070;-0.380511;0.469363
-100;0.358518;-0.637210;1.243171;0.176176;-0.022038
-90;0.092439;-0.540390;-1.915777;-0.170118;-1.297607
-80;0.799632;0.677219;0.184344;1.364390;-0.105485
-70;0.234057;-0.583581;0.215165;-0.936110;0.360206
-60;0.651170;0.035195;-1.337350;0.362876;0.432831
