Laser Delay [ns];TA [mOD]
-400;-0.034855
-390;0.025181
-380;0.311250
-370;-0.212411
-360;-0.141556
-350;0.118569
-340;-0.482024
-330;0.263545
-320;0.074264
-310;0.350378
-300;-0.058346
-290;0.171558
-280;-0.246188
-270;-0.056881
-260;-0.279364
-250;-0.046742
-240;-0.077106
-230;-0.126778
-220;-0.352930
-210;-0.024098
-200;-0.146768
-190;-0.090644
-180;-0.407695
-170;0.076646
-160;-0.235663
-150;0.053423
-140;-0.096084
-130;0.252547
-120;0.027758
-110;-0.083039
-100;0.002182
-90;-0.253566
-80;0.119246
-70;-0.130719
-60;-0.184502
-50;-0.049086
-40;-0.314774
-30;-0.098606
-20;0.369333
-10;1.798366
0;4.387993
10;6.457089
20;8.863424
30;10.877515
40;13.272251
50;15.662059
60;17.802224
70;20.194637
80;22.143421
90;24.060576
100;25.890067
110;26.704519
120;26.444885
130;25.984747
140;26.001141
150;25.652395
160;24.793117
170;25.482269
180;24.597665
190;24.233299
200;24.073384
210;24.001114
220;23.701908
230;23.575861
240;22.862783
250;22.685052
260;22.921066
270;22.464866
280;22.096080
290;21.940433
300;21.513784
310;21.688182
320;21.207065
330;21.026398
340;20.755125
350;20.398229
360;20.286789
370;20.003543
380;19.745854
390;19.521849
400;19.317438
410;19.130541
420;19.246446
430;18.951945
440;18.549631
450;18.379237
460;18.120294
470;17.999471
480;17.937280
490;17.778108
500;17.525329
510;17.147587
520;16.706232
530;16.862886
540;16.940715
550;16.446340
560;16.053583
570;16.128096
580;15.676661
590;15.522943
600;15.592427
610;15.512678
620;15.284449
630;14.877597
640;15.492390
650;14.880003
660;14.847184
670;14.181605
680;14.212182
690;14.135096
700;14.148708
710;13.846811
720;13.915590
730;13.579203
740;13.057491
750;13.308325
760;12.908118
770;13.015324
780;12.866077
790;12.984712
800;12.209559
810;12.657435
820;12.324941
830;12.346235
840;11.818193
850;12.163931
860;11.464217
870;11.973838
880;11.478768
890;11.315720
900;11.115281
910;10.943854
920;11.072761
930;10.954023
940;10.700788
950;10.539099
960;10.633055
970;10.429309
980;10.436763
990;10.041861
1000;10.113600
1010;9.940964
1020;9.917268
1030;9.705962
1040;9.474912
1050;9.739929
1060;9.440009
1070;9.358823
1080;9.212235
1090;8.930909
1100;9.147424
1110;8.796620
1120;8.856661
1130;8.775645
1140;8.895847
1150;8.545111
1160;8.406538
1170;8.552809
1180;8.610386
1190;7.922692
1200;8.307875
1210;8.456574
1220;8.068652
1230;7.630368
1240;7.721131
1250;7.684490
1260;7.457164
1270;7.692640
1280;7.760295
1290;7.163716
1300;7.111540
1310;7.384825
1320;6.960328
1330;6.895146
1340;6.968148
1350;6.871923
1360;7.198870
1370;6.301384
1380;6.763904
1390;6.765957
1400;6.344078
1410;6.728462
1420;6.316166
1430;6.428146
1440;6.149197
