Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.482407;-0.246134;-0.098902;-0.323336;0.011692
-390;1.009309;-0.309055;-0.162403;-0.480581;0.068633
-380;0.875107;-0.277230;0.484701;0.303169;0.170500
-370;-0.301055;0.049669;-0.940650;0.068134;0.061847
-360;0.053563;-0.175500;0.186448;0.002661;-0.774951
-350;0.372928;0.222528;-0.787092;0.478678;0.305805
-340;-0.049660;-0.659207;-0.121577;-0.901354;-0.678325
-330;0.600152;0.170177;0.156585;0.752319;-0.361507
-320;-0.409531;-0.051468;0.172163;0.461858;0.198298
-310;0.676463;-0.066696;0.900291;-0.263865;0.505697
-300;-0.524728;-0.066660;-0.163437;0.596588;-0.133492
-290;0.051116;0.551867;-0.229123;0.745299;-0.261368
-280;-0.131513;-0.446987;-0.091109;-0.347248;-0.214085
-270;-0.315449;-0.170998;0.021313;-0.413562;0.594292
-260;0.171683;-1.205092;-0.210957;-0.393229;0.240775
-250;-0.187448;0.232436;0.311695;-0.544441;-0.045952
-240;0.428935;-0.068914;0.168953;-0.669264;-0.245240
-230;0.199283;-0.236553;-0.200002;0.150851;-0.547468
-220;-0.504876;-0.707162;-0.088823;-0.262377;-0.201413
-210;-0.394161;0.199439;0.124436;0.197337;-0.247543
-200;-0.694972;0.003030;-0.498294;-0.256274;0.712670
-190;0.534897;-0.011370;0.192832;-0.568093;-0.601488
-180;-0.840072;-1.016368;-0.400548;0.163115;0.055399
-170;0.378601;0.178083;-0.082163;-0.491501;0.400210
-160;-0.746145;-0.226963;0.055115;0.044016;-0.304338
-150;-0.574194;0.769877;0.428747;-0.906432;0.549117
-140;0.059281;-0.661525;-0.492159;0.464795;0.149189
-130;0.260487;-0.264865;0.928462;-0.286137;0.624789
-120;0.229185;-0.369544;-0.387866;0.361107;0.305911
-110;0.389474;-0.722920;0.047779;0.544330;-0.673858
-100;-0.312073;0.437986;0.251555;0.048171;-0.414727
-90;-0.591548;0.012505;-0.490334;0.258220;-0.456671
-80;0.134676;0.745366;-0.219433;0.159274;-0.223655
-70;-0.037848;0.698426;-0.387034;-1.012665;0.085528
-60;-0.878552;-0.137108;-0.371154;0.311026;0.153276
-50;-0.469715;0.558228;-0.281657;0.239236;-0.291523
-40;-0.228437;-0.749172;0.031420;-0.164950;-0.462732
-30;0.362758;-0.550044;0.094644;0.260325;-0.660714
-20;0.399679;0.964153;0.656370;0.206609;-0.380146
-10;1.910093;1.507996;2.041282;1.902663;1.629794
0;4.671527;3.888728;4.209088;5.342428;3.828193
10;6.223312;6.619691;5.844151;6.659812;6.938479
20;9.468209;9.615307;8.003425;8.648367;8.581812
30;11.560235;11.090773;10.165911;11.168855;10.401800
40;12.749909;13.221313;13.653967;12.580819;14.155249
50;16.327983;15.073094;15.777129;15.461187;15.670899
60;17.422211;17.370049;17.515992;18.054586;18.648282
70;20.238332;19.932863;20.087152;20.340197;20.374640
80;22.338588;22.484774;21.171503;22.002681;22.719559
90;23.542701;24.361406;23.261520;24.642086;24.495170
100;25.368007;25.063834;26.355817;26.346456;26.316224
110;26.284372;26.940724;26.277534;27.142902;26.877061
120;26.934829;26.437776;25.780562;26.122642;26.948618
130;26.422795;25.230481;25.125384;26.926013;26.219063
140;25.635741;26.598968;25.302929;26.276608;26.191458
150;25.544149;25.872639;24.605179;26.344126;25.895882
160;24.618121;24.883473;24.394590;25.441169;24.628230
170;25.615514;24.919236;25.695011;25.592624;25.588959
180;25.254352;24.360197;24.125017;24.387216;24.861541
190;24.495420;24.641757;23.301807;24.207761;24.519751
200;24.031585;24.414562;23.602602;23.752913;24.565261
210;24.339983;23.624695;23.163355;24.180096;24.697442
220;23.748287;23.876068;23.310156;24.287276;23.287753
230;23.143091;23.547234;22.788650;24.203219;24.197111
240;22.853809;23.375770;22.682834;22.025121;23.376383
250;22.570948;22.626113;22.257569;22.958441;23.012190
260;23.361675;23.083974;22.756271;22.199302;23.204107
270;22.175557;23.102128;21.964903;22.256246;22.825493
280;23.057710;21.762678;21.271237;21.986214;22.402560
290;21.920303;22.598284;20.990714;21.470094;22.722772
300;21.295363;21.491789;21.032337;21.656174;22.093260
310;21.273014;21.998058;21.060694;22.432250;21.676895
320;21.026456;20.652283;21.144557;21.291082;21.920946
330;21.371671;20.788178;20.519859;20.883820;21.568462
340;20.638792;19.915926;20.369448;21.139976;21.711483
350;21.354509;20.394472;19.204678;20.075993;20.961492
360;21.003419;20.077120;19.491234;20.096637;20.765537
370;20.103342;19.954746;19.509471;20.343330;20.106825
380;19.372982;19.562654;19.580316;19.856402;20.356918
390;19.513493;18.796882;19.063209;20.386062;19.849599
400;18.841770;19.387721;19.181754;20.129772;19.046176
410;19.578965;18.317508;18.993997;19.347753;19.414481
420;19.255689;19.310966;18.740090;19.420432;19.505051
430;18.201096;19.838622;18.325690;19.166459;19.227858
440;18.574905;18.203396;18.154830;18.685573;19.129451
450;18.163450;18.663622;18.221644;18.298691;18.548780
460;18.360758;18.470419;16.893639;18.304273;18.572384
470;17.877082;17.587733;17.751006;17.779947;19.001586
480;17.605823;18.174736;17.796016;18.083205;18.026620
490;17.837504;17.166333;17.004461;18.506797;18.375442
500;17.941949;17.467136;17.842536;16.787140;17.587885
510;17.108963;17.252381;17.302535;16.724588;17.349470
520;16.370653;16.376046;16.644287;17.502143;16.638033
530;16.025256;17.105013;16.240826;17.524992;17.418345
540;16.352809;17.081955;17.065230;16.860543;17.343039
550;16.686690;15.996194;16.219289;16.842751;16.486777
560;15.961892;15.803739;15.732023;16.479940;16.290319
570;15.741179;15.524441;15.819946;17.057703;16.497210
580;15.279171;15.281080;15.650536;16.243176;15.929344
590;16.166861;15.263319;15.193314;15.146558;15.844664
600;15.521187;14.915451;15.732900;15.851547;15.941051
610;14.923532;15.277717;15.185443;16.089713;16.086982
620;15.475941;15.312963;15.243284;14.998823;15.391232
630;15.224778;14.564903;13.857164;15.648032;15.093109
640;14.757212;16.280969;14.319358;16.104818;15.999592
650;15.561509;14.575360;14.793919;14.850124;14.619105
660;14.666721;15.380781;14.594878;14.470747;15.122793
