Laser Delay [ns];TA [mOD]
-400;0.459154
-390;-0.121852
-380;-0.068472
-370;0.142906
-360;-0.243633
-350;0.112188
-340;-0.135737
-330;-0.138366
-320;-0.072020
-310;-0.079934
-300;-0.244584
-290;-0.091762
-280;0.084201
-270;-0.166974
-260;-0.003546
-250;-0.032314
-240;0.325748
-230;0.016401
-220;0.301869
-210;-0.049789
-200;-0.100161
-190;-0.540775
-180;-0.290670
-170;0.041526
-160;-0.023932
-150;-0.054416
-140;0.207989
-130;-0.114011
-120;-0.059960
-110;-0.455251
-100;0.094291
-90;-0.189264
-80;-0.160347
-70;0.378216
-60;0.048626
-50;-0.648265
-40;-0.035424
-30;0.063329
-20;0.573002
-10;3.957711
0;6.961476
10;10.484674
20;13.686688
30;17.344244
40;20.439041
50;23.901343
60;26.846256
70;30.072079
80;33.685540
90;36.364107
100;38.569501
110;39.178310
120;38.762561
130;38.292487
140;37.845094
150;37.587060
160;37.438023
170;37.298055
180;36.381573
190;36.411435
200;35.637734
210;35.496640
220;34.698096
230;34.933727
240;34.346972
250;33.614989
260;33.631924
270;32.452081
280;32.941648
290;32.560093
300;31.943066
310;31.846327
320;31.172715
330;30.954602
340;30.149586
350;30.311944
360;30.148053
370;29.301403
380;29.306969
390;28.767984
400;28.703781
410;28.304897
420;28.241425
430;27.684990
440;27.314445
450;26.854050
460;26.783458
470;26.358476
480;26.600543
490;26.360777
500;25.601434
510;25.572949
520;25.073607
530;25.055080
540;24.754933
550;24.411988
560;23.956077
570;23.983965
580;23.302138
590;23.059572
600;23.130010
610;23.026991
620;22.378624
630;22.561723
640;22.107147
650;22.146507
660;22.072910
670;21.337149
680;21.062258
690;21.133415
700;20.753412
710;20.831799
720;20.219587
730;19.860256
740;20.044037
750;19.737391
760;19.306123
770;19.222159
780;19.324547
790;18.816589
800;18.997320
810;18.493773
820;18.177788
830;17.898992
840;17.932295
850;17.670923
860;17.277886
870;17.658375
880;17.147082
890;17.288681
900;17.337545
910;16.595367
920;16.170179
930;15.614457
940;15.677768
950;16.072911
960;15.508372
970;15.701432
980;15.073920
990;15.661453
1000;15.533949
1010;15.313502
1020;15.097225
1030;14.209050
1040;14.292097
1050;14.220097
1060;13.843401
1070;14.080604
1080;13.977733
1090;13.961472
1100;13.674849
1110;13.296748
1120;13.117856
1130;13.350503
1140;12.966117
1150;12.633800
1160;12.441221
1170;12.516336
1180;12.278679
1190;12.675893
1200;12.132087
1210;12.237459
1220;11.533725
1230;12.253693
1240;11.732336
1250;11.505420
1260;11.538969
1270;11.815638
1280;11.526326
1290;11.047363
1300;11.217227
1310;10.851558
1320;11.088235
1330;10.468695
1340;10.335481
1350;10.903167
1360;10.427393
1370;10.641239
1380;9.909146
1390;10.280446
1400;10.054130
1410;10.311950
1420;9.573256
1430;9.611862
1440;9.316176
1450;9.518661
1460;9.083151
1470;9.340646
1480;8.952755
1490;8.673831
1500;9.047292
1510;8.896651
1520;9.174358
1530;8.710466
1540;8.534068
1550;8.422786
1560;8.388625
1570;8.319113
1580;7.923045
1590;8.128599
1600;8.041111
1610;7.700559
1620;7.937737
1630;7.713756
1640;7.535460
1650;7.443911
1660;7.999953
1670;8.017105
1680;7.585648
1690;7.145551
1700;7.648487
1710;7.083215
1720;6.864020
1730;6.774510
1740;6.637221
1750;6.498327
1760;6.576244
1770;6.439738
1780;6.467364
1790;6.277122
1800;6.625290
1810;6.439519
1820;5.728649
1830;6.129946
1840;6.125788
1850;5.819016
1860;5.782973
1870;5.491966
1880;6.079745
1890;5.915115
1900;5.528238
1910;5.276183
1920;5.959264
1930;5.538266
1940;5.886607
1950;5.304544
1960;5.200446
1970;5.127428
1980;5.023546
1990;4.915347
2000;5.238194
2010;5.115672
2020;5.084643
2030;4.927203
2040;5.280743
2050;4.910410
2060;5.124549
2070;4.966103
2080;4.323527
2090;4.484959
2100;4.591116
2110;5.123281
2120;4.350661
2130;5.021746
2140;4.755038
2150;4.076622
2160;4.261873
2170;4.714012
2180;4.913591
2190;4.101172
2200;4.061070
2210;3.825012
2220;4.257908
2230;4.104815
2240;3.972378
2250;4.113096
2260;3.799435
2270;3.908660
2280;4.213721
2290;4.121915
2300;3.839206
2310;3.968346
2320;3.315441
2330;3.151960
2340;3.425308
2350;3.689842
2360;3.383359
2370;3.242352
2380;3.451931
2390;3.657578
2400;3.477248
2410;3.305868
2420;3.177042
2430;3.644060
2440;3.292606
2450;2.710735
2460;2.768858
2470;3.297098
2480;3.028198
2490;2.699665
2500;3.464067
2510;3.167679
2520;3.097136
2530;2.926186
2540;3.146182
2550;2.908201
2560;2.159766
2570;2.980451
2580;2.676173
2590;2.671794
2600;2.906755
2610;2.984325
2620;2.728786
2630;2.313777
2640;2.411754
2650;2.370420
2660;2.745037
2670;3.129393
2680;2.090188
2690;2.789878
2700;2.690256
2710;2.389990
2720;2.311583
2730;2.170217
2740;2.653238
2750;2.688992
2760;1.993556
2770;2.265318
2780;2.061155
2790;2.042068
2800;1.667230
2810;2.410232
2820;1.483640
2830;2.108869
2840;1.989224
2850;2.039011
2860;2.081525
2870;2.196715
2880;1.758364
2890;1.769717
2900;1.849633
2910;2.269084
2920;1.943254
2930;2.154989
2940;1.578628
2950;2.097588
2960;2.121994
2970;1.872480
2980;1.462713
2990;1.566522
3000;1.830185
3010;1.700563
3020;1.631927
3030;1.542328
3040;1.632350
3050;1.682464
3060;1.800184
3070;1.886604
3080;1.154083
3090;1.563080
3100;1.747816
3110;1.485465
3120;1.946959
3130;1.588701
3140;2.256436
3150;1.346250
3160;1.535677
3170;1.158586
3180;1.261812
3190;1.587195
3200;1.127637
3210;1.518582
3220;1.287254
3230;1.197446
3240;1.074568
3250;1.231974
3260;2.194557
3270;1.655347
3280;1.394112
3290;1.215545
3300;1.311168
3310;0.997953
3320;1.285707
3330;1.343505
3340;1.590411
3350;1.248181
3360;1.520175
3370;0.585325
3380;1.258832
3390;1.260962
3400;0.941142
3410;1.198641
3420;1.113507
3430;1.152774
3440;1.019150
3450;1.454156
3460;1.892936
3470;1.172522
