Laser Delay [ns];TA [mOD]
-400;0.057477
-390;-0.089472
-380;-0.305641
-370;0.363745
-360;-0.269667
-350;-0.272433
-340;0.068178
-330;0.140677
-320;0.073126
-310;-0.306284
-300;0.121329
-290;-0.157107
-280;-0.144984
-270;0.075438
-260;-0.223373
-250;-0.509450
-240;0.075977
-230;0.130481
-220;0.052513
-210;0.197559
-200;0.326245
-190;0.242960
-180;-0.403182
-170;-0.027996
-160;-0.508065
-150;-0.107827
-140;0.058918
-130;0.020778
-120;0.098121
-110;0.105646
-100;-0.479209
-90;-0.150815
-80;0.149182
-70;0.459901
-60;-0.479315
-50;-0.077110
-40;-0.514835
-30;-0.122941
-20;0.829329
-10;3.637285
0;7.135574
10;10.382369
20;14.075602
30;17.409595
40;20.336134
50;23.702293
60;27.079335
70;30.301028
80;33.543348
90;36.151405
100;38.433095
110;39.201370
120;38.484889
130;38.440797
140;37.267235
150;37.104746
160;37.360989
170;36.256966
180;36.365310
190;35.745646
200;35.520620
210;35.180867
220;35.193830
230;34.669900
240;34.406853
250;33.770797
260;32.822558
270;33.026055
280;32.835467
290;32.230398
300;31.668434
310;31.767628
320;31.288699
330;30.430754
340;30.519318
350;30.059914
360;29.669730
370;29.664526
380;28.971518
390;28.913787
400;28.483992
410;28.231881
420;27.998140
430;27.669977
440;27.549135
450;27.433785
460;26.500674
470;25.797284
480;26.743056
490;26.075440
500;25.965341
510;25.327893
520;25.498349
530;24.903938
540;24.508404
550;24.290515
560;24.090013
570;23.933481
580;23.747236
590;23.550750
600;23.210392
610;23.092560
620;23.377129
630;22.151314
640;22.218408
650;22.492745
660;21.862229
670;21.972329
680;21.036756
690;21.463076
700;20.700124
710;20.083100
720;20.203769
730;20.044665
740;19.901101
750;19.669378
760;19.442012
770;18.995419
780;19.249932
790;19.042943
800;18.554308
810;18.883373
820;18.232799
830;18.508825
840;17.684375
850;17.524898
860;17.545313
870;17.382970
880;16.923510
890;16.886685
900;16.520131
910;16.239379
920;16.240028
930;16.680119
940;16.009717
950;15.834725
960;15.707878
970;15.788789
980;15.588372
990;15.222539
1000;14.682798
