Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.176795;0.205499;-0.628922;-0.115442;0.649457
-390;-0.008796;-0.260420;-0.242790;0.504492;-0.439847
-380;-1.392031;0.284981;-0.140829;-0.014629;-0.265698
-370;1.442112;-0.265911;-0.021709;0.757749;-0.093515
-360;0.126589;0.084492;-0.334307;0.324150;-1.549259
-350;-1.073302;0.713244;-0.350500;-0.630479;-0.021129
-340;0.660773;-0.249844;-0.221331;-0.185403;0.336693
-330;0.801536;-0.169060;0.078601;0.437403;-0.445098
-320;0.388052;-0.391292;0.309624;0.112281;-0.053036
-310;-0.739259;-0.282985;0.003477;-0.573076;0.060422
-300;0.564285;0.315235;-0.098705;-0.279837;0.105667
-290;-0.398543;0.249184;-0.018251;0.024072;-0.641999
-280;-0.628320;0.518906;0.261690;-0.112553;-0.764644
-270;0.740444;0.196676;-0.866137;0.558825;-0.252619
-260;0.057274;-0.814176;0.590574;-0.073037;-0.877501
-250;0.588853;-1.531974;-0.313431;-1.178096;-0.112604
-240;-0.134250;0.790633;-0.486095;-0.530903;0.740499
-230;0.435749;-0.182599;0.180127;0.052819;0.166311
-220;-0.065853;-0.174620;-0.142887;0.933155;-0.287231
-210;-0.496837;0.562442;-0.193559;0.714798;0.400950
-200;0.870578;0.274904;0.376973;0.555707;-0.446936
-190;0.030122;0.050076;0.122093;0.923062;0.089447
-180;-1.463431;-0.406998;0.458740;0.538317;-1.142540
-170;-0.245504;0.416812;-0.655599;0.526041;-0.181730
-160;-0.922808;-1.071953;-0.298738;-0.570732;0.323908
-150;-0.301516;-0.483712;-0.768862;0.506043;0.508911
-140;0.412098;0.352509;0.167549;-0.108713;-0.528854
-130;0.176552;-0.182139;0.969426;-0.255017;-0.604935
-120;-0.549807;0.605012;0.059543;-0.010736;0.386594
-110;-0.080497;0.734637;-0.499959;0.908426;-0.534377
-100;-0.181315;-0.619760;-0.042143;-0.908645;-0.644181
-90;0.222205;-0.162255;-0.244270;-0.356193;-0.213563
-80;0.777030;-0.225112;0.277395;-0.060888;-0.022517
-70;1.335901;0.357756;0.801817;0.299266;-0.495235
-60;-0.894182;-0.547303;-0.187844;-0.684161;-0.083083
-50;0.448590;0.767340;-0.257713;-0.478790;-0.864977
-40;-0.502108;-0.617899;-0.399167;-0.605013;-0.449990
-30;-0.108373;-0.320487;-0.462969;0.372376;-0.095249
-20;0.835677;0.653721;0.821914;0.849374;0.985960
-10;3.692865;3.979755;2.653619;4.171062;3.689125
0;6.668664;6.405944;6.956576;8.514688;7.131997
10;10.227662;10.273619;10.176275;10.298337;10.935954
20;14.276041;13.695843;13.983957;13.977225;14.444943
30;17.120675;16.826361;17.248786;17.872172;17.979982
40;21.978188;19.175368;19.213821;19.942430;21.370863
50;24.549398;22.564335;23.295401;24.508686;23.593644
60;26.120342;27.948783;26.617829;27.957580;26.752143
70;29.634149;29.842346;29.490846;32.205350;30.332450
80;33.427986;33.655097;33.597497;33.117232;33.918926
90;36.505660;35.009871;35.344553;37.182977;36.713963
100;38.036392;39.197183;39.394816;38.256171;37.280911
110;39.312984;39.075783;38.387571;39.206938;40.023573
120;38.887652;37.587383;37.803486;38.788919;39.357006
130;38.444842;37.592588;37.702941;39.686064;38.777551
140;37.537012;36.715771;36.954084;37.762362;37.366945
150;37.379672;36.279539;37.785628;37.445823;36.633070
160;37.616543;36.732522;36.364419;38.167330;37.924134
170;36.537228;35.729672;35.550744;36.795446;36.671741
180;36.081303;36.618342;36.117430;36.456001;36.553477
190;35.879624;34.947060;35.755787;35.868325;36.277431
200;35.519261;35.532803;34.570161;35.593672;36.387202
210;34.932633;34.920914;34.791148;35.972720;35.286920
220;36.040934;34.958007;34.406267;35.685287;34.878657
230;34.316656;34.365107;33.387754;36.128882;35.151103
240;34.251496;34.553374;33.771741;34.884449;34.573208
250;34.178617;33.215565;33.496266;34.063131;33.900408
260;32.037149;32.382755;33.176191;33.244382;33.272314
270;33.052522;31.934012;33.327635;34.362970;32.453134
280;32.899178;32.725198;32.103632;32.917697;33.531631
290;32.319544;30.513664;32.244131;33.035374;33.039278
300;31.818733;31.816070;31.166651;31.590680;31.950036
310;32.507229;30.229406;32.552228;31.935309;31.613968
320;30.700079;30.073371;31.736595;32.003914;31.929536
330;29.899279;29.627807;29.865812;30.733866;32.027005
340;30.366191;29.740292;31.028030;30.162615;31.299464
350;30.024835;29.921844;29.657909;29.686699;31.008283
360;28.994873;29.885361;29.137724;30.015878;30.314817
370;29.572933;28.363286;30.220076;30.247283;29.919050
380;29.355415;28.889420;28.204461;29.373323;29.034970
390;29.134839;28.445882;29.152917;28.490695;29.344601
400;27.711769;28.837736;28.167926;29.255823;28.446704
410;27.342780;28.729818;28.796467;28.406854;27.883488
420;27.057527;28.383695;26.947369;28.750785;28.851323
430;27.600789;27.099351;27.454941;28.128568;28.066238
440;27.013423;26.762066;28.135482;28.731043;27.103663
450;26.595124;26.835943;28.139247;27.073616;28.524998
460;26.259571;26.189219;25.969705;27.928314;26.156561
470;25.927918;24.170525;26.153324;26.685024;26.049630
480;26.354709;27.090627;26.511338;27.272886;26.485721
490;25.208193;26.087565;26.458820;26.578472;26.044151
500;26.611128;25.314712;26.084633;26.026718;25.789512
510;25.514212;24.295477;25.983345;25.279755;25.566676
520;25.596593;24.949006;25.492257;25.836081;25.617809
530;24.391896;25.929184;24.469528;24.727465;25.001615
540;23.702822;24.460541;25.143811;25.025333;24.209516
550;23.934626;23.074761;25.943493;24.483932;24.015761
560;22.716511;23.914688;25.007242;24.615285;24.196341
570;23.297257;23.668878;23.640273;25.016585;24.044414
580;23.051403;23.495373;24.018081;24.461661;23.709661
590;23.759711;22.960920;23.596577;23.168158;24.268381
600;23.392962;22.584981;23.860911;22.660757;23.552350
610;23.232998;22.667604;22.574552;24.025604;22.962040
620;22.871506;23.545247;23.437248;23.794333;23.237312
630;21.243859;21.405241;22.280011;23.171319;22.656137
640;22.099140;22.176420;21.373676;23.221789;22.221016
650;22.486690;21.748443;22.035197;23.470325;22.723072
660;21.882902;21.593253;22.565591;22.014944;21.254454
670;20.575850;22.866123;21.766211;21.748202;22.905259
680;21.411940;20.773509;21.326964;20.500357;21.171012
690;20.833291;20.943151;21.979679;21.410273;22.148987
700;20.182496;20.509474;21.155978;21.187649;20.465024
710;20.227185;18.971275;20.161835;19.927148;21.128056
720;19.717426;20.361529;19.916550;20.901135;20.122204
730;20.522683;19.541436;19.892983;20.130826;20.135398
740;19.340951;19.095289;20.372836;20.619175;20.077252
750;18.914635;19.548272;20.851686;19.366725;19.665571
760;19.001441;19.602761;19.125158;19.840379;19.640320
770;18.720659;19.211046;18.806681;19.089686;19.149023
780;19.628319;18.289342;19.621003;19.862571;18.848428
790;18.036885;19.192863;19.994039;19.226276;18.764655
800;17.395898;18.557571;19.399658;18.281530;19.136884
810;19.009202;19.030656;19.823298;18.433743;18.119968
820;17.459708;18.403037;17.724930;18.771205;18.805115
830;17.316152;18.187868;18.720699;19.832146;18.487262
840;17.404724;17.812176;16.988118;19.125631;17.091227
850;16.216309;17.392390;18.710841;17.358740;17.946208
860;16.872135;17.335350;17.699300;17.863997;17.955782
870;17.332651;17.098481;17.463606;17.749975;17.270138
880;16.430578;15.868877;18.124782;17.623661;16.569654
890;16.225116;16.861274;17.219853;16.695531;17.431652
900;16.684945;15.056589;17.233658;16.492297;17.133166
910;15.968192;15.987754;16.961509;16.440987;15.838454
920;15.470029;16.033997;16.621132;16.244753;16.830226
930;16.009760;16.704898;17.085104;16.703444;16.897389
940;15.867715;16.651411;15.728940;15.986969;15.813551
950;15.200300;15.789603;16.017471;16.587954;15.578296
960;15.890817;14.943854;15.973502;16.025674;15.705544
970;15.418932;15.504111;15.688462;15.985453;16.346987
980;15.460736;15.637109;15.316621;15.715157;15.812237
990;14.599556;15.579063;15.893028;15.133491;14.907555
1000;14.819127;14.943002;14.492721;14.291581;14.867560
