Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.405570;0.396085;0.507134;0.344736;0.642245
-390;-0.584604;0.397626;-1.040057;0.278967;0.338807
-380;0.366698;-0.304892;0.017572;0.633360;-1.055098
-370;0.670812;0.128127;-0.363056;-0.308702;0.587350
-360;-0.490078;-0.105192;-0.704058;-0.248611;0.329775
-350;-0.195407;-0.379159;-0.210211;0.197555;1.148162
-340;-0.720355;-0.176192;-0.207851;0.716877;-0.291164
-330;0.527016;0.033754;-0.202918;-0.370377;-0.679305
-320;0.406525;-0.255234;-0.303524;-0.120972;-0.086894
-310;-0.232477;-0.405832;0.449698;-0.014413;-0.196645
-300;0.266009;0.101585;-0.470829;-0.713951;-0.405734
-290;0.797135;-0.294295;-0.621228;-0.223039;-0.117384
-280;-0.180643;0.103847;0.994638;0.258951;-0.755787
-270;-0.955735;-0.166434;-0.139348;0.692782;-0.266136
-260;0.844093;0.203693;-0.510305;-0.065574;-0.489634
-250;-0.955918;0.115915;-0.890251;1.162187;0.406498
-240;0.440717;1.151182;0.274257;0.063444;-0.300862
-230;-0.496754;-0.110313;0.868525;0.266197;-0.445648
-220;0.243130;-0.106356;0.439900;0.545147;0.387523
-210;-0.740987;0.754332;-1.301891;0.441011;0.598588
-200;-1.101602;0.364429;-0.107271;0.279573;0.064064
-190;-0.043639;-1.851090;0.566482;-0.597163;-0.778464
-180;-1.110049;-0.121994;0.227039;-0.945641;0.497294
-170;-0.023701;0.670027;-0.674714;-0.140330;0.376348
-160;-0.634432;0.357971;-0.130032;-0.301385;0.588220
-150;1.159282;-0.096901;-0.225212;-0.778502;-0.330746
-140;1.018710;0.882834;-0.266670;0.164826;-0.759753
-130;-0.543430;-0.155736;-0.092612;0.253593;-0.031870
-120;-0.403590;0.076667;-0.093061;0.364208;-0.244026
-110;-0.714978;-0.646664;-0.690424;-0.632810;0.408624
-100;-0.829435;0.279004;0.902219;0.131024;-0.011359
-90;-1.144139;0.341579;0.284802;-0.439037;0.010473
-80;-0.574570;0.147855;0.087102;-0.375629;-0.086492
-70;0.842334;-0.095605;0.690749;-0.240206;0.693806
-60;-0.061274;-0.161658;0.332334;-0.765201;0.898930
-50;-2.283094;-0.638584;-0.530142;0.109958;0.100534
-40;-0.388493;-0.437553;0.598886;-0.344003;0.394044
-30;0.753177;0.468364;-0.896798;0.396687;-0.404785
-20;0.633762;0.255563;1.082725;-0.006579;0.899537
-10;5.159510;4.463974;3.774985;2.799225;3.590859
0;7.380735;7.064585;7.233615;6.354282;6.774160
10;10.874996;10.806187;10.400474;10.156854;10.184858
20;12.905523;14.192883;13.859774;14.123797;13.351462
30;17.270802;17.999140;17.190335;17.734819;16.526126
40;21.021200;20.684549;20.486049;20.073288;19.930119
50;24.065136;23.693448;24.009612;24.260327;23.478191
60;26.348241;27.051373;27.402611;26.144946;27.284108
70;29.937373;29.898977;30.769473;29.778859;29.975712
80;33.874695;33.021687;34.082474;34.456459;32.992385
90;36.085222;36.357229;37.407128;36.108899;35.862059
100;38.600710;38.228805;39.824449;38.014497;38.179043
110;38.769686;38.718294;39.920547;39.206279;39.276742
120;39.355462;39.738200;38.318605;38.183611;38.216927
130;38.147537;39.056547;38.867541;38.002931;37.387877
140;37.769001;37.525202;38.371955;37.764813;37.794497
150;38.365005;37.794182;37.985255;36.855656;36.935204
160;38.033539;36.791703;37.363644;37.707862;37.293368
170;36.750334;37.305224;38.518569;37.072492;36.843654
180;36.080128;36.525809;36.984925;37.186159;35.130846
190;36.329764;36.152902;37.671009;36.306732;35.596768
200;34.977065;35.842963;36.524371;35.918111;34.926161
