Laser Delay [ns];TA [mOD]
-400;-0.645441
-390;0.112562
-380;-0.284583
-370;-0.431110
-360;-0.107806
-350;-0.297723
-340;0.045827
-330;-0.310197
-320;-0.168480
-310;0.125303
-300;-0.277661
-290;-0.053391
-280;-0.612818
-270;0.077897
-260;-0.025565
-250;-0.146090
-240;-0.111450
-230;0.014066
-220;-0.255112
-210;-0.351689
-200;-0.262130
-190;-0.169373
-180;0.371066
-170;-0.422785
-160;-0.564239
-150;0.366938
-140;-0.061885
-130;-0.073081
-120;-0.298225
-110;-0.490460
-100;-0.264382
-90;-0.190126
-80;-0.107712
-70;-0.274605
-60;0.142928
-50;-0.065177
-40;0.220274
-30;0.079579
-20;1.026907
-10;3.666771
0;7.214311
10;10.661237
20;13.871858
30;17.655056
40;21.162238
50;23.862073
60;27.316646
70;30.860812
80;33.734568
90;36.364787
100;37.223395
110;36.552544
120;36.208393
130;36.252915
140;35.481685
150;35.073798
160;34.445841
170;34.189096
180;34.061473
190;33.863743
200;33.233943
210;33.400728
220;32.777266
230;32.454053
240;32.147744
250;31.681571
260;31.275934
270;31.269565
280;30.545156
290;30.365478
300;29.879992
310;30.049937
320;29.198116
330;29.278088
340;28.441048
350;28.234836
360;28.165378
370;28.206678
380;27.756735
390;27.170582
400;26.584320
410;26.589550
420;26.336510
430;26.172933
440;25.849536
450;25.686501
460;24.735645
470;24.689011
480;24.361991
490;24.737083
500;24.069447
510;24.345559
520;23.718697
530;23.407043
540;22.911439
550;22.627997
560;22.478979
570;22.165943
580;22.505458
590;22.860058
600;21.703358
610;21.221639
620;21.217000
630;21.165602
640;21.002305
650;21.058161
660;20.420075
670;20.031930
680;20.044447
690;19.910013
700;19.910071
710;19.627915
720;18.951426
730;19.157148
740;18.695280
750;19.087874
760;18.397391
770;17.936986
780;17.962110
790;17.846576
800;17.820630
810;17.485519
820;17.680442
830;16.985151
840;16.974080
850;17.260037
860;16.372428
870;16.713662
880;16.373316
890;16.422953
900;16.046669
910;15.459653
920;15.553740
930;15.317617
940;15.435260
950;15.110359
960;14.881322
970;14.622661
980;14.754530
990;14.062235
1000;13.955008
