Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.064594;-0.960470;-1.004866;-0.883664;-0.313609
-390;-0.033532;0.560271;-0.201335;0.008101;0.229304
-380;-0.586015;-0.046976;-0.641132;0.099657;-0.248450
-370;-0.193724;-0.066240;-1.031416;0.040095;-0.904264
-360;-0.272160;0.670549;-0.541517;-0.374208;-0.021693
-350;-0.440076;-0.913904;0.202379;-0.575631;0.238616
-340;-0.187423;0.307524;0.181018;0.148797;-0.220779
-330;0.007350;-0.200760;0.149136;-0.720931;-0.785779
-320;-0.384052;-0.008981;-0.536274;-0.021329;0.108236
-310;0.639191;0.403464;-0.306573;0.110617;-0.220181
-300;-0.035727;-0.250502;-0.482913;-0.937667;0.318506
-290;0.378215;0.014118;0.520450;-0.633309;-0.546430
-280;-0.879013;-0.499175;-0.508646;-1.037825;-0.139431
-270;0.189185;0.509033;-0.487292;-0.073361;0.251918
-260;0.292517;0.881739;-0.032203;-0.291901;-0.977974
-250;-0.410153;-0.468710;-0.283719;0.238634;0.193499
-240;-0.007456;-0.597284;0.376815;-0.278587;-0.050738
-230;0.131713;0.309892;-0.160124;0.017497;-0.228648
-220;0.009976;-0.628191;-0.166568;-0.410880;-0.079900
-210;0.224212;-0.455094;-0.238252;-0.428962;-0.860349
-200;-0.338321;0.323786;-0.355941;-0.261000;-0.679176
-190;-0.174073;-0.490578;-0.174790;-0.789990;0.782569
-180;0.530130;0.610492;0.429770;0.513447;-0.228510
-170;-0.058148;-0.815930;-0.472965;-0.251967;-0.514917
-160;-1.213792;-0.804511;-0.157986;-0.358298;-0.286607
-150;0.692086;-0.295470;0.379809;0.402216;0.656050
-140;0.030620;0.250073;0.583878;-1.158211;-0.015787
-130;-0.297964;-0.436249;-0.005160;0.233011;0.140959
-120;0.337147;-0.601146;-0.678042;-0.389395;-0.159689
-110;0.233098;-0.763548;-1.014068;0.487916;-1.395696
-100;0.183428;-0.343291;-0.057062;-0.216934;-0.888049
-90;0.479917;-0.442614;-0.437756;-0.908840;0.358665
-80;0.681008;-0.547086;0.844790;-0.501514;-1.015758
-70;-0.302944;-1.067458;0.376471;-0.310165;-0.068928
-60;0.883768;0.340654;-0.159415;-0.032870;-0.317495
-50;-1.038641;-0.213630;0.388393;0.224927;0.313068
-40;-0.173725;0.794285;-0.153054;-0.195732;0.829599
-30;0.593890;-0.037698;-0.527967;0.309692;0.059979
-20;1.896100;1.325943;0.436103;0.616118;0.860270
-10;3.823587;2.914206;3.866826;3.638232;4.091006
0;6.864857;7.011987;7.631771;7.342097;7.220845
10;11.017837;10.985080;10.703214;10.192338;10.407715
20;13.742859;14.174651;14.190634;13.571840;13.679304
