Laser Delay [ns];TA [mOD]
-400;0.499988
-390;0.065328
-380;-0.118857
-370;0.145235
-360;0.041460
-350;-0.409912
-340;-0.173251
-330;0.239783
-320;-0.068886
-310;-0.492885
-300;0.048947
-290;-0.204134
-280;0.593343
-270;-0.205364
-260;-0.254019
-250;-0.127227
-240;0.214129
-230;0.462986
-220;0.019682
-210;-0.063652
-200;0.004666
-190;0.064511
-180;-0.047878
-170;-0.253672
-160;-0.089701
-150;0.119454
-140;0.404260
-130;0.158140
-120;0.159645
-110;-0.115371
-100;0.398432
-90;0.402068
-80;0.063665
-70;-0.697374
-60;0.069469
-50;0.371786
-40;-0.144139
-30;0.299321
-20;0.752917
-10;1.544164
0;2.059041
10;2.177338
20;1.887927
30;1.577577
40;2.049493
50;1.708529
60;2.424248
70;1.631976
80;1.981209
90;1.724927
100;1.671478
110;1.564850
120;1.380657
130;1.831653
140;1.927096
150;1.752034
160;1.838847
170;1.781553
180;1.783435
190;1.438521
200;1.309786
210;1.422855
220;1.557211
230;1.477532
240;1.602725
250;1.578425
260;1.436125
270;1.566940
280;1.687707
290;1.577304
300;1.620561
310;1.403897
320;1.199837
330;1.289062
340;1.391736
350;1.416200
360;1.325237
370;1.716580
380;1.194482
390;0.970588
400;1.432582
410;1.250621
420;1.681667
430;1.538358
440;1.232418
450;1.319582
460;1.389107
470;0.673448
480;0.957674
490;1.248044
500;1.254070
510;1.315160
520;1.049351
530;1.040493
540;1.493832
550;1.009450
560;1.018804
570;1.347076
580;0.923131
590;0.840762
600;1.125726
610;0.385320
620;0.777919
630;0.882965
640;1.234660
650;0.980554
660;1.067093
670;1.112700
680;0.643066
690;0.854236
700;0.777652
710;0.880138
720;0.729767
730;0.445444
740;0.985169
750;0.933706
760;0.945009
770;0.872888
780;0.829049
790;0.633359
800;1.037078
810;1.248644
820;0.908187
830;0.812435
840;0.434238
850;0.498262
860;0.437780
870;0.691319
880;0.702684
890;0.829736
900;0.173085
910;0.787035
920;0.854226
930;0.663145
940;0.888147
950;0.806242
960;0.857125
970;0.368455
980;0.533933
990;0.522585
1000;0.716822
