Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.420181;0.332919;-0.165064;1.190873;0.721032
-390;-0.348863;0.302587;0.786106;0.216050;-0.629240
-380;-0.555199;0.018424;-0.149614;-0.210578;0.302684
-370;-0.486504;0.512294;0.870634;0.450044;-0.620291
-360;0.204924;-0.118948;0.703920;-0.450623;-0.131973
-350;-0.234862;0.218276;-0.764201;-1.022252;-0.246520
-340;0.476533;-0.441156;0.494052;-0.820264;-0.575420
-330;0.017844;0.306243;-0.261447;0.706614;0.429664
-320;-0.308668;-0.130091;0.468026;0.860258;-1.233953
-310;-0.240867;-0.671121;-0.585637;-0.867628;-0.099171
-300;-0.404631;0.433460;-0.371374;0.495179;0.092103
-290;0.141428;-0.671276;-0.853488;-0.215635;0.578301
-280;0.817395;0.667738;0.376152;0.302268;0.803164
-270;-0.219963;0.158906;0.245817;-0.778063;-0.433518
-260;-0.147907;0.116416;-0.494625;-0.692567;-0.051410
-250;-0.429640;0.066885;-0.555883;0.374289;-0.091784
-240;0.601629;-0.149900;0.309690;-0.017636;0.326863
-230;0.220368;1.489308;-0.675752;0.478417;0.802589
-220;-0.377025;1.418242;-1.051624;0.227543;-0.118728
-210;0.955669;0.030433;-0.765465;-0.418999;-0.119901
-200;-0.081465;0.270393;-0.207148;-0.155795;0.197347
-190;0.430887;-0.388954;0.693105;-0.260339;-0.152143
-180;-0.050635;-0.628512;0.395047;0.068206;-0.023495
-170;-0.228467;0.180319;-0.350738;0.425854;-1.295329
-160;-0.057485;0.115252;-0.401629;-0.203263;0.098619
-150;0.458469;-0.398461;0.028497;0.686431;-0.177667
-140;1.095811;0.224665;-0.102276;0.132192;0.670908
-130;0.131004;0.604018;-0.411925;0.432184;0.035422
-120;-0.330809;0.749157;0.333115;-0.145438;0.192201
-110;-0.203644;-0.281878;-0.669457;-0.327587;0.905712
-100;0.646923;0.357054;0.432232;0.285208;0.270743
-90;-0.375465;0.973610;0.354144;0.187256;0.870798
-80;0.417289;0.397541;0.917597;-0.611667;-0.802434
-70;-0.236634;-0.541153;0.002813;-0.719258;-1.992639
-60;0.905728;-0.355815;0.232083;-0.177439;-0.257211
-50;0.387775;0.528871;-0.223283;0.680529;0.485036
-40;-0.104204;-0.621367;0.162141;0.235058;-0.392320
-30;-0.071917;1.150421;-0.067067;0.067315;0.417850
-20;1.437674;-0.750459;0.602123;0.943876;1.531371
-10;0.628090;0.810127;2.552811;1.603596;2.126194
0;2.007301;2.603687;2.595118;1.833379;1.255721
10;1.230616;1.958956;2.826825;2.530868;2.339424
20;1.881333;1.495410;1.351932;2.194999;2.515962
