Laser Delay [ns];TA [mOD]
-400;0.155400
-390;0.361742
-380;-0.140048
-370;0.064548
-360;-0.007117
-350;0.077924
-340;0.079577
-330;0.180505
-320;-0.079960
-310;-0.137418
-300;0.025462
-290;0.038889
-280;-0.202120
-270;0.872346
-260;-0.460855
-250;0.162424
-240;-0.442596
-230;0.296456
-220;-0.389505
-210;-0.178354
-200;0.137817
-190;0.257457
-180;0.184585
-170;-0.133148
-160;0.025315
-150;-0.094353
-140;0.172407
-130;0.530403
-120;-0.321371
-110;-0.200246
-100;0.243628
-90;-0.045627
-80;0.232280
-70;-0.297332
-60;0.132016
-50;0.007630
-40;-0.028805
-30;-0.378386
-20;0.701716
-10;3.694774
0;7.084720
10;8.000051
20;7.919344
30;8.267585
40;7.479227
50;7.672628
60;8.300395
70;7.710571
80;7.902477
90;7.964014
100;7.618797
110;7.366349
120;7.032792
130;7.519652
140;6.880692
150;7.485211
160;7.195176
170;7.121877
180;7.410091
190;7.140521
200;6.818593
210;7.070322
220;6.617880
230;6.632601
240;6.344077
250;6.327047
260;6.326339
270;5.770028
280;6.190044
290;5.874771
300;6.066391
310;5.913185
320;5.891647
330;5.647786
340;5.507310
350;5.862895
360;5.726733
370;5.685881
380;5.632089
390;5.135788
400;5.642169
410;5.490755
420;5.451071
430;5.196066
440;5.381697
450;4.943334
460;5.216308
470;4.966516
480;4.751518
490;5.108418
500;4.848397
510;4.692787
520;4.389745
530;4.297937
540;4.420138
550;4.603530
560;4.634919
570;4.233113
580;4.138042
590;4.493739
600;4.499061
610;4.569409
620;4.462945
630;4.403435
640;3.938369
650;4.439180
660;4.379195
670;4.073746
680;3.842240
690;3.490623
700;4.061549
710;4.351682
720;3.875905
730;3.867645
740;3.765285
750;3.435919
760;3.808614
770;3.556474
780;3.314152
790;3.319068
800;3.227086
810;3.397652
820;3.314780
830;3.778671
840;3.338152
850;3.313230
860;2.912231
870;3.136437
880;3.181344
890;3.559688
900;3.200744
910;3.473703
920;2.692847
930;3.095939
940;3.215325
950;2.989805
960;2.977435
970;2.879733
980;2.651986
990;3.386156
1000;2.651020
