Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.174823;0.731506;-0.560785;0.759889;0.021216
-390;0.254084;-0.137331;0.298778;0.522745;0.870436
-380;-0.320887;-0.645656;0.045356;0.608280;-0.387334
-370;-0.203294;0.131334;0.796769;0.247643;-0.649713
-360;0.024561;0.312339;-0.061168;-0.255713;-0.055602
-350;0.990876;-0.137020;0.298239;-0.545719;-0.216755
-340;-0.009931;-0.429043;0.797220;0.242413;-0.202776
-330;-0.089593;-0.106376;0.563239;0.314521;0.220734
-320;0.784999;-0.514379;-0.193907;-0.808830;0.332320
-310;-0.612230;-0.649307;0.512404;0.275214;-0.213172
-300;-0.242103;0.639401;-0.318457;-0.356822;0.405289
-290;-0.511369;0.691713;0.874989;-0.700268;-0.160619
-280;-0.666566;0.063144;-0.218327;1.528938;-1.717790
-270;1.204486;1.137981;0.716527;0.628110;0.674625
-260;-0.376616;-0.240208;-0.293679;-0.784820;-0.608953
-250;-0.088069;-0.179552;0.285558;0.412663;0.381518
-240;-1.173780;-0.410251;0.688468;0.188658;-1.506076
-230;0.494851;0.446240;0.977825;-0.077404;-0.359234
-220;0.232026;-1.215235;0.021494;-0.364864;-0.620944
-210;-0.892520;0.311663;0.641688;-0.307246;-0.645356
-200;0.076542;0.942510;0.661549;-0.587955;-0.403562
-190;0.705184;0.136543;-0.387617;0.672205;0.160972
-180;1.070889;0.385881;-0.669791;-0.313534;0.449480
-170;-0.892706;-0.177021;0.961511;-0.570185;0.012660
-160;0.229102;0.306700;-0.096075;0.215943;-0.529097
-150;-0.415142;-0.072900;0.608078;0.169559;-0.761359
-140;-0.305802;0.325422;1.243016;-0.090286;-0.310316
-130;0.625016;0.447773;0.383703;0.844147;0.351375
-120;0.259997;0.118451;-0.982206;-0.899414;-0.103683
-110;0.237697;0.382729;-0.269074;-0.324013;-1.028568
-100;-0.183066;0.394930;0.802111;-0.042295;0.246461
-90;0.111537;0.322782;0.226266;0.404008;-1.292728
-80;0.309000;0.264804;0.236044;-0.435168;0.786721
-70;0.788500;-0.364727;-0.955241;-0.643936;-0.311255
-60;0.130050;-0.670209;0.637902;-0.162973;0.725312
-50;0.774570;-0.944672;0.349244;-0.143032;0.002039
-40;1.188944;0.298221;-0.691274;-0.361487;-0.578428
-30;-0.674323;-0.107689;0.333815;-1.383001;-0.060733
-20;0.925119;1.361376;0.690520;0.203461;0.328101
-10;4.340492;3.120041;3.287543;4.338155;3.387640
0;6.291839;7.554608;8.278813;6.552242;6.746097
10;8.084295;8.095212;7.726238;8.289664;7.804848
20;8.474157;7.621179;7.430604;8.380938;7.689843
30;8.634946;8.264011;7.679874;8.082400;8.676693
40;7.575919;6.863641;7.853242;8.344121;6.759211
50;8.261658;7.426892;7.843713;6.676067;8.154811
60;7.947047;8.075701;8.358068;8.566350;8.554811
70;7.526416;7.980551;7.449050;7.810808;7.786032
80;7.714077;8.123549;8.049088;7.803748;7.821922
90;8.115609;8.272118;7.928258;7.616172;7.887910
100;8.666351;6.521072;7.764595;7.252714;7.889251
110;6.969059;7.701819;7.587995;7.391515;7.181360
120;8.088693;5.938169;7.056811;6.554879;7.525407
130;7.682251;7.113775;8.365584;7.023179;7.413470
140;6.603559;6.381760;6.729267;6.847723;7.841151
150;7.725389;7.411489;8.040612;7.158876;7.089690
160;7.795892;7.487544;7.405342;6.674178;6.612923
170;7.605853;6.639964;6.605503;7.942107;6.815958
180;7.464842;7.049016;7.644696;7.553474;7.338426
190;7.413110;7.487976;6.955758;7.457233;6.388526
200;7.101591;6.159838;6.963309;6.842283;7.025941
210;6.663623;7.970061;6.898631;6.913139;6.906155
220;7.838501;6.089114;6.832442;6.245790;6.083554
230;6.133514;6.283053;6.983549;7.481259;6.281629
240;6.139158;6.472882;6.353185;6.368269;6.386892
250;5.886730;6.403740;5.421313;7.070759;6.852694
