Laser Delay [ns];TA [mOD]
-400;-0.037983
-390;0.119529
-380;-0.015219
-370;0.032842
-360;-0.081751
-350;0.108477
-340;0.148942
-330;-0.147877
-320;-0.255942
-310;-0.042704
-300;0.120001
-290;-0.184015
-280;0.102415
-270;0.202225
-260;-0.128052
-250;0.197965
-240;0.325111
-230;-0.077928
-220;-0.103475
-210;-0.227879
-200;0.093902
-190;-0.016992
-180;0.282281
-170;-0.179404
-160;0.278566
-150;-0.229139
-140;-0.320068
-130;-0.097038
-120;0.123359
-110;0.026931
-100;0.031706
-90;-0.259647
-80;0.098199
-70;0.096330
-60;0.040994
-50;0.138405
-40;0.131578
-30;-0.164482
-20;0.978177
-10;3.646734
0;6.760917
10;8.111216
20;7.797642
30;7.885178
40;7.558722
50;7.402242
60;7.868156
70;7.664209
80;7.310258
90;7.287290
100;7.451321
110;7.422060
120;7.369823
130;6.858296
140;6.956187
150;6.874250
160;6.762554
170;7.064711
180;6.835148
190;6.776363
200;6.615662
210;6.768429
220;6.341528
230;6.327594
240;6.429750
250;6.018028
260;6.206697
270;5.955964
280;6.260439
290;5.952667
300;6.148399
310;6.041941
320;5.388003
330;5.693168
340;5.660221
350;5.796753
360;5.513788
370;5.529117
380;5.310516
390;5.277927
400;5.561771
410;5.346569
420;5.332444
430;5.239067
440;5.039121
450;4.900071
460;5.014628
470;4.826799
480;4.987101
490;4.628125
500;4.422801
510;4.745786
520;4.793853
530;4.384212
540;4.812867
550;4.570234
560;4.500147
570;4.569706
580;4.196118
590;4.326463
600;4.370241
610;4.451452
620;4.078543
630;3.972929
640;4.191853
650;4.184910
660;3.902314
670;4.313837
680;3.771540
690;3.975710
700;3.813996
710;3.906891
720;3.687968
730;3.632860
740;3.538328
750;3.507519
760;3.633288
770;3.431217
780;3.573299
790;3.579954
800;3.539394
810;3.518332
820;3.614463
830;3.543091
840;3.097943
850;3.425697
860;3.390189
870;3.261829
880;3.243277
890;3.093717
900;3.086450
910;3.141494
920;3.215351
930;2.973436
940;2.886517
950;2.867161
960;2.964916
970;2.985894
