Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
-400;0.465243;0.586520;-0.236703;0.136391;-0.533100;-0.140119;-0.026890;-0.242033;0.347382;-0.736521
-390;0.493111;0.960132;-0.576528;-0.115340;0.897962;-0.817441;0.418833;-0.157320;-0.660660;0.752536
-380;-0.127478;1.070631;0.422580;0.392936;-0.426110;-0.899465;0.335303;-0.268935;-0.565406;-0.086249
-370;-0.334001;0.595496;-0.173028;-0.013244;0.059390;0.303278;0.755290;-0.097300;-0.567137;-0.200325
-360;-0.580476;0.078555;-0.053245;0.548363;0.231341;-0.197659;0.829281;-0.873434;0.034357;-0.834595
-350;0.382513;-0.279127;-0.714247;0.388521;-0.318708;-0.742759;-0.004140;0.537312;0.469931;1.365469
-340;0.555616;-0.223859;0.052039;0.845576;0.485880;0.578516;-0.069930;-0.889390;0.546180;-0.391207
-330;0.536443;-0.779143;-0.856860;0.132896;-0.244943;-0.347252;0.005381;0.193876;-0.398451;0.279279
-320;-0.702107;0.073126;-0.008118;-0.256862;-0.395293;-0.433686;-0.118461;-0.417308;-0.236887;-0.063825
-310;0.747047;0.228327;-0.158412;0.506655;-1.030827;-0.117338;-0.154470;-0.258583;-0.475491;0.286054
-300;-0.339515;-0.098660;-0.171175;0.375303;-0.172563;0.302134;-0.309768;0.698559;0.378148;0.537545
-290;0.405873;0.508117;-0.783588;-0.537543;-0.074774;-0.863741;-0.008694;0.552025;-0.329072;-0.708756
-280;0.544177;0.098907;0.330038;-0.044665;-0.280002;-0.158901;-0.526284;0.198336;0.016538;0.846007
-270;-0.297249;0.245633;1.039443;-0.543055;0.280845;-0.620163;0.178801;0.382100;0.022904;1.332993
-260;0.658201;-1.085768;-0.309748;0.142315;-0.082563;0.242087;-0.517662;-0.100775;-0.149308;-0.077298
-250;1.371227;-0.116719;1.356527;0.286284;-0.682934;-0.625869;0.175387;-0.621848;0.596671;0.240921
-240;-0.055299;0.860425;1.184084;0.254892;0.156586;0.165678;0.280037;-0.341418;-0.267161;1.013282
-230;0.382051;0.132303;-0.279280;-0.004131;-0.433917;0.486385;0.746793;-1.221019;-0.261742;-0.326727
-220;-0.343553;0.195624;0.112021;-0.636258;0.189973;0.364826;0.499079;-0.490169;-0.673713;-0.252580
-210;0.363193;0.376644;-0.197453;-1.085962;-1.114584;-0.025359;-0.120617;0.238453;0.524228;-1.237335
-200;0.627035;0.199254;-0.240311;0.578408;0.583677;0.298226;-0.602654;0.103795;0.502993;-1.111399
-190;-0.328107;0.017869;0.263568;-0.503866;-0.141123;0.523249;-0.373734;0.047475;1.126971;-0.802217
-180;-0.004007;0.021537;0.005283;0.614913;0.566108;0.428028;0.631686;0.013441;0.291202;0.254617
-170;0.217403;0.568400;-0.447141;-0.113151;-0.024046;-0.149716;-0.785160;0.435898;-1.002813;-0.493710
-160;0.377134;0.738293;0.850491;-0.145324;-0.230880;1.332373;-0.373788;0.086955;-0.284604;0.435009
-150;-0.235916;-0.224887;-0.103062;-0.178102;-0.402236;-0.201427;0.147643;-0.883348;-0.135748;-0.074309
