Laser Delay [ns];TA [mOD]
-400;-0.662810
-390;0.013851
-380;-0.146825
-370;-0.250095
-360;0.535021
-350;-0.251685
-340;-0.258497
-330;-0.357531
-320;0.193069
-310;-0.613714
-300;-0.021635
-290;0.217445
-280;-0.262966
-270;0.084685
-260;-0.006813
-250;0.112581
-240;-0.082635
-230;-0.278463
-220;-0.162553
-210;-0.320282
-200;0.353197
-190;-0.179860
-180;0.340122
-170;-0.104916
-160;-0.188465
-150;-0.318110
-140;-0.382962
-130;-0.384199
-120;-0.193303
-110;0.029344
-100;0.196358
-90;-0.461721
-80;-0.089677
-70;-0.094305
-60;0.224840
-50;0.130714
-40;0.477474
-30;0.014769
-20;1.145430
-10;3.118028
0;7.117769
10;10.531596
20;13.892053
30;17.440982
40;21.067003
50;23.751735
60;24.161091
70;23.837738
80;23.923543
90;23.366790
100;23.101672
110;22.934495
120;23.071563
130;22.869184
140;22.011899
150;22.125607
160;22.172852
170;21.668577
180;21.344009
190;21.241087
200;20.535564
210;20.785091
220;19.977314
230;20.280562
240;19.960520
250;19.444178
260;20.119508
270;19.386806
280;19.509792
290;19.468840
300;18.724839
310;18.919828
320;18.279179
330;18.338565
340;18.146675
350;17.971504
360;17.552045
370;17.308073
380;17.095915
390;16.824233
400;16.627968
410;17.216755
420;16.385003
430;16.201102
440;15.855914
450;16.043410
460;16.057313
470;15.480590
480;15.389690
490;15.515723
500;15.252970
510;14.519146
520;15.412646
530;14.671827
540;14.257900
550;14.625538
560;13.841943
570;14.064919
580;14.115606
590;13.880658
600;13.795516
610;13.596155
620;12.669852
630;13.222727
640;12.701692
650;12.971529
660;12.586285
670;12.635686
680;12.325274
690;12.417540
700;11.946407
710;11.656847
720;11.674778
730;11.728839
740;11.602787
750;11.721684
760;11.780135
770;11.048286
780;11.097448
790;11.336987
800;11.046628
810;11.147870
820;10.569535
830;10.212769
840;10.033937
850;10.190306
860;10.502602
870;10.276652
880;9.632095
890;9.777358
900;9.300758
910;10.055281
920;9.240457
930;9.266139
940;9.182779
950;9.558890
960;9.188994
970;8.931212
980;8.622308
990;8.746548
1000;8.606455
