Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.478992;-0.165641;-1.012823;-1.131144;-0.525450
-390;-0.106967;0.428795;-0.166074;-0.002142;-0.084356
-380;0.069585;-0.227987;0.488209;-0.285412;-0.778523
-370;0.038527;-0.107391;-0.662142;-1.262520;0.743051
-360;0.841514;0.838487;0.052716;0.316528;0.625857
-350;0.269392;-0.556911;-0.519012;-0.469958;0.018063
-340;-0.406981;0.387333;-0.368267;-0.454265;-0.450305
-330;0.265868;-0.082339;-0.439233;-0.671229;-0.860722
-320;0.517127;-0.167085;0.800563;-0.342592;0.157332
-310;-0.369246;-0.063146;-0.569132;-1.133278;-0.933768
-300;0.475688;-0.605911;-0.314498;0.475775;-0.139227
-290;0.700161;-0.769952;0.132141;0.934097;0.090780
-280;0.045731;-0.306103;-0.668057;-0.199006;-0.187395
-270;0.214073;1.323410;0.120827;-1.026449;-0.208439
-260;-0.122900;-0.026891;-0.228513;0.387653;-0.043414
-250;0.313110;0.005971;0.582863;0.388802;-0.727839
-240;-0.640555;0.768529;-0.556526;0.395776;-0.380401
-230;-0.185629;-0.209204;-0.119528;-0.643163;-0.234791
-220;0.350351;0.404635;-0.480634;-0.253878;-0.833241
-210;-0.857897;-0.029851;-0.783314;0.318076;-0.248422
-200;0.284509;0.884922;-0.437214;0.592162;0.441606
-190;-0.545242;0.223867;-1.142187;0.221593;0.342669
-180;1.256327;0.562417;-0.573958;0.633843;-0.178022
-170;-0.210161;0.353855;-0.551400;-0.380995;0.264121
-160;-0.270278;-0.603576;0.567981;-0.966554;0.330103
-150;-0.395074;0.349640;-0.677777;-0.478205;-0.389134
-140;-0.044709;-0.043130;-0.450835;-1.192494;-0.183642
-130;-0.142835;-0.974746;-1.112918;0.325841;-0.016335
-120;-0.771202;0.542464;-0.171912;-0.669453;0.103589
-110;-1.115944;0.719256;-0.032541;0.474997;0.100950
-100;0.053916;-0.095245;0.402238;0.157552;0.463328
-90;-0.682190;-0.991277;-0.391479;0.471451;-0.715108
-80;-0.217258;0.210758;-0.306015;-0.706444;0.570576
-70;-0.579409;-0.625607;0.239264;0.629273;-0.135044
-60;0.611145;0.731327;-0.586550;0.067250;0.301027
-50;-0.109891;0.402428;-0.454410;0.280332;0.535110
-40;0.895932;0.756639;0.621989;0.373281;-0.260468
-30;-0.143669;-0.176508;0.276600;0.228765;-0.111342
-20;1.731735;1.172733;0.658819;1.346229;0.817635
-10;2.505931;2.826355;3.333106;3.203083;3.721666
0;7.461617;7.549006;6.654873;7.371072;6.552278
10;10.826384;10.082887;10.575336;11.718137;9.455237
20;14.302403;14.245046;13.678484;13.510679;13.723653
30;17.224837;16.820804;18.034184;17.012218;18.112869
40;21.458448;21.010427;20.749521;21.185845;20.930775
50;24.274385;22.179838;23.982540;24.667754;23.654157
60;24.423000;23.703571;24.638093;24.779080;23.261711
70;24.368341;23.522158;24.248011;23.358941;23.691240
80;24.070564;23.625922;24.269605;24.097592;23.554034
90;24.109261;23.121708;23.432512;23.176623;22.993848
100;23.819868;22.686009;22.044659;23.453115;23.504708
110;22.998165;22.742459;23.069229;22.940140;22.922483
120;23.505105;22.314844;22.817998;23.723306;22.996561
130;23.035420;23.326092;22.375330;23.031305;22.577772
140;21.811020;21.195249;22.078942;22.714892;22.259391
150;22.514656;22.228577;22.180159;22.612920;21.091726
160;22.852350;21.641652;22.606101;22.687358;21.076799
170;21.990243;20.965684;22.286412;21.476347;21.624198
180;22.130631;20.515090;21.280997;21.507191;21.286137
