Laser Delay [ns];TA [mOD]
-400;-0.302380
-390;0.088262
-380;0.093800
-370;0.045737
-360;-0.434579
-350;-0.555013
-340;0.153236
-330;-0.210301
-320;0.037580
-310;-0.119441
-300;-0.250393
-290;-0.374520
-280;-0.619703
-270;-0.083845
-260;-0.194327
-250;-0.361690
-240;-0.143536
-230;-0.041642
-220;-0.294647
-210;-0.362063
-200;0.171794
-190;0.135122
-180;0.060783
-170;0.134529
-160;-0.310381
-150;-0.134978
-140;0.286961
-130;-0.085935
-120;-0.229766
-110;0.000672
-100;-0.157935
-90;-0.279070
-80;-0.005154
-70;-0.263178
-60;-0.171160
-50;-0.570474
-40;0.039655
-30;0.098016
-20;-0.300769
-10;1.385098
0;3.430807
10;5.375292
20;7.582092
30;9.306820
40;10.934342
50;13.033864
60;14.462761
70;16.973714
80;18.587429
90;20.342654
100;22.107417
110;22.775477
120;22.311284
130;22.384005
140;21.966616
150;22.288103
160;21.840286
170;21.738783
180;20.604551
190;20.872648
200;20.308451
210;20.778904
220;20.428901
230;19.933630
240;20.133202
250;19.632775
260;19.283303
270;19.372353
280;19.162032
290;18.922478
300;18.763355
310;18.802051
320;18.284116
330;18.224474
340;18.099352
350;17.239965
360;17.543085
370;17.464427
380;17.477543
390;17.076190
400;17.330125
410;16.877140
420;16.514421
430;16.117960
440;16.136552
450;16.163132
460;15.307631
470;15.661319
480;15.163523
490;15.777514
500;14.868996
510;15.081453
520;15.320400
530;14.719242
540;14.645608
550;14.736950
560;14.050361
570;14.263056
580;14.134237
590;13.582142
600;13.712921
610;13.323828
620;13.209072
630;12.916539
640;13.226541
650;13.030663
660;12.931662
670;12.879697
680;12.629509
690;12.557822
700;12.361581
710;12.315309
720;12.259335
730;12.316106
740;12.186542
750;11.536961
760;11.442761
770;11.400366
780;11.306860
790;11.165580
800;11.187549
810;11.158402
820;10.824513
830;10.597309
840;10.806713
850;10.292946
860;10.511181
870;10.232811
880;10.130009
890;10.226386
900;10.200375
910;10.272413
920;9.857427
930;9.600703
940;9.582612
950;9.715227
960;9.383813
970;9.743893
980;9.474163
990;9.078270
1000;9.249999
1010;9.017710
1020;8.945018
1030;8.650825
1040;8.529170
1050;8.585962
1060;8.836467
1070;8.399801
1080;8.284124
1090;8.370509
1100;8.087810
1110;8.182912
1120;8.141923
1130;7.959849
1140;7.680163
1150;7.898570
1160;7.797098
1170;7.735763
1180;7.472044
1190;7.263454
1200;7.279674
1210;7.286173
1220;7.028030
1230;7.160496
1240;7.264754
1250;6.861239
1260;6.873312
1270;6.596831
1280;6.943937
1290;6.482703
1300;6.837033
1310;6.555949
1320;6.937632
1330;6.293678
1340;6.155709
1350;6.507759
1360;6.107062
1370;6.367172
1380;6.226280
1390;6.418837
1400;6.159845
1410;5.866921
1420;6.285541
1430;5.902705
1440;5.341575
1450;5.903995
1460;5.436824
1470;5.812449
1480;5.634689
1490;5.547372
1500;5.459422
1510;5.415301
1520;5.276601
1530;5.171674
1540;5.196041
1550;5.028319
1560;5.173632
1570;4.719269
1580;5.377720
1590;4.948808
1600;4.964312
1610;4.838666
1620;5.288647
1630;4.452875
1640;4.824241
1650;4.853160
1660;4.755075
1670;4.511949
1680;4.558229
1690;4.432695
1700;4.333824
1710;4.608034
1720;4.356761
1730;4.333992
1740;4.848924
1750;4.293293
1760;4.096627
1770;3.758133
1780;4.469595
1790;3.507040
1800;3.706225
1810;4.076860
1820;3.746020
1830;3.627435
1840;3.881278
1850;3.624884
1860;3.928440
1870;3.918309
1880;3.619162
1890;3.559670
1900;3.717718
1910;3.515770
1920;3.239700
1930;3.605074
1940;3.045113
1950;3.630427
1960;3.124724
1970;3.614316
1980;2.954705
1990;3.262612
2000;3.468970
2010;3.134500
2020;3.184199
2030;3.358108
2040;3.646035
2050;3.066633
2060;2.673914
2070;3.089493
2080;3.370724
2090;3.437085
2100;2.655727
2110;2.918732
2120;2.686755
