Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.769680;-0.603975;0.397020;0.029455;-0.564722
-390;-0.330058;-0.243832;0.614954;0.233535;0.166710
-380;0.178943;-0.502760;0.566159;0.394823;-0.168166
-370;-0.465550;-0.124959;0.688597;0.469288;-0.338692
-360;-1.129837;-0.380522;-0.498325;-0.196352;0.032140
-350;-0.968239;-1.259152;0.093588;-0.217432;-0.423831
-340;-0.179654;0.830378;0.210781;-0.078393;-0.016929
-330;0.025538;-0.003007;0.525633;-0.337039;-1.262627
-320;-0.460467;0.738824;-0.282811;0.462725;-0.270374
-310;0.406555;-0.912095;0.077993;-0.236250;0.066593
-300;-0.808348;0.023204;0.427759;-0.341532;-0.553047
-290;-0.342265;-0.307582;-0.363676;-0.103885;-0.755191
-280;-0.424165;-0.700089;-0.771804;-0.351017;-0.851438
-270;-0.091556;0.003864;-0.305157;0.327630;-0.354006
-260;-0.683499;0.119869;0.162261;-0.363115;-0.207148
-250;0.359375;-0.612893;-1.190923;-0.183264;-0.180745
-240;-0.095208;-0.162003;-0.618812;0.170964;-0.012619
-230;-0.084967;0.227753;0.345036;-0.357645;-0.338388
-220;-0.257381;-0.351604;0.105969;-0.806517;-0.163699
-210;0.031808;-1.118802;-0.183813;-0.120046;-0.419461
-200;-0.014613;-0.091915;0.557782;-0.351650;0.759363
-190;0.934643;-0.509643;0.190383;-0.434849;0.495074
-180;-0.208948;0.171856;0.062106;0.473828;-0.194928
-170;-0.459909;0.288274;-0.531442;1.288392;0.087330
-160;-1.193313;-0.100960;0.585389;-0.791749;-0.051274
-150;-0.049474;-0.805610;0.333159;0.380398;-0.533362
-140;0.130811;0.664628;0.612543;-0.572163;0.598984
-130;1.045461;-0.637829;-0.083649;-0.290390;-0.463268
-120;-0.759039;-0.195260;-0.334828;-0.344604;0.484901
-110;-0.280948;0.585192;-0.548371;0.527735;-0.280247
-100;-0.178834;-0.229441;0.448496;-0.656803;-0.173095
-90;0.199529;-0.872698;0.129886;-0.325284;-0.526781
-80;-0.234601;0.972954;-0.819862;-0.334190;0.389930
-70;-0.556119;-0.026211;-0.258721;-0.876044;0.401205
-60;-0.290300;-0.611771;-0.008624;0.087551;-0.032657
-50;-0.730422;-0.622983;-1.049254;-0.358109;-0.091600
-40;-0.191476;-0.260143;0.146453;0.310862;0.192579
-30;0.168318;0.296457;0.373867;0.153488;-0.502051
-20;0.113882;0.308818;-0.030653;-1.001602;-0.894288
-10;1.418872;2.095933;1.395380;0.823426;1.191879
0;3.249640;4.315096;3.602185;2.743875;3.243241
10;5.552765;5.583161;4.317461;5.330971;6.092100
20;7.289150;7.115163;8.128909;7.829693;7.547545
30;9.840031;9.315514;8.795161;9.781867;8.801528
40;10.751803;11.054824;11.095396;11.114345;10.655343
50;13.530397;12.991854;13.705107;12.691799;12.250163
60;14.440822;13.772057;14.970295;14.412908;14.717722
70;16.535287;16.585863;17.782346;16.648820;17.316255
80;18.875680;19.107284;17.944438;18.527269;18.482475
90;20.846218;20.176153;19.768524;20.334981;20.587396
100;22.346241;22.406254;22.264378;21.931055;21.589159
110;22.760242;23.415207;23.318575;22.300292;22.083068
120;22.092618;21.936751;22.009299;23.575713;21.942038
130;22.239114;22.665620;22.340598;22.104719;22.569975
140;22.783405;21.671172;21.054897;22.250160;22.073445
150;22.467369;22.430134;22.670375;21.830621;22.042016
160;22.302617;22.067551;21.868624;21.677860;21.284779
170;20.836297;22.565860;21.739637;22.125335;21.426787
180;21.489777;20.957288;20.014023;20.071442;20.490224
190;21.599385;21.539920;20.647855;20.392328;20.183755
200;20.334004;20.241750;20.458349;20.252603;20.255551
210;20.179701;20.481410;21.040625;21.093346;21.099436
220;19.656250;20.703130;20.355268;20.466013;20.963843
230;19.836505;20.059436;20.177747;20.290306;19.304158
240;20.270584;19.739948;19.757822;20.180266;20.717391
250;19.856953;19.490544;18.867428;19.661154;20.287796
260;19.878345;19.497050;18.616169;19.574889;18.850061
270;19.801003;18.944902;19.201763;18.857657;20.056438
280;19.607059;19.334903;18.542339;18.843121;19.482739
290;18.988005;18.428377;18.360740;19.677241;19.158030
300;17.801677;18.946722;18.921028;19.216519;18.930831
310;19.005639;18.742784;18.126654;18.598941;19.536236
320;18.146699;18.296628;19.031517;18.479088;17.466649
330;18.822956;18.469977;17.907111;17.284660;18.637666
340;17.835705;18.356334;17.964231;17.555708;18.784783
350;17.889200;16.852189;16.636531;16.982562;17.839343
360;17.692605;17.545509;16.243384;17.774188;18.459738
370;16.148371;18.035256;17.502603;18.182121;17.453782
380;17.750697;17.486544;17.106664;17.198198;17.845615
390;17.695324;16.901633;16.928739;16.532640;17.322615
400;17.882052;16.572487;17.350674;17.592429;17.252981
410;16.584817;16.734251;17.350736;16.955429;16.760465
420;16.598941;16.586020;16.179261;17.328549;15.879336
430;16.050450;16.244780;15.549323;16.084829;16.660420
440;16.064435;16.266083;15.914713;16.519317;15.918214
450;16.566973;15.890623;15.751369;16.060080;16.546617
460;15.328912;15.216032;15.579513;15.609962;14.803734
470;15.566135;16.401630;15.392493;15.756960;15.189377
480;15.507958;15.182005;15.580680;15.031851;14.515121
490;15.467070;16.040688;15.815633;15.685677;15.878502
500;15.243419;14.814275;14.370460;14.373027;15.543796
510;16.384364;14.231556;15.826865;13.647015;15.317465
520;14.637547;15.481100;15.356319;15.457801;15.669232
530;15.019105;14.859363;14.175738;14.250506;15.291501
540;14.574990;15.302418;14.148799;14.735939;14.465896
550;13.763085;14.872544;14.432268;14.869310;15.747544
560;13.887140;14.556585;13.212426;14.423435;14.172221
570;13.926370;14.691634;14.400214;15.087684;13.209376
580;15.091093;14.230728;14.156737;14.024093;13.168533
590;13.748289;13.292094;13.967976;13.885637;13.016714
600;13.657726;14.241255;13.333837;13.715110;13.616676
610;12.768718;13.212787;13.183713;13.177445;14.276478
620;12.708987;13.591270;13.034820;13.828749;12.881535
630;13.167611;12.804742;13.072009;12.567585;12.970747
640;13.289527;12.934953;13.262488;13.086574;13.559163
650;11.955740;13.343749;12.925625;12.838471;14.089727
660;12.656232;12.919163;13.350579;12.496488;13.235847
670;12.921393;13.155507;12.965208;12.903196;12.453179
680;11.556704;12.965329;12.701961;12.990479;12.933072
690;12.889796;12.901725;12.603824;13.083420;11.310346
700;12.476666;12.264136;12.632308;12.495174;11.939622
710;11.922801;12.136744;12.200511;12.695506;12.620984
720;11.457320;12.482448;12.378189;12.648600;12.330116
730;12.028374;12.844233;11.726602;12.775982;12.205339
740;12.423588;11.991849;12.321180;11.409941;12.786150
750;11.402391;11.781307;12.168800;10.633008;11.699299
760;11.726079;11.645933;11.135496;11.028910;11.677389
770;11.418297;11.371743;12.000751;11.416394;10.794645
780;11.333541;11.456448;11.615362;11.049068;11.079882
790;10.660236;11.097156;11.120700;11.970264;10.979543
800;11.241588;11.373963;10.905922;11.422098;10.994173
810;11.007934;10.527346;11.701243;11.271163;11.284323
820;11.090922;11.081323;10.634709;10.982008;10.333605
830;10.532620;11.019575;10.530955;10.328460;10.574936
840;10.646992;11.290825;10.774380;10.722736;10.598634
850;9.517926;10.501590;10.588441;10.303653;10.553122
860;9.458860;11.035125;10.485929;10.939543;10.636445
870;10.301284;10.258517;9.952642;9.999822;10.651789
880;9.988803;9.947113;10.661959;9.867953;10.184216
890;10.885412;9.895341;10.586139;9.904933;9.860103
900;10.379997;10.794815;10.632607;9.746489;9.447969
910;9.242478;10.257580;10.807779;9.952284;11.101946
920;10.323695;9.656544;9.437980;9.749558;10.119358
930;9.953253;9.704580;8.954191;9.611554;9.779940
940;9.462070;9.382602;9.635035;9.417567;10.015787
950;10.041034;10.050912;8.839481;9.511327;10.133382
960;9.077175;9.811873;9.535865;9.335559;9.158595
970;9.189513;10.128044;10.072087;9.847300;9.482519
980;8.969377;9.437376;10.086144;9.214957;9.662963
990;7.956214;9.496248;9.455267;9.123992;9.359628
1000;9.517906;9.531062;9.141657;8.793422;9.265947
1010;9.298813;8.928609;8.450559;9.386024;9.024543
1020;9.350857;9.339103;9.278542;9.037266;7.719323
1030;8.671540;8.762147;8.681317;7.963133;9.175989
1040;7.778926;8.723238;8.689224;8.729731;8.724730
1050;8.907681;8.686903;8.666390;8.531050;8.137789
1060;8.822590;8.055185;8.662328;8.588551;10.053680
1070;9.229130;8.465719;7.575705;8.294913;8.433540
1080;8.827939;7.209348;8.325422;7.812532;9.245380
1090;8.472575;8.634650;8.054924;8.126528;8.563867
1100;7.585936;8.227169;8.609781;7.584597;8.431569
1110;8.466304;8.922175;7.509982;7.515087;8.501010
1120;8.366686;7.822499;8.420138;7.552154;8.548140
1130;7.992059;7.228327;8.667391;7.944056;7.967411
1140;7.225951;8.254300;7.980384;7.801401;7.138778
1150;8.707333;8.123677;7.246420;7.765317;7.650105
1160;7.731528;8.315737;7.810973;7.254085;7.873164
1170;7.551621;7.323822;7.487307;8.324110;7.991957
1180;7.175680;8.050692;7.990895;7.403856;6.739096
1190;6.532979;7.232811;7.856714;6.894551;7.800218
1200;7.216548;8.052434;7.467265;6.539504;7.122621
1210;7.249401;7.363122;7.718618;6.961409;7.138314
1220;7.005015;7.994393;6.758421;6.316787;7.065536
1230;7.699925;8.045057;6.911699;6.599239;6.546561
1240;7.763528;6.953789;7.552169;7.296701;6.757586
1250;6.375595;7.008284;7.172278;7.112595;6.637442
1260;7.244321;6.697123;7.338024;6.509299;6.577794
1270;6.357620;6.561669;7.161255;6.512802;6.390811
1280;7.432612;6.570576;7.276535;7.276120;6.163841
1290;5.882632;6.177510;5.827078;7.508736;7.017557
1300;7.439183;5.894994;7.347792;6.649378;6.853818
1310;6.540552;6.703019;5.752878;6.889003;6.894294
1320;7.196896;6.384793;6.928598;7.452218;6.725656
1330;6.421137;6.224479;5.991868;5.542409;7.288498
1340;6.019784;6.330829;5.829860;6.446687;6.151386
1350;6.686439;6.253512;5.750384;6.548787;7.299672
1360;6.801935;6.126415;5.944255;5.663444;5.999262
1370;6.300430;6.020626;6.056829;6.283417;7.174557
1380;5.812807;6.454373;6.539691;5.501541;6.822990
1390;6.813599;6.025918;6.608979;6.835040;5.810650
1400;5.147519;5.720008;6.584582;6.708272;6.638842
1410;6.288214;5.232229;6.335336;5.540703;5.938125
1420;5.935779;6.096839;6.731648;6.277665;6.385776
1430;6.298280;5.797371;5.814096;5.320146;6.283633
1440;5.208885;5.112948;5.127002;5.541005;5.718032
1450;6.241923;6.080431;5.756000;5.252546;6.189074
1460;5.158139;4.484259;5.711167;5.319531;6.511024
1470;4.726504;6.222089;6.208056;5.817156;6.088439
1480;5.859875;5.980621;6.353212;5.211511;4.768225
1490;5.332329;5.861888;5.624728;4.974587;5.943331
1500;5.269943;5.723262;5.807857;5.170005;5.326044
1510;4.889031;5.489422;5.781173;5.252740;5.664141
1520;4.695000;5.566861;5.236714;5.433783;5.450646
1530;4.687958;5.107443;5.479130;5.103341;5.480498
1540;5.501247;5.650516;4.616135;5.264235;4.948071
1550;4.848054;4.511291;4.908672;5.128000;5.745576
1560;4.861705;5.158801;5.067522;5.075450;5.704683
1570;3.984795;4.560372;5.483051;4.912331;4.655794
1580;5.091342;4.753095;5.741077;5.644687;5.658402
1590;4.685615;5.198517;4.857682;4.900099;5.102125
1600;5.701308;5.116260;4.989443;4.837923;4.176628
1610;4.456860;4.921628;4.682861;5.408658;4.723325
1620;5.713885;5.245766;5.056146;5.746329;4.681107
1630;3.775367;4.448139;5.004608;4.401972;4.634287
1640;4.405814;4.918466;5.055254;4.731012;5.010657
1650;3.965349;5.025865;4.432232;5.829344;5.013006
1660;5.078230;4.172589;5.182533;4.832538;4.509484
1670;4.343006;4.403237;4.680798;4.365073;4.767633
1680;4.232916;4.993065;4.925787;4.257341;4.382034
1690;4.825476;4.046371;4.133602;4.827612;4.330413
1700;4.631018;4.793069;3.975295;4.690672;3.579066
1710;4.341854;4.696874;4.341764;5.037155;4.622524
1720;4.410732;4.566653;4.390437;3.896182;4.519798
1730;4.617600;4.360451;4.163139;4.596481;3.932292
1740;4.374591;5.432275;4.573880;5.326986;4.536887
1750;3.353987;4.599999;4.175557;4.639899;4.697020
1760;3.940630;3.640811;4.735113;3.817752;4.348830
1770;3.561005;3.283323;4.146803;3.716019;4.083514
1780;4.251340;4.519364;4.924007;4.829406;3.823860
1790;2.853578;3.906286;3.643076;3.630660;3.501598
1800;3.609843;3.988952;3.861473;3.324423;3.746434
1810;4.413764;4.084307;4.421211;3.552821;3.912195
1820;4.273914;3.637566;3.507223;3.867447;3.443949
1830;3.794055;3.508112;3.836918;3.822658;3.175432
1840;3.120057;3.275744;4.436097;4.449675;4.124819
1850;3.831245;3.329274;3.029136;3.987288;3.947475
1860;3.653312;4.311633;3.446124;3.584078;4.647050
1870;3.922298;4.252974;4.088481;4.173572;3.154220
1880;3.477817;3.619225;4.299702;3.502009;3.197056
1890;3.206155;3.472740;2.928547;4.574941;3.615966
1900;2.660820;3.593865;4.775173;3.328541;4.230190
1910;3.760539;3.657150;3.570538;2.920441;3.670182
1920;3.128151;2.687960;3.634373;3.159404;3.588611
1930;4.365324;4.047367;2.102937;3.680513;3.829229
1940;3.045503;2.497451;3.607826;3.002473;3.072315
1950;3.408130;3.657660;4.386010;2.757828;3.942508
1960;2.619592;3.360649;3.060877;2.799740;3.782763
1970;3.712727;2.861650;3.629819;4.161255;3.706129
1980;2.212513;2.671839;3.114950;3.023503;3.750722
1990;2.250439;3.579274;3.365945;3.125708;3.991696
2000;4.104485;3.259788;3.851426;2.763054;3.366096
2010;3.865864;3.462377;3.194559;2.676964;2.472734
2020;2.689771;3.745977;2.748775;3.136032;3.600442
2030;3.318400;3.558765;3.162200;3.469314;3.281859
2040;3.871981;3.326402;3.818745;4.005340;3.207707
2050;3.173394;2.820546;3.362584;3.198253;2.778389
2060;2.964315;3.018453;2.780607;2.246996;2.359202
2070;3.054025;2.674296;3.473475;2.742707;3.502963
2080;3.393768;2.989116;3.531509;3.148624;3.790601
2090;3.744276;3.681052;3.023539;2.799924;3.936636
2100;2.831297;2.568669;2.788155;2.527784;2.562729
2110;3.143591;2.750729;2.643967;3.115540;2.939834
2120;3.375364;2.049065;2.806047;2.519057;2.684241
2130;3.141222;2.498970;2.513493;2.618351;2.523707
2140;1.848932;2.348719;2.804024;2.396768;1.781104
2150;2.572694;4.028770;1.494888;3.011315;2.604945
2160;2.904600;2.584405;3.486197;2.893163;2.653699
2170;3.328622;2.360462;2.559975;3.208296;2.710386
2180;2.548733;2.456633;2.685168;2.684879;2.490866
2190;1.957814;2.008217;2.968165;2.912828;3.948579
2200;2.367447;2.950248;2.826556;2.123359;2.990215
2210;2.542785;2.641075;2.458510;1.735316;2.471193
2220;2.714735;2.856193;3.028624;3.289972;2.446370
2230;2.293936;3.099660;2.382977;2.883832;2.751122
2240;3.044983;3.486877;2.547956;3.013874;2.217856
2250;3.001068;2.062273;1.793162;2.256583;2.144528
2260;1.888141;1.902908;3.006923;2.405602;2.463540
2270;3.366894;3.152547;2.675975;1.887866;2.952967
2280;2.092011;2.182951;1.814270;2.750604;2.633390
2290;2.807801;3.207753;2.801337;2.586162;2.957352
2300;3.560812;2.269933;2.489988;2.242689;1.837910
2310;2.558818;2.581254;3.553099;2.937056;2.989118
2320;1.146272;1.688376;2.681063;1.418724;2.143228
2330;2.170823;2.787163;2.952371;2.277000;1.474530
2340;2.824456;2.329921;1.924184;3.138860;2.462687
2350;2.665062;1.892251;2.789683;2.444705;2.759976
2360;1.793527;2.226011;1.958916;2.144933;1.918924
2370;1.864401;2.286544;2.235504;2.235657;2.425259
2380;2.350311;1.397166;2.438993;2.512234;2.665445
2390;2.398825;3.288051;1.554214;1.695178;2.074270
2400;1.879972;1.846281;1.874242;2.106544;2.557082
2410;2.114782;2.400435;2.640102;2.348255;2.093933
2420;2.127218;1.026574;2.361359;1.648541;1.895461
2430;1.945683;2.633284;2.562602;2.687624;2.083842
2440;2.658264;2.712151;1.641376;2.556710;2.250961
2450;2.568279;1.918824;2.658004;2.432477;1.971462
2460;2.018070;2.186395;1.444977;2.263891;1.662848
2470;1.064689;3.037558;2.347349;2.785734;2.091846
2480;2.274652;1.640632;1.710100;0.905242;2.879088
2490;1.741140;2.334673;1.933353;0.871476;2.280863
2500;2.515849;2.285456;3.171038;1.623355;1.637911
2510;1.323172;1.961755;2.447177;1.347093;2.406860
2520;2.051826;1.849475;2.033989;2.413968;1.948311
2530;1.729553;1.685412;2.327900;2.195789;1.663748
2540;1.735012;1.604857;1.884291;1.833294;2.458829
2550;1.672701;1.527861;1.880788;1.227116;2.171037
2560;1.451759;1.982118;2.008349;1.476125;3.200911
2570;1.964484;2.312179;1.911291;1.607731;1.631338
2580;1.370918;2.378693;2.103710;2.055887;1.471544
2590;1.711214;1.879062;1.410172;2.759509;1.288045
2600;2.522631;2.373196;1.260831;2.306946;1.858622
2610;1.927509;1.413816;1.321495;2.026308;2.750270
2620;1.484503;1.411128;1.231672;2.391498;2.175939
2630;2.097819;1.114445;1.587634;1.420662;0.874707
2640;2.436075;2.050225;1.600442;2.366741;2.159088
2650;1.591038;1.463069;2.836292;1.767464;1.213182
2660;1.463620;1.608722;2.367864;1.504271;1.752627
2670;1.563344;1.897142;1.015436;0.715655;2.765321
2680;1.061760;1.834262;1.552617;1.222021;1.852983
2690;2.774165;1.004339;1.722253;1.144279;1.759111
2700;1.117864;0.889246;2.324164;2.087069;1.086782
2710;1.068009;2.287763;1.917023;2.054123;0.639858
2720;1.549235;1.596088;1.732276;1.798955;1.079505
2730;2.098326;1.246093;1.422401;1.095311;0.447963
2740;1.711686;1.740414;1.522748;1.712666;2.429230
2750;1.804288;1.732101;1.474750;2.317295;1.479612
2760;2.270033;2.790771;1.482375;1.897023;1.534307
2770;1.832251;2.131042;1.405852;2.470689;1.918481
2780;2.147331;1.985186;0.810962;1.926927;1.597171
2790;0.892646;1.553509;0.766770;1.821212;1.658094
2800;0.293900;1.107651;1.747970;1.586468;1.154735
2810;1.337400;1.720118;1.989090;2.573692;0.735297
2820;1.427380;2.348121;1.181445;2.249216;0.908859
2830;0.987183;1.424139;0.861600;1.412874;1.599985
2840;1.412275;1.351416;1.581258;1.088013;0.557089
2850;1.400230;1.228688;1.477251;1.475178;1.589766
2860;0.879652;2.138009;0.888378;1.245757;0.931453
2870;1.488238;0.610955;1.832907;1.006785;1.763944
2880;1.843955;0.849556;0.478657;1.895626;1.806390
2890;1.802666;0.871308;2.196615;1.064206;0.448561
2900;1.490456;0.812714;0.964484;1.427297;1.306183
2910;0.518775;1.092275;0.880666;1.807973;1.638209
2920;0.593023;1.225592;1.057798;1.420760;1.369870
2930;1.327996;0.729182;1.015527;1.220592;0.939485
2940;1.430609;1.770500;1.102621;0.729245;1.382995
2950;1.918217;0.849366;1.860026;0.703592;0.824453
2960;0.552867;1.493365;1.254318;1.993773;0.844020
2970;1.204284;1.078359;0.762710;1.666790;0.816224
2980;1.722421;0.738107;1.353843;0.621316;0.984455
2990;1.801085;2.506177;2.323026;0.447338;1.394502
3000;1.106787;1.407845;1.236903;1.077654;1.781901
3010;1.242457;0.643680;2.022844;0.239357;1.222998
3020;-0.425455;0.726443;1.363724;1.275498;0.757273
