Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.293351;-0.284311;-0.627545;-0.187813;-0.604667
-390;-0.553026;-0.317049;-0.055260;0.000000;-0.382326
-380;-0.283287;-0.059141;-0.392404;-0.093504;-0.749610
-370;0.535772;0.040265;-0.347383;0.021618;0.622718
-360;-0.127437;0.071068;-0.252677;-0.240611;0.443405
-350;-0.533877;-0.573347;-0.201933;0.189771;-0.664334
-340;-0.328953;-0.457309;-0.295239;-0.872698;0.131328
-330;-0.422970;-0.661110;-0.381459;-0.085541;0.080536
-320;-0.278601;0.206323;0.208633;-0.277454;0.683985
-310;-0.151866;0.155294;-0.229952;-0.353061;0.803498
-300;-0.783310;-0.464580;-0.365886;0.381589;0.019784
-290;0.318932;-0.112332;0.571861;0.072687;-0.520328
-280;-0.388640;-0.108598;-0.596867;-0.124719;0.326703
-270;0.070524;0.346618;-0.076796;-0.179032;0.154618
-260;-0.377596;-0.076975;0.046421;-0.872490;-0.656051
-250;-0.317444;-0.117750;0.023448;-0.677406;-0.292329
-240;-0.684438;-0.382946;0.155153;-0.072652;-0.205210
-230;-0.169590;-0.397192;-0.254585;-0.236199;-0.805472
-220;0.128223;0.343659;-0.315557;-0.648516;0.048515
-210;-0.933003;0.776613;-0.682501;-0.394447;-0.166931
-200;0.069913;-0.092381;-0.361509;-0.393728;-0.347578
-190;-0.457694;0.216144;0.049738;0.289691;-0.358714
-180;0.233234;-0.364736;-0.412780;-0.113334;-0.355288
-170;-0.054474;-0.195485;-0.202200;0.121913;-0.633256
-160;-0.416782;-0.588117;-0.299941;-0.402564;-0.227005
-150;0.026416;-0.572028;-0.079036;-0.156795;0.120032
-140;-0.077841;0.328138;-0.745800;-0.409815;0.169413
-130;0.063540;-0.075001;-0.215141;-0.175646;-0.192876
-120;0.136426;-0.842895;-0.442719;-0.435437;-0.947481
-110;0.479971;-0.176981;-0.175268;-0.417695;-0.116686
-100;-0.053803;-0.691591;-0.714070;-1.036446;-0.399291
-90;-0.473834;0.269702;0.388444;0.566809;0.132839
-80;-0.018469;-0.369493;0.257741;0.284464;-0.377610
-70;-0.362409;0.255132;-0.760994;-0.351538;0.049497
-60;-0.318322;-0.504872;-0.190063;0.466997;-0.463209
-50;0.016491;-0.751302;-0.298137;-0.014030;0.002835
-40;0.446378;0.235105;0.269709;-0.697311;-0.176442
-30;0.394454;0.524781;0.823582;0.377500;0.313054
-20;1.765697;1.646142;1.272238;1.593336;0.970900
-10;2.939719;3.518406;3.408848;2.789315;2.548060
0;4.207772;4.346439;4.593854;3.913977;4.634949
10;5.149413;6.061919;6.277202;6.346095;5.677042
20;7.673723;7.667688;7.955813;7.795080;7.454912
30;8.618753;9.000413;8.768887;9.405590;8.969081
40;10.596974;10.202831;10.654371;10.617262;10.625716
50;11.605615;12.322247;12.227327;12.676211;12.231151
60;13.509411;13.396125;13.102374;14.153625;13.870680
70;14.725436;14.960890;15.297968;15.728096;15.310444
80;16.033265;16.038999;16.190928;16.516836;16.766640
90;16.788246;16.842812;17.702307;17.573906;17.895379
100;17.927823;17.885914;17.669362;17.758338;18.195704
110;17.990895;17.637614;18.379126;18.463339;17.438879
120;17.224932;17.968788;18.180975;18.131301;17.578516
130;18.086701;17.744686;17.526090;17.886502;17.241155
140;17.171090;17.440485;16.677142;16.638460;17.390345
150;17.061704;17.043379;16.979776;16.797387;17.403723
160;16.690460;16.652976;16.339256;16.866152;16.837085
170;16.610671;16.182662;16.409446;17.546566;16.924510
180;16.397293;16.037805;16.268764;17.157289;16.327051
190;15.484443;15.971421;16.346143;15.897078;15.945921
200;15.277780;16.387745;15.979218;16.052664;15.934815
210;15.588285;15.174590;14.910678;16.158402;16.300201
220;16.038651;16.504605;15.556839;15.744948;15.538935
230;14.548180;14.950340;15.522557;15.689193;15.810317
240;14.685349;14.867829;15.132406;14.724407;14.969994
250;14.634216;14.849795;14.915938;14.739079;14.904683
260;15.415692;15.420130;14.587284;14.695734;15.072239
270;14.548138;14.825773;14.205304;14.653177;14.991311
280;14.418180;14.305863;14.304233;14.402179;14.440899
290;13.763677;13.913494;13.658274;14.160692;13.972391
300;14.379319;14.475448;14.039828;14.089019;13.522670
310;14.242790;13.483725;13.327223;14.403808;13.752450
320;13.803687;13.169751;13.584938;13.693433;13.832510
330;13.926964;13.079017;13.772879;13.225579;13.482577
340;12.835344;13.287420;13.530241;13.535477;13.640259
350;13.423692;12.584334;12.991112;13.506656;12.827679
360;13.044187;13.233901;13.516290;12.786781;13.291900
370;12.387697;13.506617;12.592965;13.260642;12.374758
380;12.507870;12.663080;12.980445;12.926942;12.528715
390;12.120196;12.138614;12.196574;11.991245;12.564051
400;12.569766;11.894128;12.451692;12.392879;12.078491
410;11.894977;11.811599;12.256581;11.750176;12.119763
420;11.951207;12.698393;12.430422;12.215834;12.420405
430;11.303445;11.854419;12.326236;11.869325;12.162135
440;11.709707;11.675870;11.494621;11.780090;11.649691
450;11.329710;11.557374;11.863664;11.488132;11.569373
460;11.095093;11.267037;11.162881;12.209770;11.440353
470;11.213908;11.453523;11.326277;11.289353;11.084003
480;11.517055;11.484528;11.275256;10.895578;11.133932
490;11.325286;11.275107;11.146454;11.461091;10.610629
500;10.392589;10.615701;10.526046;10.799226;9.957102
510;11.177478;10.878725;10.158465;11.023754;10.406331
520;10.310424;10.706214;10.695117;10.557453;10.628127
530;10.265125;10.674334;10.543966;10.570898;10.395342
540;10.130805;10.475231;10.055899;9.776956;10.575073
550;10.780559;10.244290;9.216717;10.239339;10.230831
560;9.767887;9.872799;10.025022;9.663809;10.450483
570;9.954181;10.100166;10.255610;10.348018;9.826687
580;8.729706;9.741048;9.814113;10.119010;10.021111
590;10.246443;10.215738;9.389895;9.510364;9.748548
600;9.381518;9.346772;9.456460;9.266164;10.023517
610;10.038724;9.260753;9.640793;9.219375;8.652661
620;9.227089;9.421538;9.575806;9.253253;8.375462
630;9.204585;8.936251;9.422299;9.400881;9.583418
640;8.433148;9.048464;8.704999;9.296518;9.081102
650;8.978439;9.548358;9.054261;9.101234;8.907518
660;9.198612;8.822028;8.249874;8.428585;8.812269
670;8.044027;8.142105;8.776501;9.241481;9.109753
680;8.342610;8.581002;9.415205;8.398275;8.069201
690;8.433041;8.390294;8.595634;8.521827;8.960707
700;8.435812;8.733095;8.649487;8.743037;8.095450
710;7.638052;8.329281;8.545047;8.408131;8.553501
720;7.899562;7.738717;8.337042;8.598379;8.034850
730;8.623367;8.189992;8.746275;7.762206;8.222891
740;8.075226;7.793640;7.811872;8.273027;8.423968
750;8.541986;8.019563;8.220142;7.535549;7.915167
760;7.542976;7.148441;8.241669;7.903051;7.829719
770;7.328531;7.441172;7.615687;8.126547;7.982004
780;7.289498;8.058241;7.989156;7.413315;7.964572
790;7.888057;7.983900;7.468725;7.564432;8.140483
800;7.280241;7.086782;7.114152;7.560059;7.379674
810;6.887004;7.354243;7.278028;7.744726;7.923025
820;7.879034;7.275760;7.355364;6.777287;6.975929
830;7.544677;7.730050;7.362749;7.365709;7.561122
840;6.832385;6.956519;7.260879;7.208506;7.056086
850;7.452360;6.687399;6.772199;7.396832;7.000116
860;6.145991;6.533787;6.943645;6.776386;7.046114
870;6.805802;6.808259;6.724431;7.369438;6.711745
880;6.634827;7.379930;6.483287;7.154259;6.731344
890;6.091239;5.924534;6.394681;6.649889;6.011494
900;7.203497;6.467583;6.192881;6.509860;6.760618
910;6.527775;6.280140;6.185523;6.426304;5.597696
920;6.256474;6.107630;6.466526;6.678456;6.900874
930;5.644946;6.240938;6.054959;6.678380;6.809359
940;6.699899;5.870915;6.684025;6.087742;6.223737
950;6.987342;6.381959;5.876487;6.128276;6.597644
960;6.493985;6.438371;6.862353;5.840576;5.967761
970;5.991428;6.138032;5.816512;6.475829;5.935048
