Laser Delay [ns];TA [mOD]
-400;-0.026064
-390;-0.126289
-380;-0.104650
-370;-0.072848
-360;-0.078972
-350;-0.091307
-340;0.027815
-330;0.007557
-320;-0.034979
-310;-0.104286
-300;-0.031287
-290;-0.040195
-280;-0.040252
-270;-0.046806
-260;-0.012709
-250;0.028959
-240;-0.016639
-230;-0.071664
-220;-0.075183
-210;0.031830
-200;-0.026638
-190;-0.130174
-180;-0.044605
-170;-0.085601
-160;-0.100455
-150;-0.077216
-140;-0.015931
-130;-0.094359
-120;-0.015209
-110;0.014743
-100;-0.052690
-90;-0.041465
-80;-0.082153
-70;-0.001289
-60;-0.033242
-50;-0.101810
-40;0.046565
-30;-0.087496
-20;-0.296457
-10;-0.604684
0;-0.982176
10;-1.410177
20;-1.759032
30;-1.956972
40;-2.238304
50;-2.393187
60;-2.685746
70;-2.857020
80;-2.916539
90;-3.009178
100;-2.994359
110;-2.779655
120;-2.601708
130;-2.433324
140;-2.193744
150;-2.056488
160;-2.016968
170;-1.721731
180;-1.657983
190;-1.605203
200;-1.452725
210;-1.317576
220;-1.386702
230;-1.213945
240;-1.195949
250;-1.030866
260;-0.961158
270;-0.965042
280;-0.861644
290;-0.791816
300;-0.788543
310;-0.747276
320;-0.726236
330;-0.698027
340;-0.621181
350;-0.586798
360;-0.549119
370;-0.322620
380;-0.432346
390;-0.439772
400;-0.454441
410;-0.372600
420;-0.427032
430;-0.289912
440;-0.300455
450;-0.317620
460;-0.266722
470;-0.244905
480;-0.321729
490;-0.217139
500;-0.211171
510;-0.137694
520;-0.124877
530;-0.164007
540;-0.056601
550;-0.014135
560;-0.121035
570;-0.102516
580;-0.047519
590;-0.035984
600;-0.026599
610;0.005765
620;-0.037887
630;-0.075465
640;-0.078330
650;-0.001537
660;0.017560
670;-0.101913
680;-0.002670
690;-0.002023
700;-0.021063
710;-0.092908
720;0.016356
730;-0.033779
740;0.052770
750;0.007596
760;-0.092979
770;-0.012419
780;-0.044944
790;0.015159
800;-0.063610
810;0.029504
820;-0.070033
830;0.092648
840;0.066354
850;-0.001206
860;-0.038224
870;0.012826
880;0.003140
890;0.098954
900;0.047171
910;0.064036
920;0.000111
930;0.045500
940;0.053375
950;-0.005079
960;0.073690
970;0.016501
980;-0.115220
990;-0.025983
1000;0.043488
1010;0.026569
1020;-0.031131
1030;0.046057
1040;0.115877
1050;0.000228
1060;0.037139
1070;0.038730
1080;0.039997
1090;0.007732
1100;0.001616
1110;0.043758
1120;-0.003043
1130;-0.014553
1140;0.078288
1150;0.041370
1160;-0.022539
1170;-0.028226
1180;0.051158
1190;0.060668
1200;0.063834
1210;-0.005263
1220;-0.019038
1230;0.021673
1240;0.061036
1250;0.010947
1260;0.087024
1270;-0.009905
1280;0.038433
1290;0.025410
1300;0.021752
1310;0.013239
1320;-0.051612
1330;0.048250
1340;0.058435
1350;0.109008
