Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD];TA11 [mOD];TA12 [mOD];TA13 [mOD];TA14 [mOD];TA15 [mOD];TA16 [mOD];TA17 [mOD];TA18 [mOD];TA19 [mOD];TA20 [mOD]
-400;0.181240;0.004016;-0.085143;-0.090445;0.091112;-0.169777;0.036877;-0.104190;-0.081805;-0.077424;-0.155766;-0.006414;-0.103568;-0.039699;-0.006012;-0.383349;-0.148683;-0.085487;0.006819;-0.323587
-390;-0.207635;-0.079761;0.044165;-0.002404;-0.028502;0.051264;0.043009;0.035659;0.029281;-0.128352;0.001203;-0.086607;-0.003600;0.059406;-0.102982;0.057777;0.027260;-0.022892;0.033661;-0.137031
-380;-0.139652;-0.032886;-0.131251;-0.152485;-0.091998;-0.012811;0.020083;-0.150835;-0.018426;-0.075040;0.154078;0.112543;-0.138479;0.048826;-0.000802;0.009233;-0.012002;-0.170076;0.058545;-0.052119
-370;-0.014023;-0.110233;0.240564;0.316653;0.001605;0.002005;-0.156632;-0.075321;0.057277;-0.174859;-0.116323;-0.129748;0.086789;-0.074050;-0.078569;0.139507;-0.091877;0.109727;-0.135481;-0.044113
-360;0.167718;0.049129;-0.097041;-0.143986;-0.131981;0.048894;-0.081041;0.041614;-0.034459;-0.004807;-0.037274;-0.010800;-0.018415;-0.155355;0.000800;-0.055575;-0.076076;0.066372;-0.057412;0.183822
-350;-0.071177;-0.006833;-0.180416;0.052889;-0.074997;-0.023209;0.125192;-0.068468;0.001604;-0.049471;-0.211693;0.020848;-0.160416;0.011989;-0.043632;-0.063669;-0.038771;-0.029705;-0.074195;-0.170833
-340;-0.039627;0.114322;0.044633;0.012414;-0.118653;0.161758;0.059504;-0.134215;-0.058914;0.091395;0.103766;0.066123;0.076906;0.031260;0.190445;-0.072880;0.003601;-0.034185;-0.203843;0.026472
-330;-0.115721;-0.280965;-0.182444;-0.021700;-0.072585;-0.020036;0.015686;-0.141896;-0.019268;-0.096256;-0.001604;-0.173823;-0.124547;-0.055242;0.052094;-0.087689;-0.168730;0.032994;-0.090054;-0.073590
-320;0.026007;-0.106811;-0.116971;-0.115517;-0.093824;-0.169612;-0.180283;0.016017;-0.099259;-0.062823;0.027239;-0.276680;0.023266;-0.000400;-0.050042;0.092389;0.004397;-0.172466;-0.035692;-0.121296
-310;-0.100420;0.081620;-0.145857;-0.177426;0.110198;0.030891;-0.115109;-0.183742;-0.012459;-0.107193;-0.293509;-0.243773;-0.110483;0.056863;-0.038084;-0.076019;-0.073916;-0.043437;0.098221;0.020829
