Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.030917;-0.022901;0.007624;-0.115463;0.031337
-390;-0.151225;-0.077090;-0.106551;-0.067226;-0.229351
-380;-0.233326;-0.085522;-0.088724;-0.243810;0.128133
-370;-0.043059;-0.010451;-0.110071;-0.133165;-0.067496
-360;-0.110000;-0.016868;-0.099182;-0.117022;-0.051787
-350;0.019692;-0.220517;-0.069029;0.022898;-0.209578
-340;-0.040244;0.089073;0.146929;-0.017671;-0.039015
-330;0.056441;0.059178;-0.032879;0.005628;-0.050583
-320;-0.211989;-0.081331;0.042578;0.002007;0.073840
-310;-0.122761;-0.073849;-0.048277;-0.065470;-0.211072
-300;-0.060734;-0.055065;0.063027;-0.038183;-0.065482
-290;-0.282250;-0.253704;0.068118;0.169770;0.097091
-280;0.194018;-0.197012;-0.043772;-0.040191;-0.114304
-270;-0.265789;0.077590;-0.072394;-0.132439;0.159005
-260;0.004024;-0.051088;-0.095711;-0.059750;0.138979
-250;0.109508;-0.074457;0.043444;0.006825;0.059475
-240;-0.049873;0.035358;0.113316;-0.092720;-0.089275
-230;-0.068468;0.076333;-0.233005;-0.076431;-0.056748
-220;-0.080104;0.073769;-0.144715;-0.109017;-0.115846
-210;-0.011675;0.035742;0.081230;0.036954;0.016899
-200;-0.260914;0.023693;-0.024923;0.112496;0.016459
-190;-0.192396;-0.014044;0.022120;-0.247039;-0.219510
-180;-0.051842;-0.026113;-0.048588;-0.058338;-0.038142
-170;0.035116;-0.154707;-0.155950;-0.095507;-0.056954
-160;-0.128433;-0.274281;-0.038522;-0.051788;-0.009250
-150;0.004844;-0.173567;0.023302;-0.186127;-0.054530
-140;0.150813;-0.163086;0.123484;0.032509;-0.223372
-130;-0.167129;-0.141445;-0.117861;-0.022109;-0.023252
-120;-0.006052;-0.076780;-0.059134;0.089945;-0.024025
-110;0.125915;-0.074246;0.142130;-0.057856;-0.062226
-100;-0.230191;0.003617;0.016840;0.044586;-0.098304
-90;-0.060721;-0.015291;-0.161817;0.014835;0.015668
-80;-0.073347;-0.226490;-0.028910;-0.019249;-0.062768
-70;0.080619;0.003616;0.070604;-0.149605;-0.011681
-60;-0.086996;-0.009261;0.010862;-0.227371;0.146558
-50;-0.002421;-0.035062;-0.224366;-0.055129;-0.192072
-40;-0.030671;0.055595;0.175982;0.049139;-0.017219
-30;-0.187802;-0.001606;0.004830;-0.141405;-0.111498
-20;-0.234251;-0.398338;-0.259301;-0.343412;-0.246984
-10;-0.675795;-0.656202;-0.554107;-0.622469;-0.514848
0;-1.012481;-1.145556;-0.782077;-0.953317;-1.017449
10;-1.471147;-1.187111;-1.544511;-1.644117;-1.203999
20;-1.825309;-1.726857;-1.789192;-1.756099;-1.697704
30;-1.904394;-1.931435;-2.039468;-1.976766;-1.932794
40;-2.370175;-2.376668;-2.245391;-2.153276;-2.046012
50;-2.365920;-2.413821;-2.520194;-2.519454;-2.146547
60;-2.770215;-2.641635;-2.643691;-2.777846;-2.595343
70;-2.864345;-2.756024;-2.768917;-2.916652;-2.979159
80;-2.838179;-2.868706;-2.904410;-2.941553;-3.029849
90;-2.949179;-2.939680;-3.127027;-3.021569;-3.008438
100;-2.811072;-3.034089;-3.000102;-3.076996;-3.049536
110;-2.640605;-3.025877;-2.817434;-2.855737;-2.558620
120;-2.708599;-2.542111;-2.569409;-2.533177;-2.655244
130;-2.330077;-2.297242;-2.473867;-2.435427;-2.630008
140;-2.170606;-2.334301;-2.198909;-2.251379;-2.013523
150;-2.017677;-1.937093;-2.138330;-2.133757;-2.055586
160;-2.154894;-2.034558;-2.015628;-1.977692;-1.902071
170;-1.634434;-1.806020;-1.694418;-1.787865;-1.685916
180;-1.622142;-1.739357;-1.622139;-1.730833;-1.575442
190;-1.495650;-1.577342;-1.659063;-1.492811;-1.801149
