Laser Delay [ns];TA [mOD]
-400;-0.104580
-390;0.068161
-380;-0.031525
-370;-0.132484
-360;-0.069717
-350;0.096726
-340;-0.137692
-330;0.114706
-320;-0.413282
-310;0.079065
-300;-0.040677
-290;-0.808316
-280;-0.054033
-270;-0.619169
-260;-0.130343
-250;-0.512830
-240;-0.049161
-230;0.123462
-220;-0.326675
-210;-0.464901
-200;0.145803
-190;-0.374831
-180;0.024998
-170;0.151139
-160;-0.403320
-150;0.116273
-140;-0.102215
-130;-0.249421
-120;-0.336897
-110;-0.410015
-100;-0.353128
-90;-0.206106
-80;-0.240359
-70;-0.233327
-60;-0.085083
-50;-0.513158
-40;-0.692505
-30;0.005451
-20;0.747900
-10;2.661813
0;5.251426
10;8.112316
20;11.020937
30;13.988793
40;16.134618
50;18.984268
60;21.582303
70;24.261014
80;26.530608
90;29.514069
100;30.879791
110;31.586985
120;31.147737
130;30.706656
140;30.142866
150;30.012012
160;29.525849
170;29.631159
180;28.978601
190;29.050340
200;28.412311
210;27.901679
220;27.524735
230;27.657857
240;27.331349
250;26.751526
260;26.306466
270;25.909314
280;26.219254
290;25.472541
300;25.339935
310;25.217145
320;25.346534
330;25.030490
340;24.092105
350;23.855410
360;23.185309
370;22.957093
380;23.243449
390;22.937303
400;22.874909
410;22.673676
420;22.550243
430;22.066403
440;21.905895
450;21.411722
460;21.360924
470;20.770347
480;20.693049
490;20.623927
500;20.518052
510;19.807900
520;20.182567
530;20.003155
540;19.100557
550;18.600872
560;18.757960
570;19.274609
580;18.619137
590;18.443170
600;17.937224
610;17.791774
620;17.771598
630;17.015288
640;17.633032
650;17.112318
660;16.441089
670;16.612422
680;16.765090
690;16.242229
700;16.363069
710;16.184768
720;15.949570
730;15.601217
740;15.742184
750;15.219420
760;14.866874
770;15.224510
780;14.974237
790;14.889624
800;14.097749
810;14.612824
820;13.750849
830;13.877129
840;13.652339
850;13.581450
860;13.707039
870;13.649966
880;13.420229
890;12.779959
900;12.699529
910;13.137690
920;12.773220
930;12.044087
940;12.220651
950;12.657965
960;12.051549
970;12.053648
980;12.234539
990;11.715717
1000;11.396874
1010;11.411161
1020;11.378118
1030;11.546613
1040;10.911774
1050;11.218485
1060;10.023161
1070;10.638184
1080;10.822181
1090;10.494409
1100;10.414100
1110;10.487061
1120;9.313412
1130;10.179576
1140;10.050993
1150;9.696353
1160;10.259372
1170;8.816057
1180;9.029631
1190;9.316268
1200;9.127976
1210;9.103253
1220;9.172235
1230;9.291842
1240;9.018484
1250;9.158993
1260;8.427069
1270;8.675398
1280;8.731984
1290;8.357462
1300;8.086206
1310;7.976255
1320;8.251083
1330;7.924710
1340;7.704132
1350;7.765963
1360;7.952693
1370;7.286327
1380;7.758811
1390;7.497676
1400;7.229343
1410;7.133359
1420;6.923048
1430;7.629437
1440;7.472337
1450;6.833858
1460;7.109834
1470;6.764609
1480;6.881523
1490;6.964391
1500;6.324792
1510;6.729193
1520;6.856759
1530;6.455028
1540;5.875533
1550;6.237719
1560;5.895503
1570;6.092569
1580;6.268102
1590;6.234441
1600;6.373713
1610;5.806015
1620;5.869323
1630;5.607116
1640;5.824635
1650;5.758252
1660;5.388057
1670;5.610111
1680;5.622136
1690;6.015994
1700;5.343757
1710;5.411020
1720;4.925004
1730;5.334831
1740;4.868515
1750;5.162014
1760;5.421250
1770;4.656964
1780;5.137102
1790;4.529392
1800;5.130616
1810;5.045898
1820;4.447466
1830;4.388822
1840;5.041951
1850;3.740659
1860;4.414435
1870;4.578927
1880;4.458913
1890;3.924255
1900;3.943642
1910;4.269815
1920;4.355396
1930;4.015524
1940;4.170078
1950;4.077387
1960;3.949138
1970;4.444089
1980;3.682238
1990;3.451032
2000;3.907215
2010;3.733350
2020;3.976465
2030;3.137423
2040;3.612088
2050;3.578912
2060;3.467092
2070;3.107821
2080;3.469382
2090;3.016582
2100;3.554430
2110;3.706960
2120;3.626814
2130;3.286986
2140;3.191231
2150;3.354234
2160;2.935585
2170;3.124754
2180;3.688288
2190;2.914530
2200;3.614048
2210;2.659566
2220;2.889130
2230;3.029464
2240;2.811535
2250;3.177364
2260;2.442857
2270;2.689551
2280;2.855710
2290;2.730319
2300;2.732507
2310;3.329886
2320;2.727188
2330;2.440642
2340;2.750762
2350;2.424370
2360;2.107906
2370;2.236344
2380;2.839808
2390;2.582727
2400;2.744843
2410;1.898023
2420;2.675008
2430;2.610928
2440;2.523654
2450;2.518872
2460;2.313910
2470;2.263433
2480;2.629468
2490;2.144663
2500;2.431684
2510;1.919016
2520;1.773530
2530;2.135866
2540;2.360419
2550;2.357381
2560;1.971587
2570;2.155824
2580;1.699133
2590;2.010321
2600;2.456372
2610;1.666605
2620;1.741656
2630;2.194278
2640;1.485035
2650;1.500723
2660;2.620944
2670;1.964484
2680;1.558741
2690;2.319350
2700;1.743594
2710;1.801739
2720;1.558561
2730;1.695120
2740;1.729600
2750;1.666990
2760;1.362644
2770;1.796630
2780;1.987733
2790;1.278688
2800;1.839101
2810;1.631753
2820;1.349854
2830;1.622821
2840;1.857566
2850;1.299718
2860;1.678277
2870;1.594411
2880;1.284146
2890;1.450226
2900;2.032084
2910;1.558678
2920;1.673375
2930;1.700141
2940;1.658479
2950;1.951340
2960;1.659166
2970;1.649602
2980;0.984861
2990;1.623719
3000;1.499036
3010;1.314556
3020;0.933475
3030;1.568476
3040;0.646253
3050;1.397657
3060;1.431480
3070;1.040007
3080;1.443597
3090;1.175214
3100;1.151977
3110;0.897141
3120;1.683028
3130;1.488580
3140;1.255904
3150;1.013025
3160;1.555510
3170;0.954962
3180;1.164035
3190;0.931150
3200;0.728292
3210;1.352862
3220;1.174313
3230;0.722957
3240;1.256699
3250;0.896764
3260;0.889482
3270;0.907170
3280;1.158795
3290;1.299876
3300;0.837623
3310;0.518701
3320;1.155631
3330;0.798344
3340;1.331549
3350;1.015851
3360;1.076290
3370;0.909549
3380;0.651607
3390;1.133435
3400;0.916478
3410;0.858663
3420;1.083092
3430;1.129550
3440;0.783549
3450;0.407404
3460;1.028029
3470;1.159848
3480;0.775415
3490;0.292067
3500;1.318667
3510;0.888130
3520;1.116346
3530;0.651939
3540;0.790817
3550;0.731141
3560;0.793281
3570;0.410587
3580;0.368852
3590;0.958014
3600;0.762331
3610;0.616984
3620;0.888325
3630;1.293760
3640;0.944873
3650;0.536794
3660;0.762112
3670;0.560311
3680;1.429965
3690;0.575254
3700;0.679307
3710;0.329197
3720;1.078297
3730;0.350883
3740;0.167254
3750;0.121580
3760;0.842195
3770;0.299537
3780;0.610661
3790;0.708890
3800;0.361453
3810;0.679992
3820;-0.003777
3830;1.009765
3840;0.353431
3850;0.352799
3860;0.335742
3870;1.038004
3880;0.471574
3890;0.488187
3900;0.440129
3910;0.616736
3920;0.305153
3930;-0.246568
3940;0.440956
3950;0.330004
3960;0.659314
3970;0.312593
3980;0.255581
3990;0.384572
4000;0.897572
4010;0.777336
4020;0.838176
4030;0.777970
4040;0.900735
4050;0.310394
4060;0.645090
4070;0.917391
4080;0.634851
4090;0.794064
4100;0.515578
4110;0.401766
4120;0.699361
4130;0.758922
4140;0.416956
4150;0.323117
4160;0.717153
4170;0.577515
4180;0.301862
4190;0.356620
4200;0.485877
4210;0.146899
4220;0.178688
4230;0.364835
4240;0.469522
4250;0.216666
4260;0.029552
4270;0.385223
4280;0.340309
4290;0.223481
4300;0.529115
4310;0.087553
4320;0.525205
4330;-0.039482
4340;0.582207
4350;0.746807
4360;0.146103
4370;0.377738
4380;0.544628
4390;-0.091706
4400;0.227833
4410;0.549508
4420;0.157267
4430;0.256595
4440;0.508351
4450;0.362049
4460;0.812958
4470;0.438824
4480;0.678796
4490;0.645724
4500;0.611516
4510;0.061643
4520;0.463491
4530;0.520365
4540;0.288102
4550;0.171067
4560;0.015825
4570;0.546487
4580;0.627131
4590;0.337281
4600;0.102133
4610;0.434040
4620;0.057182
4630;0.332796
4640;0.391552
4650;0.317008
4660;0.398380
4670;0.596978
4680;0.298880
4690;0.167587
4700;0.437807
4710;0.248638
4720;0.428605
4730;0.750966
4740;0.627130
4750;-0.133659
4760;0.113660
4770;0.233442
4780;0.233494
4790;-0.008610
4800;-0.088398
4810;-0.152256
4820;-0.087663
4830;0.933021
4840;0.453211
4850;-0.126879
4860;-0.139197
4870;0.879857
4880;0.717236
4890;0.837258
4900;0.094596
4910;0.296807
4920;-0.283062
4930;0.582682
4940;0.601758
4950;0.220303
4960;0.052444
4970;0.394742
4980;0.223545
4990;0.133609
5000;-0.185794
