Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.565943;-0.075620;-0.260713;-0.557152;-0.195360
-390;0.067163;-0.034750;-0.156794;0.575630;-0.110445
-380;-0.279749;0.027694;-0.086114;0.766213;-0.585667
-370;0.394139;0.070664;-0.319656;-0.163333;-0.644233
-360;0.218830;-0.325536;-0.216024;-0.515982;0.490129
-350;-0.117994;0.507572;-0.286759;0.070809;0.310005
-340;0.028974;0.125019;-0.184087;-0.481476;-0.176891
-330;0.318757;0.046676;0.036864;0.299159;-0.127923
-320;-0.011078;-0.206262;-0.645676;-0.779036;-0.424357
-310;0.409677;0.435555;-0.831315;1.157362;-0.775951
-300;-0.319605;0.015292;0.086077;-0.011720;0.026569
-290;-1.248563;-0.484649;-0.192501;-1.249048;-0.866817
-280;-0.758214;-1.001796;0.217410;0.580890;0.691547
-270;-0.328343;-0.611626;-0.376840;-0.829046;-0.949989
-260;-0.759300;-0.579881;0.260085;0.182292;0.245087
-250;0.338635;-1.284062;-1.446922;0.074347;-0.246149
-240;-0.106712;-0.791790;-0.271885;0.548935;0.375646
-230;-0.129475;1.524845;-0.897874;-0.280146;0.399960
-220;-0.622645;-0.568516;-0.288375;-0.325079;0.171240
-210;-0.535059;-1.211274;-0.008703;-1.064647;0.495177
-200;-1.173546;0.180704;-0.475000;1.862857;0.333999
-190;-1.396851;-0.681972;0.268787;-0.425631;0.361515
-180;0.813401;0.062513;-0.250290;0.621722;-1.122357
-170;0.513700;1.326948;-0.825519;-0.048482;-0.210951
-160;-0.432253;-0.658377;-1.273850;0.338743;0.009137
-150;-0.886010;0.804572;0.753426;-0.000000;-0.090623
-140;-0.049481;-0.290067;-0.034831;-0.282875;0.146179
-130;-0.914915;-1.420823;0.228569;0.439644;0.420419
-120;-1.364962;0.787985;-0.833762;0.374693;-0.648436
-110;-0.806618;-1.140787;0.806110;0.334250;-1.243031
-100;-0.904089;-0.832601;-0.312575;0.093087;0.190538
-90;-0.675179;-0.259252;0.325489;-0.295011;-0.126574
-80;-0.016124;-0.019917;-0.802897;0.144160;-0.507016
-70;-0.278137;-0.609889;0.164745;-0.026325;-0.417031
-60;0.473788;-0.326150;0.001660;-0.975319;0.400608
-50;-0.946670;-0.985614;-0.439274;-0.341646;0.147411
-40;-1.071437;-0.421248;-0.580229;0.006265;-1.395875
-30;0.175212;-1.407710;0.645464;-0.034687;0.648978
-20;0.485389;1.059053;0.301950;0.649043;1.244063
-10;3.512845;2.263093;1.935054;3.227232;2.370843
0;5.360761;4.879043;5.588547;5.455075;4.973704
10;7.879043;7.131573;8.454809;8.767427;8.328725
20;11.674422;10.284725;11.251598;11.054261;10.839679
30;14.202124;13.647760;14.168186;14.407042;13.518856
40;16.262995;15.628136;16.341756;16.415113;16.025087
50;18.869035;18.932101;18.301650;19.230256;19.588296
60;22.413032;22.092496;21.202423;21.260015;20.943551
70;24.200091;23.859046;24.289526;24.561248;24.395161
80;27.044753;26.777332;26.060417;25.570437;27.200102
90;29.919000;29.858145;28.993368;29.439626;29.360206
100;31.385243;31.365232;30.331669;30.365158;30.951653
110;31.423611;31.748944;32.512254;31.300522;30.949593
120;31.151454;31.121940;30.558119;30.916389;31.990781
130;31.132241;29.848958;31.091632;30.795488;30.664961
140;30.051035;30.414760;30.444837;29.441872;30.361825
150;31.060794;29.702584;29.343195;29.516922;30.436563
160;29.711208;29.849360;29.603397;29.893746;28.571536
170;29.974651;30.083870;29.620423;28.989474;29.487379
180;29.200925;28.491862;29.072088;29.001055;29.127073
190;29.060457;28.735789;29.251429;28.496016;29.708011
200;28.900293;28.218445;28.178405;28.412543;28.351869
210;27.716401;28.000790;27.516784;27.732625;28.541793
220;28.478608;27.774238;27.361939;27.537487;26.471403
230;27.694052;27.686477;28.189942;27.203813;27.514999
240;27.697212;27.636313;28.055211;26.522282;26.745726
250;27.447683;26.797434;26.801468;26.722788;25.988258
260;26.854922;26.411472;26.649804;26.322466;25.293667
270;25.989512;26.367239;25.685465;26.062236;25.442120
280;26.324968;26.365884;26.209525;25.605311;26.590583
290;25.158797;25.808905;25.055371;24.741301;26.598330
300;24.957761;25.587837;25.251311;25.527884;25.374880
310;26.068446;25.651056;24.431540;24.320960;25.613726
320;26.043619;24.905017;25.557741;25.780516;24.445779
330;25.123117;24.787229;25.196124;24.994481;25.051502
340;23.997462;24.934660;25.055122;23.348026;23.125255
350;23.344979;23.555732;24.186124;23.622224;24.567992
360;23.513045;22.087686;23.515523;23.525599;23.284689
370;23.117715;22.473435;22.897997;23.629147;22.667172
380;25.182767;23.375507;22.143481;22.780738;22.734751
390;22.467559;23.686147;22.206522;23.254896;23.071393
400;22.985216;23.739321;22.898624;22.589471;22.161911
410;23.325322;22.739272;22.104139;22.583136;22.616509
420;22.231443;23.372154;22.431091;22.504095;22.212432
430;22.430566;21.490017;21.761625;22.341238;22.308570
440;22.197442;22.732822;21.225844;22.489285;20.884080
450;22.290954;20.736319;21.311750;21.767369;20.952218
460;20.979473;22.340619;21.100098;21.518572;20.865861
470;21.703526;20.346244;20.647263;20.365550;20.789154
480;21.804326;19.835631;20.746527;20.694232;20.384530
490;20.379199;21.617476;20.200803;20.753545;20.168611
500;20.842838;20.292671;20.806276;20.512800;20.135675
510;19.558723;19.886075;19.654496;19.785631;20.154574
520;20.277631;20.908601;19.420902;20.040138;20.265561
530;20.023711;20.763620;18.966465;20.046990;20.214987
540;20.124789;18.714189;18.704677;19.122872;18.836258
550;18.596263;17.964388;17.324869;19.498154;19.620685
560;19.194208;18.204324;18.093235;20.021415;18.276619
570;19.124222;20.113544;19.160457;18.357495;19.617329
580;18.263024;18.339115;18.757498;19.617733;18.118316
590;18.200182;18.777901;18.748314;18.641444;17.848007
600;18.725203;17.711155;17.289184;17.568438;18.392140
610;18.320729;17.725810;17.906179;17.088477;17.917675
620;17.498890;17.618694;18.852065;17.429493;17.458849
630;17.503929;17.331563;17.106756;16.373329;16.760865
640;18.364190;17.221674;17.674441;17.381645;17.523213
650;17.196346;16.697070;17.249903;17.168883;17.249389
660;17.045972;16.400829;15.968398;16.200839;16.589408
670;16.496283;16.258629;15.894100;16.679521;17.733579
680;17.527488;17.464709;17.291505;16.103852;15.437895
690;17.207768;16.593939;15.371131;15.460034;16.578274
700;16.355872;16.765459;16.803910;15.845414;16.044687
710;16.186770;15.890568;16.677439;15.276104;16.892961
720;14.645764;16.325153;16.068962;15.734210;16.973763
730;15.882876;15.080920;15.188438;15.446110;16.407738
740;15.774515;15.282882;15.740322;15.961576;15.951627
750;15.532860;14.857484;15.022188;15.777598;14.906971
760;14.514375;14.122600;14.369402;15.143032;16.184961
770;15.309961;15.005456;14.207611;16.166405;15.433115
780;14.245106;14.580498;15.864243;15.784959;14.396381
790;14.752279;15.914277;14.710391;14.396974;14.674198
800;14.400865;14.452442;13.480059;14.619713;13.535666
810;13.782174;14.146127;15.780904;14.222965;15.131950
820;14.206731;13.092545;14.211452;13.246931;13.996587
830;14.533759;13.438617;13.733385;13.954556;13.725325
840;13.892960;12.852285;13.950677;13.737269;13.828502
850;15.037006;13.154412;13.464588;13.109511;13.141736
860;12.992431;13.324815;14.533846;14.313555;13.370550
870;13.165043;14.265151;13.466802;13.845817;13.507017
880;14.008897;12.245005;13.830262;14.215367;12.801614
890;13.226105;13.047038;12.021440;12.824128;12.781081
900;12.890520;12.817824;13.866450;11.194878;12.727972
910;12.556040;12.297866;13.128237;12.906216;14.800092
920;12.550269;12.524645;13.161355;13.198327;12.431506
930;11.940105;12.678563;11.847157;12.042233;11.712378
940;12.294925;12.773484;12.106796;12.479105;11.448945
950;12.461488;12.596078;13.019191;13.289510;11.923560
960;11.951023;12.550558;11.760873;12.171488;11.823803
970;12.918149;11.369446;12.201683;11.939119;11.839842
980;12.617969;13.116792;12.431916;11.752123;11.253896
990;12.041762;12.048513;11.707629;11.871199;10.909483
1000;10.805791;11.073356;10.807570;12.260102;12.037552
1010;11.738249;11.684982;11.307401;10.488453;11.836723
1020;10.896097;11.262483;12.813339;10.956128;10.962540
1030;11.556745;11.623788;11.497420;11.392451;11.662664
1040;9.964187;12.152929;11.372551;10.147706;10.921496
1050;11.089406;11.926438;11.666050;11.228660;10.181870
1060;11.318822;9.732339;9.127169;9.553477;10.384000
1070;9.411301;11.426857;11.431084;10.075990;10.845685
1080;11.017891;10.517640;11.149841;10.450896;10.974635
1090;10.360062;9.758540;10.209223;11.494452;10.649767
1100;10.483735;10.907825;10.049408;10.961409;9.668122
1110;11.058009;10.250699;11.498271;9.627282;10.001043
1120;9.672969;9.927137;8.748015;9.733244;8.485696
1130;11.302560;10.811809;9.297944;9.970458;9.515106
1140;10.134129;9.889860;10.252312;9.824310;10.154353
1150;9.220434;10.191724;9.270481;10.157788;9.641338
1160;10.286682;9.647691;10.545618;11.193910;9.622957
1170;9.672136;8.834474;8.069580;8.809197;8.694897
1180;7.889170;9.358488;9.649780;8.939667;9.311049
1190;10.496154;9.329162;9.020046;9.435673;8.300304
1200;8.253177;10.235886;9.082739;9.208442;8.859638
1210;8.638337;9.608943;8.290408;9.652403;9.326173
1220;8.129733;8.545621;9.729487;8.704534;10.751799
1230;8.915457;9.601003;9.354090;9.276980;9.311678
1240;9.558104;9.534634;8.183504;9.041344;8.774835
1250;8.702464;9.529970;8.513337;9.019435;10.029756
1260;8.582288;8.207525;8.577511;8.423971;8.344052
1270;8.230661;8.802178;9.043352;9.188842;8.111958
1280;9.757570;8.602839;8.276286;8.521773;8.501452
1290;8.201255;8.748908;8.366150;8.290400;8.180596
1300;7.688063;8.576957;8.097108;7.265962;8.802940
1310;8.042020;8.129338;7.724477;7.621807;8.363635
1320;8.902398;9.185753;7.348530;7.428859;8.389876
1330;7.329164;8.454638;8.059965;7.783308;7.996473
1340;7.998072;8.112487;7.651194;7.368712;7.390193
1350;7.777313;7.850370;8.095393;7.842676;7.264064
1360;7.293647;8.713175;7.726398;7.762395;8.267850
1370;7.404923;7.126302;7.113797;7.848604;6.938008
1380;7.970568;7.318970;8.331308;7.515917;7.657293
1390;8.560355;7.915610;7.045323;6.981228;6.985864
1400;7.162126;7.794892;6.556284;6.997203;7.636210
1410;8.229938;8.205029;5.621774;6.841753;6.768300
1420;7.513418;7.221973;6.724439;6.385130;6.770277
1430;6.759339;7.718276;7.874294;7.290959;8.504318
1440;8.351821;7.554587;6.684697;8.282097;6.488481
1450;6.934202;6.889215;7.333730;6.724038;6.288107
1460;6.612592;6.766727;6.947473;8.084380;7.137999
1470;6.827126;7.249738;6.309412;6.882645;6.554123
1480;7.119942;6.928229;6.892860;6.677613;6.788974
1490;7.164665;7.526194;6.161650;7.214411;6.755034
1500;5.655894;5.776959;6.156946;7.150165;6.883995
1510;6.505445;7.287007;6.720679;6.838873;6.293960
1520;6.460934;7.484662;6.181914;7.352364;6.803922
1530;7.137649;5.857850;6.367085;6.235602;6.676956
1540;5.836048;5.147938;6.154242;6.080842;6.158594
1550;6.195076;6.269963;5.495023;6.598003;6.630531
1560;6.458102;5.685783;5.675030;5.814607;5.843995
1570;7.574974;4.690467;6.234751;5.703373;6.259282
1580;6.575772;6.637025;5.842391;5.808588;6.476735
1590;6.261900;6.156184;5.890515;6.150063;6.713543
1600;5.652777;7.673281;6.281470;5.567166;6.693872
1610;6.687806;5.542327;5.509905;5.945659;5.344376
1620;5.558501;6.382103;6.030707;5.173335;6.201969
1630;6.224409;4.989701;5.731780;5.609082;5.480606
1640;5.074182;5.854055;7.112218;6.003187;5.079534
1650;4.883395;6.308529;6.165669;4.540155;6.893512
1660;4.361074;5.632017;5.191326;6.273029;5.482841
1670;6.013258;6.029882;5.395025;5.027476;5.584917
1680;5.278152;5.312171;5.466774;6.050798;6.002786
1690;6.623897;5.885764;5.484041;5.798159;6.288110
1700;6.397518;4.746179;5.251679;4.814119;5.509288
1710;5.169929;6.094751;5.690548;4.651398;5.448474
1720;4.495734;4.555120;4.940879;5.251734;5.381552
1730;4.689796;4.870608;5.991076;6.255153;4.867522
1740;5.639641;4.645423;4.065089;4.733075;5.259345
1750;4.426100;5.141018;4.811322;6.375314;5.056313
1760;6.159620;5.520120;5.539039;5.223958;4.663516
1770;5.048740;4.817325;4.423045;4.083460;4.912250
1780;4.883847;5.335977;5.119943;5.274083;5.071658
1790;4.505347;3.800246;4.945835;4.588418;4.807116
1800;5.170727;5.674885;4.623177;5.029136;5.155154
1810;5.161254;5.572156;5.547347;4.577487;4.371248
1820;3.786057;4.812552;4.199920;4.853956;4.584842
1830;4.210260;4.306561;4.244938;4.459936;4.722413
1840;5.105279;4.746885;6.545521;3.988854;4.823215
1850;3.692690;3.886863;3.728098;3.626995;3.768651
1860;4.701264;4.450276;4.373541;3.824141;4.722951
1870;5.332685;5.436717;4.289315;3.856031;3.979887
1880;4.015437;4.594407;4.199340;4.359345;5.126036
1890;4.161366;3.533994;4.144640;4.070190;3.711083
1900;3.716696;4.573297;4.443304;3.056169;3.928744
1910;5.317451;3.908364;3.053589;4.488516;4.581157
1920;3.622789;3.758919;4.561315;4.831515;5.002440
1930;3.915401;4.365690;4.476601;3.398855;3.921072
1940;4.415676;4.209102;3.746941;4.107166;4.371507
1950;3.858449;4.403571;4.880151;2.922291;4.322474
1960;3.642160;4.005570;4.313204;4.158770;3.625987
1970;4.314034;4.888123;4.258955;4.761355;3.997980
1980;3.132992;3.763896;3.487798;3.755477;4.271029
1990;3.289077;3.296933;2.901174;3.943946;3.824031
2000;3.929983;4.653225;3.529295;4.087240;3.336332
2010;4.011889;3.746367;3.720838;3.589791;3.597865
2020;3.533612;4.431415;3.934110;4.248238;3.734948
2030;2.847544;3.299667;2.624108;3.485596;3.430202
2040;3.628623;3.699869;3.593765;2.530246;4.607937
2050;3.585719;3.564960;3.008022;3.185411;4.550446
2060;3.368046;3.162699;3.289765;3.750119;3.764833
2070;3.234447;2.318223;2.958778;3.518901;3.508756
2080;2.914753;4.613098;3.258847;3.932287;2.627926
2090;3.401682;3.536694;2.102051;2.581602;3.460881
2100;2.981225;4.193001;2.451204;3.584866;4.561852
2110;3.147410;3.491647;4.706078;3.285920;3.903746
2120;2.720531;3.021410;3.325010;4.607844;4.459278
2130;2.949221;3.600457;2.356718;3.074404;4.454132
2140;3.221893;3.937400;3.573631;2.743111;2.480118
